date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 33.74 34.48 33.48 34.32 3011500 32.2628990265 32.970502621 32.0142815474 32.8175072493 3011500 0.0 1.0 
"2015-10-02 00:00:00+00:00" 34.67 34.68 33.12 33.18 3519400 33.152184625 33.1617468358 31.6652608555 31.7274152252 3519400 0.0 1.0 
"2015-10-05 00:00:00+00:00" 35.34 35.39 34.84 35.04 1675400 33.7928527444 33.8406637981 33.3147422076 33.5059864223 1675400 0.0 1.0 
"2015-10-06 00:00:00+00:00" 34.9 35.21 34.53 35.13 1833700 33.372115472 33.6685440048 33.0183136747 33.5920463189 1833700 0.0 1.0 
"2015-10-07 00:00:00+00:00" 35.54 35.78 35.1 35.2 3089600 33.9840969592 34.2135900169 33.5633596867 33.6589817941 3089600 0.0 1.0 
"2015-10-08 00:00:00+00:00" 36.01 36.07 35.34 35.39 2598300 34.4335208638 34.4908941282 33.7928527444 33.8406637981 2598300 0.0 1.0 
"2015-10-09 00:00:00+00:00" 36.23 36.34 35.88 35.94 3232900 34.6438895 34.7490738181 34.3092121242 34.3665853886 3232900 0.0 1.0 
"2015-10-12 00:00:00+00:00" 35.99 36.18 35.86 36.08 1349900 34.4143964423 34.5947397368 34.2900877027 34.500456339 1349900 0.0 1.0 
"2015-10-13 00:00:00+00:00" 35.63 36.24 35.53 35.76 2383200 34.0701568558 34.6534517108 33.9745347484 34.1944655954 2383200 0.0 1.0 
"2015-10-14 00:00:00+00:00" 35.05 35.77 34.97 35.64 1647400 33.5155486331 34.2040278061 33.4390509472 34.0797190665 1647400 0.0 1.0 
"2015-10-15 00:00:00+00:00" 35.58 35.68 34.79 35.12 1433000 34.0223458021 34.1179679095 33.2669311539 33.5824841082 1433000 0.0 1.0 
"2015-10-16 00:00:00+00:00" 35.78 36.02 35.37 35.69 1754300 34.2135900169 34.4430830745 33.8215393766 34.1275301202 1754300 0.0 1.0 
"2015-10-19 00:00:00+00:00" 36.23 36.23 35.59 35.69 3685800 34.6438895 34.6438895 34.0319080129 34.1275301202 3685800 0.0 1.0 
"2015-10-20 00:00:00+00:00" 36.32 36.52 36.03 36.11 2635800 34.7299493966 34.9211936114 34.4526452853 34.5291429712 2635800 0.0 1.0 
"2015-10-21 00:00:00+00:00" 35.9 36.6 35.8 36.54 2886400 34.3283365457 34.9976912973 34.2327144383 34.9403180329 2886400 0.0 1.0 
"2015-10-22 00:00:00+00:00" 36.09 36.95 36.0 36.03 3696300 34.5100185497 35.3323686731 34.4239586531 34.4526452853 3696300 0.0 1.0 
"2015-10-23 00:00:00+00:00" 37.11 37.27 36.18 36.5 2732600 35.4853640449 35.6383594167 34.5960784463 34.9020691899 2732600 0.0 1.0 
"2015-10-26 00:00:00+00:00" 36.83 37.11 36.69 36.98 1948400 35.2176221442 35.4853640449 35.0799263096 35.3610553053 1948400 0.0 1.0 
"2015-10-27 00:00:00+00:00" 37.05 37.06 36.47 36.67 2557200 35.4279907804 35.4375529912 34.8686014523 35.0646267724 2557200 0.0 1.0 
"2015-10-28 00:00:00+00:00" 37.52 37.61 36.77 37.06 1780100 35.8774146851 35.9634745817 35.1602488798 35.4375529912 1780100 0.0 1.0 
"2015-10-29 00:00:00+00:00" 37.7 37.77 37.28 37.47 1352300 36.0495344783 36.1164699535 35.6479216274 35.8296036314 1352300 0.0 1.0 
"2015-10-30 00:00:00+00:00" 37.76 38.1 37.68 37.72 2194600 36.1069077428 36.4320229078 36.0304100569 36.0686588998 2194600 0.0 1.0 
"2015-11-02 00:00:00+00:00" 38.59 38.62 37.8 37.87 1810800 36.9005712339 36.9292578661 36.1451565857 36.2120920609 1810800 0.0 1.0 
"2015-11-03 00:00:00+00:00" 38.27 38.52 38.16 38.31 1485800 36.5945804904 36.8336357588 36.4893961722 36.6328293333 1485800 0.0 1.0 
"2015-11-04 00:00:00+00:00" 38.34 38.48 38.0 38.33 1569600 36.6615159655 36.7953869158 36.3364008005 36.6519537548 1569600 0.0 1.0 
"2015-11-05 00:00:00+00:00" 38.3 38.5 37.93 38.27 1420000 36.6232671226 36.8145113373 36.2694653253 36.5945804904 1420000 0.0 1.0 
"2015-11-06 00:00:00+00:00" 38.14 38.44 37.98 38.1 1964500 36.4702717508 36.7571380729 36.317276379 36.4320229078 1964500 0.0 1.0 
"2015-11-09 00:00:00+00:00" 37.92 38.08 37.48 38.04 3109600 36.2599031146 36.4128984864 35.8391658421 36.3746496434 3109600 0.0 1.0 
"2015-11-10 00:00:00+00:00" 37.98 38.17 37.69 37.89 4339800 36.317276379 36.5037394884 36.0399722676 36.2312164824 4339800 0.0 1.0 
"2015-11-11 00:00:00+00:00" 37.66 38.22 37.65 38.16 1969200 36.0112856354 36.5467694367 36.0017234247 36.4893961722 1969200 0.0 1.0 
"2015-11-12 00:00:00+00:00" 37.49 37.77 37.24 37.36 3096300 35.8487280529 36.1164699535 35.6096727844 35.7244193133 3096300 0.0 1.0 
"2015-11-13 00:00:00+00:00" 36.77 37.57 36.63 37.39 3335100 35.1602488798 35.9252257388 35.0263779295 35.7531059455 3335100 0.0 1.0 
"2015-11-16 00:00:00+00:00" 37.33 37.49 36.6 36.75 2489900 35.6957326811 35.8487280529 34.9976912973 35.1411244583 2489900 0.0 1.0 
"2015-11-17 00:00:00+00:00" 38.38 38.5 36.5 36.5 7679500 36.6997648085 36.8145113373 34.9020691899 34.9020691899 7679500 0.0 1.0 
"2015-11-18 00:00:00+00:00" 39.34 39.36 38.36 38.43 6589600 37.6177370392 37.6368614607 36.680640387 36.7475758621 6589600 0.0 1.0 
"2015-11-19 00:00:00+00:00" 38.5 39.7 38.31 39.16 7275100 36.8145113373 37.9571955204 36.6328293333 37.4456172459 7275100 0.0 1.0 
"2015-11-20 00:00:00+00:00" 39.28 39.35 38.52 38.78 5447700 37.5603637748 37.6320803553 36.8336357588 37.0822532379 5447700 0.0 1.0 
"2015-11-23 00:00:00+00:00" 40.03 40.07 39.14 39.29 6474100 38.2775295801 38.315778423 37.4264928245 37.5699259855 6474100 0.0 1.0 
