date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2016-11-01 00:00:00+00:00" 23.0 23.55 21.78 22.1 32216510 22.9218573046 23.469988675 21.706002265 22.0249150623 32216510 0.0 1.0 
"2016-11-02 00:00:00+00:00" 22.91 23.265 22.6358 22.67 10755328 22.8321630804 23.1859569649 22.5588946772 22.5929784824 10755328 0.0 1.0 
"2016-11-03 00:00:00+00:00" 24.15 24.3493 22.94 22.96 8083097 24.0679501699 24.2665730464 22.8620611552 22.881993205 8083097 0.0 1.0 
"2016-11-04 00:00:00+00:00" 25.2 25.5 23.56 23.82 6878500 25.114382786 25.4133635334 23.4799546999 23.7390713477 6878500 0.0 1.0 
"2016-11-07 00:00:00+00:00" 25.08 26.41 24.89 25.54 8377025 24.994790487 26.3202718007 24.8054360136 25.4532276331 8377025 0.0 1.0 
"2016-11-08 00:00:00+00:00" 26.4 26.59 24.3 24.3 6469979 26.4 26.59 24.3 24.3 6469979 0.09 1.0 
"2016-11-09 00:00:00+00:00" 28.72 29.14 26.0 26.83 10675856 28.72 29.14 26.0 26.83 10675856 0.0 1.0 
"2016-11-10 00:00:00+00:00" 29.1 29.7 28.3 29.08 8189887 29.1 29.7 28.3 29.08 8189887 0.0 1.0 
"2016-11-11 00:00:00+00:00" 29.3 29.99 27.63 29.18 5337239 29.3 29.99 27.63 29.18 5337239 0.0 1.0 
"2016-11-14 00:00:00+00:00" 29.62 29.94 28.61 29.5 5156737 29.62 29.94 28.61 29.5 5156737 0.0 1.0 
"2016-11-15 00:00:00+00:00" 30.21 30.23 28.83 28.94 3668883 30.21 30.23 28.83 28.94 3668883 0.0 1.0 
"2016-11-16 00:00:00+00:00" 31.42 31.69 29.66 29.69 6150098 31.42 31.69 29.66 29.69 6150098 0.0 1.0 
"2016-11-17 00:00:00+00:00" 31.85 32.02 30.77 31.3 4693203 31.85 32.02 30.77 31.3 4693203 0.0 1.0 
"2016-11-18 00:00:00+00:00" 30.42 31.77 30.16 31.73 4421730 30.42 31.77 30.16 31.73 4421730 0.0 1.0 
"2016-11-21 00:00:00+00:00" 30.69 30.98 29.501 30.89 2986107 30.69 30.98 29.501 30.89 2986107 0.0 1.0 
"2016-11-22 00:00:00+00:00" 31.34 31.91 30.54 31.1 4182721 31.34 31.91 30.54 31.1 4182721 0.0 1.0 
"2016-11-23 00:00:00+00:00" 31.51 31.93 30.0 31.0 4112265 31.51 31.93 30.0 31.0 4112265 0.0 1.0 
"2016-11-25 00:00:00+00:00" 31.7 32.19 31.11 31.24 3109628 31.7 32.19 31.11 31.24 3109628 0.0 1.0 
"2016-11-28 00:00:00+00:00" 30.86 31.8 30.7 31.48 5121935 30.86 31.8 30.7 31.48 5121935 0.0 1.0 
"2016-11-29 00:00:00+00:00" 29.73 30.4999 29.73 30.02 4927708 29.73 30.4999 29.73 30.02 4927708 0.0 1.0 
"2016-11-30 00:00:00+00:00" 28.97 30.44 28.85 30.06 5131539 28.97 30.44 28.85 30.06 5131539 0.0 1.0 
"2016-12-01 00:00:00+00:00" 28.88 29.42 28.6 28.84 5006186 28.88 29.42 28.6 28.84 5006186 0.0 1.0 
"2016-12-02 00:00:00+00:00" 29.04 29.625 28.73 28.86 3870676 29.04 29.625 28.73 28.86 3870676 0.0 1.0 
"2016-12-05 00:00:00+00:00" 31.22 31.2768 28.89 29.03 7034136 31.22 31.2768 28.89 29.03 7034136 0.0 1.0 
"2016-12-06 00:00:00+00:00" 31.15 31.19 30.21 30.71 3248595 31.15 31.19 30.21 30.71 3248595 0.0 1.0 
"2016-12-07 00:00:00+00:00" 30.9 31.89 30.7653 31.3 5778259 30.9 31.89 30.7653 31.3 5778259 0.0 1.0 
"2016-12-08 00:00:00+00:00" 31.31 31.84 30.8 31.28 3064978 31.31 31.84 30.8 31.28 3064978 0.0 1.0 
"2016-12-09 00:00:00+00:00" 32.05 32.11 31.04 31.31 4344295 32.05 32.11 31.04 31.31 4344295 0.0 1.0 
"2016-12-12 00:00:00+00:00" 31.24 32.35 30.85 32.16 3416012 31.24 32.35 30.85 32.16 3416012 0.0 1.0 
"2016-12-13 00:00:00+00:00" 30.24 31.73 30.03 31.4 4215143 30.24 31.73 30.03 31.4 4215143 0.0 1.0 
"2016-12-14 00:00:00+00:00" 30.45 31.32 30.03 30.11 3176106 30.45 31.32 30.03 30.11 3176106 0.0 1.0 
"2016-12-15 00:00:00+00:00" 29.79 30.44 29.65 30.16 3753185 29.79 30.44 29.65 30.16 3753185 0.0 1.0 
"2016-12-16 00:00:00+00:00" 29.4 30.42 29.16 29.65 8131428 29.4 30.42 29.16 29.65 8131428 0.0 1.0 
"2016-12-19 00:00:00+00:00" 29.29 29.49 28.75 28.89 2569496 29.29 29.49 28.75 28.89 2569496 0.0 1.0 
"2016-12-20 00:00:00+00:00" 30.16 30.33 29.77 29.9 3826971 30.16 30.33 29.77 29.9 3826971 0.0 1.0 
"2016-12-21 00:00:00+00:00" 30.43 30.43 30.02 30.19 1811751 30.43 30.43 30.02 30.19 1811751 0.0 1.0 
"2016-12-22 00:00:00+00:00" 29.75 30.35 29.54 30.21 3766694 29.75 30.35 29.54 30.21 3766694 0.0 1.0 
