date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 28.91 29.0 28.44 28.95 14467626 7.9430235178 7.967751021 7.8138910013 7.9540135192 14467626 0.0 1.0 
"2015-10-02 00:00:00+00:00" 30.71 30.71 28.43 28.62 29250543 8.4375735812 8.4375735812 7.8111435009 7.8633460076 29250543 0.0 1.0 
"2015-10-05 00:00:00+00:00" 30.85 31.2 30.35 30.8 12883305 8.4760385861 8.5722010984 8.3386635685 8.4623010844 12883305 0.0 1.0 
"2015-10-06 00:00:00+00:00" 30.955 31.185 30.66 30.79 10963857 8.5048873398 8.5680798479 8.4238360794 8.459553584 10963857 0.0 1.0 
"2015-10-07 00:00:00+00:00" 31.87 31.99 31.21 31.31 12224842 8.756283622 8.7892536262 8.5749485988 8.6024236023 12224842 0.0 1.0 
"2015-10-08 00:00:00+00:00" 32.37 32.5 31.73 31.79 14245376 8.8936586396 8.9293761442 8.7178186171 8.7343036192 14245376 0.0 1.0 
"2015-10-09 00:00:00+00:00" 32.52 32.69 31.99 32.35 11830351 8.9348711449 8.9815786509 8.7892536262 8.8881636389 11830351 0.0 1.0 
"2015-10-12 00:00:00+00:00" 32.86 33.02 32.55 32.71 12580273 9.0282861569 9.0722461625 8.943113646 8.9870736516 12580273 0.0 1.0 
"2015-10-13 00:00:00+00:00" 32.34 32.825 32.32 32.56 15873827 8.8854161386 9.0186699056 8.8799211379 8.9458611463 15873827 0.0 1.0 
"2015-10-14 00:00:00+00:00" 32.09 32.49 31.77 32.28 11282844 8.8167286298 8.9266286439 8.7288086185 8.8689311365 11282844 0.0 1.0 
"2015-10-15 00:00:00+00:00" 33.48 33.49 32.4 32.42 19403801 9.1986311787 9.2013786791 8.9019011407 8.9073961414 19403801 0.0 1.0 
"2015-10-16 00:00:00+00:00" 33.37 33.86 33.16 33.64 12498907 9.1684086748 9.3030361921 9.1107111674 9.2425911843 12498907 0.0 1.0 
"2015-10-19 00:00:00+00:00" 33.5 33.63 33.18 33.26 10856512 9.2041261794 9.239843684 9.1162061681 9.138186171 10856512 0.0 1.0 
"2015-10-20 00:00:00+00:00" 32.83 33.59 32.77 33.49 19349173 9.0200436558 9.2288536826 9.0035586537 9.2013786791 19349173 0.0 1.0 
"2015-10-21 00:00:00+00:00" 31.12 32.43 31.01 32.06 30436499 8.5502210956 8.9101436417 8.5199985917 8.8084861287 30436499 0.0 1.0 
"2015-10-22 00:00:00+00:00" 31.67 31.9 31.21 31.26 18501164 8.701333615 8.7645261231 8.5749485988 8.5886861005 18501164 0.0 1.0 
"2015-10-23 00:00:00+00:00" 33.17 33.36 32.24 32.65 24308632 9.1134586678 9.1656611745 8.8579411351 8.9705886495 24308632 0.0 1.0 
"2015-10-26 00:00:00+00:00" 33.4 33.49 33.0 33.13 15810254 9.1766511759 9.2013786791 9.0667511618 9.1024686664 15810254 0.0 1.0 
"2015-10-27 00:00:00+00:00" 34.3 35.47 33.88 34.97 26380851 9.4239262076 9.7453837488 9.3085311928 9.6080087312 26380851 0.0 1.0 
"2015-10-28 00:00:00+00:00" 35.185 35.27 34.3 34.3 15174273 9.6670799887 9.6904337417 9.4239262076 9.4239262076 15174273 0.0 1.0 
"2015-10-29 00:00:00+00:00" 35.05 35.15 34.7 34.87 10796190 9.629988734 9.6574637375 9.5338262217 9.5805337276 10796190 0.0 1.0 
"2015-10-30 00:00:00+00:00" 35.62 35.7 35.05 35.14 17418895 9.786596254 9.8085762569 9.629988734 9.6547162371 17418895 0.0 1.0 
"2015-11-02 00:00:00+00:00" 35.27 35.48 35.07 35.46 15206693 9.6904337417 9.7481312491 9.6354837347 9.7426362484 15206693 0.0 1.0 
"2015-11-03 00:00:00+00:00" 34.72 35.34 34.65 35.15 12394280 9.5393212224 9.7096662442 9.5200887199 9.6574637375 12394280 0.0 1.0 
"2015-11-04 00:00:00+00:00" 35.07 35.24 34.75 34.89 17501813 9.6354837347 9.6821912407 9.5475637234 9.5860287283 17501813 0.0 1.0 
"2015-11-05 00:00:00+00:00" 35.12 35.3 34.16 35.02 15679054 9.6492212364 9.6986762428 9.3854612026 9.6217462329 15679054 0.0 1.0 
"2015-11-06 00:00:00+00:00" 34.2 35.2001 33.46 34.94 16608581 9.3964512041 9.6712287143 9.193136178 9.5997662301 16608581 0.0 1.0 
"2015-11-09 00:00:00+00:00" 33.68 34.08 33.075 34.07 13645458 9.2535811857 9.3634811998 9.0873574144 9.3607336995 13645458 0.0 1.0 
"2015-11-10 00:00:00+00:00" 33.99 34.13 33.26 33.45 11510965 9.3387536967 9.3772187016 9.138186171 9.1903886777 11510965 0.0 1.0 
"2015-11-11 00:00:00+00:00" 33.38 34.23 33.025 34.21 11806896 9.1711561752 9.4046937051 9.0736199127 9.3991987044 11806896 0.0 1.0 
"2015-11-12 00:00:00+00:00" 33.23 33.845 33.13 33.2 14273138 9.1299436699 9.2989149416 9.1024686664 9.1217011688 14273138 0.0 1.0 
"2015-11-13 00:00:00+00:00" 32.19 33.04 32.17 32.78 11063301 8.8442036333 9.0777411632 8.8387086326 9.0063061541 11063301 0.0 1.0 
"2015-11-16 00:00:00+00:00" 32.945 32.99 32.12 32.23 11087829 9.0516399099 9.0640036615 8.8249711308 8.8551936347 11087829 0.0 1.0 
"2015-11-17 00:00:00+00:00" 32.86 33.12 32.62 33.01 10270392 9.0282861569 9.099721166 8.9623461484 9.0694986622 10270392 0.0 1.0 
"2015-11-18 00:00:00+00:00" 32.98 33.02 32.32 32.89 11105624 9.0612561611 9.0722461625 8.8799211379 9.0365286579 11105624 0.0 1.0 
"2015-11-19 00:00:00+00:00" 32.625 33.5 32.58 33.21 14222129 8.9637198986 9.2041261794 8.951356147 9.1244486692 14222129 0.0 1.0 
"2015-11-20 00:00:00+00:00" 33.11 33.3 32.69 32.86 12498532 9.0969736657 9.1491761724 8.9815786509 9.0282861569 12498532 0.0 1.0 
"2015-11-23 00:00:00+00:00" 33.36 33.87 32.87 33.0 11900386 9.1656611745 9.3057836924 9.0310336572 9.0667511618 11900386 0.0 1.0 
"2015-11-24 00:00:00+00:00" 32.96 33.19 32.61 33.09 13364743 9.0557611604 9.1189536685 8.9595986481 9.091478665 13364743 0.0 1.0 
"2015-11-25 00:00:00+00:00" 33.16 33.52 32.75 32.77 13257985 9.1107111674 9.2096211801 8.998063653 9.0035586537 13257985 0.0 1.0 
"2015-11-27 00:00:00+00:00" 32.94 33.085 32.44 32.79 5316055 9.0502661597 9.0901049148 8.9128911421 9.0090536544 5316055 0.0 1.0 
"2015-11-30 00:00:00+00:00" 33.81 33.83 32.85 33.03 17534722 9.2892986903 9.294793691 9.0255386565 9.0749936629 17534722 0.0 1.0 
"2015-12-01 00:00:00+00:00" 33.71 33.89 33.47 33.87 11020448 9.2618236868 9.3112786931 9.1958836784 9.3057836924 11020448 0.0 1.0 
