date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 39.2 39.27 37.84 38.5 9175087 37.3781794146 37.4449261635 36.0813854349 36.710711925 9175087 0.0 1.0 
"2015-10-02 00:00:00+00:00" 38.63 38.77 37.42 38.75 12276284 36.8346701731 36.968163671 35.6809049412 36.9490931713 12276284 0.0 1.0 
"2015-10-05 00:00:00+00:00" 40.19 40.3 38.82 38.9 9421801 38.3221691498 38.4270568982 37.0158399203 37.0921219191 9421801 0.0 1.0 
"2015-10-06 00:00:00+00:00" 38.13 40.37 38.08 39.95 13031992 36.3579076806 38.4938036471 36.3102314313 38.0933231534 13031992 0.0 1.0 
"2015-10-07 00:00:00+00:00" 39.31 39.41 37.76 38.41 10513746 37.4830671629 37.5784196614 36.0051034361 36.6248946764 10513746 0.0 1.0 
"2015-10-08 00:00:00+00:00" 39.74 40.03 38.7 39.21 8308146 37.8930829065 38.1696051522 36.901416922 37.3877146644 8308146 0.0 1.0 
"2015-10-09 00:00:00+00:00" 42.42 42.49 40.25 40.27 16835519 40.4485298665 40.5152766154 38.3793806489 38.3984511486 16835519 0.0 1.0 
"2015-10-12 00:00:00+00:00" 43.84 43.88 42.55 42.59 11443308 41.8025353453 41.8406763447 40.5724881146 40.610629114 11443308 0.0 1.0 
"2015-10-13 00:00:00+00:00" 43.41 43.97 42.52 42.7 13250274 41.3925196017 41.9264935933 40.543882365 40.7155168623 13250274 0.0 1.0 
"2015-10-14 00:00:00+00:00" 43.8 44.5 43.23 44.0 11125778 41.7643943459 42.4318618354 41.2208851044 41.9550993429 11125778 0.0 1.0 
"2015-10-15 00:00:00+00:00" 44.46 44.48 43.5 44.1 8185398 42.393720836 42.4127913357 41.4783368504 42.0504518414 8185398 0.0 1.0 
"2015-10-16 00:00:00+00:00" 43.71 44.02 42.86 43.95 11572941 41.6785770972 41.9741698426 40.8680808599 41.9074230936 11572941 0.0 1.0 
"2015-10-19 00:00:00+00:00" 44.45 44.49 43.62 43.83 8934601 42.3841855862 42.4223265856 41.5927598486 41.7930000954 8934601 0.0 1.0 
"2015-10-20 00:00:00+00:00" 44.79 45.1811 44.45 44.54 7610771 42.7083840811 43.0813077028 42.3841855862 42.4700028348 7610771 0.0 1.0 
"2015-10-21 00:00:00+00:00" 44.31 45.18 44.09 44.49 6941202 42.2506920883 43.0802588253 42.0409165916 42.4223265856 6941202 0.0 1.0 
"2015-10-22 00:00:00+00:00" 45.99 46.01 44.36 44.89 14444639 43.8526140632 43.8716845629 42.2983683375 42.8037365796 14444639 0.0 1.0 
"2015-10-23 00:00:00+00:00" 45.67 46.42 43.81 46.37 20281404 43.547486068 44.2626298068 41.7739295957 44.2149535575 20281404 0.0 1.0 
"2015-10-26 00:00:00+00:00" 46.47 46.57 44.99 45.36 11026228 44.310306056 44.4056585545 42.8990890781 43.2518933226 11026228 0.0 1.0 
"2015-10-27 00:00:00+00:00" 46.46 46.69 45.65 46.41 6824082 44.3007708062 44.5200815527 43.5284155683 44.2530945569 6824082 0.0 1.0 
"2015-10-28 00:00:00+00:00" 45.86 46.36 45.23 46.2 7629738 43.7286558151 44.2054183077 43.1279350745 44.05285431 7629738 0.0 1.0 
"2015-10-29 00:00:00+00:00" 45.86 46.1 45.21 45.63 5234359 43.7286558151 43.9575018115 43.1088645748 43.5093450686 5234359 0.0 1.0 
"2015-10-30 00:00:00+00:00" 46.22 46.77 45.71 45.77 8589743 44.0719248097 44.5963635515 43.5856270674 43.6428385665 8589743 0.0 1.0 
"2015-11-02 00:00:00+00:00" 46.47 46.82 46.2 46.2 6189311 44.310306056 44.6440398008 44.05285431 44.05285431 6189311 0.0 1.0 
"2015-11-03 00:00:00+00:00" 46.5 47.09 46.08 47.02 6983205 44.4342643041 44.9980538942 44.032922562 44.9311636038 6983205 0.1 1.0 
"2015-11-04 00:00:00+00:00" 45.63 46.45 45.15 46.42 8081357 43.6029135526 44.3864855252 43.1442372759 44.357818258 8081357 0.0 1.0 
"2015-11-05 00:00:00+00:00" 45.6 45.83 45.03 45.7 5865538 43.5742462853 43.7940286679 43.0295682067 43.6698038429 5865538 0.0 1.0 
"2015-11-06 00:00:00+00:00" 45.34 45.97 45.05 45.51 11669625 43.3257966354 43.9278092486 43.0486797182 43.4882444834 11669625 0.0 1.0 
"2015-11-09 00:00:00+00:00" 44.65 45.21 44.56 45.17 7214613 42.6664494877 43.2015718105 42.5804476858 43.1633487874 7214613 0.0 1.0 
"2015-11-10 00:00:00+00:00" 44.49 45.16 44.0201 44.66 5935317 42.5135573954 43.1537930316 42.0645324321 42.6760052434 5935317 0.0 1.0 
"2015-11-11 00:00:00+00:00" 44.39 44.95 44.37 44.76 4416989 42.4179998378 42.9531221606 42.3988883263 42.7715628011 4416989 0.0 1.0 
"2015-11-12 00:00:00+00:00" 43.9 44.52 43.82 44.29 5951056 41.9497678053 42.5422246627 41.8733217592 42.3224422802 5951056 0.0 1.0 
"2015-11-13 00:00:00+00:00" 43.45 44.23 43.12 43.67 7486143 41.519758796 42.2651077456 41.2044188557 41.7299854228 7486143 0.0 1.0 
"2015-11-16 00:00:00+00:00" 42.83 42.84 41.85 42.41 10201130 40.9273019386 40.9368576943 39.9908378737 40.5259601965 10201130 0.0 1.0 
"2015-11-17 00:00:00+00:00" 42.3 43.46 42.05 43.0 9579743 40.4208468831 41.5293145517 40.1819529889 41.0897497866 9579743 0.0 1.0 
"2015-11-18 00:00:00+00:00" 41.75 42.32 41.01 42.32 11071087 39.895280316 40.4399583946 39.1881543895 40.4399583946 11071087 0.0 1.0 
"2015-11-19 00:00:00+00:00" 42.3 42.7299 41.89 41.94 6545456 40.4208468831 40.8316488234 40.0290608967 40.0768396755 6545456 0.0 1.0 
"2015-11-20 00:00:00+00:00" 42.2 42.71 42.05 42.4 5655961 40.3252893254 40.8126328694 40.1819529889 40.5164044407 5655961 0.0 1.0 
"2015-11-23 00:00:00+00:00" 42.3 42.74 41.81 42.11 4166051 40.4208468831 40.8413001367 39.9526148506 40.2392875235 4166051 0.0 1.0 
"2015-11-24 00:00:00+00:00" 41.23 41.64 40.45 41.02 7577977 39.3983810163 39.7901670026 38.6530320667 39.1977101452 7577977 0.0 1.0 
