date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 192.04 192.64 188.1 190.28 1586858 189.7339609813 190.3267561104 185.841272967 187.9950952693 1586858 0.0 1.0 
"2015-10-02 00:00:00+00:00" 191.69 192.02 188.03 189.81 1280170 189.3881638227 189.7142011437 185.7721135353 187.5307390849 1280170 0.0 1.0 
"2015-10-05 00:00:00+00:00" 191.17 194.61 189.42 193.56 887649 188.8744080441 192.2731001175 187.145422251 191.2357086416 887649 0.0 1.0 
"2015-10-06 00:00:00+00:00" 191.1 192.44 189.399 191.34 543355 188.8052486124 190.129157734 187.1246744215 189.042366664 543355 0.0 1.0 
"2015-10-07 00:00:00+00:00" 190.35 192.18 188.91 191.4 994442 188.064254701 189.8722798447 186.6415463913 189.1016461769 994442 0.0 1.0 
"2015-10-08 00:00:00+00:00" 187.35 191.15 186.46 190.4 986809 185.1002790556 188.8546482065 184.2209662808 188.1136542951 986809 0.0 1.0 
"2015-10-09 00:00:00+00:00" 189.52 189.91 186.13 186.88 785639 187.2442214392 187.6295382731 183.8949289598 184.6359228712 785639 0.0 1.0 
"2015-10-12 00:00:00+00:00" 191.28 192.46 188.9001 189.75 942499 188.9830871511 190.1489175716 186.6317652716 187.471459572 942499 0.0 1.0 
"2015-10-13 00:00:00+00:00" 190.85 191.85 189.65 190.85 503241 188.5582506419 189.5462425237 187.3726603838 188.5582506419 503241 0.0 1.0 
"2015-10-14 00:00:00+00:00" 187.07 191.0 185.16 190.45 849135 184.8236413287 188.7064494242 182.9365768345 188.1630538892 849135 0.0 1.0 
"2015-10-15 00:00:00+00:00" 190.55 190.87 187.63 188.07 607848 188.2618530774 188.5780104796 185.3769167825 185.8116332105 607848 0.0 1.0 
"2015-10-16 00:00:00+00:00" 190.8 191.94 189.81 191.84 627409 188.5088510479 189.6351617931 187.5307390849 189.5363626049 627409 0.0 1.0 
"2015-10-19 00:00:00+00:00" 191.4 192.03 189.79 190.78 726352 189.1016461769 189.7240810625 187.5109792472 188.4890912102 726352 0.0 1.0 
"2015-10-20 00:00:00+00:00" 193.59 194.305 191.5 191.78 774254 191.2653483981 191.9717625936 189.2004453651 189.477083092 774254 0.0 1.0 
"2015-10-21 00:00:00+00:00" 192.15 196.085 191.75 194.5 617573 189.8426400883 193.7303881432 189.4474433356 192.1644210105 617573 0.0 1.0 
"2015-10-22 00:00:00+00:00" 191.87 193.9 191.28 192.89 705921 189.5660023614 191.5716258814 188.9830871511 190.5737540808 705921 0.0 1.0 
"2015-10-23 00:00:00+00:00" 191.94 193.79 189.0 193.71 571665 189.6351617931 191.4629467744 186.7304656606 191.3839074239 571665 0.0 1.0 
"2015-10-26 00:00:00+00:00" 192.45 194.19 191.885 192.82 500139 190.1390376528 191.8581435272 189.5808222396 190.5045946491 500139 0.0 1.0 
"2015-10-27 00:00:00+00:00" 193.27 193.89 191.382 192.25 416695 190.9491909959 191.5617459626 189.0838623231 189.9414392765 416695 0.0 1.0 
"2015-10-28 00:00:00+00:00" 194.28 194.67 192.3 194.01 384618 191.9470627965 192.3323796304 189.9908388706 191.6803049884 384618 0.0 1.0 
"2015-10-29 00:00:00+00:00" 197.48 198.57 194.4 194.64 727722 195.1086368183 196.1855479695 192.0656218223 192.302739874 727722 0.0 1.0 
"2015-10-30 00:00:00+00:00" 198.43 199.39 196.51 197.66 732021 196.047229106 196.9957013125 194.1502846929 195.286475357 732021 0.0 1.0 
"2015-11-02 00:00:00+00:00" 200.38 201.17 197.98 199.14 728521 197.9738132755 198.7543268621 195.6026327592 196.7487033421 728521 0.0 1.0 
"2015-11-03 00:00:00+00:00" 198.7 200.64 196.64 200.15 674656 196.3139869141 198.2306911648 194.2787236376 197.7465751427 674656 0.0 1.0 
"2015-11-04 00:00:00+00:00" 199.34 199.79 196.8 198.77 692584 196.9463017184 197.3908980653 194.4368023387 196.3831463458 692584 0.0 1.0 
"2015-11-05 00:00:00+00:00" 200.34 201.21 198.16 199.96 712013 197.9342936002 198.7938465374 195.7804712979 197.5588566852 712013 0.0 1.0 
"2015-11-06 00:00:00+00:00" 198.72 201.24 197.07 201.24 684117 196.3337467517 198.8234862939 194.7035601468 198.8234862939 684117 0.0 1.0 
"2015-11-09 00:00:00+00:00" 194.9 198.88 193.76 198.71 865780 192.5596177632 196.4918254528 191.433307018 196.3238668329 865780 0.0 1.0 
"2015-11-10 00:00:00+00:00" 194.11 196.12 193.77 193.77 1379738 191.7791041766 193.764967859 191.4431869368 191.4431869368 1379738 0.0 1.0 
"2015-11-11 00:00:00+00:00" 194.67 196.07 193.38 194.37 1315822 192.3323796304 193.715568265 191.0578701029 192.0359820659 1315822 0.0 1.0 
"2015-11-12 00:00:00+00:00" 164.64 177.0 164.23 173.75 6955577 162.6629834199 174.874563079 162.2579067484 171.6635894631 6955577 0.0 1.0 
"2015-11-13 00:00:00+00:00" 161.62 165.33 161.19 163.31 3092729 159.6792479369 163.3446978184 159.2544114277 161.3489542171 3092729 0.0 1.0 
"2015-11-16 00:00:00+00:00" 164.22 164.538 159.69 161.0 1494074 162.2480268296 162.562208248 157.772423605 159.0666929702 1494074 0.0 1.0 
"2015-11-17 00:00:00+00:00" 164.09 167.22 162.53 165.09 1170997 162.1195878849 165.212002475 160.5783205493 163.1075797667 1170997 0.0 1.0 
"2015-11-18 00:00:00+00:00" 164.44 164.67 162.6 164.37 784765 162.4653850436 162.6926231764 160.647479981 162.3962256118 784765 0.0 1.0 
"2015-11-19 00:00:00+00:00" 162.37 165.27 162.22 164.19 684246 160.4202418482 163.2854183054 160.2720430659 162.2183870731 684246 0.0 1.0 
"2015-11-20 00:00:00+00:00" 162.82 165.1 162.55 162.86 733429 160.864838195 163.1174596855 160.5980803869 160.9043578703 733429 0.0 1.0 
"2015-11-23 00:00:00+00:00" 162.62 164.5 161.5 162.68 895911 160.6672398187 162.5246645565 159.5606889111 160.7265193316 895911 0.0 1.0 
"2015-11-24 00:00:00+00:00" 163.19 163.86 160.82 160.82 754505 161.2303951913 161.8923497521 158.8888544314 158.8888544314 754505 0.0 1.0 
"2015-11-25 00:00:00+00:00" 164.3 167.07 163.65 164.0 919310 162.3270661801 165.0638036927 161.6848714569 162.0306686156 919310 0.0 1.0 
