date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 55.13 55.23 53.93 54.68 9255800 44.375862471 44.4563556008 43.4099449131 44.0136433868 9255800 0.0 1.0 
"2015-10-02 00:00:00+00:00" 55.82 55.85 53.72 53.87 6942600 44.9312650668 44.9554130057 43.2409093405 43.3616490352 6942600 0.0 1.0 
"2015-10-05 00:00:00+00:00" 56.68 56.95 55.44 56.39 9331000 45.6235059832 45.8408374338 44.6253911734 45.3900759067 9331000 0.0 1.0 
"2015-10-06 00:00:00+00:00" 55.08 56.67 53.96 56.26 9008200 44.3356159061 45.6154566703 43.4340928521 45.285434838 9008200 0.0 1.0 
"2015-10-07 00:00:00+00:00" 55.63 56.55 53.91 54.85 11075100 44.7783281201 45.5188649145 43.3938462872 44.1504817075 11075100 0.0 1.0 
"2015-10-08 00:00:00+00:00" 56.04 56.16 54.8 55.13 6737300 45.1083499524 45.2049417082 44.1102351426 44.375862471 6737300 0.0 1.0 
"2015-10-09 00:00:00+00:00" 55.64 56.5 55.47 56.18 7178500 44.7863774331 45.4786183496 44.6495391124 45.2210403341 7178500 0.0 1.0 
"2015-10-12 00:00:00+00:00" 55.77 56.27 55.52 55.8 6515000 44.8910185019 45.293484151 44.6897856773 44.9151664408 6515000 0.0 1.0 
"2015-10-13 00:00:00+00:00" 53.8 55.36 53.7 55.17 9467900 43.7158188064 44.9834150395 43.6386254461 44.8290283188 9467900 0.51 1.0 
"2015-10-14 00:00:00+00:00" 53.94 54.62 53.56 54.09 8727400 43.8295774427 44.3821193905 43.5248668098 43.9514616959 8727400 0.0 1.0 
"2015-10-15 00:00:00+00:00" 56.14 56.2 53.85 54.32 7781600 45.617213156 45.6659668573 43.7564468908 44.1383508841 7781600 0.0 1.0 
"2015-10-16 00:00:00+00:00" 56.53 56.97 55.79 56.29 7342800 45.9341122143 46.2916393569 45.3329790776 45.7390974092 7342800 0.0 1.0 
"2015-10-19 00:00:00+00:00" 56.16 56.7 55.68 56.29 6463000 45.6334643898 46.0722477012 45.247497588 45.7390974092 6463000 0.0 1.0 
"2015-10-20 00:00:00+00:00" 54.83 56.38 54.63 56.15 6494600 44.5527573449 45.8121467049 44.3902450074 45.6253387729 6494600 0.0 1.0 
"2015-10-21 00:00:00+00:00" 53.83 55.61 53.07 55.28 11756500 43.7401956571 45.1865554615 43.1226487743 44.9184101045 11756500 0.0 1.0 
"2015-10-22 00:00:00+00:00" 48.27 54.44 45.45 53.88 46499200 39.2223526726 44.2358582867 36.9309287129 43.7808237415 46499200 0.0 1.0 
"2015-10-23 00:00:00+00:00" 50.34 51.73 48.64 49.41 26214800 40.9043553665 42.0338161126 39.5230004971 40.1486729968 26214800 0.0 1.0 
"2015-10-26 00:00:00+00:00" 51.87 52.48 49.35 50.17 13890400 42.1475747489 42.6412059743 40.0999192955 40.7662198795 13890400 0.0 1.0 
"2015-10-27 00:00:00+00:00" 52.58 53.49 52.01 52.01 11710800 42.7244935473 43.4639246832 42.2613333852 42.2613333852 11710800 0.0 1.0 
"2015-10-28 00:00:00+00:00" 53.26 53.84 52.08 52.82 7869000 43.277035495 43.7494588603 42.3182127033 42.9195083524 7869000 0.0 1.0 
"2015-10-29 00:00:00+00:00" 54.1 55.18 53.02 53.2 9301100 43.9595873128 44.8371539357 43.0820206899 43.2282817937 9301100 0.0 1.0 
"2015-10-30 00:00:00+00:00" 59.55 60.73 57.66 57.87 27465600 48.3880485116 49.3468713033 46.8523069216 47.022944876 27465600 0.0 1.0 
"2015-11-02 00:00:00+00:00" 63.38 64.2 61.44 61.6 17008700 51.5001597761 52.1664603601 49.9237901016 50.0537999717 17008700 0.0 1.0 
"2015-11-03 00:00:00+00:00" 62.43 63.72 61.92 63.12 8754400 50.7282261726 51.7764307499 50.3138197118 51.2888937372 8754400 0.0 1.0 
"2015-11-04 00:00:00+00:00" 63.8 64.15 62.3 62.43 10342500 51.841435685 52.1258322757 50.6225931532 50.7282261726 10342500 0.0 1.0 
"2015-11-05 00:00:00+00:00" 62.77 64.18 61.69 63.7 10237200 51.0044971465 52.1502091264 50.1269305236 51.7601795162 10237200 0.0 1.0 
"2015-11-06 00:00:00+00:00" 64.13 64.3 62.13 62.25 7252100 52.109581042 52.2477165289 50.4844576663 50.5819650688 7252100 0.0 1.0 
"2015-11-09 00:00:00+00:00" 63.23 64.13 63.11 63.62 8223300 51.3782755229 52.109581042 51.2807681203 51.6951745812 8223300 0.0 1.0 
"2015-11-10 00:00:00+00:00" 62.3 63.62 62.28 63.33 6897400 50.6225931532 51.6951745812 50.6043105152 51.4595316917 6897400 0.0 1.0 
"2015-11-11 00:00:00+00:00" 60.86 62.27 60.57 62.2 8212500 49.4525043227 50.5982163026 49.2168614332 50.5413369844 8212500 0.0 1.0 
"2015-11-12 00:00:00+00:00" 60.23 61.73 60.15 60.79 7765400 48.9405904593 50.1591892226 48.8755855243 49.3956250045 7765400 0.0 1.0 
"2015-11-13 00:00:00+00:00" 59.86 60.97 58.89 60.01 7831800 48.6399426348 49.5418861083 47.8517577976 48.761826888 7831800 0.0 1.0 
"2015-11-16 00:00:00+00:00" 60.01 60.81 59.56 59.74 6965100 48.761826888 49.4118762383 48.3961741285 48.5424352323 6965100 0.0 1.0 
"2015-11-17 00:00:00+00:00" 60.38 61.73 59.73 60.1 8405300 49.0624747125 50.1594329911 48.5343096154 48.8349574399 8405300 0.0 1.0 
"2015-11-18 00:00:00+00:00" 60.99 61.06 59.85 60.26 5470200 49.5581373421 49.6150166603 48.6318982741 48.96496731 5470200 0.0 1.0 
"2015-11-19 00:00:00+00:00" 60.55 61.73 60.14 61.22 5571200 49.2006101994 50.1594329911 48.8674599074 49.7450265303 5571200 0.0 1.0 
"2015-11-20 00:00:00+00:00" 61.11 61.36 60.57 60.94 7489700 49.6556447446 49.8587851666 49.2168614332 49.5175092577 7489700 0.0 1.0 
"2015-11-23 00:00:00+00:00" 61.15 61.53 60.84 61.31 6405000 49.6881472122 49.9969206535 49.4362530889 49.8181570822 6405000 0.0 1.0 
"2015-11-24 00:00:00+00:00" 61.13 61.65 60.53 60.56 5214500 49.6718959784 50.0944280561 49.1843589657 49.2087358163 5214500 0.0 1.0 
"2015-11-25 00:00:00+00:00" 60.29 61.13 60.21 61.1 4879800 48.9893441606 49.6718959784 48.9243392256 49.6475191278 4879800 0.0 1.0 
"2015-11-27 00:00:00+00:00" 60.0 60.45 59.61 60.17 2404100 48.7537012711 49.1193540307 48.4368022129 48.8918367581 2404100 0.0 1.0 
"2015-11-30 00:00:00+00:00" 58.15 60.21 57.96 59.96 12659100 47.2504621486 48.9243392256 47.0961566841 48.7211988036 12659100 0.0 1.0 
"2015-12-01 00:00:00+00:00" 59.02 59.1 57.16 58.23 11290200 47.957390817 48.0183329436 46.4460260776 47.3154670836 11290200 0.0 1.0 
"2015-12-02 00:00:00+00:00" 57.72 59.39 57.37 59.17 7663000 46.9010606228 48.2580386415 46.6166640321 48.0792750702 7663000 0.0 1.0 
