date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 94.51 95.11 93.2 94.99 3193091 86.6144726496 87.1643476215 85.4139122944 87.0543726271 3193091 0.0 1.0 
"2015-10-02 00:00:00+00:00" 94.91 94.98 90.82 92.34 3488852 86.9810559642 87.0452080442 83.2327415727 84.6257581681 3488852 0.0 1.0 
"2015-10-05 00:00:00+00:00" 94.99 95.83 94.01 95.34 2541998 87.0543726271 87.8241975877 86.1562435064 87.3751330273 2541998 0.0 1.0 
"2015-10-06 00:00:00+00:00" 93.03 95.9 92.27 95.47 3778003 85.2581143857 87.8883496677 84.561606088 87.4942726046 3778003 0.0 1.0 
"2015-10-07 00:00:00+00:00" 92.94 93.73 92.26 93.35 2858779 85.1756331399 85.8996351862 84.5524415052 85.5513810374 2858779 0.0 1.0 
"2015-10-08 00:00:00+00:00" 93.54 93.88 91.77 93.06 2198667 85.7255081118 86.0371039292 84.1033769448 85.2856081343 2198667 0.0 1.0 
"2015-10-09 00:00:00+00:00" 92.84 93.69 92.33 93.23 2815940 85.0839873113 85.8629768547 84.6165935852 85.441406043 2815940 0.0 1.0 
"2015-10-12 00:00:00+00:00" 93.72 93.75 92.8 93.02 1920539 85.8904706033 85.9179643519 85.0473289798 85.2489498028 1920539 0.0 1.0 
"2015-10-13 00:00:00+00:00" 94.15 95.19 93.8 93.88 3040779 86.2845476665 87.2376642844 85.9637872662 86.0371039292 3040779 0.0 1.0 
"2015-10-14 00:00:00+00:00" 93.03 94.98 92.74 94.0 2190837 85.2581143857 87.0452080442 84.9923414826 86.1470789235 2190837 0.0 1.0 
"2015-10-15 00:00:00+00:00" 94.07 94.3 92.11 93.16 2959624 86.2112310036 86.4220164095 84.4149727622 85.3772539629 2959624 0.0 1.0 
"2015-10-16 00:00:00+00:00" 95.06 95.32 94.34 94.62 1680239 87.1185247071 87.3568038616 86.4586747409 86.7152830611 1680239 0.0 1.0 
"2015-10-19 00:00:00+00:00" 94.79 95.54 94.17 94.97 1561168 86.8710809698 87.5584246846 86.3028768322 87.0360434614 1561168 0.0 1.0 
"2015-10-20 00:00:00+00:00" 93.18 95.05 92.87 94.62 2668072 85.3955831287 87.1093601243 85.1114810599 86.7152830611 2668072 0.0 1.0 
"2015-10-21 00:00:00+00:00" 92.71 93.83 91.69 93.45 2795542 84.9648477341 85.9912810148 84.0300602819 85.643026866 2795542 0.0 1.0 
"2015-10-22 00:00:00+00:00" 92.8 93.69 91.79 92.88 3213227 85.0473289798 85.8629768547 84.1217061105 85.1206456427 3213227 0.0 1.0 
"2015-10-23 00:00:00+00:00" 93.13 94.29 92.4 93.65 2596971 85.3497602143 86.4128518266 84.6807456653 85.8263185233 2596971 0.0 1.0 
"2015-10-26 00:00:00+00:00" 93.63 94.16 92.84 93.06 2502124 85.8079893576 86.2937122494 85.0839873113 85.2856081343 2502124 0.0 1.0 
"2015-10-27 00:00:00+00:00" 97.54 102.64 92.99 93.93 9731262 89.3913412575 94.0652785182 85.2214560542 86.0829268435 9731262 0.0 1.0 
"2015-10-28 00:00:00+00:00" 97.5 98.18 96.21 97.68 3478482 89.354682926 89.9778745608 88.1724517365 89.5196454176 3478482 0.0 1.0 
"2015-10-29 00:00:00+00:00" 96.82 97.538 93.02 97.27 5179667 88.7314912912 89.3895083409 85.2489498028 89.1438975201 5179667 0.0 1.0 
"2015-10-30 00:00:00+00:00" 96.51 98.49 96.4 97.27 3115065 88.4473892224 90.2619766296 88.3465788109 89.1438975201 3115065 0.0 1.0 
"2015-11-02 00:00:00+00:00" 97.83 98.05 96.56 97.51 2434245 89.6571141605 89.8587349835 88.4932121368 89.3638475089 2434245 0.0 1.0 
"2015-11-03 00:00:00+00:00" 97.67 98.17 96.77 97.44 1670818 89.5104808347 89.9687099779 88.6856683769 89.2996954288 1670818 0.0 1.0 
"2015-11-04 00:00:00+00:00" 97.47 97.95 96.69 97.67 1871021 89.3271891774 89.7670891549 88.612351714 89.5104808347 1871021 0.0 1.0 
"2015-11-05 00:00:00+00:00" 97.89 98.41 97.38 97.8 2012510 89.7121016577 90.1886599666 89.2447079316 89.6296204119 2012510 0.0 1.0 
"2015-11-06 00:00:00+00:00" 97.61 98.71 96.53 98.01 1601353 89.4554933375 90.4635974526 88.4657183882 89.8220766521 1601353 0.0 1.0 
"2015-11-09 00:00:00+00:00" 97.4 97.905 96.38 97.33 1699133 89.2630370974 89.725848532 88.3282496452 89.1988850173 1699133 0.0 1.0 
"2015-11-10 00:00:00+00:00" 98.87 99.05 97.18 97.5 1815344 90.6102307784 90.77519327 89.0614162744 89.354682926 1815344 0.0 1.0 
"2015-11-11 00:00:00+00:00" 98.24 99.64 98.15 99.41 1515599 90.032862058 91.3159036589 89.9503808122 91.1051182531 1515599 0.0 1.0 
"2015-11-12 00:00:00+00:00" 96.91 98.38 96.29 96.29 1914257 89.1255683544 90.477488543 88.5553707238 88.5553707238 1914257 0.34 1.0 
"2015-11-13 00:00:00+00:00" 96.59 97.63 96.22 96.59 1727652 88.8312728031 89.7877333448 88.490993572 88.8312728031 1727652 0.0 1.0 
"2015-11-16 00:00:00+00:00" 97.3 98.07 96.54 96.86 1829729 89.4842410575 90.1923897277 88.7852891232 89.0795846745 1829729 0.0 1.0 
"2015-11-17 00:00:00+00:00" 99.17 99.53 97.33 97.73 2315615 91.2040306852 91.5351131804 89.5118312654 89.8797007045 2315615 0.0 1.0 
"2015-11-18 00:00:00+00:00" 100.31 100.44 98.87 99.07 1988706 92.2524585866 92.3720161543 90.9281286059 91.1120633255 1988706 0.0 1.0 
"2015-11-19 00:00:00+00:00" 99.19 100.86 99.04 100.33 2044635 91.2224241572 92.7582790654 91.0844731175 92.2708520586 2044635 0.0 1.0 
"2015-11-20 00:00:00+00:00" 99.1 99.92 98.64 99.6 2299651 91.1396535334 91.8937858835 90.7166036784 91.5994903322 2299651 0.0 1.0 
"2015-11-23 00:00:00+00:00" 98.73 99.0 98.4697 99.0 1062448 90.7993743022 91.0476861736 90.5599832648 91.0476861736 1062448 0.0 1.0 
"2015-11-24 00:00:00+00:00" 98.5 98.62 97.75 98.16 1628614 90.5878493748 90.6982102065 89.8980941765 90.2751603515 1628614 0.0 1.0 
"2015-11-25 00:00:00+00:00" 98.93 99.22 97.83 99.0 2091253 90.9833090218 91.2500143651 89.9716680643 91.0476861736 2091253 0.0 1.0 
"2015-11-27 00:00:00+00:00" 98.99 99.7 98.47 99.02 775378 91.0384894376 91.691457692 90.5602591668 91.0660796456 775378 0.0 1.0 
"2015-11-30 00:00:00+00:00" 98.64 99.49 98.63 99.08 1579301 90.7166036784 91.4983262365 90.7074069425 91.1212600614 1579301 0.0 1.0 
"2015-12-01 00:00:00+00:00" 99.5 99.828 98.81 98.84 1823844 91.5075229725 91.8091759125 90.8729481901 90.900538398 1823844 0.0 1.0 
"2015-12-02 00:00:00+00:00" 98.85 100.01 98.51 99.83 1467961 90.909735134 91.9765565073 90.5970461107 91.8110152597 1467961 0.0 1.0 
"2015-12-03 00:00:00+00:00" 98.71 99.21 98.03 99.01 2629090 90.7809808303 91.2408176291 90.1556027838 91.0568829096 2629090 0.0 1.0 
"2015-12-04 00:00:00+00:00" 99.89 100.4 98.54 99.12 1697308 91.8661956756 92.3352292104 90.6246363187 91.1580470053 1697308 0.0 1.0 
"2015-12-07 00:00:00+00:00" 99.98 100.4 99.34 99.92 1265135 91.9489662994 92.3352292104 91.3603751968 91.8937858835 1265135 0.0 1.0 
"2015-12-08 00:00:00+00:00" 100.47 100.58 99.33 99.65 1716788 92.3996063623 92.500770458 91.3511784609 91.6454740121 1716788 0.0 1.0 
"2015-12-09 00:00:00+00:00" 100.67 101.01 99.37 99.53 3365962 92.5835410818 92.896230105 91.3879654048 91.5351131804 3365962 0.0 1.0 
"2015-12-10 00:00:00+00:00" 101.95 102.42 100.62 100.93 2678669 93.7607232869 94.1929698778 92.5375574019 92.8226562172 2678669 0.0 1.0 
"2015-12-11 00:00:00+00:00" 102.08 102.81 101.29 101.49 2028321 93.8802808546 94.5516425809 93.1537387124 93.3376734319 2028321 0.0 1.0 
"2015-12-14 00:00:00+00:00" 102.53 102.75 101.33 102.2 2361560 94.2941339735 94.496462165 93.1905256563 93.9906416863 2361560 0.0 1.0 
"2015-12-15 00:00:00+00:00" 101.69 103.49 101.34 103.02 2229678 93.5216081515 95.1770206274 93.1997223923 94.7447740364 2229678 0.0 1.0 
"2015-12-16 00:00:00+00:00" 101.59 102.44 100.44 102.1 1993677 93.4296407917 94.2113633498 92.3720161543 93.8986743265 1993677 0.0 1.0 
"2015-12-17 00:00:00+00:00" 102.34 102.89 101.44 101.69 2791828 94.11939599 94.6252164687 93.291689752 93.5216081515 2791828 0.0 1.0 
"2015-12-18 00:00:00+00:00" 101.88 102.61 101.24 102.13 4389687 93.696346135 94.3677078614 93.1077550325 93.9262645345 4389687 0.0 1.0 
"2015-12-21 00:00:00+00:00" 102.89 102.92 101.61 102.17 1669306 94.6252164687 94.6528066767 93.4480342637 93.9630514784 1669306 0.0 1.0 
"2015-12-22 00:00:00+00:00" 103.16 103.44 102.2 103.0 1087925 94.8735283401 95.1310369475 93.9906416863 94.7263805645 1087925 0.0 1.0 
"2015-12-23 00:00:00+00:00" 103.94 104.24 102.8001 103.15 1244544 95.5908737463 95.8667758256 94.5425378123 94.8643316041 1244544 0.0 1.0 
"2015-12-24 00:00:00+00:00" 103.95 104.19 103.52 103.71 435407 95.6000704823 95.8207921458 95.2046108353 95.3793488189 435407 0.0 1.0 
"2015-12-28 00:00:00+00:00" 104.19 104.57 103.48 103.85 804389 95.8207921458 96.1702681129 95.1678238914 95.5081031225 804389 0.0 1.0 
"2015-12-29 00:00:00+00:00" 104.77 105.35 104.2795 104.69 828491 96.3542028324 96.8876135191 95.9031029327 96.2806289446 828491 0.0 1.0 
"2015-12-30 00:00:00+00:00" 105.02 105.807 104.79 104.94 1043943 96.5841212319 97.3079043533 96.3725963044 96.510547344 1043943 0.0 1.0 
"2015-12-31 00:00:00+00:00" 103.71 105.12 103.68 104.47 1107637 95.3793488189 96.6760885916 95.3517586109 96.0783007531 1107637 0.0 1.0 
"2016-01-04 00:00:00+00:00" 101.87 102.64 101.29 102.31 2326986 93.6871493991 94.3952980693 93.1537387124 94.0918057821 2326986 0.0 1.0 
"2016-01-05 00:00:00+00:00" 103.36 103.4 101.59 102.2 2049940 95.0574630597 95.0942500036 93.4296407917 93.9906416863 2049940 0.0 1.0 
