date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 89.21 92.75 88.24 92.75 613699 89.21 92.75 88.24 92.75 613699 0.0 1.0 
"2015-10-02 00:00:00+00:00" 90.3 90.3 85.33 88.33 702341 90.3 90.3 85.33 88.33 702341 0.0 1.0 
"2015-10-05 00:00:00+00:00" 91.84 92.95 90.29 91.54 533561 91.84 92.95 90.29 91.54 533561 0.0 1.0 
"2015-10-06 00:00:00+00:00" 83.71 92.7599 82.15 91.8 943931 83.71 92.7599 82.15 91.8 943931 0.0 1.0 
"2015-10-07 00:00:00+00:00" 84.96 85.645 82.8 84.0 739585 84.96 85.645 82.8 84.0 739585 0.0 1.0 
"2015-10-08 00:00:00+00:00" 82.51 84.76 77.7 84.19 1143750 82.51 84.76 77.7 84.19 1143750 0.0 1.0 
"2015-10-09 00:00:00+00:00" 83.63 84.6578 80.46 82.21 588825 83.63 84.6578 80.46 82.21 588825 0.0 1.0 
"2015-10-12 00:00:00+00:00" 82.98 84.05 82.197 83.21 513154 82.98 84.05 82.197 83.21 513154 0.0 1.0 
"2015-10-13 00:00:00+00:00" 82.73 84.87 81.97 82.5 465779 82.73 84.87 81.97 82.5 465779 0.0 1.0 
"2015-10-14 00:00:00+00:00" 85.59 86.93 81.0041 82.96 1026027 85.59 86.93 81.0041 82.96 1026027 0.0 1.0 
"2015-10-15 00:00:00+00:00" 92.83 93.0 84.55 85.83 1449755 92.83 93.0 84.55 85.83 1449755 0.0 1.0 
"2015-10-16 00:00:00+00:00" 93.11 94.96 92.04 93.0 574832 93.11 94.96 92.04 93.0 574832 0.0 1.0 
"2015-10-19 00:00:00+00:00" 94.96 96.58 93.1428 93.25 567533 94.96 96.58 93.1428 93.25 567533 0.0 1.0 
"2015-10-20 00:00:00+00:00" 94.42 95.59 93.74 95.09 530121 94.42 95.59 93.74 95.09 530121 0.0 1.0 
"2015-10-21 00:00:00+00:00" 93.54 96.5 91.61 95.06 663293 93.54 96.5 91.61 95.06 663293 0.0 1.0 
"2015-10-22 00:00:00+00:00" 87.76 93.9 86.05 93.9 738804 87.76 93.9 86.05 93.9 738804 0.0 1.0 
"2015-10-23 00:00:00+00:00" 92.76 93.64 87.141 88.27 507587 92.76 93.64 87.141 88.27 507587 0.0 1.0 
"2015-10-26 00:00:00+00:00" 92.92 94.5399 91.69 93.01 328975 92.92 94.5399 91.69 93.01 328975 0.0 1.0 
"2015-10-27 00:00:00+00:00" 94.13 95.49 92.5 92.5 461859 94.13 95.49 92.5 92.5 461859 0.0 1.0 
"2015-10-28 00:00:00+00:00" 98.58 99.22 92.5809 94.75 776134 98.58 99.22 92.5809 94.75 776134 0.0 1.0 
"2015-10-29 00:00:00+00:00" 70.4 85.9923 68.25 84.96 6311174 70.4 85.9923 68.25 84.96 6311174 0.0 1.0 
"2015-10-30 00:00:00+00:00" 73.66 75.64 72.0 72.99 1884646 73.66 75.64 72.0 72.99 1884646 0.0 1.0 
"2015-11-02 00:00:00+00:00" 76.5 76.81 72.21 73.76 1018711 76.5 76.81 72.21 73.76 1018711 0.0 1.0 
"2015-11-03 00:00:00+00:00" 79.82 80.37 75.05 76.5 1193835 79.82 80.37 75.05 76.5 1193835 0.0 1.0 
"2015-11-04 00:00:00+00:00" 80.28 80.96 78.97 79.72 930646 80.28 80.96 78.97 79.72 930646 0.0 1.0 
"2015-11-05 00:00:00+00:00" 81.61 82.2 79.6901 80.46 744501 81.61 82.2 79.6901 80.46 744501 0.0 1.0 
"2015-11-06 00:00:00+00:00" 81.09 82.8 80.35 81.16 770644 81.09 82.8 80.35 81.16 770644 0.0 1.0 
"2015-11-09 00:00:00+00:00" 79.65 80.98 78.57 80.88 466861 79.65 80.98 78.57 80.88 466861 0.0 1.0 
"2015-11-10 00:00:00+00:00" 81.87 82.25 79.06 79.68 579350 81.87 82.25 79.06 79.68 579350 0.0 1.0 
"2015-11-11 00:00:00+00:00" 79.73 82.51 79.66 82.51 368048 79.73 82.51 79.66 82.51 368048 0.0 1.0 
"2015-11-12 00:00:00+00:00" 79.36 79.99 77.4 79.11 412627 79.36 79.99 77.4 79.11 412627 0.0 1.0 
"2015-11-13 00:00:00+00:00" 80.12 81.35 78.0 79.16 322582 80.12 81.35 78.0 79.16 322582 0.0 1.0 
"2015-11-16 00:00:00+00:00" 78.77 80.72 78.02 79.65 493235 78.77 80.72 78.02 79.65 493235 0.0 1.0 
