date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 40.76 40.8 40.18 40.35 7897000 36.8771164265 36.9133059421 36.3523684498 36.5061738913 7897000 0.0 1.0 
"2015-10-02 00:00:00+00:00" 41.38 41.41 40.16 40.25 8457500 37.4380539187 37.4651960554 36.3387973815 36.4157001022 8457500 0.0 1.0 
"2015-10-05 00:00:00+00:00" 41.39 41.78 41.02 41.62 8789300 37.4471012976 37.799949075 37.112348278 37.6551910125 8789300 0.0 1.0 
"2015-10-06 00:00:00+00:00" 39.89 41.34 39.28 41.25 11689300 36.0899944615 37.4018644031 35.5381043482 37.3204379929 11689300 0.0 1.0 
"2015-10-07 00:00:00+00:00" 40.63 40.91 40.01 40.53 9621200 36.7595005007 37.010293844 36.1985630084 36.6690267116 9621200 0.0 1.0 
"2015-10-08 00:00:00+00:00" 41.16 41.22 40.04 40.35 9859100 37.2390115828 37.2932958562 36.2302288346 36.5061738913 9859100 0.0 1.0 
"2015-10-09 00:00:00+00:00" 41.89 41.98 40.94 41.07 10400200 37.899470243 37.9808966532 37.0399692468 37.1575851726 10400200 0.0 1.0 
"2015-10-12 00:00:00+00:00" 41.57 41.75 41.3 41.63 6067700 37.609954118 37.7728974121 37.3656748875 37.6642383914 6067700 0.0 1.0 
"2015-10-13 00:00:00+00:00" 40.92 41.38 40.81 40.97 5527100 37.2390115828 37.6621821689 37.1389067129 37.2845137963 5527100 0.24 1.0 
"2015-10-14 00:00:00+00:00" 40.72 41.34 40.66 40.97 6417200 37.0570027285 37.6212301767 37.0024000722 37.2845137963 6417200 0.0 1.0 
"2015-10-15 00:00:00+00:00" 41.87 42.03 40.91 41.07 7822000 38.1035536405 38.2491607239 37.22991114 37.3755182234 7822000 0.0 1.0 
"2015-10-16 00:00:00+00:00" 42.22 42.27 41.66 42.2 6163200 38.4220691355 38.467571349 37.9123533391 38.4038682501 6163200 0.0 1.0 
"2015-10-19 00:00:00+00:00" 42.15 42.37 41.84 42.11 5531200 38.3583660365 38.5585757762 38.0762523124 38.3219642656 5531200 0.0 1.0 
"2015-10-20 00:00:00+00:00" 41.74 42.22 41.57 42.08 5882700 37.9852478852 38.4220691355 37.8305403591 38.2946629375 5882700 0.0 1.0 
"2015-10-21 00:00:00+00:00" 42.2 42.85 41.62 42.54 8896400 38.4038682501 38.9953970264 37.8760425727 38.7132833023 8896400 0.0 1.0 
"2015-10-22 00:00:00+00:00" 43.5 43.57 41.76 42.41 12440000 39.5869258028 39.6507199062 38.0034487707 38.594977547 12440000 0.0 1.0 
"2015-10-23 00:00:00+00:00" 43.6 43.86 43.19 43.52 9582700 39.6779302299 39.9145417405 39.3048120787 39.6051266882 9582700 0.0 1.0 
"2015-10-26 00:00:00+00:00" 43.61 43.82 43.42 43.58 5716400 39.6870306726 39.8781399696 39.5141222611 39.6597293445 5716400 0.0 1.0 
"2015-10-27 00:00:00+00:00" 43.88 43.98 43.5 43.54 5743600 39.9327426259 40.023747053 39.5869258028 39.6233275736 5743600 0.0 1.0 
