date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 12.57 12.57 12.12 12.16 2835345 12.57 12.57 12.12 12.16 2835345 0.0 1.0 
"2015-10-02 00:00:00+00:00" 12.52 12.555 12.28 12.41 2512460 12.52 12.555 12.28 12.41 2512460 0.0 1.0 
"2015-10-05 00:00:00+00:00" 12.31 12.76 12.28 12.61 2723658 12.31 12.76 12.28 12.61 2723658 0.0 1.0 
"2015-10-06 00:00:00+00:00" 12.17 12.31 12.09 12.31 5328278 12.17 12.31 12.09 12.31 5328278 0.0 1.0 
"2015-10-07 00:00:00+00:00" 12.49 12.49 12.11 12.19 5831741 12.49 12.49 12.11 12.19 5831741 0.0 1.0 
"2015-10-08 00:00:00+00:00" 12.72 12.73 12.37 12.5 3454949 12.72 12.73 12.37 12.5 3454949 0.0 1.0 
"2015-10-09 00:00:00+00:00" 12.83 12.9099 12.73 12.75 4957919 12.83 12.9099 12.73 12.75 4957919 0.0 1.0 
"2015-10-12 00:00:00+00:00" 12.6 12.82 12.525 12.82 1426958 12.6 12.82 12.525 12.82 1426958 0.0 1.0 
"2015-10-13 00:00:00+00:00" 12.61 12.7 12.52 12.52 2366609 12.61 12.7 12.52 12.52 2366609 0.0 1.0 
"2015-10-14 00:00:00+00:00" 12.61 12.73 12.55 12.64 907963 12.61 12.73 12.55 12.64 907963 0.0 1.0 
"2015-10-15 00:00:00+00:00" 12.49 12.69 12.48 12.63 2431674 12.49 12.69 12.48 12.63 2431674 0.0 1.0 
"2015-10-16 00:00:00+00:00" 12.435 12.58 12.4 12.53 1379956 12.435 12.58 12.4 12.53 1379956 0.0 1.0 
"2015-10-19 00:00:00+00:00" 12.54 12.59 12.33 12.33 2093855 12.54 12.59 12.33 12.33 2093855 0.0 1.0 
"2015-10-20 00:00:00+00:00" 12.5 12.585 12.41 12.54 952392 12.5 12.585 12.41 12.54 952392 0.0 1.0 
"2015-10-21 00:00:00+00:00" 12.51 12.5799 12.43 12.54 2913118 12.51 12.5799 12.43 12.54 2913118 0.0 1.0 
"2015-10-22 00:00:00+00:00" 12.59 12.61 12.39 12.39 1393137 12.59 12.61 12.39 12.39 1393137 0.0 1.0 
"2015-10-23 00:00:00+00:00" 12.72 12.77 12.57 12.62 2495858 12.72 12.77 12.57 12.62 2495858 0.0 1.0 
"2015-10-26 00:00:00+00:00" 12.77 12.805 12.7 12.7 4131773 12.77 12.805 12.7 12.7 4131773 0.0 1.0 
"2015-10-27 00:00:00+00:00" 12.445 12.75 12.37 12.73 4791680 12.445 12.75 12.37 12.73 4791680 0.0 1.0 
"2015-10-28 00:00:00+00:00" 12.77 12.79 12.45 12.45 3419526 12.77 12.79 12.45 12.45 3419526 0.0 1.0 
"2015-10-29 00:00:00+00:00" 12.93 13.039 12.74 12.75 4481320 12.93 13.039 12.74 12.75 4481320 0.0 1.0 
"2015-10-30 00:00:00+00:00" 12.79 13.05 12.77 12.93 4231434 12.79 13.05 12.77 12.93 4231434 0.0 1.0 
"2015-11-02 00:00:00+00:00" 12.78 12.9 12.71 12.79 2226058 12.78 12.9 12.71 12.79 2226058 0.0 1.0 
"2015-11-03 00:00:00+00:00" 12.88 12.97 12.71 12.85 4551303 12.88 12.97 12.71 12.85 4551303 0.0 1.0 
"2015-11-04 00:00:00+00:00" 12.82 13.105 12.82 12.88 2292341 12.82 13.105 12.82 12.88 2292341 0.0 1.0 
"2015-11-05 00:00:00+00:00" 13.71 13.73 12.76 12.89 9241417 13.71 13.73 12.76 12.89 9241417 0.0 1.0 
"2015-11-06 00:00:00+00:00" 14.06 14.12 13.79 13.9 5562700 14.06 14.12 13.79 13.9 5562700 0.0 1.0 
