date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2017-12-13 00:00:00+00:00" 25.17 25.28 25.1 25.2 40255 24.1027326134 24.2080683539 24.0357007786 24.1314605426 40255 0.0 1.0 
"2017-12-14 00:00:00+00:00" 25.01 26.25 24.98 26.25 74075 23.9495169909 25.1369380652 23.9207890617 25.1369380652 74075 0.0 1.0 
"2017-12-15 00:00:00+00:00" 25.1805 25.83 25.05 25.83 74254 24.1127873886 24.7347470562 23.9878208966 24.7347470562 74254 0.0 1.0 
"2017-12-18 00:00:00+00:00" 25.39 26.3729 25.39 25.88 29223 24.3134040943 25.2546268153 24.3134040943 24.7826269382 29223 0.0 1.0 
"2017-12-19 00:00:00+00:00" 25.5299 27.25 25.4008 25.94 31291 24.4473720043 26.0945357058 24.3237461489 24.8400827967 31291 0.0 1.0 
"2017-12-20 00:00:00+00:00" 25.5 25.86 25.43 25.86 28285 24.4187398348 24.7634749854 24.351708 24.7634749854 28285 0.0 1.0 
"2017-12-21 00:00:00+00:00" 25.52 26.67 25.52 26.0 33272 24.4378917876 25.5391290743 24.4378917876 24.8975386551 33272 0.0 1.0 
"2017-12-22 00:00:00+00:00" 25.5 26.0 25.4468 26.0 7764 24.4187398348 24.8975386551 24.3677956403 24.8975386551 7764 0.0 1.0 
"2017-12-26 00:00:00+00:00" 25.72 25.99 25.7 25.99 22403 24.6294113157 24.8879626787 24.6102593629 24.8879626787 22403 0.0 1.0 
"2017-12-27 00:00:00+00:00" 25.69 25.9999 25.68 25.83 18163 24.6435550329 24.9408317049 24.6339623684 24.7778523355 18163 0.04477 1.0 
"2017-12-28 00:00:00+00:00" 25.9682 25.99 25.81 25.98 30476 24.9104229586 24.9313349671 24.7586670066 24.9217423026 30476 0.0 1.0 
"2017-12-29 00:00:00+00:00" 26.21 26.65 26.2017 26.57 49881 25.1423735855 25.5644508224 25.134411674 25.4877095066 49881 0.0 1.0 
"2018-01-02 00:00:00+00:00" 26.66 26.85 26.375 26.74 66054 25.5740434868 25.7563041118 25.3006525493 25.6507848026 66054 0.0 1.0 
"2018-01-03 00:00:00+00:00" 26.92 27.56 26.8495 27.15 66113 25.8234527632 26.4373832895 25.7558244786 26.0440840461 66113 0.0 1.0 
"2018-01-04 00:00:00+00:00" 26.55 29.5 26.3 27.47 81702 25.4685241776 28.2983601974 25.2287075658 26.3510493092 81702 0.0 1.0 
"2018-01-05 00:00:00+00:00" 26.4 26.9 26.26 26.9 45848 25.3246342105 25.8042674342 25.1903369079 25.8042674342 45848 0.0 1.0 
"2018-01-08 00:00:00+00:00" 26.25 26.5261 26.0 26.51 24693 25.1807442434 25.4455977095 24.9409276316 25.4301535197 24693 0.0 1.0 
"2018-01-09 00:00:00+00:00" 26.2019 26.44 26.16 26.44 13460 25.1346035273 25.3630048684 25.0944102632 25.3630048684 13460 0.0 1.0 
"2018-01-10 00:00:00+00:00" 26.2111 26.34 26.0 26.34 16729 25.1434287786 25.2670782237 24.9409276316 25.2670782237 16729 0.0 1.0 
"2018-01-11 00:00:00+00:00" 26.255 26.3689 26.1604 26.25 13156 25.1855405757 25.294801024 25.0947939697 25.1807442434 13156 0.0 1.0 
"2018-01-12 00:00:00+00:00" 26.3 26.4 26.227 26.36 14974 25.2287075658 25.3246342105 25.1586811151 25.2862635526 14974 0.0 1.0 
"2018-01-16 00:00:00+00:00" 26.211 26.55 26.1783 26.55 9939 25.143332852 25.4685241776 25.1119648391 25.4685241776 9939 0.0 1.0 
"2018-01-17 00:00:00+00:00" 26.42 26.51 26.2216 26.3 21287 25.3438195395 25.4301535197 25.1535010763 25.2287075658 21287 0.0 1.0 
"2018-01-18 00:00:00+00:00" 26.1826 26.51 26.16 26.51 17425 25.1160896849 25.4301535197 25.0944102632 25.4301535197 17425 0.0 1.0 
"2018-01-19 00:00:00+00:00" 26.4356 26.5 26.2213 26.46 20628 25.3587840961 25.4205608553 25.1532132964 25.3821901974 20628 0.0 1.0 
"2018-01-22 00:00:00+00:00" 26.6299 26.64 26.5036 26.64 15708 25.5451695668 25.5548581579 25.4240142145 25.5548581579 15708 0.0 1.0 
"2018-01-23 00:00:00+00:00" 26.99 26.99 26.7068 26.9 23525 25.8906014145 25.8906014145 25.6189371566 25.8042674342 23525 0.0 1.0 
"2018-01-24 00:00:00+00:00" 26.9638 27.15 26.8647 27.0 13716 25.8654686336 26.0440840461 25.7704053286 25.9001940789 13716 0.0 1.0 
"2018-01-25 00:00:00+00:00" 26.89 27.0563 26.5 26.5 7739 25.7946747697 25.9542007799 25.4205608553 25.4205608553 7739 0.0 1.0 
"2018-01-26 00:00:00+00:00" 27.28 27.28 26.8963 27.25 12285 26.1687886842 26.1687886842 25.8007181484 26.1400106908 12285 0.0 1.0 
"2018-01-29 00:00:00+00:00" 27.09 27.32 26.9769 27.32 15003 25.9865280592 26.2071593421 25.878035024 26.2071593421 15003 0.0 1.0 
"2018-01-30 00:00:00+00:00" 26.6915 27.13 26.57 27.13 12024 25.6042603799 26.0248987171 25.4877095066 26.0248987171 12024 0.0 1.0 
"2018-01-31 00:00:00+00:00" 26.6602 26.93 26.601 26.93 8496 25.5742353401 25.8330454276 25.5174467664 25.8330454276 8496 0.0 1.0 
"2018-02-01 00:00:00+00:00" 26.62 26.85 26.58 26.85 9802 25.5356728289 25.7563041118 25.4973021711 25.7563041118 9802 0.0 1.0 
"2018-02-02 00:00:00+00:00" 26.22 26.69 26.15 26.69 13818 25.15196625 25.6028214803 25.0848175987 25.6028214803 13818 0.0 1.0 
"2018-02-05 00:00:00+00:00" 25.4302 26.13 25.304 26.13 20308 24.3943376099 25.0656322697 24.2732781842 25.0656322697 20308 0.0 1.0 
"2018-02-06 00:00:00+00:00" 25.43 25.43 25.0 25.15 21675 24.3941457566 24.3941457566 23.9816611842 24.1255511513 21675 0.0 1.0 
"2018-02-07 00:00:00+00:00" 25.3651 25.5864 25.3374 25.46 11057 24.3318893641 24.5441750289 24.3053176836 24.42292375 11057 0.0 1.0 
"2018-02-08 00:00:00+00:00" 24.96 25.45 24.96 25.45 10285 23.9432905263 24.4133310855 23.9432905263 24.4133310855 10285 0.0 1.0 
"2018-02-09 00:00:00+00:00" 24.9531 25.0 24.4479 25.0 12139 23.9366715878 23.9816611842 23.4520501786 23.9816611842 12139 0.0 1.0 
"2018-02-12 00:00:00+00:00" 25.12 25.31 24.9 25.0 6752 24.0967731579 24.2790337829 23.8857345395 23.9816611842 6752 0.0 1.0 
"2018-02-13 00:00:00+00:00" 25.137 25.26 25.0 25.26 2990 24.1130806875 24.2310704605 23.9816611842 24.2310704605 2990 0.0 1.0 
"2018-02-14 00:00:00+00:00" 25.59 25.59 25.2 25.2 3808 24.5476283882 24.5476283882 24.1735144737 24.1735144737 3808 0.0 1.0 
"2018-02-15 00:00:00+00:00" 25.99 25.99 25.44 25.74 8097 24.9313349671 24.9313349671 24.4037384211 24.6915183553 8097 0.0 1.0 
"2018-02-16 00:00:00+00:00" 26.0148 26.19 25.915 26.19 6986 24.955124775 25.1231882566 24.8593899836 25.1231882566 6986 0.0 1.0 
"2018-02-20 00:00:00+00:00" 25.73 26.21 25.6178 26.21 10423 24.6819256908 25.1423735855 24.5742959954 25.1423735855 10423 0.0 1.0 
