date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2020-05-15 00:00:00+00:00" 29.65 30.78 28.5 30.0 4936989 29.65 30.78 28.5 30.0 4936989 0.0 1.0 
"2020-05-18 00:00:00+00:00" 30.0 30.99 29.73 30.0 819800 30.0 30.99 29.73 30.0 819800 0.0 1.0 
"2020-05-19 00:00:00+00:00" 31.14 31.88 29.8001 30.03 837016 31.14 31.88 29.8001 30.03 837016 0.0 1.0 
"2020-05-20 00:00:00+00:00" 32.38 34.6899 31.2501 31.61 259888 32.38 34.6899 31.2501 31.61 259888 0.0 1.0 
"2020-05-21 00:00:00+00:00" 34.33 35.0 32.7 32.79 445162 34.33 35.0 32.7 32.79 445162 0.0 1.0 
"2020-05-22 00:00:00+00:00" 35.3 36.28 34.0 34.78 380150 35.3 36.28 34.0 34.78 380150 0.0 1.0 
"2020-05-26 00:00:00+00:00" 36.4 37.33 35.39 35.83 342639 36.4 37.33 35.39 35.83 342639 0.0 1.0 
"2020-05-27 00:00:00+00:00" 36.14 37.43 35.01 36.76 448289 36.14 37.43 35.01 36.76 448289 0.0 1.0 
"2020-05-28 00:00:00+00:00" 37.95 37.98 35.0606 36.0 279223 37.95 37.98 35.0606 36.0 279223 0.0 1.0 
"2020-05-29 00:00:00+00:00" 36.95 37.89 35.15 37.89 254097 36.95 37.89 35.15 37.89 254097 0.0 1.0 
"2020-06-01 00:00:00+00:00" 36.23 37.5594 35.39 36.79 215123 36.23 37.5594 35.39 36.79 215123 0.0 1.0 
"2020-06-02 00:00:00+00:00" 36.82 37.49 35.53 35.73 167402 36.82 37.49 35.53 35.73 167402 0.0 1.0 
"2020-06-03 00:00:00+00:00" 35.85 37.26 35.5 37.26 223872 35.85 37.26 35.5 37.26 223872 0.0 1.0 
"2020-06-04 00:00:00+00:00" 34.99 36.0 30.1 35.07 512015 34.99 36.0 30.1 35.07 512015 0.0 1.0 
"2020-06-05 00:00:00+00:00" 34.95 35.4 34.17 35.0 139796 34.95 35.4 34.17 35.0 139796 0.0 1.0 
"2020-06-08 00:00:00+00:00" 35.25 36.5258 34.54 35.49 123956 35.25 36.5258 34.54 35.49 123956 0.0 1.0 
"2020-06-09 00:00:00+00:00" 36.65 37.43 35.6001 35.75 202664 36.65 37.43 35.6001 35.75 202664 0.0 1.0 
"2020-06-10 00:00:00+00:00" 37.56 37.61 36.66 36.66 183053 37.56 37.61 36.66 36.66 183053 0.0 1.0 
"2020-06-11 00:00:00+00:00" 38.59 40.25 36.5 37.89 233168 38.59 40.25 36.5 37.89 233168 0.0 1.0 
