date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 54.94 56.54 53.71 56.35 4106810 49.0882177927 50.5177982162 47.9892278421 50.3480355409 4106810 0.0 1.0 
"2015-10-02 00:00:00+00:00" 55.69 55.69 53.7 54.0 3297011 49.7583336162 49.7583336162 47.9802929644 48.2483392938 3297011 0.0 1.0 
"2015-10-05 00:00:00+00:00" 57.43 57.81 55.92 56.18 2778610 51.3130023268 51.6525276773 49.9638358021 50.1961426209 2778610 0.0 1.0 
"2015-10-06 00:00:00+00:00" 56.89 57.715 56.32 57.38 2523484 50.8305189338 51.5676463397 50.3212309079 51.2683279385 2523484 0.0 1.0 
"2015-10-07 00:00:00+00:00" 57.87 58.06 56.64 57.6 3340281 51.7061369432 51.8758996185 50.6071469926 51.4648952468 3340281 0.0 1.0 
"2015-10-08 00:00:00+00:00" 57.72 57.99 56.59 57.95 2302969 51.5721137785 51.813355475 50.5624726044 51.7776159644 2302969 0.0 1.0 
"2015-10-09 00:00:00+00:00" 56.69 57.97 56.5 57.57 3683410 50.6518213809 51.7954857197 50.4820587056 51.4380906138 3683410 0.0 1.0 
"2015-10-12 00:00:00+00:00" 56.58 56.9 56.33 56.78 1718111 50.5535377268 50.8394538115 50.3301657856 50.7322352797 1718111 0.0 1.0 
"2015-10-13 00:00:00+00:00" 56.05 56.64 55.96 56.07 2100305 50.0799892115 50.6071469926 49.9995753126 50.0978589668 2100305 0.0 1.0 
"2015-10-14 00:00:00+00:00" 60.99 64.155 56.75 56.91 11995746 54.4938187691 57.3217075444 50.7054306468 50.8483886891 11995746 0.0 1.0 
"2015-10-15 00:00:00+00:00" 61.28 61.76 60.39 61.5 4908111 54.7529302209 55.1818043479 53.9577261103 54.9494975291 4908111 0.0 1.0 
"2015-10-16 00:00:00+00:00" 60.19 61.54 59.88 61.31 3067839 53.7790285573 54.9852370397 53.5020473503 54.7797348538 3067839 0.0 1.0 
"2015-10-19 00:00:00+00:00" 60.22 60.39 59.53 59.94 2107902 53.8058331903 53.9577261103 53.1893266326 53.5556566162 2107902 0.0 1.0 
"2015-10-20 00:00:00+00:00" 60.4 60.97 59.84 60.31 1730670 53.9666609879 54.4759490138 53.4663078397 53.8862470891 1730670 0.0 1.0 
"2015-10-21 00:00:00+00:00" 61.75 62.5 61.02 61.02 4552980 55.1728694703 55.8429852938 54.520623402 54.520623402 4552980 0.0 1.0 
"2015-10-22 00:00:00+00:00" 63.4 63.95 62.42 63.28 3499184 56.647124282 57.1385425526 55.7715062726 56.5399057503 3499184 0.0 1.0 
"2015-10-23 00:00:00+00:00" 63.62 64.112 63.1 64.04 2277020 56.8436915903 57.2832875705 56.3790779526 57.2189564514 2277020 0.0 1.0 
"2015-10-26 00:00:00+00:00" 61.53 63.39 61.44 63.25 2608671 54.976302162 56.6381894044 54.8958882632 56.5131011173 2608671 0.0 1.0 
"2015-10-27 00:00:00+00:00" 61.39 61.78 60.83 60.83 1608944 54.851213875 55.1996741032 54.3508607267 54.3508607267 1608944 0.0 1.0 
"2015-10-28 00:00:00+00:00" 61.86 63.2 60.21 62.5 4532594 55.2711531244 56.4684267291 53.7968983126 55.8429852938 4532594 0.0 1.0 
"2015-10-29 00:00:00+00:00" 59.98 60.945 59.27 59.96 2390686 53.5913961267 54.4536118197 52.9570198138 53.5735263715 2390686 0.0 1.0 
"2015-10-30 00:00:00+00:00" 60.12 60.61 59.95 60.21 2097556 53.7164844138 54.1542934185 53.5645914938 53.7968983126 2097556 0.0 1.0 
"2015-11-02 00:00:00+00:00" 60.34 60.79 59.83 60.06 1778870 53.913051722 54.3151212162 53.457372962 53.6628751479 1778870 0.0 1.0 
"2015-11-03 00:00:00+00:00" 60.66 60.94 60.22 60.22 1140542 54.1989678067 54.4491443809 53.8058331903 53.8058331903 1140542 0.0 1.0 
