date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 41.46 41.95 41.055 41.69 3802323 35.3687956094 35.7868059772 35.0232972442 35.5650045575 3802323 0.0 1.0 
"2015-10-02 00:00:00+00:00" 42.42 42.44 40.92 41.06 3009323 36.1877546973 36.204816345 34.9081311224 35.0275626561 3009323 0.0 1.0 
"2015-10-05 00:00:00+00:00" 43.64 43.71 42.7 42.7 3634341 37.2285152049 37.2882309717 36.4266177646 36.4266177646 3634341 0.0 1.0 
"2015-10-06 00:00:00+00:00" 43.64 43.79 43.29 43.55 3224853 37.2285152049 37.3564775623 36.9299363707 37.1517377904 3224853 0.0 1.0 
"2015-10-07 00:00:00+00:00" 44.31 44.82 43.71 43.91 3898286 37.8000804016 38.2351524171 37.2882309717 37.4588474483 3898286 0.0 1.0 
"2015-10-08 00:00:00+00:00" 45.13 45.205 44.04 44.28 3153665 38.4996079559 38.5635891346 37.5697481582 37.7744879301 3153665 0.0 1.0 
"2015-10-09 00:00:00+00:00" 45.42 45.53 45.03 45.07 3062899 38.747001847 38.8408409092 38.4142997176 38.4484230129 3062899 0.0 1.0 
"2015-10-12 00:00:00+00:00" 45.44 45.52 45.15 45.33 2013013 38.7640634947 38.8323100854 38.5166696036 38.6702244325 2013013 0.0 1.0 
"2015-10-13 00:00:00+00:00" 44.92 45.5001 44.85 45.17 2630403 38.3204606554 38.8153337459 38.2607448886 38.5337312512 2630403 0.0 1.0 
"2015-10-14 00:00:00+00:00" 44.96 45.41 44.66 44.85 2024129 38.3545839507 38.7384710232 38.0986592358 38.2607448886 2024129 0.0 1.0 
"2015-10-15 00:00:00+00:00" 45.56 45.56 44.94 45.18 2557542 38.8664333807 38.8664333807 38.3375223031 38.5422620751 2557542 0.0 1.0 
"2015-10-16 00:00:00+00:00" 45.96 45.98 45.25 45.65 3236326 39.207666334 39.2247279817 38.6019778419 38.9432107952 3236326 0.0 1.0 
"2015-10-19 00:00:00+00:00" 45.97 46.045 45.6 45.82 2767062 39.2161971578 39.2801783366 38.900556676 39.0882348003 2767062 0.0 1.0 
"2015-10-20 00:00:00+00:00" 45.7 45.98 45.51 45.81 2724690 38.9858649143 39.2247279817 38.8237792615 39.0797039765 2724690 0.0 1.0 
"2015-10-21 00:00:00+00:00" 45.29 45.83 45.25 45.74 2727925 38.6361011372 39.0967656242 38.6019778419 39.0199882097 2727925 0.0 1.0 
"2015-10-22 00:00:00+00:00" 46.7 46.885 45.46 45.51 3118921 39.8389472976 39.9967675385 38.7811251424 38.8237792615 3118921 0.0 1.0 
"2015-10-23 00:00:00+00:00" 46.89 46.98 46.5 46.93 2490029 40.0010329504 40.0778103649 39.6683308209 40.0351562457 2490029 0.0 1.0 
"2015-10-26 00:00:00+00:00" 46.39 46.89 46.305 46.81 1792898 39.5744917588 40.0010329504 39.5019797562 39.9327863597 1792898 0.0 1.0 
"2015-10-27 00:00:00+00:00" 46.24 46.41 45.73 46.21 2506412 39.4465294013 39.5915534064 39.0114573858 39.4209369298 2506412 0.0 1.0 
"2015-10-28 00:00:00+00:00" 46.8 47.03 46.13 46.17 2086086 39.9242555359 40.1204644841 39.3526903391 39.3868136345 2086086 0.0 1.0 
"2015-10-29 00:00:00+00:00" 45.53 46.725 45.46 46.64 4298102 38.8408409092 39.8602743572 38.7811251424 39.7877623546 4298102 0.0 1.0 
"2015-10-30 00:00:00+00:00" 45.66 46.09 45.45 45.65 3565950 38.951741619 39.3185670438 38.7725943185 38.9432107952 3565950 0.0 1.0 
"2015-11-02 00:00:00+00:00" 46.28 46.29 45.05 45.81 2975324 39.4806526966 39.4891835205 38.4313613652 39.0797039765 2975324 0.0 1.0 
"2015-11-03 00:00:00+00:00" 43.15 43.64 41.74 43.33 11417433 36.8105048371 37.2285152049 35.6076586767 36.9640596661 11417433 0.0 1.0 
"2015-11-04 00:00:00+00:00" 43.02 43.17 42.34 43.06 7007000 36.6996041272 36.8275664847 36.1195081066 36.7337274226 7007000 0.0 1.0 
"2015-11-05 00:00:00+00:00" 43.07 43.21 42.43 42.95 5405648 36.7422582464 36.8616897801 36.1962855211 36.6398883604 5405648 0.0 1.0 
"2015-11-06 00:00:00+00:00" 42.13 43.05 41.97 42.79 5716830 35.9403608062 36.7251965987 35.8038676248 36.5033951791 5716830 0.0 1.0 
"2015-11-09 00:00:00+00:00" 41.52 42.03 41.25 41.89 5039384 35.4199805524 35.8550525678 35.1896483089 35.7356210342 5039384 0.0 1.0 
"2015-11-10 00:00:00+00:00" 40.63 41.64 40.56 41.3 4419393 34.6607372313 35.5223504384 34.6010214645 35.2323024281 4419393 0.0 1.0 
"2015-11-11 00:00:00+00:00" 40.51 40.84 40.26 40.84 3651166 34.5583673453 34.8398845318 34.3450967495 34.8398845318 3651166 0.0 1.0 
"2015-11-12 00:00:00+00:00" 38.51 40.3 38.49 40.22 8312189 32.8522025788 34.3792200448 32.8351409311 34.3109734542 8312189 0.0 1.0 
"2015-11-13 00:00:00+00:00" 37.76 38.86 37.69 38.41 6555907 32.2123907914 33.1507814129 32.1526750245 32.7668943405 6555907 0.0 1.0 
