date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 80.89 81.18 80.0 80.91 2209067 72.7222359473 72.982953569 71.9221025563 72.7402164729 2209067 0.0 1.0 
"2015-10-02 00:00:00+00:00" 81.36 81.38 78.74 79.8 2738077 73.1447782998 73.1627588254 70.7893294411 71.7422972999 2738077 0.0 1.0 
"2015-10-05 00:00:00+00:00" 82.7 83.03 81.89 82.2 1904594 74.3494735176 74.6461521906 73.6212622292 73.8999603766 1904594 0.0 1.0 
"2015-10-06 00:00:00+00:00" 82.44 82.91 82.23 82.46 1887814 74.1157266843 74.5382690368 73.9269311651 74.1337072099 1887814 0.0 1.0 
"2015-10-07 00:00:00+00:00" 83.65 83.86 82.59 82.59 1717687 75.2035484855 75.3923440047 74.2505806266 74.2505806266 1717687 0.0 1.0 
"2015-10-08 00:00:00+00:00" 85.12 85.44 83.22 83.56 2131284 76.5251171199 76.8128055301 74.8169671842 75.1226361201 2131284 0.0 1.0 
"2015-10-09 00:00:00+00:00" 85.24 85.99 84.98 85.36 2190100 76.6330002738 77.3072699852 76.3992534405 76.7408834276 2190100 0.0 1.0 
"2015-10-12 00:00:00+00:00" 85.68 85.7732 85.03 85.03 1045736 77.0285718378 77.1123610873 76.4442047545 76.4442047545 1045736 0.0 1.0 
"2015-10-13 00:00:00+00:00" 85.16 85.71 84.87 85.21 1402319 76.5610781712 77.0555426263 76.3003605494 76.6060294853 1402319 0.0 1.0 
"2015-10-14 00:00:00+00:00" 85.14 85.9 84.94 85.3 1227649 76.5430976456 77.2263576198 76.3632923892 76.6869418507 1227649 0.0 1.0 
"2015-10-15 00:00:00+00:00" 85.97 85.97 84.93 85.62 1233892 77.2892894596 77.2892894596 76.3543021264 76.9746302609 1233892 0.0 1.0 
"2015-10-16 00:00:00+00:00" 86.69 86.98 85.92 86.3 1844495 77.9365883826 78.1973060044 77.2443381455 77.5859681326 1844495 0.0 1.0 
"2015-10-19 00:00:00+00:00" 87.3 87.6 86.5 86.57 1439545 78.4849944146 78.7547022992 77.765773389 77.8287052288 1439545 0.0 1.0 
"2015-10-20 00:00:00+00:00" 87.42 87.62 86.95 87.06 1309225 78.5928775684 78.7726828248 78.1703352159 78.2692281069 1309225 0.0 1.0 
"2015-10-21 00:00:00+00:00" 87.45 88.48 87.32 87.7 1609229 78.6198483569 79.5458454273 78.5029749402 78.8446049274 1609229 0.0 1.0 
"2015-10-22 00:00:00+00:00" 89.69 89.8236 87.72 87.93 2104382 80.6336672285 80.7537771397 78.862585453 79.0513809722 2104382 0.0 1.0 
"2015-10-23 00:00:00+00:00" 90.53 90.6 89.68 90.0 1833003 81.3888493053 81.451781145 80.6246769656 80.9123653759 1833003 0.0 1.0 
"2015-10-26 00:00:00+00:00" 90.11 90.67 89.73 90.23 2297383 81.0112582669 81.5147129848 80.6696282797 81.1191414207 2297383 0.0 1.0 
