date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 262.35 263.69 258.4 260.45 635301 247.7841198226 249.0497219593 244.0534269569 245.9896093302 635301 0.0 1.0 
"2015-10-02 00:00:00+00:00" 269.35 269.75 256.241 258.76 613510 254.395474268 254.7732659506 242.0142963501 244.3934394713 613510 0.0 1.0 
"2015-10-05 00:00:00+00:00" 275.77 276.18 270.05 270.97 483362 260.4590307737 260.8462672483 255.0566097125 255.9255305825 483362 0.0 1.0 
"2015-10-06 00:00:00+00:00" 275.61 277.25 274.098 274.9 488992 260.3079141006 261.8568599993 258.8798615404 259.637333864 488992 0.0 1.0 
"2015-10-07 00:00:00+00:00" 278.27 280.99 275.78 277.47 457866 262.8202287899 265.3892122315 260.4684755657 262.0646454247 457866 0.0 1.0 
"2015-10-08 00:00:00+00:00" 279.41 280.475 275.09 277.28 361085 263.8969350853 264.9028054402 259.8167849133 261.8851943755 361085 0.0 1.0 
"2015-10-09 00:00:00+00:00" 280.12 281.85 278.0 279.37 238811 264.5675153219 266.2014643491 262.5652194041 263.859155917 238811 0.0 1.0 
"2015-10-12 00:00:00+00:00" 279.0 280.9 277.41 279.85 334767 263.5096986106 265.304209103 262.0079766723 264.3125059361 334767 0.0 1.0 
"2015-10-13 00:00:00+00:00" 275.81 280.27 275.53 277.28 319089 260.4968099419 264.7091872029 260.2323557641 261.8851943755 319089 0.0 1.0 
"2015-10-14 00:00:00+00:00" 276.66 280.14 274.69 275.9 420473 261.2996172674 264.586404906 259.4389932307 260.5818130705 420473 0.0 1.0 
"2015-10-15 00:00:00+00:00" 278.18 279.81 274.91 279.0 324579 262.7352256613 264.2747267679 259.6467786561 263.5096986106 324579 0.0 1.0 
"2015-10-16 00:00:00+00:00" 278.16 279.39 276.3 279.05 264573 262.7163360772 263.8780455012 260.9596047531 263.556922571 264573 0.0 1.0 
"2015-10-19 00:00:00+00:00" 280.07 280.72 276.073 276.83 315991 264.5202913616 265.1342028458 260.7452079732 261.4601787326 315991 0.0 1.0 
"2015-10-20 00:00:00+00:00" 280.99 281.62 277.69 280.1 386103 265.3892122315 265.9842341316 262.2724308501 264.5486257378 386103 0.0 1.0 
"2015-10-21 00:00:00+00:00" 275.93 282.36 273.75 282.36 545304 260.6101474467 266.6831487444 258.5511827766 266.6831487444 545304 0.0 1.0 
"2015-10-22 00:00:00+00:00" 294.49 298.06 283.35 285.15 950323 278.1396815192 281.5114722863 267.6181831589 269.3182457305 950323 0.0 1.0 
"2015-10-23 00:00:00+00:00" 295.87 297.37 291.91 296.11 758706 279.4430628241 280.8597816338 275.7029251664 279.6697378337 758706 0.0 1.0 
"2015-10-26 00:00:00+00:00" 294.92 296.62 293.86 295.03 470805 278.5458075779 280.151422229 277.5446596191 278.6497002907 470805 0.0 1.0 
"2015-10-27 00:00:00+00:00" 293.55 295.99 291.998 293.13 297687 277.2518710651 279.5564003289 275.7860393366 276.8551897983 297687 0.0 1.0 
"2015-10-28 00:00:00+00:00" 298.27 298.37 292.19 294.01 304315 281.7098129197 281.8042608403 275.9673793442 277.6863315 304315 0.0 1.0 
"2015-10-29 00:00:00+00:00" 297.85 299.11 295.6 297.89 415416 281.313131653 282.5031754531 279.1880534384 281.3509108212 415416 0.0 1.0 
"2015-10-30 00:00:00+00:00" 297.31 300.56 297.015 298.53 308774 280.8031128815 283.8726703026 280.5244915155 281.9553775134 308774 0.0 1.0 
"2015-11-02 00:00:00+00:00" 298.42 301.11 296.19 296.19 332833 281.8514848007 284.3921338661 279.7452961702 279.7452961702 332833 0.0 1.0 
"2015-11-03 00:00:00+00:00" 300.59 302.24 293.87 297.65 403783 283.9010046787 285.4593953695 277.5541044111 281.1242358117 403783 0.0 1.0 
"2015-11-04 00:00:00+00:00" 301.87 303.75 299.6401 301.14 448578 285.1099380631 286.8855589713 283.0038438805 284.4204682423 448578 0.0 1.0 
"2015-11-05 00:00:00+00:00" 299.11 301.85 298.46 300.83 439199 282.5031754531 285.0910484789 281.8892639689 284.1276796883 439199 0.0 1.0 
"2015-11-06 00:00:00+00:00" 297.95 301.78 295.03 300.96 347185 281.4075795736 285.0249349345 278.6497002907 284.2504619851 347185 0.0 1.0 
"2015-11-09 00:00:00+00:00" 296.73 298.965 292.52 297.05 422620 280.2553149417 282.3662259682 276.2790574824 280.5575482878 422620 0.0 1.0 
"2015-11-10 00:00:00+00:00" 297.57 298.73 294.74 295.77 343226 281.0486774751 282.1442733547 278.3758013208 279.3486149035 343226 0.0 1.0 
"2015-11-11 00:00:00+00:00" 294.73 298.92 293.75 298.92 335112 278.3663565287 282.3237244039 277.4407669064 282.3237244039 335112 0.0 1.0 
"2015-11-12 00:00:00+00:00" 290.82 294.55 290.82 293.13 423707 274.6734428313 278.1963502715 274.6734428313 276.8551897983 423707 0.0 1.0 
"2015-11-13 00:00:00+00:00" 286.35 290.67 285.31 290.0 449327 270.4516207783 274.5317709504 269.4693624036 273.898969882 449327 0.0 1.0 
"2015-11-16 00:00:00+00:00" 287.14 288.44 284.7 285.7 438164 271.1977593515 272.4255823199 268.8932300876 269.8377092941 438164 0.0 1.0 
"2015-11-17 00:00:00+00:00" 284.49 288.57 283.8 287.75 525240 268.6948894543 272.5483646167 268.0431988018 271.7738916674 525240 0.0 1.0 
