date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 43.14 44.35 42.78 43.68 7593804 43.14 44.35 42.78 43.68 7593804 0.0 1.0 
"2015-10-02 00:00:00+00:00" 44.0 44.04 42.06 42.6 4404520 44.0 44.04 42.06 42.6 4404520 0.0 1.0 
"2015-10-05 00:00:00+00:00" 44.29 44.57 43.99 44.3 2982057 44.29 44.57 43.99 44.3 2982057 0.0 1.0 
"2015-10-06 00:00:00+00:00" 44.8 44.84 43.7743 44.21 4756410 44.8 44.84 43.7743 44.21 4756410 0.0 1.0 
"2015-10-07 00:00:00+00:00" 45.9 45.96 44.8 44.83 3918588 45.9 45.96 44.8 44.83 3918588 0.0 1.0 
"2015-10-08 00:00:00+00:00" 47.31 47.405 45.87 45.88 3120639 47.31 47.405 45.87 45.88 3120639 0.0 1.0 
"2015-10-09 00:00:00+00:00" 51.57 51.67 47.39 47.41 9182547 51.57 51.67 47.39 47.41 9182547 0.0 1.0 
"2015-10-12 00:00:00+00:00" 51.55 51.77 50.78 51.38 4496355 51.55 51.77 50.78 51.38 4496355 0.0 1.0 
"2015-10-13 00:00:00+00:00" 52.08 52.53 51.02 51.42 4986405 52.08 52.53 51.02 51.42 4986405 0.0 1.0 
"2015-10-14 00:00:00+00:00" 51.37 52.15 51.24 52.1 2647867 51.37 52.15 51.24 52.1 2647867 0.0 1.0 
"2015-10-15 00:00:00+00:00" 52.16 52.385 51.53 51.53 1869795 52.16 52.385 51.53 51.53 1869795 0.0 1.0 
"2015-10-16 00:00:00+00:00" 52.04 52.54 51.57 52.37 3564670 52.04 52.54 51.57 52.37 3564670 0.0 1.0 
"2015-10-19 00:00:00+00:00" 52.44 52.7431 51.66 51.91 3104103 52.44 52.7431 51.66 51.91 3104103 0.0 1.0 
"2015-10-20 00:00:00+00:00" 52.0 52.34 51.69 51.99 2466624 52.0 52.34 51.69 51.99 2466624 0.0 1.0 
"2015-10-21 00:00:00+00:00" 51.13 52.39 51.08 52.34 1692557 51.13 52.39 51.08 52.34 1692557 0.0 1.0 
"2015-10-22 00:00:00+00:00" 52.59 53.321 51.5 51.5 2456543 52.59 53.321 51.5 51.5 2456543 0.0 1.0 
"2015-10-23 00:00:00+00:00" 52.39 52.8447 51.86 52.8 2569054 52.39 52.8447 51.86 52.8 2569054 0.0 1.0 
"2015-10-26 00:00:00+00:00" 53.61 53.67 52.94 53.24 3245609 53.61 53.67 52.94 53.24 3245609 0.0 1.0 
"2015-10-27 00:00:00+00:00" 54.1 54.13 53.18 53.44 3133666 54.1 54.13 53.18 53.44 3133666 0.0 1.0 
"2015-10-28 00:00:00+00:00" 55.5 55.82 53.95 54.24 3951354 55.5 55.82 53.95 54.24 3951354 0.0 1.0 
"2015-10-29 00:00:00+00:00" 55.06 55.31 54.82 55.21 2054933 55.06 55.31 54.82 55.21 2054933 0.0 1.0 
"2015-10-30 00:00:00+00:00" 55.19 55.6 53.0 53.07 3081987 55.19 55.6 53.0 53.07 3081987 0.0 1.0 
