date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2018-01-19 00:00:00+00:00" 12.39 12.97 12.0 12.65 68187400 10.8695968827 11.3784238554 10.5274546079 11.0976917325 68187400 0.0 1.0 
"2018-01-22 00:00:00+00:00" 11.45 12.18 11.12 12.12 26132855 10.0449462717 10.6853664271 9.75544127 10.632729154 26132855 0.0 1.0 
"2018-01-23 00:00:00+00:00" 11.91 12.12 11.45 11.47 8272057 10.4484986984 10.632729154 10.0449462717 10.0624920294 8272057 0.0 1.0 
"2018-01-24 00:00:00+00:00" 11.91 12.1443 11.3 11.91 10369003 10.4484986984 10.6540472496 9.9133530891 10.4484986984 10369003 0.0 1.0 
"2018-01-25 00:00:00+00:00" 11.9 11.94 11.6 11.91 9448552 10.4397258195 10.4748173349 10.1765394543 10.4484986984 9448552 0.0 1.0 
"2018-01-26 00:00:00+00:00" 11.9 11.92 11.75 11.81 7910563 10.4397258195 10.4572715772 10.3081326369 10.36076991 7910563 0.0 1.0 
"2018-01-29 00:00:00+00:00" 12.08 12.23 11.85 11.89 9508361 10.5976376387 10.7292308213 10.3958614253 10.4309529407 9508361 0.0 1.0 
"2018-01-30 00:00:00+00:00" 12.4 12.4 11.91 12.0 5639085 10.8783697615 10.8783697615 10.4484986984 10.5274546079 5639085 0.0 1.0 
"2018-01-31 00:00:00+00:00" 12.48 12.57 12.4 12.46 6624857 10.9485527923 11.0275087018 10.8783697615 10.9310070346 6624857 0.0 1.0 
"2018-02-01 00:00:00+00:00" 12.75 12.81 12.45 12.48 6075130 11.1854205209 11.238057794 10.9222341557 10.9485527923 6075130 0.0 1.0 
"2018-02-02 00:00:00+00:00" 12.86 12.95 12.6 12.64 6012350 11.2819221882 11.3608780977 11.0538273383 11.0889188537 6012350 0.0 1.0 
"2018-02-05 00:00:00+00:00" 12.64 12.85 12.46 12.8 4006403 11.0889188537 11.2731493093 10.9310070346 11.2292849151 4006403 0.0 1.0 
"2018-02-06 00:00:00+00:00" 12.3 12.5 12.14 12.2 4608500 10.7906409731 10.9660985499 10.6502749117 10.7029121847 4608500 0.0 1.0 
"2018-02-07 00:00:00+00:00" 12.51 12.54 12.2 12.22 2671197 10.9748714288 11.0011900653 10.7029121847 10.7204579424 2671197 0.0 1.0 
"2018-02-08 00:00:00+00:00" 12.37 12.57 12.27 12.57 4065769 10.852051125 11.0275087018 10.7643223366 11.0275087018 4065769 0.0 1.0 
"2018-02-09 00:00:00+00:00" 12.64 12.68 12.15 12.39 4091483 11.0889188537 11.1240103691 10.6590477905 10.8695968827 4091483 0.0 1.0 
"2018-02-12 00:00:00+00:00" 12.68 12.77 12.47 12.64 2783082 11.1240103691 11.2029662786 10.9397799134 11.0889188537 2783082 0.0 1.0 
"2018-02-13 00:00:00+00:00" 12.15 13.02 12.09 13.0 6081717 10.6590477905 11.4222882496 10.6064105175 11.4047424919 6081717 0.0 1.0 
"2018-02-14 00:00:00+00:00" 11.94 12.19 11.77 12.18 5808108 10.4748173349 10.6941393059 10.3256783946 10.6853664271 5808108 0.0 1.0 
"2018-02-15 00:00:00+00:00" 11.69 11.979 11.18 11.94 5526800 10.2554953639 10.5090315624 9.8080785431 10.4748173349 5526800 0.0 1.0 
"2018-02-16 00:00:00+00:00" 11.58 11.9 11.555 11.76 1617400 10.1589936967 10.4397258195 10.1370614996 10.3169055158 1617400 0.0 1.0 
"2018-02-20 00:00:00+00:00" 11.59 11.69 11.42 11.53 1824463 10.1677665755 10.2554953639 10.0186276352 10.1151293025 1824463 0.0 1.0 
"2018-02-21 00:00:00+00:00" 11.65 11.73 11.55 11.67 2562499 10.2204038485 10.2905868793 10.1326750601 10.2379496062 2562499 0.0 1.0 
