date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 41.78 42.44 41.46 42.31 1971931 35.85106843 36.4174089078 35.5764791074 36.3058569955 1971931 0.0 1.0 
"2015-10-02 00:00:00+00:00" 42.32 42.32 41.65 42.2 1043187 36.3144379118 36.3144379118 35.7395165177 36.2114669159 1043187 0.0 1.0 
"2015-10-05 00:00:00+00:00" 42.62 42.74 42.04 42.45 1146515 36.5718654017 36.6748363977 36.0741722546 36.4259898241 1146515 0.0 1.0 
"2015-10-06 00:00:00+00:00" 42.31 42.67 42.08 42.54 917546 36.3058569955 36.6147699834 36.1084959199 36.5032180711 917546 0.0 1.0 
"2015-10-07 00:00:00+00:00" 42.21 42.51 42.07 42.44 1029438 36.2200478322 36.4774753221 36.0999150036 36.4174089078 1029438 0.0 1.0 
"2015-10-08 00:00:00+00:00" 43.12 43.21 42.0018 42.1 1970749 37.0009112183 37.0781394653 36.0413931542 36.1256577525 1970749 0.0 1.0 
"2015-10-09 00:00:00+00:00" 43.12 43.24 42.78 43.13 2145471 37.0009112183 37.1038822143 36.709160063 37.0094921346 2145471 0.0 1.0 
"2015-10-12 00:00:00+00:00" 43.72 43.74 43.14 43.2 1436304 37.5157661981 37.5329280308 37.0180730509 37.0695585489 1436304 0.0 1.0 
"2015-10-13 00:00:00+00:00" 43.65 43.8 43.32 43.61 2277325 37.4556997838 37.5844135288 37.1725295449 37.4213761185 2277325 0.0 1.0 
"2015-10-14 00:00:00+00:00" 43.39 43.96 43.34 43.72 1509361 37.2325959592 37.7217081901 37.1896913776 37.5157661981 1509361 0.0 1.0 
"2015-10-15 00:00:00+00:00" 43.94 44.06 43.39 43.6 927611 37.7045463574 37.8075173534 37.2325959592 37.4127952022 927611 0.0 1.0 
"2015-10-16 00:00:00+00:00" 44.1 44.44 43.91 44.17 1079426 37.8418410187 38.1335921739 37.6788036084 37.901907433 1079426 0.0 1.0 
"2015-10-19 00:00:00+00:00" 44.29 44.3 43.74 43.97 1294614 38.004878429 38.0134593453 37.5329280308 37.7302891064 1294614 0.0 1.0 
"2015-10-20 00:00:00+00:00" 44.32 44.515 43.9701 44.15 1052211 38.030621178 38.1979490464 37.7303749156 37.8847456004 1052211 0.0 1.0 
"2015-10-21 00:00:00+00:00" 44.15 44.65 44.08 44.45 944143 37.8847456004 38.3137914169 37.824679186 38.1421730903 944143 0.0 1.0 
"2015-10-22 00:00:00+00:00" 44.5 44.61 44.19 44.23 1422403 38.1850776719 38.2794677516 37.9190692657 37.953392931 1422403 0.0 1.0 
"2015-10-23 00:00:00+00:00" 43.99 44.56 43.6785 44.41 1303900 37.7474509391 38.2365631699 37.4801553954 38.107849425 1303900 0.0 1.0 
"2015-10-26 00:00:00+00:00" 44.41 44.43 43.72 44.06 1542621 38.107849425 38.1250112576 37.5157661981 37.8075173534 1542621 0.0 1.0 
"2015-10-27 00:00:00+00:00" 44.49 44.68 44.25 44.27 1327548 38.1764967556 38.3395341659 37.9705547637 37.9877165963 1327548 0.0 1.0 
"2015-10-28 00:00:00+00:00" 44.03 44.71 43.51 44.44 1519727 37.7817746044 38.3652769149 37.3355669552 38.1335921739 1519727 0.0 1.0 
"2015-10-29 00:00:00+00:00" 43.41 43.87 42.95 43.82 1850366 37.2497577919 37.6444799431 36.8550356407 37.6015753614 1850366 0.0 1.0 
"2015-10-30 00:00:00+00:00" 43.68 43.851 43.34 43.58 1428766 37.4814425328 37.6281762021 37.1896913776 37.3956333695 1428766 0.0 1.0 
"2015-11-02 00:00:00+00:00" 43.92 44.02 43.39 43.7 1430881 37.6873845247 37.7731936881 37.2325959592 37.4986043655 1430881 0.0 1.0 
"2015-11-03 00:00:00+00:00" 43.87 43.97 43.5465 43.76 1174052 37.6444799431 37.7302891064 37.3668872998 37.5500898635 1174052 0.0 1.0 
"2015-11-04 00:00:00+00:00" 44.21 44.32 43.89 43.89 1063052 37.9362310983 38.030621178 37.6616417758 37.6616417758 1063052 0.0 1.0 
"2015-11-05 00:00:00+00:00" 44.02 44.455 43.94 44.15 1774900 37.7731936881 38.1464635484 37.7045463574 37.8847456004 1774900 0.0 1.0 
"2015-11-06 00:00:00+00:00" 42.55 44.49 42.18 43.77 2445435 36.5117989874 38.1764967556 36.1943050832 37.5586707798 2445435 0.0 1.0 
"2015-11-09 00:00:00+00:00" 43.14 43.23 41.88 42.35 2139773 37.0180730509 37.0953012979 35.9368775933 36.3401806608 2139773 0.0 1.0 
"2015-11-10 00:00:00+00:00" 43.81 43.88 43.09 43.09 1639835 37.5929944451 37.6530608594 36.9751684693 36.9751684693 1639835 0.0 1.0 
"2015-11-11 00:00:00+00:00" 44.22 44.4 43.88 43.9 1546644 37.9448120147 38.0992685086 37.6530608594 37.6702226921 1546644 0.0 1.0 
"2015-11-12 00:00:00+00:00" 43.5 44.51 43.41 44.2 2066332 37.3269860389 38.1936585883 37.2497577919 37.927650182 2066332 0.0 1.0 
"2015-11-13 00:00:00+00:00" 43.13 44.09 43.01 43.63 2073208 37.0094921346 37.8332601024 36.9065211386 37.4385379512 2073208 0.0 1.0 
"2015-11-16 00:00:00+00:00" 43.93 43.95 43.02 43.24 3025118 37.6959654411 37.7131272737 36.915102055 37.1038822143 3025118 0.0 1.0 
"2015-11-17 00:00:00+00:00" 42.86 44.33 42.74 43.82 3251596 36.7778073937 38.0392020943 36.6748363977 37.6015753614 3251596 0.0 1.0 
"2015-11-18 00:00:00+00:00" 43.22 43.29 42.37 42.83 2386037 37.0867203816 37.1467867959 36.3573424935 36.7520646447 2386037 0.0 1.0 
"2015-11-19 00:00:00+00:00" 43.7 43.91 43.37 43.42 2279994 37.4986043655 37.6788036084 37.2154341266 37.2583387082 2279994 0.0 1.0 
"2015-11-20 00:00:00+00:00" 44.11 44.34 43.875 43.93 2942844 37.850421935 38.0477830106 37.6487704013 37.6959654411 2942844 0.0 1.0 
"2015-11-23 00:00:00+00:00" 43.34 44.17 43.26 44.03 1592266 37.1896913776 37.901907433 37.1210440469 37.7817746044 1592266 0.0 1.0 
"2015-11-24 00:00:00+00:00" 43.22 43.34 42.75 43.17 1455226 37.0867203816 37.1896913776 36.683417314 37.0438157999 1455226 0.0 1.0 
"2015-11-25 00:00:00+00:00" 43.16 43.37 43.05 43.24 1158337 37.0352348836 37.2154341266 36.940844804 37.1038822143 1158337 0.0 1.0 
"2015-11-27 00:00:00+00:00" 43.31 43.45 43.11 43.28 657853 37.1639486286 37.2840814572 36.992330302 37.1382058796 657853 0.0 1.0 
"2015-11-30 00:00:00+00:00" 43.76 44.07 43.42 43.45 2954162 37.5500898635 37.8160982697 37.2583387082 37.2840814572 2954162 0.0 1.0 
"2015-12-01 00:00:00+00:00" 43.83 44.09 43.45 44.0 1960669 37.6101562778 37.8332601024 37.2840814572 37.7560318554 1960669 0.0 1.0 
"2015-12-02 00:00:00+00:00" 42.83 43.94 42.77 43.94 1928021 36.7520646447 37.7045463574 36.7005791467 37.7045463574 1928021 0.0 1.0 
"2015-12-03 00:00:00+00:00" 42.25 42.82 41.98 42.64 3152064 36.2543714975 36.7434837284 36.0226867566 36.5890272344 3152064 0.0 1.0 
"2015-12-04 00:00:00+00:00" 43.34 43.38 42.44 42.48 2710998 37.1896913776 37.2240150429 36.4174089078 36.4517325731 2710998 0.0 1.0 
"2015-12-07 00:00:00+00:00" 42.97 43.02 42.5999 42.8 1885106 37.2368864174 37.280215352 36.9161656433 37.0895680397 1885106 0.425 1.0 
"2015-12-08 00:00:00+00:00" 42.74 43.07 42.43 42.89 2339144 37.0375733181 37.3235442866 36.7689339234 37.167560122 2339144 0.0 1.0 
"2015-12-09 00:00:00+00:00" 42.58 43.0 42.37 42.52 2099757 36.8989207273 37.2628837782 36.7169392019 36.8469260058 2099757 0.0 1.0 
"2015-12-10 00:00:00+00:00" 41.71 42.66 41.55 42.58 1968124 36.1449972648 36.9682470227 36.006344674 36.8989207273 1968124 0.0 1.0 
"2015-12-11 00:00:00+00:00" 41.72 42.08 41.33 41.52 1658358 36.1536630517 36.465631381 35.8156973617 35.9803473132 1658358 0.0 1.0 
"2015-12-14 00:00:00+00:00" 41.8 41.89 41.41 41.7 2144710 36.2229893471 36.3009814295 35.8850236571 36.1363314779 2144710 0.0 1.0 
"2015-12-15 00:00:00+00:00" 41.94 42.27 41.81 42.0 1864660 36.3443103641 36.6302813326 36.2316551341 36.3963050856 1864660 0.0 1.0 
"2015-12-16 00:00:00+00:00" 43.0 43.12 42.04 42.26 1793991 37.2628837782 37.3668732213 36.4309682333 36.6216155457 1793991 0.0 1.0 
"2015-12-17 00:00:00+00:00" 44.03 44.06 43.0 43.06 3129762 38.1554598315 38.1814571922 37.2628837782 37.3148784997 3129762 0.0 1.0 
"2015-12-18 00:00:00+00:00" 43.2 43.85 43.01 43.79 3470194 37.4361995167 37.9994756668 37.2715495651 37.9474809452 3470194 0.0 1.0 
"2015-12-21 00:00:00+00:00" 42.86 43.53 42.655 43.28 1474312 37.1415627612 37.7221704852 36.9639141292 37.5055258121 1474312 0.0 1.0 
"2015-12-22 00:00:00+00:00" 43.2 43.29 42.44 42.98 1520801 37.4361995167 37.514191599 36.7775997104 37.2455522043 1520801 0.0 1.0 
"2015-12-23 00:00:00+00:00" 43.85 43.95 43.34 43.36 1120157 37.9994756668 38.086133536 37.5575205336 37.5748521075 1120157 0.0 1.0 
"2015-12-24 00:00:00+00:00" 43.68 43.8107 43.59 43.76 345780 37.8521572891 37.9654191242 37.7741652067 37.9214835845 345780 0.0 1.0 
"2015-12-28 00:00:00+00:00" 44.04 44.05 43.57 43.61 891019 38.1641256184 38.1727914053 37.7568336329 37.7914967806 891019 0.0 1.0 
"2015-12-29 00:00:00+00:00" 44.12 44.44 44.02 44.15 1071165 38.2334519138 38.5107570954 38.1467940445 38.2594492746 1071165 0.0 1.0 
"2015-12-30 00:00:00+00:00" 44.0 44.37 43.92 44.18 994282 38.1294624707 38.4500965869 38.0601361753 38.2854466353 994282 0.0 1.0 
"2015-12-31 00:00:00+00:00" 43.23 44.0 42.92 43.95 2080411 37.4621968774 38.1294624707 37.1935574828 38.086133536 2080411 0.0 1.0 
"2016-01-04 00:00:00+00:00" 43.03 43.22 42.58 43.13 2664386 37.2888811389 37.4535310905 36.8989207273 37.3755390082 2664386 0.0 1.0 
"2016-01-05 00:00:00+00:00" 43.54 43.59 42.35 43.02 2295771 37.7308362721 37.7741652067 36.699607628 37.280215352 2295771 0.0 1.0 
"2016-01-06 00:00:00+00:00" 43.82 43.93 43.15 43.24 1974493 37.973478306 38.0688019622 37.392870582 37.4708626644 1974493 0.0 1.0 
"2016-01-07 00:00:00+00:00" 43.85 44.075 43.4 43.47 3190229 37.9994756668 38.1944558726 37.6095152552 37.6701757636 3190229 0.0 1.0 
"2016-01-08 00:00:00+00:00" 43.51 44.05 43.43 43.88 2139259 37.7048389113 38.1727914053 37.6355126159 38.0254730276 2139259 0.0 1.0 
"2016-01-11 00:00:00+00:00" 43.52 43.85 43.41 43.54 2238007 37.7135046983 37.9994756668 37.6181810421 37.7308362721 2238007 0.0 1.0 
"2016-01-12 00:00:00+00:00" 43.38 43.64 42.98 43.64 1797115 37.5921836813 37.8174941414 37.2455522043 37.8174941414 1797115 0.0 1.0 
"2016-01-13 00:00:00+00:00" 43.14 43.745 43.05 43.54 2263296 37.3842047951 37.9084849041 37.3062127128 37.7308362721 2263296 0.0 1.0 
"2016-01-14 00:00:00+00:00" 43.71 43.97 42.86 43.06 1493928 37.8781546498 38.1034651099 37.1415627612 37.3148784997 1493928 0.0 1.0 
"2016-01-15 00:00:00+00:00" 43.51 43.695 42.91 43.12 2010061 37.7048389113 37.8651559695 37.1848916958 37.3668732213 2010061 0.0 1.0 
"2016-01-19 00:00:00+00:00" 43.45 44.0 43.14 44.0 4015774 37.6528441898 38.1294624707 37.3842047951 38.1294624707 4015774 0.0 1.0 
"2016-01-20 00:00:00+00:00" 42.33 43.5 41.5 43.39 3700042 36.6822760542 37.6961731244 35.9630157394 37.6008494682 3700042 0.0 1.0 
"2016-01-21 00:00:00+00:00" 42.13 42.515 41.76 42.33 2107481 36.5089603157 36.8425931123 36.1883261994 36.6822760542 2107481 0.0 1.0 
"2016-01-22 00:00:00+00:00" 42.95 43.015 42.1 42.35 1872170 37.2195548435 37.2758824585 36.4829629549 36.699607628 1872170 0.0 1.0 
"2016-01-25 00:00:00+00:00" 42.67 43.09 42.5375 43.06 1783624 36.9769128096 37.3408758605 36.8620911329 37.3148784997 1783624 0.0 1.0 
"2016-01-26 00:00:00+00:00" 42.76 43.42 42.55 42.76 1621663 37.054904892 37.626846829 36.8729233665 37.054904892 1621663 0.0 1.0 
"2016-01-27 00:00:00+00:00" 43.2 43.456 42.54 42.78 1851402 37.4361995167 37.6580436619 36.8642575796 37.0722364658 1851402 0.0 1.0 
"2016-01-28 00:00:00+00:00" 43.85 44.1 42.75 43.14 1537346 37.9994756668 38.2161203399 37.046239105 37.3842047951 1537346 0.0 1.0 
"2016-01-29 00:00:00+00:00" 44.92 44.97 44.08 44.3 2402573 38.9267148678 38.9700438024 38.1987887661 38.3894360784 2402573 0.0 1.0 
"2016-02-01 00:00:00+00:00" 45.66 45.81 44.69 44.73 1843338 39.5679831003 39.6979699041 38.7274017685 38.7620649162 1843338 0.0 1.0 
"2016-02-02 00:00:00+00:00" 46.38 46.5 45.33 45.53 2622125 40.1919197589 40.295909202 39.2820121317 39.4553278702 2622125 0.0 1.0 
"2016-02-03 00:00:00+00:00" 47.33 47.9 46.73 46.77 4515605 41.0151695168 41.5091193715 40.4952223012 40.5298854489 4515605 0.0 1.0 
"2016-02-04 00:00:00+00:00" 46.53 47.39 46.26 47.16 3032003 40.3219065627 41.0671642383 40.0879303158 40.867851139 3032003 0.0 1.0 
"2016-02-05 00:00:00+00:00" 46.49 46.74 45.54 46.18 2971739 40.287243415 40.5038880882 39.4639936571 40.0186040204 2971739 0.0 1.0 
