date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 56.14 57.0 55.79 56.92 4215622 47.2678612565 47.9919503317 46.9731738422 47.9245932084 4215622 0.0 1.0 
"2015-10-02 00:00:00+00:00" 56.32 56.76 55.69 56.73 5169239 47.4194147839 47.7898789619 46.8889774381 47.7646200406 5169239 0.0 1.0 
"2015-10-05 00:00:00+00:00" 57.46 57.59 56.44 56.67 3007276 48.3792537905 48.4887091158 47.5204504688 47.7141021982 3007276 0.0 1.0 
"2015-10-06 00:00:00+00:00" 56.62 57.44 56.43 57.23 3101543 47.6720039961 48.3624145097 47.5120308284 48.1856020611 3101543 0.0 1.0 
"2015-10-07 00:00:00+00:00" 56.04 56.8 55.95 56.76 4484195 47.1836648524 47.8235575235 47.1078880887 47.7898789619 4484195 0.0 1.0 
"2015-10-08 00:00:00+00:00" 56.87 56.96 55.94 56.01 3398340 47.8824950064 47.95827177 47.0994684483 47.1584059312 3398340 0.0 1.0 
"2015-10-09 00:00:00+00:00" 56.74 57.04 56.5101 56.9 2042989 47.773039681 48.0256288933 47.579472148 47.9077539276 2042989 0.0 1.0 
"2015-10-12 00:00:00+00:00" 57.56 57.74 56.8 56.8 2270673 48.4634501946 48.615003722 47.8235575235 47.8235575235 2270673 0.0 1.0 
"2015-10-13 00:00:00+00:00" 57.65 57.8559 57.26 57.46 2143503 48.5392269583 48.7125873543 48.2108609823 48.3792537905 2143503 0.0 1.0 
"2015-10-14 00:00:00+00:00" 58.15 58.395 57.6 57.67 3887512 48.9602089787 49.1664901687 48.4971287562 48.5560662391 3887512 0.0 1.0 
"2015-10-15 00:00:00+00:00" 58.72 58.81 57.89 58.35 2754864 49.440128482 49.5159052457 48.7412983281 49.1286017869 2754864 0.0 1.0 
"2015-10-16 00:00:00+00:00" 58.54 59.04 58.265 59.0 3034276 49.2885749547 49.7095569751 49.0570348434 49.6758784135 3034276 0.0 1.0 
"2015-10-19 00:00:00+00:00" 58.59 58.67 57.83 58.46 2892086 49.3306731567 49.39803028 48.6907804856 49.2212178314 2892086 0.0 1.0 
"2015-10-20 00:00:00+00:00" 58.66 59.23 58.22 58.51 3125162 49.3896106396 49.8695301429 49.0191464616 49.2633160334 3125162 0.0 1.0 
"2015-10-21 00:00:00+00:00" 58.94 59.52 58.72 58.96 3321487 49.625360571 50.1136997148 49.440128482 49.6421998519 3321487 0.0 1.0 
"2015-10-22 00:00:00+00:00" 59.17 59.27 58.19 58.51 4102462 49.8190123004 49.9032087045 48.9938875404 49.2633160334 4102462 0.0 1.0 
"2015-10-23 00:00:00+00:00" 57.48 59.01 57.405 58.97 4884535 48.3960930713 49.6842980539 48.3329457682 49.6506194923 4884535 0.0 1.0 
"2015-10-26 00:00:00+00:00" 57.82 57.89 57.27 57.73 2861653 48.6823608452 48.7412983281 48.2192806227 48.6065840815 2861653 0.0 1.0 
"2015-10-27 00:00:00+00:00" 57.67 58.04 57.43 57.87 2129533 48.5560662391 48.8675929342 48.3539948693 48.7244590473 2129533 0.0 1.0 
