date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 9.89 10.0 9.72 9.86 8680293 8.1661725601 8.2569995552 8.0258035676 8.1414015614 8680293 0.0 1.0 
"2015-10-02 00:00:00+00:00" 10.09 10.09 9.79 9.81 5792071 8.3313125512 8.3313125512 8.0836025645 8.1001165636 5792071 0.0 1.0 
"2015-10-05 00:00:00+00:00" 10.27 10.41 10.14 10.15 6932903 8.4799385432 8.5955365369 8.3725975489 8.3808545485 6932903 0.0 1.0 
"2015-10-06 00:00:00+00:00" 10.46 10.46 10.15 10.24 9134497 8.6368215347 8.6368215347 8.3808545485 8.4551675445 9134497 0.0 1.0 
"2015-10-07 00:00:00+00:00" 10.53 10.75 10.48 10.55 9670598 8.6946205316 8.8762745218 8.6533355338 8.7111345307 9670598 0.0 1.0 
"2015-10-08 00:00:00+00:00" 10.76 10.8 10.47 10.49 5153640 8.8845315214 8.9175595196 8.6450785343 8.6615925334 5153640 0.0 1.0 
"2015-10-09 00:00:00+00:00" 10.72 10.84 10.65 10.77 4888994 8.8515035231 8.9505875178 8.7937045263 8.8927885209 4888994 0.0 1.0 
"2015-10-12 00:00:00+00:00" 10.71 10.84 10.65 10.73 3739142 8.8432465236 8.9505875178 8.7937045263 8.8597605227 3739142 0.0 1.0 
"2015-10-13 00:00:00+00:00" 10.63 10.85 10.62 10.64 6091176 8.7771905271 8.9588445174 8.7689335276 8.7854475267 6091176 0.0 1.0 
"2015-10-14 00:00:00+00:00" 10.57 10.76 10.56 10.64 5219299 8.7276485298 8.8845315214 8.7193915303 8.7854475267 5219299 0.0 1.0 
"2015-10-15 00:00:00+00:00" 10.78 10.79 10.51 10.62 5732545 8.9010455205 8.90930252 8.6781065325 8.7689335276 5732545 0.0 1.0 
"2015-10-16 00:00:00+00:00" 10.78 10.82 10.62 10.82 4815098 8.9010455205 8.9340735187 8.7689335276 8.9340735187 4815098 0.0 1.0 
"2015-10-19 00:00:00+00:00" 10.74 10.74 10.52 10.68 8835864 8.8680175223 8.8680175223 8.686363532 8.8184755249 8835864 0.0 1.0 
"2015-10-20 00:00:00+00:00" 10.88 10.92 10.59 10.69 5857197 8.983615516 9.0166435142 8.7441625289 8.8267325245 5857197 0.0 1.0 
"2015-10-21 00:00:00+00:00" 10.76 11.07 10.73 10.95 4412177 8.8845315214 9.1404985076 8.8597605227 9.0414145129 4412177 0.0 1.0 
"2015-10-22 00:00:00+00:00" 11.04 11.04 10.75 10.81 6531520 9.1157275089 9.1157275089 8.8762745218 8.9258165191 6531520 0.0 1.0 
"2015-10-23 00:00:00+00:00" 11.05 11.16 10.92 11.08 6876383 9.1239845085 9.2148115036 9.0166435142 9.1487555071 6876383 0.0 1.0 
"2015-10-26 00:00:00+00:00" 10.88 11.05 10.78 10.99 5762736 8.983615516 9.1239845085 8.9010455205 9.0744425111 5762736 0.0 1.0 
"2015-10-27 00:00:00+00:00" 10.87 10.9 10.745 10.83 6140649 8.9753585165 9.0001295151 8.872146022 8.9423305182 6140649 0.0 1.0 
"2015-10-28 00:00:00+00:00" 11.12 11.205 10.81 10.88 6819273 9.1817835053 9.2519680016 8.9258165191 8.983615516 6819273 0.0 1.0 
"2015-10-29 00:00:00+00:00" 11.0 11.07 10.87 10.95 5062382 9.1652695062 9.2235939485 9.0569526848 9.1236091903 5062382 0.1 1.0 
