date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 109.94 110.42 107.0 109.21 2700233 106.2335154917 106.6973329142 103.3926337785 105.5281264949 2700233 0.0 1.0 
"2015-10-02 00:00:00+00:00" 113.11 113.18 107.65 108.81 2716412 109.2966430531 109.3642830939 104.0207198715 105.1416119761 2716412 0.0 1.0 
"2015-10-05 00:00:00+00:00" 113.04 114.73 111.7 113.96 1834704 109.2290030123 110.8620268543 107.9341793744 110.1179864056 1834704 0.0 1.0 
"2015-10-06 00:00:00+00:00" 108.83 113.47 107.835 113.36 3301833 105.160937702 109.6445061201 104.1994828365 109.5382146274 3301833 0.0 1.0 
"2015-10-07 00:00:00+00:00" 109.56 109.79 107.015 109.05 2918004 105.8663266988 106.0885725471 103.4071280729 105.3735206873 2918004 0.0 1.0 
"2015-10-08 00:00:00+00:00" 109.61 109.93 107.994 109.54 1459840 105.9146410137 106.2238526287 104.3531223577 105.8470009729 1459840 0.0 1.0 
"2015-10-09 00:00:00+00:00" 109.18 110.96 108.85 108.97 1998078 105.4991379059 107.2191275146 105.1802634279 105.2962177836 1998078 0.0 1.0 
"2015-10-12 00:00:00+00:00" 110.63 110.91 109.0 109.43 1992700 106.9002530366 107.1708131997 105.3252063725 105.7407094802 1992700 0.0 1.0 
"2015-10-13 00:00:00+00:00" 113.27 115.98 110.58 110.58 4681437 109.6928204349 112.3172359322 107.0877733177 107.0877733177 4681437 0.25 1.0 
"2015-10-14 00:00:00+00:00" 111.11 114.42 110.061 113.05 2585770 107.6010353891 110.806502288 106.5851638553 109.4797682543 2585770 0.0 1.0 
"2015-10-15 00:00:00+00:00" 112.17 112.72 108.34 110.0 3269586 108.6275595319 109.1601899834 104.9185147516 106.5260902961 3269586 0.0 1.0 
"2015-10-16 00:00:00+00:00" 112.99 113.56 111.89 113.07 2144191 109.4216631141 109.9736619457 108.3564022112 109.4991366344 2144191 0.0 1.0 
"2015-10-19 00:00:00+00:00" 114.2 114.93 112.66 112.94 2167647 110.5934501074 111.3003959794 109.1020848433 109.373242164 2167647 0.0 1.0 
"2015-10-20 00:00:00+00:00" 111.82 114.79 111.05 114.32 2588207 108.288612881 111.164817319 107.5429302489 110.7096603877 2588207 0.0 1.0 
"2015-10-21 00:00:00+00:00" 108.28 112.7 103.64 112.63 5530536 104.8604096115 109.1408216034 100.366945439 109.0730322732 5530536 0.0 1.0 
"2015-10-22 00:00:00+00:00" 103.36 108.38 100.69 107.88 7651410 100.0957881182 104.9572515117 97.510109381 104.4730420104 7651410 0.0 1.0 
"2015-10-23 00:00:00+00:00" 105.89 106.24 102.94 103.93 4635815 102.545888195 102.884834846 99.6890521371 100.6477869498 4635815 0.0 1.0 
"2015-10-26 00:00:00+00:00" 107.8 108.22 104.6 106.09 3775643 104.3955684902 104.8023044713 101.2966276816 102.7395719956 3775643 0.0 1.0 
"2015-10-27 00:00:00+00:00" 110.67 111.86 107.01 107.48 4829575 107.1749310279 108.3273496411 103.6305174781 104.0856744093 4829575 0.0 1.0 
"2015-10-28 00:00:00+00:00" 111.11 111.18 107.07 110.67 4083534 107.6010353891 107.6688247193 103.6886226182 107.1749310279 4083534 0.0 1.0 
"2015-10-29 00:00:00+00:00" 114.86 116.33 110.68 111.25 4390483 111.2326066492 112.6561825831 107.1846152179 107.7366140495 4390483 0.0 1.0 
"2015-10-30 00:00:00+00:00" 114.78 115.99 114.09 115.92 4113137 111.155133129 112.3269201222 110.4869240171 112.259130792 4113137 0.0 1.0 
"2015-11-02 00:00:00+00:00" 115.34 116.22 114.1 115.42 2362410 111.6974477705 112.5496564928 110.4966082071 111.7749212907 2362410 0.0 1.0 
"2015-11-03 00:00:00+00:00" 111.81 115.48 111.33 114.59 2981712 108.278928691 111.8330264309 107.8140875697 110.9711335185 2981712 0.0 1.0 
"2015-11-04 00:00:00+00:00" 108.66 112.39 107.39 111.8 4672228 105.2284088325 108.8406117125 103.9985166991 108.2692445009 4672228 0.0 1.0 
"2015-11-05 00:00:00+00:00" 111.27 111.65 108.47 108.77 2876947 107.7559824295 108.1239816505 105.044409222 105.3349349228 2876947 0.0 1.0 
"2015-11-06 00:00:00+00:00" 107.55 110.215 106.32 110.16 4503343 104.1534637395 106.7343003817 102.9623083662 106.6810373365 4503343 0.0 1.0 
"2015-11-09 00:00:00+00:00" 108.0 108.06 105.65 107.22 3133522 104.5892522907 104.6473574309 102.3134676344 103.8338854686 3133522 0.0 1.0 
"2015-11-10 00:00:00+00:00" 108.74 109.39 107.8854 108.25 2678147 105.3058823527 105.9353547045 104.478271473 104.8313570414 2678147 0.0 1.0 
"2015-11-11 00:00:00+00:00" 105.09 109.56 104.86 109.43 2947158 101.7711529929 106.0999859349 101.5484166223 105.9740914646 2947158 0.0 1.0 
"2015-11-12 00:00:00+00:00" 103.11 106.02 103.05 105.8 4710157 99.8536833676 102.6717826654 99.7955782274 102.4587304848 4710157 0.0 1.0 
"2015-11-13 00:00:00+00:00" 102.21 104.25 101.52 102.65 3871134 98.9821062651 100.9576810306 98.3138971533 99.4082106263 3871134 0.0 1.0 
"2015-11-16 00:00:00+00:00" 105.01 105.09 102.2 102.39 2770383 101.6936794727 101.7711529929 98.9724220751 99.1564216856 2770383 0.0 1.0 
"2015-11-17 00:00:00+00:00" 105.28 107.04 104.01 104.82 1574996 101.9551526034 103.6595700481 100.72526047 101.5096798622 1574996 0.0 1.0 
"2015-11-18 00:00:00+00:00" 106.86 107.06 104.4613 105.28 1719602 103.4852546276 103.6789384282 101.1623079659 101.9551526034 1719602 0.0 1.0 
"2015-11-19 00:00:00+00:00" 99.89 103.58 98.67 101.7 11864265 96.7353741789 100.3088402988 95.5539029956 98.4882125738 11864265 0.0 1.0 
"2015-11-20 00:00:00+00:00" 104.43 104.98 100.55 101.35 4983916 101.1319964511 101.6646269026 97.3745307207 98.1492659228 4983916 0.0 1.0 
"2015-11-23 00:00:00+00:00" 105.71 106.92 104.31 104.78 2892528 102.3715727746 103.5433597678 101.0157861708 101.4709431021 2892528 0.0 1.0 
"2015-11-24 00:00:00+00:00" 106.08 106.28 104.35 104.84 2249692 102.7298878055 102.9235716061 101.0545229309 101.5290482422 2249692 0.0 1.0 
"2015-11-25 00:00:00+00:00" 103.95 106.4799 103.8039 106.31 2271046 100.6671553298 103.1171585647 100.5256693135 102.9526241762 2271046 0.0 1.0 
"2015-11-27 00:00:00+00:00" 104.06 104.8 103.4 104.25 958391 100.7736814201 101.4903114821 100.1345248783 100.9576810306 958391 0.0 1.0 
"2015-11-30 00:00:00+00:00" 102.75 104.9 102.75 104.47 2789202 99.5050525266 101.5871533824 99.5050525266 101.1707332112 2789202 0.0 1.0 
"2015-12-01 00:00:00+00:00" 107.5 107.85 102.775 103.16 4371168 104.1050427894 104.4439894403 99.5292630017 99.9021043177 4371168 0.0 1.0 
"2015-12-02 00:00:00+00:00" 106.93 109.48 106.62 107.63 3974576 103.5530439578 106.0225124147 103.252834067 104.2309372597 3974576 0.0 1.0 
"2015-12-03 00:00:00+00:00" 101.72 107.53 101.42 106.75 7098741 98.5075809538 104.1340953595 98.217055253 103.3787285374 7098741 0.0 1.0 
"2015-12-04 00:00:00+00:00" 105.32 106.1 101.91 102.47 4784890 101.9938893635 102.7492561856 98.6915805643 99.2338952058 4784890 0.0 1.0 
"2015-12-07 00:00:00+00:00" 103.62 105.46 103.06 105.45 2945472 100.3475770589 102.1294680239 99.8052624174 102.1197838339 2945472 0.0 1.0 
"2015-12-08 00:00:00+00:00" 103.93 104.28 102.1 102.86 2957865 100.6477869498 100.9867336007 98.8755801748 99.6115786169 2957865 0.0 1.0 
"2015-12-09 00:00:00+00:00" 103.87 104.53 102.828 103.11 3409133 100.5896818096 101.2288383514 99.5805892088 99.8536833676 3409133 0.0 1.0 
"2015-12-10 00:00:00+00:00" 104.82 105.55 103.16 103.59 2162224 101.5096798622 102.2166257341 99.9021043177 100.3185244888 2162224 0.0 1.0 
"2015-12-11 00:00:00+00:00" 104.91 106.3 103.17 103.94 3556036 101.5968375724 102.9429399861 99.9117885077 100.6574711398 3556036 0.0 1.0 
"2015-12-14 00:00:00+00:00" 105.8 106.5 104.69 105.22 3798441 102.4587304848 103.1366237867 101.3837853918 101.8970474632 3798441 0.0 1.0 
"2015-12-15 00:00:00+00:00" 107.02 108.43 106.25 106.5 2712562 103.6402016681 105.0056724619 102.894519036 103.1366237867 2712562 0.0 1.0 
"2015-12-16 00:00:00+00:00" 108.76 108.95 107.13 108.08 2823028 105.3252507328 105.5092503433 103.7467277584 104.6667258109 2823028 0.0 1.0 
"2015-12-17 00:00:00+00:00" 108.86 109.41 107.71 108.73 2826806 105.422092633 105.9547230845 104.3084107799 105.2961981627 2826806 0.0 1.0 
"2015-12-18 00:00:00+00:00" 108.47 109.92 108.02 108.77 4280353 105.044409222 106.4486167759 104.6086206708 105.3349349228 4280353 0.0 1.0 
"2015-12-21 00:00:00+00:00" 109.72 110.54 108.59 108.91 2730712 106.2549329753 107.0490365576 105.1606195023 105.4705135832 2730712 0.0 1.0 
"2015-12-22 00:00:00+00:00" 108.91 110.47 107.76 110.42 2659431 105.4705135832 106.9812472274 104.3568317301 106.9328262772 2659431 0.0 1.0 
"2015-12-23 00:00:00+00:00" 110.075 110.45 109.13 109.13 1776451 106.5987217213 106.9618788473 105.6835657638 105.6835657638 1776451 0.0 1.0 
"2015-12-24 00:00:00+00:00" 109.63 110.53 109.51 110.01 726770 106.1677752651 107.0393523675 106.0515649848 106.5357744861 726770 0.0 1.0 
"2015-12-28 00:00:00+00:00" 108.95 109.67 108.22 109.53 1543912 105.5092503433 106.2065120252 104.8023044713 106.0709333648 1543912 0.0 1.0 
"2015-12-29 00:00:00+00:00" 110.21 110.9 109.39 109.52 1088299 106.7294582867 107.3976673985 105.9353547045 106.0612491748 1088299 0.0 1.0 
"2015-12-30 00:00:00+00:00" 108.93 110.84 108.635 110.39 1041455 105.4898819632 107.3395622584 105.2041983574 106.9037737072 1041455 0.0 1.0 
