date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 57.96 58.47 57.524 58.14 1962799 25.7355685678 25.9620202581 25.5419745738 25.8154926938 3925598 0.0 1.0 
"2015-10-02 00:00:00+00:00" 58.47 58.48 56.78 56.9 2313542 25.9620202581 25.9664604873 25.2116215197 25.2649042703 4627084 0.0 1.0 
"2015-10-05 00:00:00+00:00" 59.32 59.605 58.59 58.8 1691880 26.3394397419 26.4659862748 26.0153030088 26.1085478224 3383760 0.0 1.0 
"2015-10-06 00:00:00+00:00" 59.43 59.64 59.06 59.22 1850424 26.3882822634 26.481527077 26.2239937822 26.2950374497 3700848 0.0 1.0 
"2015-10-07 00:00:00+00:00" 60.29 60.39 58.82 59.84 1812101 26.7701419764 26.8145442686 26.1174282809 26.5703316615 3624202 0.0 1.0 
"2015-10-08 00:00:00+00:00" 60.81 61.01 59.94 60.17 1768252 27.0010338959 27.0898384804 26.6147339537 26.7168592258 3536504 0.0 1.0 
"2015-10-09 00:00:00+00:00" 60.76 61.31 60.43 60.86 1604338 26.9788327498 27.223045357 26.8323051855 27.0232350421 3208676 0.0 1.0 
"2015-10-12 00:00:00+00:00" 60.83 61.035 60.6 60.77 1220266 27.0099143544 27.1009390534 26.9077890823 26.9832729791 2440532 0.0 1.0 
"2015-10-13 00:00:00+00:00" 60.51 61.17 60.435 60.53 1282057 26.8678270193 27.1608821479 26.8345253001 26.8767074777 2564114 0.0 1.0 
"2015-10-14 00:00:00+00:00" 59.74 60.4 59.605 60.4 1665454 26.5259293692 26.8189844979 26.4659862748 26.8189844979 3330908 0.0 1.0 
"2015-10-15 00:00:00+00:00" 60.9 60.965 59.79 60.29 1749469 27.0409959589 27.0698574489 26.5481305154 26.7701419764 3498938 0.0 1.0 
"2015-10-16 00:00:00+00:00" 61.34 61.55 61.03 61.16 1847796 27.2363660447 27.3296108583 27.0987189388 27.1564419187 3695592 0.0 1.0 
"2015-10-19 00:00:00+00:00" 61.03 61.42 60.78 61.17 1922625 27.0987189388 27.2718878785 26.9877132083 27.1608821479 3845250 0.0 1.0 
"2015-10-20 00:00:00+00:00" 61.28 61.42 60.32 61.07 3681388 27.2097246694 27.2718878785 26.7834626641 27.1164798557 7362776 0.0 1.0 
"2015-10-21 00:00:00+00:00" 61.34 61.74 61.26 61.53 2252238 27.2363660447 27.4139752135 27.2008442109 27.3207303999 4504476 0.0 1.0 
"2015-10-22 00:00:00+00:00" 62.22 62.55 61.66 61.7 2593847 27.6271062162 27.7736337805 27.3784533798 27.3962142967 5187694 0.0 1.0 
"2015-10-23 00:00:00+00:00" 63.45 63.47 62.4 62.51 3226099 28.1732544104 28.1821348689 27.7070303422 27.7558728636 6452198 0.0 1.0 
"2015-10-26 00:00:00+00:00" 63.51 63.7 63.22 63.37 3801030 28.1998957858 28.284260141 28.0711291383 28.1377325767 7602060 0.0 1.0 
"2015-10-27 00:00:00+00:00" 63.15 63.72 62.87 63.14 3481885 28.0400475338 28.2931405994 27.9157211156 28.0356073046 6963770 0.0 1.0 
"2015-10-28 00:00:00+00:00" 63.98 65.19 62.28 63.02 4954673 28.4085865592 28.945854295 27.6537475915 27.9823245539 9909346 0.0 1.0 
"2015-10-29 00:00:00+00:00" 64.42 64.6 63.47 64.03 2815186 28.6039566449 28.6838807709 28.1821348689 28.4307877053 5630372 0.0 1.0 
"2015-10-30 00:00:00+00:00" 63.75 64.5 63.75 64.4 3260962 28.3064612871 28.6394784787 28.3064612871 28.5950761865 6521924 0.0 1.0 
"2015-11-02 00:00:00+00:00" 64.51 64.6 63.92 63.93 1865967 28.6439187079 28.6838807709 28.3819451838 28.3863854131 3731934 0.0 1.0 
"2015-11-03 00:00:00+00:00" 64.04 64.44 63.88 64.18 2797398 28.4352279345 28.6128371034 28.3641842669 28.4973911436 5594796 0.0 1.0 
"2015-11-04 00:00:00+00:00" 64.17 64.3679 63.87 64.04 2143096 28.4929509144 28.5808230507 28.3597440377 28.4352279345 4286192 0.0 1.0 
"2015-11-05 00:00:00+00:00" 64.17 64.5099 63.98 64.19 1728647 28.4929509144 28.6438743056 28.4085865592 28.5018313728 3457294 0.0 1.0 
"2015-11-06 00:00:00+00:00" 64.32 64.99 64.0 64.32 3080441 28.5595543527 28.8570497105 28.4174670176 28.5595543527 6160882 0.0 1.0 
"2015-11-09 00:00:00+00:00" 63.56 64.36 63.3 64.3 2531876 28.2220969319 28.5773152696 28.1066509721 28.5506738943 5063752 0.0 1.0 
"2015-11-10 00:00:00+00:00" 64.31 64.57 63.45 63.45 2392656 28.5551141235 28.6705600832 28.1732544104 28.1732544104 4785312 0.0 1.0 
"2015-11-11 00:00:00+00:00" 64.37 64.6 64.12 64.42 2042921 28.5817554988 28.6838807709 28.4707497683 28.6039566449 4085842 0.0 1.0 
"2015-11-12 00:00:00+00:00" 63.32 64.34 63.29 63.76 2537984 28.1155314305 28.5684348111 28.1022107429 28.3109015163 5075968 0.0 1.0 
"2015-11-13 00:00:00+00:00" 63.22 63.58 62.88 63.27 2034706 28.0711291383 28.2309773903 27.9201613448 28.0933302844 4069412 0.0 1.0 
"2015-11-16 00:00:00+00:00" 63.67 63.68 62.27 62.68 2274832 28.4529888514 28.4574576733 27.8273537895 28.0105754862 4549664 0.41 1.0 
"2015-11-17 00:00:00+00:00" 63.5 64.21 63.305 63.8 2122562 28.3770188796 28.6943052324 28.2898768531 28.5110835357 4245124 0.0 1.0 
"2015-11-18 00:00:00+00:00" 64.92 65.0 63.47 63.75 2985172 29.0115915852 29.0473421602 28.363612414 28.4887394263 5970344 0.0 1.0 
"2015-11-19 00:00:00+00:00" 65.37 65.42 64.76 64.99 2417687 29.2126885694 29.2350326788 28.9400904353 29.0428733383 4835374 0.0 1.0 
