date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 282.35 282.98 266.09 270.6 4740346 266.5928998284 267.1877414324 251.2403212869 255.4986318172 4740346 0.0 1.0 
"2015-10-02 00:00:00+00:00" 288.0 288.77 275.01 278.12 4793726 271.9275904041 272.6546190312 259.6625230452 262.5989633444 4793726 0.0 1.0 
"2015-10-05 00:00:00+00:00" 278.58 289.5 272.64 288.88 4972741 263.0332921346 273.3438799374 257.4247855825 272.7584802636 4972741 0.0 1.0 
"2015-10-06 00:00:00+00:00" 272.88 282.0 262.79 276.64 5964789 257.6513919079 266.2624322707 248.1244843135 261.2015576715 5964789 0.0 1.0 
"2015-10-07 00:00:00+00:00" 268.99 277.15 266.69 269.66 5791190 253.9784810514 261.6830961128 251.8068371002 254.6110903763 5791190 0.0 1.0 
"2015-10-08 00:00:00+00:00" 276.16 277.87 265.51 268.67 3983428 260.7483450208 262.3629150888 250.692689334 253.6763392842 3983428 0.0 1.0 
"2015-10-09 00:00:00+00:00" 274.84 280.67 272.5 276.81 3793675 259.5020102314 265.0066555511 257.2925985594 261.3620704852 3793675 0.0 1.0 
"2015-10-12 00:00:00+00:00" 273.4 274.77 269.0 273.75 2309946 258.1423722794 259.4359167199 253.9879229816 258.4728398372 2309946 0.0 1.0 
"2015-10-13 00:00:00+00:00" 262.05 277.949 261.63 271.48 3689365 247.425781477 262.4375063376 247.0292204077 256.3295216767 3689365 0.0 1.0 
"2015-10-14 00:00:00+00:00" 269.31 273.0 262.34 265.77 4060161 254.2806228185 257.7646950705 247.6995974535 250.9381795198 4060161 0.0 1.0 
"2015-10-15 00:00:00+00:00" 274.08 274.13 261.17 262.9 3970392 258.7844235345 258.8316331857 246.5948916175 248.2283455459 3970392 0.0 1.0 
"2015-10-16 00:00:00+00:00" 278.13 278.86 273.77 277.0 2842805 262.6084052746 263.2976661808 258.4917236976 261.5414671595 2842805 0.0 1.0 
"2015-10-19 00:00:00+00:00" 273.31 279.02 266.0 279.02 2575313 258.0573949074 263.4487370644 251.1553439149 263.4487370644 2575313 0.0 1.0 
"2015-10-20 00:00:00+00:00" 263.42 274.19 257.5 272.75 4725126 248.7193259175 258.888284767 243.1297032259 257.528646815 4725126 0.0 1.0 
