date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 56.92 57.22 56.06 57.19 6889701 50.4844204563 50.7505013793 49.7216551437 50.723893287 6889701 0.0 1.0 
"2015-10-02 00:00:00+00:00" 57.19 57.2 55.2426 55.34 7886826 50.723893287 50.7327626511 48.9966733222 49.0830609285 7886826 0.0 1.0 
"2015-10-05 00:00:00+00:00" 58.28 58.34 57.53 57.53 6616336 51.6906539739 51.7438701585 51.0254516664 51.0254516664 6616336 0.0 1.0 
"2015-10-06 00:00:00+00:00" 57.68 58.37 57.59 58.0 6542520 51.1584921279 51.7704782508 51.078667851 51.4423117791 6542520 0.0 1.0 
"2015-10-07 00:00:00+00:00" 57.82 58.57 57.28 58.08 7850105 51.2826632253 51.9478655328 50.8037175639 51.5132666919 7850105 0.0 1.0 
"2015-10-08 00:00:00+00:00" 58.24 58.25 57.31 57.64 5913445 51.6551765175 51.6640458816 50.8303256562 51.1230146715 5913445 0.0 1.0 
"2015-10-09 00:00:00+00:00" 58.19 58.4402 57.8 58.26 7764473 51.610829697 51.8327411868 51.2649244971 51.6729152457 7764473 0.0 1.0 
"2015-10-12 00:00:00+00:00" 58.68 58.68 58.035 58.15 4963340 52.0454285379 52.0454285379 51.4733545534 51.5753522406 4963340 0.0 1.0 
"2015-10-13 00:00:00+00:00" 58.69 59.13 58.15 58.17 6678444 52.054297902 52.4445499224 51.5753522406 51.5930909688 6678444 0.0 1.0 
"2015-10-14 00:00:00+00:00" 58.03 58.87 57.97 58.51 7002843 51.4689198714 52.2139464558 51.4157036868 51.8946493482 7002843 0.0 1.0 
"2015-10-15 00:00:00+00:00" 59.19 59.23 57.97 58.4 4713586 52.497766107 52.5332435634 51.4157036868 51.7970863431 4713586 0.0 1.0 
"2015-10-16 00:00:00+00:00" 60.0 60.0199 59.4 59.53 5468277 53.2161845991 53.2338346336 52.6840227531 52.7993244864 5468277 0.0 1.0 
"2015-10-19 00:00:00+00:00" 60.0 60.07 59.605 59.9 7767930 53.2161845991 53.2782701478 52.8658447171 53.1274909581 7767930 0.0 1.0 
