date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 37.54 37.6 36.96 37.21 1216172 31.651476227 31.702064628 31.1624550174 31.3732400215 1179386 0.0 1.0 
"2015-10-02 00:00:00+00:00" 37.89 37.9 36.35 36.35 1066472 31.9465752329 31.9550066331 30.6481396072 30.6481396072 1034214 0.0 1.0 
"2015-10-05 00:00:00+00:00" 38.33 38.365 37.73 38.0 1207129 32.3175568402 32.3470667408 31.8116728302 32.0393206347 1170617 0.0 1.0 
"2015-10-06 00:00:00+00:00" 38.08 38.74 38.04 38.39 1874423 32.1067718361 32.6632442471 32.0730462354 32.3681452412 1817728 0.0 1.0 
"2015-10-07 00:00:00+00:00" 38.66 38.66 37.93 38.11 1838362 32.5957930457 32.5957930457 31.9803008336 32.1320660366 1782757 0.0 1.0 
"2015-10-08 00:00:00+00:00" 39.0 39.08 38.37 38.62 1075866 32.8824606514 32.9499118528 32.3512824409 32.5620674451 1043324 0.0 1.0 
"2015-10-09 00:00:00+00:00" 39.27 39.28 38.77 38.93 853946 33.1101084559 33.1185398561 32.6885384476 32.8234408503 828117 0.0 1.0 
"2015-10-12 00:00:00+00:00" 39.51 39.62 39.07 39.32 895174 33.3124620599 33.4052074618 32.9414804526 33.1522654568 868098 0.0 1.0 
"2015-10-13 00:00:00+00:00" 39.18 39.51 38.99 39.31 582271 33.0342258544 33.3124620599 32.8740292513 33.1438340566 564659 0.0 1.0 
"2015-10-14 00:00:00+00:00" 38.69 39.255 38.605 39.22 955123 32.6210872462 33.0974613557 32.5494203448 33.0679514551 926233 0.0 1.0 
"2015-10-15 00:00:00+00:00" 39.4 39.4 38.64 38.81 657467 33.2197166581 33.2197166581 32.5789302454 32.7222640483 637580 0.0 1.0 
"2015-10-16 00:00:00+00:00" 39.58 39.74 39.4 39.55 749370 33.3714818611 33.5063842638 33.2197166581 33.3461876606 726704 0.0 1.0 
"2015-10-19 00:00:00+00:00" 40.32 40.33 39.39 39.5 845358 33.9954054735 34.0038368736 33.2112852579 33.3040306598 819788 0.0 1.0 
"2015-10-20 00:00:00+00:00" 40.51 40.72 40.26 40.69 986282 34.1556020766 34.3326614802 33.9448170725 34.3073672797 956450 0.0 1.0 
"2015-10-21 00:00:00+00:00" 40.2 40.75 40.195 40.61 1002715 33.8942286715 34.3579556807 33.8900129714 34.2399160783 972386 0.0 1.0 
"2015-10-22 00:00:00+00:00" 40.23 40.61 40.1 40.3 1537241 33.919522872 34.2399160783 33.8099146698 33.9785426731 1490744 0.0 1.0 
"2015-10-23 00:00:00+00:00" 39.99 40.83 39.65 40.19 938998 33.717169268 34.425406882 33.4305016623 33.8857972713 910596 0.0 1.0 
"2015-10-26 00:00:00+00:00" 39.98 40.26 39.75 40.08 1162724 33.7087378678 33.9448170725 33.514815664 33.7930518695 1127555 0.0 1.0 
"2015-10-27 00:00:00+00:00" 40.23 40.31 39.82 39.96 1232154 33.919522872 33.9869740733 33.5738354651 33.6918750675 1194885 0.0 1.0 
"2015-10-28 00:00:00+00:00" 39.81 40.49 39.22 40.21 1059854 33.565404065 34.1387392763 33.0679514551 33.9026600716 1027797 0.0 1.0 
"2015-10-29 00:00:00+00:00" 39.96 40.11 39.4 39.55 1156806 33.6918750675 33.81834607 33.2197166581 33.3461876606 1121816 0.0 1.0 
"2015-10-30 00:00:00+00:00" 39.19 40.17 39.16 40.03 1764128 33.0426572546 33.868934471 33.0173630541 33.7508948686 1710769 0.0 1.0 
"2015-11-02 00:00:00+00:00" 40.01 40.03 39.0 39.17 1519623 33.7340320683 33.7508948686 32.8824606514 33.0257944543 1473659 0.0 1.0 
"2015-11-03 00:00:00+00:00" 39.67 40.0 39.19 39.8 1103510 33.4473644626 33.7256006681 33.0426572546 33.5569726648 1070132 0.0 1.0 
"2015-11-04 00:00:00+00:00" 38.26 39.3 37.73 38.88 2864131 32.2585370391 33.1354026564 31.8116728302 32.7812838494 2777500 0.0 1.0 
"2015-11-05 00:00:00+00:00" 38.27 38.45 38.0 38.2 1540309 32.2669684392 32.4187336422 32.0393206347 32.2079486381 1493719 0.0 1.0 
"2015-11-06 00:00:00+00:00" 37.09 37.9 36.75 37.86 1420149 31.2720632195 31.9550066331 30.9853956138 31.9212810324 1377194 0.0 1.0 
"2015-11-09 00:00:00+00:00" 36.22 37.0 35.9 36.59 1673354 30.538531405 31.196180618 30.2687265996 30.8504932112 1622740 0.0 1.0 
"2015-11-10 00:00:00+00:00" 36.47 36.82 36.21 36.22 1824735 30.7493164092 31.044415415 30.5301000048 30.538531405 1769542 0.0 1.0 
"2015-11-11 00:00:00+00:00" 36.84 37.11 36.43 36.51 660834 31.0612782153 31.2889260199 30.7155908085 30.7830420098 640846 0.0 1.0 
"2015-11-12 00:00:00+00:00" 36.56 36.97 36.53 36.77 931480 30.8251990107 31.1708864175 30.7999048102 31.0022584142 903305 0.0 1.0 
"2015-11-13 00:00:00+00:00" 36.35 36.838 36.11 36.41 1474857 30.6481396072 31.0595919353 30.4457860032 30.6987280082 1430247 0.0 1.0 
"2015-11-16 00:00:00+00:00" 36.53 36.54 35.88 36.16 1090132 31.0528468152 31.0613474576 30.5003050569 30.7383230451 1057159 0.3 1.0 
"2015-11-17 00:00:00+00:00" 36.72 37.06 36.27 36.4 1084481 31.2143590214 31.5033808642 30.8318301119 30.9423384635 1051679 0.0 1.0 
"2015-11-18 00:00:00+00:00" 36.82 36.97 36.34 36.86 851938 31.2993654458 31.4268750823 30.8913346089 31.3333680155 826169 0.0 1.0 
"2015-11-19 00:00:00+00:00" 36.98 37.3 36.79 36.93 975133 31.4353757248 31.7073962827 31.2738635185 31.3928725126 945638 0.0 1.0 
"2015-11-20 00:00:00+00:00" 37.56 37.65 37.18 37.23 1260988 31.928412986 32.0049187679 31.6053885735 31.6478917856 1222847 0.0 1.0 
"2015-11-23 00:00:00+00:00" 37.66 37.96 37.48 37.5 592521 32.0134194103 32.2684386834 31.8604078465 31.8774091314 574599 0.0 1.0 
"2015-11-24 00:00:00+00:00" 37.37 37.63 37.05 37.48 966958 31.7669007797 31.987917483 31.4948802218 31.8604078465 937710 0.0 1.0 
"2015-11-25 00:00:00+00:00" 37.85 37.92 37.34 37.44 745304 32.1749316166 32.2344361137 31.7413988524 31.8264052768 722761 0.0 1.0 
"2015-11-27 00:00:00+00:00" 38.42 38.5011 37.82 37.82 573545 32.6594682354 32.7284084456 32.1494296893 32.1494296893 556197 0.0 1.0 
"2015-11-30 00:00:00+00:00" 38.11 38.78 38.05 38.46 1526125 32.3959483199 32.9654913631 32.3449444653 32.6934708051 1479964 0.0 1.0 
"2015-12-01 00:00:00+00:00" 38.77 38.79 38.17 38.28 854417 32.9569907206 32.9739920055 32.4469521745 32.5404592413 828573 0.0 1.0 
"2015-12-02 00:00:00+00:00" 38.11 38.9 38.0 38.65 1082595 32.3959483199 33.0674990723 32.3024412531 32.8549830114 1049850 0.0 1.0 
"2015-12-03 00:00:00+00:00" 37.49 38.13 37.44 37.94 1628092 31.8689084889 32.4129496048 31.8264052768 32.2514373985 1578847 0.0 1.0 
"2015-12-04 00:00:00+00:00" 38.73 38.81 37.43 37.63 1261979 32.9229881509 32.9909932904 31.8179046343 31.987917483 1223808 0.0 1.0 
"2015-12-07 00:00:00+00:00" 38.38 38.77 38.29 38.56 1043771 32.6254656657 32.9569907206 32.5489598837 32.7784772295 1012200 0.0 1.0 
"2015-12-08 00:00:00+00:00" 38.45 38.55 38.06 38.19 1082331 32.6849701627 32.7699765871 32.3534451077 32.4639534594 1049594 0.0 1.0 
"2015-12-09 00:00:00+00:00" 38.27 38.63 37.92 38.2 1112720 32.5319585989 32.8379817265 32.2344361137 32.4724541018 1079063 0.0 1.0 
"2015-12-10 00:00:00+00:00" 37.62 38.4 37.62 38.25 985176 31.9794168406 32.6424669505 31.9794168406 32.514957314 955377 0.0 1.0 
"2015-12-11 00:00:00+00:00" 37.62 37.93 37.17 37.36 1480057 31.9794168406 32.2429367561 31.596887931 31.7584001373 1435290 0.0 1.0 
"2015-12-14 00:00:00+00:00" 37.85 37.9 37.34 37.52 1033660 32.1749316166 32.2174348288 31.7413988524 31.8944104162 1002395 0.0 1.0 
"2015-12-15 00:00:00+00:00" 38.49 38.99 38.24 38.45 1557142 32.7189727324 33.1440048542 32.5064566716 32.6849701627 1510043 0.0 1.0 
"2015-12-16 00:00:00+00:00" 39.78 39.94 38.85 38.95 1450234 33.8155556066 33.9515658855 33.0249958601 33.1100022845 1406369 0.0 1.0 
"2015-12-17 00:00:00+00:00" 39.53 39.89 39.33 39.77 1472458 33.6030395457 33.9090626734 33.433026697 33.8070549641 1427921 0.0 1.0 
"2015-12-18 00:00:00+00:00" 39.39 39.87 39.37 39.47 2639414 33.4840305516 33.8920613885 33.4670292667 33.5520356911 2559580 0.0 1.0 
"2015-12-21 00:00:00+00:00" 39.52 39.82 39.18 39.64 1203397 33.5945389033 33.8495581763 33.3055170605 33.6965466125 1166998 0.0 1.0 
"2015-12-22 00:00:00+00:00" 39.52 39.93 39.47 39.56 1098585 33.5945389033 33.9430652431 33.5520356911 33.628541473 1065356 0.0 1.0 
"2015-12-23 00:00:00+00:00" 39.7 39.75 39.49 39.57 811689 33.7475504671 33.7900536793 33.569036976 33.6370421154 787138 0.0 1.0 
"2015-12-24 00:00:00+00:00" 39.62 39.75 39.44 39.71 275766 33.6795453276 33.7900536793 33.5265337638 33.7560511095 267425 0.0 1.0 
