date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 78.49 79.53 77.83 79.04 581289 70.0894279213 71.0181195385 69.5000659334 70.5805629112 581289 0.0 1.0 
"2015-10-02 00:00:00+00:00" 78.25 78.25 76.81 77.22 556446 69.8751144711 69.8751144711 68.5892337703 68.955352581 556446 0.0 1.0 
"2015-10-05 00:00:00+00:00" 79.68 79.92 78.45 78.59 662788 71.1520654448 71.366378895 70.0537090129 70.1787251921 662788 0.0 1.0 
"2015-10-06 00:00:00+00:00" 80.15 80.72 79.46 79.62 666416 71.571762618 72.0807570621 70.9556114489 71.0984870823 666416 0.0 1.0 
"2015-10-07 00:00:00+00:00" 80.04 81.18 79.71 80.42 850759 71.47353562 72.4915245082 71.1788546261 71.8128652494 850759 0.0 1.0 
"2015-10-08 00:00:00+00:00" 81.72 81.83 79.49 79.75 430941 72.973729771 73.071956769 70.9824006302 71.2145735345 430941 0.0 1.0 
"2015-10-09 00:00:00+00:00" 80.56 82.07 80.42 81.66 540434 71.9378814287 73.2862702191 71.8128652494 72.9201514085 540434 0.0 1.0 
"2015-10-12 00:00:00+00:00" 80.42 80.95 80.25 80.56 483157 71.8128652494 72.2861407851 71.6610598889 71.9378814287 483157 0.0 1.0 
"2015-10-13 00:00:00+00:00" 80.48 80.58 79.95 80.23 476054 71.866443612 71.9557408829 71.3931680762 71.6432004347 476054 0.0 1.0 
"2015-10-14 00:00:00+00:00" 79.67 80.82 79.56 80.49 335995 71.1431357178 72.170054333 71.0449087198 71.8753733391 335995 0.0 1.0 
"2015-10-15 00:00:00+00:00" 80.0 80.25 79.57 80.15 548425 71.4378167117 71.6610598889 71.0538384469 71.571762618 548425 0.0 1.0 
"2015-10-16 00:00:00+00:00" 80.07 80.74 79.64 80.03 732028 71.5003248013 72.0986165163 71.1163465365 71.464605893 732028 0.0 1.0 
"2015-10-19 00:00:00+00:00" 81.05 81.09 79.63 80.06 679912 72.375438056 72.4111569644 71.1074168094 71.4913950742 679912 0.0 1.0 
"2015-10-20 00:00:00+00:00" 82.2 82.38 80.875 81.28 601969 73.4023566713 73.5630917589 72.219167832 72.5808217791 601969 0.0 1.0 
"2015-10-21 00:00:00+00:00" 79.91 81.46 78.72 81.28 1246427 71.3574491679 72.7415568667 70.2948116443 72.5808217791 1246427 0.0 1.0 
"2015-10-22 00:00:00+00:00" 80.79 81.46 80.03 80.18 450973 72.1432651517 72.7415568667 71.464605893 71.5985517993 450973 0.0 1.0 
"2015-10-23 00:00:00+00:00" 81.85 82.01 80.77 81.16 614442 73.0898162232 73.2326918566 72.1254056975 72.473665054 614442 0.0 1.0 
"2015-10-26 00:00:00+00:00" 82.04 82.53 81.61 82.01 467138 73.2594810378 73.6970376652 72.875502773 73.2326918566 467138 0.0 1.0 
"2015-10-27 00:00:00+00:00" 81.08 81.73 80.87 81.46 508005 72.4022272373 72.9826594981 72.2147029684 72.7415568667 508005 0.0 1.0 
"2015-10-28 00:00:00+00:00" 81.4 82.1099 78.33 79.99 875408 72.6879785041 73.3218998302 69.9465522878 71.4288869846 875408 0.0 1.0 
"2015-10-29 00:00:00+00:00" 82.44 82.58 80.82 81.39 369693 73.6166701214 73.7416863006 72.170054333 72.6790487771 369693 0.0 1.0 
"2015-10-30 00:00:00+00:00" 81.53 82.58 81.52 82.58 529643 72.8040649563 73.7416863006 72.7951352292 73.7416863006 529643 0.0 1.0 
"2015-11-02 00:00:00+00:00" 82.93 83.09 81.34 81.46 527557 74.0542267488 74.1971023822 72.6344001416 72.7415568667 527557 0.0 1.0 
"2015-11-03 00:00:00+00:00" 83.51 83.92 82.1 82.65 596933 74.5721509199 74.9382697306 73.3130594004 73.8041943903 596933 0.0 1.0 
"2015-11-04 00:00:00+00:00" 82.89 84.0 82.75 83.39 417806 74.0185078404 75.0097075473 73.8934916612 74.4649941949 417806 0.0 1.0 
"2015-11-05 00:00:00+00:00" 83.83 84.05 82.76 82.76 441646 74.8579021868 75.0543561827 73.9024213882 73.9024213882 441646 0.0 1.0 
"2015-11-06 00:00:00+00:00" 84.9 85.13 83.99 84.66 446099 75.8133829853 76.0187667083 75.0007778202 75.5990695351 446099 0.0 1.0 
"2015-11-09 00:00:00+00:00" 84.07 84.94 83.65 84.89 343405 75.0722156369 75.8491018936 74.6971670992 75.8044532582 343405 0.0 1.0 
"2015-11-10 00:00:00+00:00" 84.87 85.0091 83.92 83.97 282986 75.786593804 75.9108063078 74.9382697306 74.982918366 282986 0.0 1.0 
"2015-11-11 00:00:00+00:00" 84.39 85.25 84.25 85.17 273553 75.3579669037 76.1259234334 75.2329507245 76.0544856167 273553 0.0 1.0 
"2015-11-12 00:00:00+00:00" 82.76 84.29 82.66 83.39 417622 73.9024213882 75.2686696329 73.8131241174 74.4649941949 417622 0.0 1.0 
