date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 41.24 41.35 40.67 41.19 891426 36.4598289986 36.557078785 35.9558982874 36.4156245502 891426 0.0 1.0 
"2015-10-02 00:00:00+00:00" 41.81 41.81 40.54 40.54 854316 36.9637597098 36.9637597098 35.8409667217 35.8409667217 854316 0.0 1.0 
"2015-10-05 00:00:00+00:00" 42.11 42.21 41.8 41.91 1403523 37.2289863999 37.3173952966 36.9549188201 37.0521686065 1403523 0.0 1.0 
"2015-10-06 00:00:00+00:00" 42.13 42.22 41.92 41.92 1121974 37.2466681792 37.3262361862 37.0610094961 37.0610094961 1121974 0.0 1.0 
"2015-10-07 00:00:00+00:00" 42.19 42.62 41.675 42.42 1473025 37.2997135172 37.679871773 36.8444076992 37.5030539796 1473025 0.0 1.0 
"2015-10-08 00:00:00+00:00" 42.55 42.63 41.92 42.11 840496 37.6179855453 37.6887126627 37.0610094961 37.2289863999 840496 0.0 1.0 
"2015-10-09 00:00:00+00:00" 42.56 42.69 42.47 42.54 778294 37.626826435 37.7417580007 37.547258428 37.6091446557 778294 0.0 1.0 
"2015-10-12 00:00:00+00:00" 42.69 42.7175 42.44 42.51 677951 37.7417580007 37.7660704473 37.520735759 37.5826219867 677951 0.0 1.0 
"2015-10-13 00:00:00+00:00" 42.26 42.68 42.24 42.49 500961 37.3615997449 37.7329171111 37.3439179656 37.5649402073 500961 0.0 1.0 
"2015-10-14 00:00:00+00:00" 42.45 42.55 41.64 42.25 1100911 37.5295766486 37.6179855453 36.8134645854 37.3527588552 1100911 0.0 1.0 
"2015-10-15 00:00:00+00:00" 42.49 42.77 42.21 42.67 1082456 37.5649402073 37.8124851181 37.3173952966 37.7240762214 1082456 0.0 1.0 
"2015-10-16 00:00:00+00:00" 42.85 42.9 42.49 42.52 1280254 37.8832122354 37.9274166838 37.5649402073 37.5914628763 1280254 0.0 1.0 
"2015-10-19 00:00:00+00:00" 42.71 42.95 42.585 42.76 1458442 37.7594397801 37.9716211321 37.6489286592 37.8036442284 1458442 0.0 1.0 
"2015-10-20 00:00:00+00:00" 43.45 43.62 42.56 42.6 1510562 38.4136656156 38.56396074 37.626826435 37.6621899937 1510562 0.0 1.0 
"2015-10-21 00:00:00+00:00" 43.12 43.76 43.03 43.6 699840 38.1219162565 38.6877331954 38.0423482495 38.5462789607 699840 0.0 1.0 
"2015-10-22 00:00:00+00:00" 43.58 43.8 43.23 43.34 948263 38.5285971813 38.7230967541 38.2191660429 38.3164158293 948263 0.0 1.0 
"2015-10-23 00:00:00+00:00" 43.56 43.94 43.47 43.76 1390047 38.510915402 38.8468692095 38.431347395 38.6877331954 1390047 0.0 1.0 
"2015-10-26 00:00:00+00:00" 43.72 43.82 43.32 43.57 1056785 38.6523696367 38.7407785334 38.2987340499 38.5197562917 1056785 0.0 1.0 
"2015-10-27 00:00:00+00:00" 43.65 43.73 43.32 43.5 1244946 38.590483409 38.6612105264 38.2987340499 38.457870064 1244946 0.0 1.0 
"2015-10-28 00:00:00+00:00" 44.05 44.3 43.63 44.03 1605992 38.9441189958 39.1651412376 38.5728016297 38.9264372165 1605992 0.0 1.0 
"2015-10-29 00:00:00+00:00" 44.15 44.29 43.73 43.73 1306700 39.0325278925 39.1563003479 38.6612105264 38.6612105264 1306700 0.0 1.0 
"2015-10-30 00:00:00+00:00" 43.73 44.26 43.56 44.1 1398414 38.6612105264 39.1297776789 38.510915402 38.9883234442 1398414 0.0 1.0 
"2015-11-02 00:00:00+00:00" 43.68 43.69 42.91 43.19 1072624 38.617006078 38.6258469677 37.9362575735 38.1838024842 1072624 0.0 1.0 
"2015-11-03 00:00:00+00:00" 43.92 44.16 43.53 43.58 1562224 38.8291874301 39.0413687822 38.484392733 38.5285971813 1562224 0.0 1.0 
"2015-11-04 00:00:00+00:00" 44.01 44.19 43.82 43.97 1240536 38.9087554371 39.0678914512 38.7407785334 38.8733918785 1240536 0.0 1.0 
"2015-11-05 00:00:00+00:00" 44.09 44.16 43.78 43.99 845938 38.9794825545 39.0413687822 38.7054149747 38.8910736578 845938 0.0 1.0 
"2015-11-06 00:00:00+00:00" 44.06 44.3099 43.83 44.26 849346 38.9529598855 39.1738937183 38.7496194231 39.1297776789 849346 0.0 1.0 
