date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 2.37 2.48 2.33 2.45 5327943 2.37 2.48 2.33 2.45 5327943 0.0 1.0 
"2015-10-02 00:00:00+00:00" 2.56 2.63 2.31 2.35 7089650 2.56 2.63 2.31 2.35 7089650 0.0 1.0 
"2015-10-05 00:00:00+00:00" 2.77 2.84 2.48 2.5 11201446 2.77 2.84 2.48 2.5 11201446 0.0 1.0 
"2015-10-06 00:00:00+00:00" 2.8 2.88 2.75 2.75 6795105 2.8 2.88 2.75 2.75 6795105 0.0 1.0 
"2015-10-07 00:00:00+00:00" 3.04 3.1 2.85 2.89 12087687 3.04 3.1 2.85 2.89 12087687 0.0 1.0 
"2015-10-08 00:00:00+00:00" 3.11 3.14 2.91 3.0 7224756 3.11 3.14 2.91 3.0 7224756 0.0 1.0 
"2015-10-09 00:00:00+00:00" 3.06 3.19 2.99 3.17 6415244 3.06 3.19 2.99 3.17 6415244 0.0 1.0 
"2015-10-12 00:00:00+00:00" 2.85 3.08 2.75 3.05 4810400 2.85 3.08 2.75 3.05 4810400 0.0 1.0 
"2015-10-13 00:00:00+00:00" 2.84 2.93 2.75 2.76 3411091 2.84 2.93 2.75 2.76 3411091 0.0 1.0 
"2015-10-14 00:00:00+00:00" 2.82 2.91 2.76 2.84 6115580 2.82 2.91 2.76 2.84 6115580 0.0 1.0 
"2015-10-15 00:00:00+00:00" 2.92 2.945 2.765 2.81 5524531 2.92 2.945 2.765 2.81 5524531 0.0 1.0 
"2015-10-16 00:00:00+00:00" 2.86 2.99 2.85 2.95 4995804 2.86 2.99 2.85 2.95 4995804 0.0 1.0 
"2015-10-19 00:00:00+00:00" 2.77 2.88 2.65 2.8 5178432 2.77 2.88 2.65 2.8 5178432 0.0 1.0 
"2015-10-20 00:00:00+00:00" 2.71 2.8 2.67 2.75 4255264 2.71 2.8 2.67 2.75 4255264 0.0 1.0 
"2015-10-21 00:00:00+00:00" 2.53 2.73 2.53 2.73 5695786 2.53 2.73 2.53 2.73 5695786 0.0 1.0 
"2015-10-22 00:00:00+00:00" 2.64 2.71 2.53 2.55 5465466 2.64 2.71 2.53 2.55 5465466 0.0 1.0 
