date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 45.17 45.23 44.1 44.29 1622189 41.7629322666 41.8184066065 40.7736398706 40.9493086138 1622189 0.0 1.0 
"2015-10-02 00:00:00+00:00" 46.15 46.15 44.32 44.54 1231430 42.6690131526 42.6690131526 40.9770457838 41.180451697 1231430 0.0 1.0 
"2015-10-05 00:00:00+00:00" 47.43 47.605 46.38 46.48 1024794 43.8524657384 44.0142658966 42.8816647891 42.9741220224 1024794 0.0 1.0 
"2015-10-06 00:00:00+00:00" 47.61 48.84 47.54 47.81 1637377 44.0188887583 45.1561127274 43.954168695 44.2038032248 1637377 0.0 1.0 
"2015-10-07 00:00:00+00:00" 48.91 49.11 47.67 47.9 1903683 45.2208327907 45.4057472573 44.0743630982 44.2870147347 1903683 0.0 1.0 
"2015-10-08 00:00:00+00:00" 50.57 50.99 48.63 48.74 1726189 46.755622863 47.1439432427 44.9619525376 45.0636554942 1726189 0.0 1.0 
"2015-10-09 00:00:00+00:00" 50.72 51.88 50.55 51.37 1927949 46.8943087129 47.9668126188 46.7371314163 47.4952807291 1927949 0.0 1.0 
"2015-10-12 00:00:00+00:00" 50.51 51.26 50.31 51.08 1161579 46.700148523 47.3935777725 46.5152340565 47.2271547526 1161579 0.0 1.0 
"2015-10-13 00:00:00+00:00" 50.26 50.92 49.87 50.18 917498 46.4690054398 47.0792231794 46.1084222301 46.3950396532 917498 0.0 1.0 
"2015-10-14 00:00:00+00:00" 51.44 51.72 50.07 50.15 906065 47.5600007924 47.8188810455 46.2933366966 46.3673024832 906065 0.0 1.0 
"2015-10-15 00:00:00+00:00" 51.47 51.82 50.01 51.73 1460083 47.5877379624 47.9113382788 46.2378623567 47.8281267689 1460083 0.0 1.0 
"2015-10-16 00:00:00+00:00" 52.45 52.73 51.555 51.7 2034960 48.4938188484 48.7526991015 47.6663266106 47.8003895989 2034960 0.0 1.0 
"2015-10-19 00:00:00+00:00" 52.26 52.4 51.84 52.08 1556519 48.3181501052 48.4475902317 47.9298297254 48.1517270853 1556519 0.0 1.0 
"2015-10-20 00:00:00+00:00" 52.1 52.94 52.06 52.19 939843 48.1702185319 48.9468592914 48.1332356386 48.2534300419 939843 0.0 1.0 
"2015-10-21 00:00:00+00:00" 51.18 52.84 51.02 52.4 1166490 47.3196119859 48.8544020581 47.1716804127 48.4475902317 1166490 0.0 1.0 
"2015-10-22 00:00:00+00:00" 52.39 53.12 51.36 51.82 1463725 48.4383445084 49.1132823113 47.4860350058 47.9113382788 1463725 0.0 1.0 
"2015-10-23 00:00:00+00:00" 52.58 53.66 52.49 52.87 1266203 48.6140132516 49.6125513709 48.5308017417 48.8821392281 1266203 0.0 1.0 
"2015-10-26 00:00:00+00:00" 52.68 52.97 52.05 52.43 1085463 48.7064704849 48.9745964614 48.1239899153 48.4753274017 1085463 0.0 1.0 
"2015-10-27 00:00:00+00:00" 51.93 52.5 51.02 52.24 1697718 48.0130412354 48.540047465 47.1716804127 48.2996586585 1697718 0.0 1.0 
"2015-10-28 00:00:00+00:00" 53.58 54.065 51.78 52.05 1772558 49.5385855843 49.9870031656 47.8743553855 48.1239899153 1772558 0.0 1.0 
"2015-10-29 00:00:00+00:00" 54.29 54.59 53.09 53.33 1433548 50.1950319405 50.4724036403 49.0855451413 49.3074425011 1433548 0.0 1.0 
"2015-10-30 00:00:00+00:00" 53.52 54.37 52.93 54.33 1412173 49.4831112443 50.2689977271 48.9376135681 50.2320148338 1412173 0.0 1.0 
"2015-11-02 00:00:00+00:00" 54.24 54.87 54.06 54.26 2509437 50.1488033238 50.7312838934 49.982380304 50.1672947705 2509437 0.0 1.0 
"2015-11-03 00:00:00+00:00" 54.67 55.48 54.262 54.43 1563716 50.5463694269 51.2952730164 50.1691439152 50.3244720671 1563716 0.0 1.0 
"2015-11-04 00:00:00+00:00" 54.22 55.3 53.78 54.94 2019514 50.1303118772 51.1288499965 49.7235000508 50.7960039567 2019514 0.0 1.0 
"2015-11-05 00:00:00+00:00" 49.43 52.82 48.16 52.5 5880304 45.7016104037 48.8359106115 44.5274035412 48.540047465 5880304 0.0 1.0 
"2015-11-06 00:00:00+00:00" 50.68 50.84 49.34 49.48 2224174 46.8573258196 47.0052573928 45.6183988938 45.7478390204 2224174 0.0 1.0 
"2015-11-09 00:00:00+00:00" 49.92 50.82 49.48 50.38 2509581 46.1546508467 46.9867659461 45.7478390204 46.5799541198 2509581 0.0 1.0 
"2015-11-10 00:00:00+00:00" 49.58 50.33 49.26 49.94 1198991 45.8402962536 46.5337255031 45.5444331072 46.1731422934 1198991 0.0 1.0 
"2015-11-11 00:00:00+00:00" 48.9 49.9875 48.44 49.85 1645649 45.2115870674 46.2170594792 44.7862837944 46.0899307834 1645649 0.0 1.0 
"2015-11-12 00:00:00+00:00" 46.92 48.86 46.85 48.14 1315274 43.3809338487 45.1746041741 43.3162137854 44.5089120946 1315274 0.0 1.0 
"2015-11-13 00:00:00+00:00" 47.62 48.24 46.49 46.75 2017058 44.0281344816 44.6013693278 42.9833677457 43.2237565522 2017058 0.0 1.0 
"2015-11-16 00:00:00+00:00" 47.98 48.07 47.02 47.43 1024503 44.3609805214 44.4441920313 43.473391082 43.8524657384 1024503 0.0 1.0 
"2015-11-17 00:00:00+00:00" 48.52 48.9275 47.665 48.11 1743152 44.860249581 45.2370128066 44.0697402366 44.4811749246 1743152 0.0 1.0 
"2015-11-18 00:00:00+00:00" 50.81 50.86 48.48 48.64 1593854 46.9775202228 47.0237488394 44.8232666877 44.9711982609 1593854 0.0 1.0 
"2015-11-19 00:00:00+00:00" 50.69 51.14 50.31 50.5 1066441 46.8665715429 47.2826290926 46.5152340565 46.6909027997 1066441 0.0 1.0 
"2015-11-20 00:00:00+00:00" 51.67 51.97 50.75 50.94 1304175 47.7726524289 48.0500241287 46.9220458828 47.097714626 1304175 0.0 1.0 
"2015-11-23 00:00:00+00:00" 52.11 52.15 51.24 51.57 1610198 48.1794642553 48.2164471486 47.3750863258 47.6801951956 1610198 0.0 1.0 
"2015-11-24 00:00:00+00:00" 53.01 53.09 51.6701 51.95 1567723 49.0115793547 49.0855451413 47.7727448861 48.031532682 1567723 0.0 1.0 
"2015-11-25 00:00:00+00:00" 52.9 53.21 52.55 52.89 649730 48.9098763981 49.1964938212 48.5862760816 48.9006306747 649730 0.0 1.0 
"2015-11-27 00:00:00+00:00" 53.11 53.34 52.76 52.9 312031 49.1040365879 49.3166882244 48.7804362715 48.9098763981 312031 0.0 1.0 
"2015-11-30 00:00:00+00:00" 53.56 53.69 53.1 53.29 814932 49.5200941376 49.6402885409 49.0947908646 49.2704596078 814932 0.0 1.0 
"2015-12-01 00:00:00+00:00" 52.95 53.8 52.83 53.68 1255810 48.9561050147 49.7419914975 48.8451563348 49.6310428176 1255810 0.0 1.0 
"2015-12-02 00:00:00+00:00" 52.28 53.07 51.8 52.75 934881 48.3366415518 49.0670536946 47.8928468321 48.7711905482 934881 0.0 1.0 
"2015-12-03 00:00:00+00:00" 52.83 52.96 51.8 52.27 1451082 48.8451563348 48.965350738 47.8928468321 48.3273958285 1451082 0.0 1.0 
"2015-12-04 00:00:00+00:00" 52.99 53.52 51.94 52.51 1190766 48.993087908 49.4831112443 48.0222869587 48.5492931883 1190766 0.0 1.0 
"2015-12-07 00:00:00+00:00" 51.1 52.66 50.88 52.53 968451 47.2456461993 48.6879790382 47.0422402861 48.567784635 968451 0.0 1.0 
"2015-12-08 00:00:00+00:00" 49.78 50.71 49.67 50.55 731354 46.0252107202 46.8850629895 45.9235077636 46.7371314163 731354 0.0 1.0 
"2015-12-09 00:00:00+00:00" 50.02 51.42 49.62 50.77 1565360 46.24710808 47.5415093457 45.8772791469 46.9405373295 1565360 0.0 1.0 
"2015-12-10 00:00:00+00:00" 49.21 49.96 49.03 49.93 833763 45.4982044905 46.19163374 45.3317814707 46.1638965701 833763 0.0 1.0 
"2015-12-11 00:00:00+00:00" 47.95 48.4 47.31 47.97 1399595 44.6013693278 45.0199431797 44.0060642941 44.6199726102 1399595 0.29 1.0 
"2015-12-14 00:00:00+00:00" 47.76 47.9699 46.34 47.83 1587289 44.4246381459 44.6198795937 43.1038051022 44.489749634 1587289 0.0 1.0 
"2015-12-15 00:00:00+00:00" 48.68 49.34 48.0 48.1 1032412 45.280389132 45.8942974481 44.6478775336 44.7408939451 1032412 0.0 1.0 
"2015-12-16 00:00:00+00:00" 51.83 52.06 48.75 49.15 2255718 48.2104060951 48.4243438417 45.3455006201 45.7175662662 2255718 0.0 1.0 
"2015-12-17 00:00:00+00:00" 52.42 53.1 51.33 51.99 1716108 48.7592029232 49.3917145216 47.7453240375 48.3592323536 1716108 0.0 1.0 
"2015-12-18 00:00:00+00:00" 51.18 53.31 50.97 52.01 2103817 47.6057994202 49.5870489858 47.410464956 48.3778356359 2103817 0.0 1.0 
"2015-12-21 00:00:00+00:00" 51.46 51.87 50.79 51.6 841222 47.8662453725 48.2476126598 47.2430354153 47.9964683486 841222 0.0 1.0 
"2015-12-22 00:00:00+00:00" 54.31 54.77 51.43 51.6 1159409 50.517213101 50.9450885941 47.838340449 47.9964683486 1159409 0.0 1.0 
"2015-12-23 00:00:00+00:00" 56.29 56.45 54.49 54.56 1068410 52.3589380493 52.5077643078 50.6846426418 50.7497541299 1068410 0.0 1.0 
"2015-12-24 00:00:00+00:00" 55.95 56.5 55.8 56.25 380672 52.0426822501 52.5542725135 51.9031576328 52.3217314847 380672 0.0 1.0 
