date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 42.45 42.46 42.29 42.41 15718 39.7141291445 39.7234846519 39.5644410252 39.6767071147 15718 0.0 1.0 
"2015-10-02 00:00:00+00:00" 42.65 42.89 42.3812 42.89 3769 39.9012392936 40.1257714725 39.6497632532 40.1257714725 3769 0.0 1.0 
"2015-10-05 00:00:00+00:00" 42.95 42.95 42.81 42.81 3716 40.1819045172 40.1819045172 40.0509274128 40.0509274128 3716 0.0 1.0 
"2015-10-06 00:00:00+00:00" 43.0 43.1795 42.66 43.1795 2164 40.2286820545 40.3966134133 39.910594801 40.3966134133 2164 0.0 1.0 
"2015-10-07 00:00:00+00:00" 43.43 43.46 43.39 43.39 11936 40.630968875 40.6590353974 40.5935468452 40.5935468452 11936 0.0 1.0 
"2015-10-08 00:00:00+00:00" 43.51 43.51 42.96 42.96 897 40.7058129347 40.7058129347 40.1912600247 40.1912600247 897 0.0 1.0 
"2015-10-09 00:00:00+00:00" 43.8993 43.907 43.54 43.54 1710 41.0700228399 41.0772265806 40.733879457 40.733879457 1710 0.0 1.0 
"2015-10-12 00:00:00+00:00" 43.87 44.0999 43.77 43.77 1982 41.042611203 41.2576943194 40.9490561285 40.9490561285 1982 0.0 1.0 
"2015-10-13 00:00:00+00:00" 44.09 44.1 43.8025 44.1 2419 41.248432367 41.2577878745 40.9794615277 41.2577878745 2419 0.0 1.0 
"2015-10-14 00:00:00+00:00" 44.15 44.26 43.82 44.01 35075 41.3045654118 41.4074759938 40.9958336658 41.1735883074 35075 0.0 1.0 
"2015-10-15 00:00:00+00:00" 44.29 44.4599 44.0148 44.195 2692 41.4355425161 41.5944925878 41.178078951 41.3466651953 2692 0.0 1.0 
"2015-10-16 00:00:00+00:00" 44.18 44.24 44.0201 44.0201 521 41.3326319341 41.3887649788 41.1830373699 41.1830373699 521 0.0 1.0 
"2015-10-19 00:00:00+00:00" 44.0035 44.0035 44.0 44.0 858 41.1675072275 41.1675072275 41.1642327999 41.1642327999 858 0.0 1.0 
"2015-10-20 00:00:00+00:00" 43.9376 44.08 43.8 44.08 1638 41.1058544334 41.2390768596 40.9771226508 41.2390768596 1638 0.0 1.0 
"2015-10-21 00:00:00+00:00" 43.9376 43.9376 43.9376 43.9376 132 41.1058544334 41.1058544334 41.1058544334 41.1058544334 132 0.0 1.0 
"2015-10-22 00:00:00+00:00" 43.86 43.86 43.75 43.77 1207 41.0332556956 41.0332556956 40.9303451136 40.9490561285 1207 0.0 1.0 
"2015-10-23 00:00:00+00:00" 43.8889 44.05 43.82 44.05 2563 41.0602931121 41.2110103372 40.9958336658 41.2110103372 2563 0.0 1.0 
"2015-10-26 00:00:00+00:00" 43.76 43.83 43.73 43.78 12064 41.0239001881 41.0895234288 40.9957759421 41.0426496855 12064 0.09 1.0 
"2015-10-27 00:00:00+00:00" 43.6 43.7596 43.6 43.7596 648 40.8739042094 41.0235251982 40.8739042094 41.0235251982 648 0.0 1.0 
"2015-10-28 00:00:00+00:00" 43.58 43.58 43.4702 43.4702 1290 40.855154712 40.855154712 40.7522199716 40.7522199716 1290 0.0 1.0 
"2015-10-29 00:00:00+00:00" 43.52 43.54 43.25 43.5 59411 40.79890622 40.8176557173 40.5457880059 40.7801567226 59411 0.0 1.0 
"2015-10-30 00:00:00+00:00" 43.67 43.71 43.63 43.64 42088 40.9395274501 40.9770264448 40.9020284554 40.9114032041 42088 0.0 1.0 
"2015-11-02 00:00:00+00:00" 43.639 43.67 43.639 43.67 947 40.9104657292 40.9395274501 40.9104657292 40.9395274501 947 0.0 1.0 
