date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 55.44 56.79 55.0 56.58 882435 55.44 56.79 55.0 56.58 882435 0.0 1.0 
"2015-10-02 00:00:00+00:00" 56.91 56.97 54.69 54.91 694131 56.91 56.97 54.69 54.91 694131 0.0 1.0 
"2015-10-05 00:00:00+00:00" 58.47 58.59 57.3 57.3 744825 58.47 58.59 57.3 57.3 744825 0.0 1.0 
"2015-10-06 00:00:00+00:00" 55.75 58.96 55.53 58.55 721563 55.75 58.96 55.53 58.55 721563 0.0 1.0 
"2015-10-07 00:00:00+00:00" 56.55 56.83 55.37 56.05 671503 56.55 56.83 55.37 56.05 671503 0.0 1.0 
"2015-10-08 00:00:00+00:00" 56.23 56.96 55.43 56.59 450256 56.23 56.96 55.43 56.59 450256 0.0 1.0 
"2015-10-09 00:00:00+00:00" 56.39 56.63 55.678 56.33 689334 56.39 56.63 55.678 56.33 689334 0.0 1.0 
"2015-10-12 00:00:00+00:00" 57.26 57.66 56.3803 56.45 355604 57.26 57.66 56.3803 56.45 355604 0.0 1.0 
"2015-10-13 00:00:00+00:00" 56.21 57.53 56.16 56.83 747405 56.21 57.53 56.16 56.83 747405 0.0 1.0 
"2015-10-14 00:00:00+00:00" 56.5 57.05 55.32 56.52 742810 56.5 57.05 55.32 56.52 742810 0.0 1.0 
"2015-10-15 00:00:00+00:00" 60.65 60.93 56.98 57.13 1555893 60.65 60.93 56.98 57.13 1555893 0.0 1.0 
"2015-10-16 00:00:00+00:00" 60.65 61.42 59.84 60.83 653013 60.65 61.42 59.84 60.83 653013 0.0 1.0 
"2015-10-19 00:00:00+00:00" 61.1 61.73 60.325 60.47 769612 61.1 61.73 60.325 60.47 769612 0.0 1.0 
"2015-10-20 00:00:00+00:00" 61.98 62.0 60.72 61.28 821155 61.98 62.0 60.72 61.28 821155 0.0 1.0 
"2015-10-21 00:00:00+00:00" 61.59 62.44 60.74 62.44 700122 61.59 62.44 60.74 62.44 700122 0.0 1.0 
"2015-10-22 00:00:00+00:00" 60.78 61.895 60.35 61.76 2557640 60.78 61.895 60.35 61.76 2557640 0.0 1.0 
"2015-10-23 00:00:00+00:00" 67.97 68.48 64.4 64.5 2609099 67.97 68.48 64.4 64.5 2609099 0.0 1.0 
"2015-10-26 00:00:00+00:00" 68.27 68.43 66.18 67.0 1298058 68.27 68.43 66.18 67.0 1298058 0.0 1.0 
"2015-10-27 00:00:00+00:00" 67.09 68.16 66.22 68.0 1255453 67.09 68.16 66.22 68.0 1255453 0.0 1.0 
"2015-10-28 00:00:00+00:00" 66.3 67.12 65.385 67.12 1379587 66.3 67.12 65.385 67.12 1379587 0.0 1.0 
"2015-10-29 00:00:00+00:00" 65.7 66.47 65.28 66.47 1193913 65.7 66.47 65.28 66.47 1193913 0.0 1.0 
"2015-10-30 00:00:00+00:00" 65.46 65.97 64.56 65.39 924119 65.46 65.97 64.56 65.39 924119 0.0 1.0 
"2015-11-02 00:00:00+00:00" 66.37 67.08 65.15 65.76 891918 66.37 67.08 65.15 65.76 891918 0.0 1.0 
"2015-11-03 00:00:00+00:00" 66.93 66.96 65.61 66.2 464640 66.93 66.96 65.61 66.2 464640 0.0 1.0 
"2015-11-04 00:00:00+00:00" 66.53 67.31 65.98 67.18 339018 66.53 67.31 65.98 67.18 339018 0.0 1.0 
"2015-11-05 00:00:00+00:00" 66.39 66.8 65.7801 66.6 322138 66.39 66.8 65.7801 66.6 322138 0.0 1.0 
"2015-11-06 00:00:00+00:00" 67.17 67.19 65.94 66.16 334235 67.17 67.19 65.94 66.16 334235 0.0 1.0 
"2015-11-09 00:00:00+00:00" 67.08 67.98 66.57 66.93 496479 67.08 67.98 66.57 66.93 496479 0.0 1.0 
"2015-11-10 00:00:00+00:00" 66.1 67.105 64.69 66.66 1177219 66.1 67.105 64.69 66.66 1177219 0.0 1.0 
"2015-11-11 00:00:00+00:00" 65.59 66.19 65.43 66.0 741816 65.59 66.19 65.43 66.0 741816 0.0 1.0 
"2015-11-12 00:00:00+00:00" 64.0 65.6 63.88 65.04 484819 64.0 65.6 63.88 65.04 484819 0.0 1.0 
"2015-11-13 00:00:00+00:00" 63.67 64.36 63.6 64.0 475566 63.67 64.36 63.6 64.0 475566 0.0 1.0 
"2015-11-16 00:00:00+00:00" 65.15 65.23 63.05 63.65 699269 65.15 65.23 63.05 63.65 699269 0.0 1.0 
"2015-11-17 00:00:00+00:00" 65.28 66.41 65.105 65.33 642880 65.28 66.41 65.105 65.33 642880 0.0 1.0 
"2015-11-18 00:00:00+00:00" 66.33 66.72 65.14 66.63 436470 66.33 66.72 65.14 66.63 436470 0.0 1.0 
"2015-11-19 00:00:00+00:00" 67.39 67.46 66.0 66.38 802114 67.39 67.46 66.0 66.38 802114 0.0 1.0 
"2015-11-20 00:00:00+00:00" 67.19 67.96 66.92 67.36 453859 67.19 67.96 66.92 67.36 453859 0.0 1.0 
"2015-11-23 00:00:00+00:00" 67.21 67.68 66.92 67.04 595479 67.21 67.68 66.92 67.04 595479 0.0 1.0 
"2015-11-24 00:00:00+00:00" 67.25 67.3 66.19 67.0 663571 67.25 67.3 66.19 67.0 663571 0.0 1.0 
"2015-11-25 00:00:00+00:00" 67.76 67.97 67.22 67.46 321504 67.76 67.97 67.22 67.46 321504 0.0 1.0 
"2015-11-27 00:00:00+00:00" 67.65 67.97 67.25 67.73 141232 67.65 67.97 67.25 67.73 141232 0.0 1.0 
"2015-11-30 00:00:00+00:00" 66.74 68.0 66.45 67.79 424887 66.74 68.0 66.45 67.79 424887 0.0 1.0 
"2015-12-01 00:00:00+00:00" 67.09 67.23 66.153 66.86 301852 67.09 67.23 66.153 66.86 301852 0.0 1.0 
"2015-12-02 00:00:00+00:00" 67.93 68.327 67.09 67.34 580560 67.93 68.327 67.09 67.34 580560 0.0 1.0 
"2015-12-03 00:00:00+00:00" 65.82 68.4245 65.581 68.33 517928 65.82 68.4245 65.581 68.33 517928 0.0 1.0 
"2015-12-04 00:00:00+00:00" 65.56 66.29 64.52 65.8 588843 65.56 66.29 64.52 65.8 588843 0.0 1.0 
"2015-12-07 00:00:00+00:00" 66.47 66.59 65.063 65.71 308676 66.47 66.59 65.063 65.71 308676 0.0 1.0 
"2015-12-08 00:00:00+00:00" 66.58 66.72 65.13 66.23 341935 66.58 66.72 65.13 66.23 341935 0.0 1.0 
"2015-12-09 00:00:00+00:00" 64.84 66.96 64.52 66.17 353895 64.84 66.96 64.52 66.17 353895 0.0 1.0 
"2015-12-10 00:00:00+00:00" 65.03 66.346 64.46 65.04 370742 65.03 66.346 64.46 65.04 370742 0.0 1.0 
"2015-12-11 00:00:00+00:00" 65.09 65.35 64.03 64.69 434937 65.09 65.35 64.03 64.69 434937 0.0 1.0 
"2015-12-14 00:00:00+00:00" 65.04 65.6889 64.4 65.2 346586 65.04 65.6889 64.4 65.2 346586 0.0 1.0 
"2015-12-15 00:00:00+00:00" 65.84 66.16 64.58 65.69 342557 65.84 66.16 64.58 65.69 342557 0.0 1.0 
"2015-12-16 00:00:00+00:00" 65.76 66.31 63.1909 66.11 286852 65.76 66.31 63.1909 66.11 286852 0.0 1.0 
"2015-12-17 00:00:00+00:00" 64.77 65.94 64.11 65.75 248470 64.77 65.94 64.11 65.75 248470 0.0 1.0 
"2015-12-18 00:00:00+00:00" 64.16 64.72 63.85 64.41 659659 64.16 64.72 63.85 64.41 659659 0.0 1.0 
"2015-12-21 00:00:00+00:00" 64.21 64.68 63.73 64.46 319897 64.21 64.68 63.73 64.46 319897 0.0 1.0 
"2015-12-22 00:00:00+00:00" 65.42 65.85 64.1 64.72 305405 65.42 65.85 64.1 64.72 305405 0.0 1.0 
"2015-12-23 00:00:00+00:00" 65.12 65.91 63.84 65.75 364573 65.12 65.91 63.84 65.75 364573 0.0 1.0 
"2015-12-24 00:00:00+00:00" 65.39 65.73 65.22 65.36 243521 65.39 65.73 65.22 65.36 243521 0.0 1.0 
"2015-12-28 00:00:00+00:00" 66.34 66.49 65.1 65.1 303458 66.34 66.49 65.1 65.1 303458 0.0 1.0 
"2015-12-29 00:00:00+00:00" 66.37 67.37 66.01 66.93 211955 66.37 67.37 66.01 66.93 211955 0.0 1.0 
"2015-12-30 00:00:00+00:00" 66.1 66.64 66.07 66.41 212569 66.1 66.64 66.07 66.41 212569 0.0 1.0 
"2015-12-31 00:00:00+00:00" 65.85 67.37 65.79 66.5 546000 65.85 67.37 65.79 66.5 546000 0.0 1.0 
"2016-01-04 00:00:00+00:00" 64.27 65.0 63.43 64.99 987310 64.27 65.0 63.43 64.99 987310 0.0 1.0 
"2016-01-05 00:00:00+00:00" 64.95 67.0 64.64 64.64 746616 64.95 67.0 64.64 64.64 746616 0.0 1.0 
"2016-01-06 00:00:00+00:00" 64.87 65.82 64.03 64.11 877822 64.87 65.82 64.03 64.11 877822 0.0 1.0 
"2016-01-07 00:00:00+00:00" 63.5 64.89 62.905 63.53 769361 63.5 64.89 62.905 63.53 769361 0.0 1.0 
"2016-01-08 00:00:00+00:00" 64.53 66.1 63.94 64.38 916004 64.53 66.1 63.94 64.38 916004 0.0 1.0 
"2016-01-11 00:00:00+00:00" 61.0 64.95 60.44 64.78 884991 61.0 64.95 60.44 64.78 884991 0.0 1.0 
"2016-01-12 00:00:00+00:00" 61.77 62.21 60.61 61.0 383561 61.77 62.21 60.61 61.0 383561 0.0 1.0 
"2016-01-13 00:00:00+00:00" 58.86 62.025 58.68 61.89 482719 58.86 62.025 58.68 61.89 482719 0.0 1.0 
"2016-01-14 00:00:00+00:00" 59.99 60.52 58.18 59.31 408873 59.99 60.52 58.18 59.31 408873 0.0 1.0 
"2016-01-15 00:00:00+00:00" 59.86 59.86 57.83 58.7 460357 59.86 59.86 57.83 58.7 460357 0.0 1.0 
"2016-01-19 00:00:00+00:00" 59.77 61.05 59.305 60.27 606147 59.77 61.05 59.305 60.27 606147 0.0 1.0 
