date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 80.23 80.49 78.0 78.88 1230201 74.0117825915 74.2516313198 71.9546184985 72.7664141944 1230201 0.0 1.0 
"2015-10-02 00:00:00+00:00" 79.26 79.37 77.21 79.02 1208227 73.1169623358 73.2184367978 71.2258473625 72.8955635097 1208227 0.0 1.0 
"2015-10-05 00:00:00+00:00" 80.91 81.7 79.03 79.73 1408829 74.6390792656 75.3678504017 72.9047884608 73.550535037 1408829 0.0 1.0 
"2015-10-06 00:00:00+00:00" 74.53 80.82 74.44 80.55 2874761 68.7535604705 74.5560547058 68.6705359107 74.3069810264 2874761 0.0 1.0 
"2015-10-07 00:00:00+00:00" 75.97 77.305 72.89 74.69 2897126 70.0819534274 71.3134843978 67.2406684918 68.9011596879 2897126 0.0 1.0 
"2015-10-08 00:00:00+00:00" 75.76 77.21 74.92 75.73 1414563 69.8882294545 71.2258473625 69.113333563 69.8605546012 1414563 0.0 1.0 
"2015-10-09 00:00:00+00:00" 75.92 77.765 75.16 75.16 2184976 70.0358286719 71.7378321479 69.3347323891 69.3347323891 2184976 0.0 1.0 
"2015-10-12 00:00:00+00:00" 77.99 78.55 75.61 76.28 1651858 71.9453935475 72.4619908085 69.7498551881 70.3679269111 1651858 0.0 1.0 
"2015-10-13 00:00:00+00:00" 73.92 77.38 73.89 76.77 2437061 68.190838454 71.382671531 68.1631636007 70.8199495145 2437061 0.0 1.0 
"2015-10-14 00:00:00+00:00" 73.45 75.4 73.11 74.83 1813366 67.7572657528 69.5561312153 67.4436174158 69.0303090032 1813366 0.0 1.0 
"2015-10-15 00:00:00+00:00" 75.98 76.274 73.15 74.06 2057730 70.0911783785 70.3623919405 67.4805172201 68.3199877693 2057730 0.0 1.0 
"2015-10-16 00:00:00+00:00" 75.83 75.95 74.53 75.9 1657830 69.9528041121 70.0635035252 68.7535604705 70.0173787697 1657830 0.0 1.0 
"2015-10-19 00:00:00+00:00" 76.87 77.42 75.44 75.74 1401753 70.9121990254 71.4195713354 69.5930310196 69.8697795523 1401753 0.0 1.0 
"2015-10-20 00:00:00+00:00" 76.49 77.48 75.82 76.85 1269646 70.561650884 71.4749210419 69.943579161 70.8937491232 1269646 0.0 1.0 
"2015-10-21 00:00:00+00:00" 74.73 77.18 74.68 76.43 1716878 68.9380594923 71.1981725092 68.8919347368 70.5063011775 1716878 0.0 1.0 
"2015-10-22 00:00:00+00:00" 75.97 76.95 74.75 76.18 1473853 70.0819534274 70.9859986341 68.9565093944 70.2756774002 1473853 0.0 1.0 
"2015-10-23 00:00:00+00:00" 79.09 79.31 76.89 76.89 1687355 72.9601381673 73.1630870913 70.9306489276 70.9306489276 1687355 0.0 1.0 
"2015-10-26 00:00:00+00:00" 79.16 79.89 78.33 78.76 1373145 73.0247128249 73.6981342545 72.2590418845 72.6557147814 1373145 0.0 1.0 
"2015-10-27 00:00:00+00:00" 77.95 79.5491 77.01 79.05 1364755 71.9084937431 73.3836556718 71.0413483407 72.923238363 1364755 0.0 1.0 
"2015-10-28 00:00:00+00:00" 75.19 78.47 74.47 78.21 2020321 69.3624072424 72.3881911998 68.6982107639 72.1483424714 2020321 0.0 1.0 
"2015-10-29 00:00:00+00:00" 75.77 76.58 74.74 75.17 923526 69.8974544056 70.6446754438 68.9472844434 69.3439573402 923526 0.0 1.0 
"2015-10-30 00:00:00+00:00" 76.25 77.48 75.5 75.78 947232 70.3402520579 71.4749210419 69.6483807262 69.9066793567 947232 0.0 1.0 
"2015-11-02 00:00:00+00:00" 77.13 77.68 76.4511 76.54 858204 71.1520477538 71.6594200637 70.5257658243 70.6077756395 858204 0.0 1.0 
"2015-11-03 00:00:00+00:00" 77.68 77.81 75.94 77.8 1379004 71.6594200637 71.7793444278 70.0542785741 71.7701194768 1379004 0.0 1.0 
"2015-11-04 00:00:00+00:00" 77.41 77.87 76.71 77.68 1009312 71.4103463843 71.8346941344 70.764599808 71.6594200637 1009312 0.0 1.0 
"2015-11-05 00:00:00+00:00" 78.06 78.17 76.85 77.87 896208 72.0099682051 72.1114426671 70.8937491232 71.8346941344 896208 0.0 1.0 
"2015-11-06 00:00:00+00:00" 78.08 79.0 77.37 77.96 699386 72.0284181073 72.8771136075 71.3734465799 71.9177186942 699386 0.0 1.0 
"2015-11-09 00:00:00+00:00" 77.31 78.12 76.79 78.07 1262455 71.3180968734 72.0653179116 70.8383994167 72.0191931562 1262455 0.0 1.0 
"2015-11-10 00:00:00+00:00" 78.57 78.6 76.9 76.98 965438 72.4804407107 72.5081155639 70.9398738787 71.0136734874 965438 0.0 1.0 
"2015-11-11 00:00:00+00:00" 77.57 78.96 77.47 78.89 691903 71.5579456017 72.8402138031 71.4656960908 72.7756391455 691903 0.0 1.0 
"2015-11-12 00:00:00+00:00" 76.68 77.99 76.621 77.53 956103 70.7369249547 71.9453935475 70.6824977433 71.5210457973 956103 0.0 1.0 
"2015-11-13 00:00:00+00:00" 75.96 77.1 75.81 76.52 1052159 70.2572274981 71.3116408649 70.1184888972 70.7751849414 1052159 0.2 1.0 
"2015-11-16 00:00:00+00:00" 76.85 76.88 74.82 75.38 1281744 71.0804098634 71.1081575836 69.2028141312 69.7207715746 1281744 0.0 1.0 
"2015-11-17 00:00:00+00:00" 77.54 79.39 76.57 77.0 1540552 71.7186074276 73.4297168388 70.8214311417 71.2191484643 1540552 0.0 1.0 
"2015-11-18 00:00:00+00:00" 78.09 78.32 76.6 77.56 1070112 72.2273156309 72.4400481523 70.8491788619 71.7371059077 1070112 0.0 1.0 
"2015-11-19 00:00:00+00:00" 79.23 79.57 78.43 78.52 822896 73.2817289978 73.5962031598 72.541789793 72.6250329535 822896 0.0 1.0 
"2015-11-20 00:00:00+00:00" 81.86 81.94 79.49 79.59 1331713 75.7142791336 75.7882730541 73.5222092394 73.61470164 1331713 0.0 1.0 
"2015-11-23 00:00:00+00:00" 80.41 82.21 80.29 81.95 1019634 74.3731393249 76.0380025358 74.2621484442 75.7975222942 1019634 0.0 1.0 
"2015-11-24 00:00:00+00:00" 79.6 79.91 77.5 79.32 1164699 73.62395088 73.9106773219 71.6816104674 73.3649721583 1164699 0.0 1.0 
