date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 57.97 58.44 57.33 58.25 3856241 52.6401920149 53.0669798404 52.0590341248 52.8944485918 3856241 0.0 1.0 
"2015-10-02 00:00:00+00:00" 59.15 59.15 56.97 57.14 3170661 53.7117018748 53.7117018748 51.7321328116 51.8865028762 3170661 0.0 1.0 
"2015-10-05 00:00:00+00:00" 59.9 60.14 59.42 59.46 2173963 54.3927462772 54.610680486 53.9568778597 53.9932002278 2173963 0.0 1.0 
"2015-10-06 00:00:00+00:00" 59.88 60.27 59.59 59.74 2154792 54.3745850932 54.7287281825 54.1112479242 54.2474568047 2154792 0.0 1.0 
"2015-10-07 00:00:00+00:00" 60.04 60.7 59.82 60.2 2422937 54.5198745657 55.1191936399 54.320101541 54.6651640382 2422937 0.0 1.0 
"2015-10-08 00:00:00+00:00" 61.12 61.23 59.74 59.88 2474983 55.5005785053 55.6004650176 54.2474568047 54.3745850932 2474983 0.0 1.0 
"2015-10-09 00:00:00+00:00" 60.44 61.33 60.31 61.17 2438182 54.883098247 55.691270938 54.7650505506 55.5459814654 2438182 0.0 1.0 
"2015-10-12 00:00:00+00:00" 60.91 61.14 60.44 60.54 1401807 55.3098860726 55.5187396893 54.883098247 54.9739041674 1401807 0.0 1.0 
"2015-10-13 00:00:00+00:00" 60.64 61.14 60.62 60.73 1649807 55.0647100877 55.5187396893 55.0465489036 55.146435416 1649807 0.0 1.0 
"2015-10-14 00:00:00+00:00" 59.86 60.6 59.78 60.5 2427049 54.3564239091 55.0283877196 54.2837791729 54.9375817992 2427049 0.0 1.0 
"2015-10-15 00:00:00+00:00" 61.59 61.6932 60.265 60.43 2906940 55.9273663308 56.0210780406 54.7241878864 54.874017655 2906940 0.0 1.0 
"2015-10-16 00:00:00+00:00" 61.2 61.51 60.66 61.44 3285033 55.5732232415 55.8547215945 55.0828712717 55.7911574503 3285033 0.0 1.0 
"2015-10-19 00:00:00+00:00" 61.59 61.65 60.8 61.03 2427221 55.9273663308 55.981849883 55.2099995602 55.418853177 2427221 0.0 1.0 
"2015-10-20 00:00:00+00:00" 61.44 62.22 61.38 61.64 3255867 55.7911574503 56.4994436289 55.7366738981 55.972769291 3255867 0.0 1.0 
"2015-10-21 00:00:00+00:00" 60.65 61.97 60.58 61.64 4371513 55.0737906797 56.2724288281 55.0102265355 55.972769291 4371513 0.0 1.0 
"2015-10-22 00:00:00+00:00" 61.55 61.64 60.62 61.0 2836249 55.8910439627 55.972769291 55.0465489036 55.3916114009 2836249 0.0 1.0 
"2015-10-23 00:00:00+00:00" 61.68 61.995 61.49 61.92 3194437 56.0090916591 56.2951303081 55.8365604105 56.2270258679 3194437 0.0 1.0 
"2015-10-26 00:00:00+00:00" 61.82 62.09 61.59 61.83 2260592 56.1362199476 56.3813959325 55.9273663308 56.1453005396 2260592 0.0 1.0 
"2015-10-27 00:00:00+00:00" 60.29 61.59 60.211 61.39 4572738 54.7468893665 55.9273663308 54.6751526895 55.7457544902 4572738 0.0 1.0 
"2015-10-28 00:00:00+00:00" 62.31 62.31 60.47 60.61 3851177 56.5811689572 56.5811689572 54.9103400231 55.0374683116 3851177 0.0 1.0 
"2015-10-29 00:00:00+00:00" 62.79 62.934 62.07 62.16 2700979 57.0170373748 57.1477979 56.3632347484 56.4449600767 2700979 0.0 1.0 
"2015-10-30 00:00:00+00:00" 61.88 62.94 61.85 62.84 3913475 56.1907034998 57.1532462553 56.1634617237 57.0624403349 3913475 0.0 1.0 
"2015-11-02 00:00:00+00:00" 61.8 62.33 61.45 62.1 5335727 56.1180587635 56.5993301412 55.8002380424 56.3904765245 5335727 0.0 1.0 
"2015-11-03 00:00:00+00:00" 63.16 63.36 61.64 62.92 6269132 57.35301928 57.5346311206 55.972769291 57.1350850712 6269132 0.0 1.0 
"2015-11-04 00:00:00+00:00" 62.89 63.31 62.23 63.1 3658144 57.1078432951 57.4892281605 56.5085242209 57.2985357278 3658144 0.0 1.0 
"2015-11-05 00:00:00+00:00" 63.55 63.715 62.9 62.96 3230957 57.7071623693 57.8569921378 57.1169238871 57.1714074393 3230957 0.0 1.0 
"2015-11-06 00:00:00+00:00" 64.07 64.495 63.42 63.99 3067585 58.179353155 58.5652783164 57.5891146728 58.1067084187 3067585 0.0 1.0 
"2015-11-09 00:00:00+00:00" 63.52 64.05 63.21 64.03 2453975 57.6799205932 58.1611919709 57.3984222401 58.1430307868 2453975 0.0 1.0 
"2015-11-10 00:00:00+00:00" 63.32 63.64 63.12 63.49 1813049 57.4983087525 57.7888876976 57.3166969118 57.6526788171 1813049 0.0 1.0 
"2015-11-11 00:00:00+00:00" 63.12 63.54 63.01 63.52 1452379 57.3166969118 57.6980817772 57.2168103995 57.6799205932 1452379 0.0 1.0 
"2015-11-12 00:00:00+00:00" 62.55 62.88 62.28 62.43 3045885 56.799103166 57.0987627031 56.5539271811 56.6901360616 3045885 0.0 1.0 
