date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 58.56 58.585 57.07 57.95 704807 56.0665919843 56.0905275171 54.6400342306 55.4825649845 704807 0.0 1.0 
"2015-10-02 00:00:00+00:00" 58.08 58.102 57.05 57.98 693271 55.6070297549 55.6280930238 54.6208858044 55.5112876238 693271 0.0 1.0 
"2015-10-05 00:00:00+00:00" 59.01 59.65 58.41 58.45 514921 56.4974315744 57.1101812135 55.9229787876 55.9612756401 514921 0.0 1.0 
"2015-10-06 00:00:00+00:00" 58.65 59.68 58.36 59.15 600683 56.1527599023 57.1389038529 55.8751077221 56.6314705579 600683 0.0 1.0 
"2015-10-07 00:00:00+00:00" 59.64 59.69 58.78 58.87 618764 57.1006070004 57.148478066 56.2772246728 56.3633925908 618764 0.0 1.0 
"2015-10-08 00:00:00+00:00" 59.74 59.88 58.89 59.39 518575 57.1963491315 57.3303881151 56.382541017 56.8612516726 518575 0.0 1.0 
"2015-10-09 00:00:00+00:00" 59.67 60.43 59.39 59.81 501433 57.1293296397 57.8569698363 56.8612516726 57.2633686233 501433 0.0 1.0 
"2015-10-12 00:00:00+00:00" 59.14 59.89 58.99 59.69 421309 56.6218963448 57.3399623282 56.4782831481 57.148478066 421309 0.0 1.0 
"2015-10-13 00:00:00+00:00" 58.86 59.52 58.3303 58.9 531932 56.3538183777 56.9857164431 55.8466723091 56.3921152301 531932 0.0 1.0 
"2015-10-14 00:00:00+00:00" 58.83 59.3 58.26 58.81 630196 56.3250957383 56.7750837546 55.7793655909 56.3059473121 630196 0.0 1.0 
"2015-10-15 00:00:00+00:00" 60.34 60.61 58.73 59.22 745757 57.7708019183 58.0293056723 56.2293536072 56.6984900497 745757 0.0 1.0 
"2015-10-16 00:00:00+00:00" 60.32 60.95 60.11 60.59 697007 57.751653492 58.3548289181 57.5505950167 58.0101572461 697007 0.0 1.0 
"2015-10-19 00:00:00+00:00" 59.98 60.307 59.44 60.03 513474 57.4261302462 57.739207015 56.9091227382 57.4740013118 513474 0.0 1.0 
"2015-10-20 00:00:00+00:00" 61.99 62.9 59.94 59.94 924527 59.3505470817 60.2218004749 57.3878333938 57.3878333938 924527 0.0 1.0 
"2015-10-21 00:00:00+00:00" 61.27 62.49 61.09 62.34 384323 58.6612037377 59.8292577374 58.4888679017 59.6856445407 384323 0.0 1.0 
