date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2017-11-01 00:00:00+00:00" 18.31 18.98 16.55 17.1 7533500 18.31 18.98 16.55 17.1 7533500 0.0 1.0 
"2017-11-02 00:00:00+00:00" 17.41 18.2 17.33 18.05 952072 17.41 18.2 17.33 18.05 952072 0.0 1.0 
"2017-11-03 00:00:00+00:00" 19.37 19.4 17.5 17.5 842709 19.37 19.4 17.5 17.5 842709 0.0 1.0 
"2017-11-06 00:00:00+00:00" 18.97 19.6 18.101 19.06 427430 18.97 19.6 18.101 19.06 427430 0.0 1.0 
"2017-11-07 00:00:00+00:00" 19.51 19.945 18.85 18.99 1008722 19.51 19.945 18.85 18.99 1008722 0.0 1.0 
"2017-11-08 00:00:00+00:00" 20.36 20.38 18.62 19.55 558417 20.36 20.38 18.62 19.55 558417 0.0 1.0 
"2017-11-09 00:00:00+00:00" 20.4 20.62 20.0 20.12 282539 20.4 20.62 20.0 20.12 282539 0.0 1.0 
"2017-11-10 00:00:00+00:00" 20.76 20.85 20.23 20.4 132348 20.76 20.85 20.23 20.4 132348 0.0 1.0 
"2017-11-13 00:00:00+00:00" 21.72 21.78 20.501 20.62 222996 21.72 21.78 20.501 20.62 222996 0.0 1.0 
"2017-11-14 00:00:00+00:00" 22.36 22.98 21.52 21.54 318864 22.36 22.98 21.52 21.54 318864 0.0 1.0 
"2017-11-15 00:00:00+00:00" 23.49 23.55 22.03 22.53 638265 23.49 23.55 22.03 22.53 638265 0.0 1.0 
"2017-11-16 00:00:00+00:00" 23.94 23.9988 23.4 23.9 328162 23.94 23.9988 23.4 23.9 328162 0.0 1.0 
"2017-11-17 00:00:00+00:00" 24.16 24.33 23.751 23.94 329609 24.16 24.33 23.751 23.94 329609 0.0 1.0 
"2017-11-20 00:00:00+00:00" 24.76 24.95 24.09 24.28 307984 24.76 24.95 24.09 24.28 307984 0.0 1.0 
"2017-11-21 00:00:00+00:00" 24.5 25.59 24.28 24.89 376697 24.5 25.59 24.28 24.89 376697 0.0 1.0 
"2017-11-22 00:00:00+00:00" 23.94 24.3 23.68 24.01 296546 23.94 24.3 23.68 24.01 296546 0.0 1.0 
"2017-11-24 00:00:00+00:00" 24.9 24.93 23.86 23.86 76227 24.9 24.93 23.86 23.86 76227 0.0 1.0 
"2017-11-27 00:00:00+00:00" 22.65 25.09 22.59 24.5 353294 22.65 25.09 22.59 24.5 353294 0.0 1.0 
"2017-11-28 00:00:00+00:00" 23.87 23.9855 22.87 23.38 275419 23.87 23.9855 22.87 23.38 275419 0.0 1.0 
"2017-11-29 00:00:00+00:00" 22.14 24.34 21.3521 23.99 396769 22.14 24.34 21.3521 23.99 396769 0.0 1.0 
"2017-11-30 00:00:00+00:00" 22.39 23.15 21.845 22.18 303127 22.39 23.15 21.845 22.18 303127 0.0 1.0 
"2017-12-01 00:00:00+00:00" 23.46 24.63 21.38 21.38 533622 23.46 24.63 21.38 21.38 533622 0.0 1.0 
"2017-12-04 00:00:00+00:00" 21.9 23.9436 21.6 23.48 327833 21.9 23.9436 21.6 23.48 327833 0.0 1.0 
"2017-12-05 00:00:00+00:00" 21.56 22.9399 21.2 21.68 435673 21.56 22.9399 21.2 21.68 435673 0.0 1.0 
"2017-12-06 00:00:00+00:00" 21.02 21.7 20.501 21.21 236233 21.02 21.7 20.501 21.21 236233 0.0 1.0 
"2017-12-07 00:00:00+00:00" 22.2 22.7 20.5 20.95 293398 22.2 22.7 20.5 20.95 293398 0.0 1.0 
"2017-12-08 00:00:00+00:00" 21.6 22.47 21.385 22.32 140153 21.6 22.47 21.385 22.32 140153 0.0 1.0 
"2017-12-11 00:00:00+00:00" 23.08 23.11 21.68 21.68 145567 23.08 23.11 21.68 21.68 145567 0.0 1.0 
"2017-12-12 00:00:00+00:00" 22.32 23.585 22.13 22.97 272348 22.32 23.585 22.13 22.97 272348 0.0 1.0 
"2017-12-13 00:00:00+00:00" 21.44 22.98 21.39 22.35 197155 21.44 22.98 21.39 22.35 197155 0.0 1.0 
"2017-12-14 00:00:00+00:00" 21.0 21.82 21.0 21.43 176819 21.0 21.82 21.0 21.43 176819 0.0 1.0 
"2017-12-15 00:00:00+00:00" 21.26 21.49 20.61 21.0 715276 21.26 21.49 20.61 21.0 715276 0.0 1.0 
"2017-12-18 00:00:00+00:00" 22.63 23.565 21.0357 21.36 428309 22.63 23.565 21.0357 21.36 428309 0.0 1.0 
"2017-12-19 00:00:00+00:00" 22.59 22.85 21.13 22.45 180919 22.59 22.85 21.13 22.45 180919 0.0 1.0 
"2017-12-20 00:00:00+00:00" 23.24 23.44 22.19 22.47 297255 23.24 23.44 22.19 22.47 297255 0.0 1.0 
"2017-12-21 00:00:00+00:00" 24.39 24.64 23.355 23.4 296506 24.39 24.64 23.355 23.4 296506 0.0 1.0 
"2017-12-22 00:00:00+00:00" 23.13 24.59 23.06 24.51 490952 23.13 24.59 23.06 24.51 490952 0.0 1.0 
"2017-12-26 00:00:00+00:00" 23.03 23.3999 22.63 23.12 116514 23.03 23.3999 22.63 23.12 116514 0.0 1.0 
"2017-12-27 00:00:00+00:00" 23.61 23.68 22.72 23.1 82744 23.61 23.68 22.72 23.1 82744 0.0 1.0 
"2017-12-28 00:00:00+00:00" 24.31 24.33 23.1848 23.64 209081 24.31 24.33 23.1848 23.64 209081 0.0 1.0 
"2017-12-29 00:00:00+00:00" 23.92 24.45 23.665 24.43 123439 23.92 24.45 23.665 24.43 123439 0.0 1.0 
"2018-01-02 00:00:00+00:00" 24.27 24.4577 23.77 24.14 291583 24.27 24.4577 23.77 24.14 291583 0.0 1.0 
"2018-01-03 00:00:00+00:00" 25.05 25.525 24.5 24.5 484223 25.05 25.525 24.5 24.5 484223 0.0 1.0 
"2018-01-04 00:00:00+00:00" 24.92 25.5401 24.65 25.3 177916 24.92 25.5401 24.65 25.3 177916 0.0 1.0 
"2018-01-05 00:00:00+00:00" 25.0 25.35 24.84 25.06 98722 25.0 25.35 24.84 25.06 98722 0.0 1.0 
"2018-01-08 00:00:00+00:00" 25.41 25.495 24.52 25.12 158243 25.41 25.495 24.52 25.12 158243 0.0 1.0 
"2018-01-09 00:00:00+00:00" 26.6 26.6999 25.33 25.43 289949 26.6 26.6999 25.33 25.43 289949 0.0 1.0 
"2018-01-10 00:00:00+00:00" 27.99 28.0 26.32 26.61 209886 27.99 28.0 26.32 26.61 209886 0.0 1.0 
"2018-01-11 00:00:00+00:00" 26.45 28.9 26.14 28.3 331737 26.45 28.9 26.14 28.3 331737 0.0 1.0 
"2018-01-12 00:00:00+00:00" 25.88 26.769 25.17 26.43 193630 25.88 26.769 25.17 26.43 193630 0.0 1.0 
"2018-01-16 00:00:00+00:00" 25.58 26.08 25.26 25.87 193166 25.58 26.08 25.26 25.87 193166 0.0 1.0 
"2018-01-17 00:00:00+00:00" 24.86 25.71 23.885 25.71 265479 24.86 25.71 23.885 25.71 265479 0.0 1.0 
"2018-01-18 00:00:00+00:00" 25.51 25.87 24.4208 24.88 318346 25.51 25.87 24.4208 24.88 318346 0.0 1.0 
"2018-01-19 00:00:00+00:00" 26.75 27.09 25.3 25.77 220731 26.75 27.09 25.3 25.77 220731 0.0 1.0 
"2018-01-22 00:00:00+00:00" 25.68 27.49 25.2701 27.15 246613 25.68 27.49 25.2701 27.15 246613 0.0 1.0 
"2018-01-23 00:00:00+00:00" 25.91 26.33 24.87 25.79 160359 25.91 26.33 24.87 25.79 160359 0.0 1.0 
"2018-01-24 00:00:00+00:00" 25.47 26.33 25.33 25.96 73488 25.47 26.33 25.33 25.96 73488 0.0 1.0 
"2018-01-25 00:00:00+00:00" 25.01 25.58 24.75 25.58 85958 25.01 25.58 24.75 25.58 85958 0.0 1.0 
"2018-01-26 00:00:00+00:00" 26.27 26.28 24.5001 25.05 221980 26.27 26.28 24.5001 25.05 221980 0.0 1.0 
"2018-01-29 00:00:00+00:00" 25.22 26.5 25.18 26.27 86945 25.22 26.5 25.18 26.27 86945 0.0 1.0 
"2018-01-30 00:00:00+00:00" 26.26 26.31 24.9 25.0 211383 26.26 26.31 24.9 25.0 211383 0.0 1.0 
"2018-01-31 00:00:00+00:00" 26.6 27.0 26.125 26.57 446402 26.6 27.0 26.125 26.57 446402 0.0 1.0 
"2018-02-01 00:00:00+00:00" 27.49 27.52 26.4 26.5 321876 27.49 27.52 26.4 26.5 321876 0.0 1.0 
"2018-02-02 00:00:00+00:00" 26.95 28.255 26.751 27.29 286222 26.95 28.255 26.751 27.29 286222 0.0 1.0 
"2018-02-05 00:00:00+00:00" 26.8 27.62 26.26 26.95 212088 26.8 27.62 26.26 26.95 212088 0.0 1.0 
"2018-02-06 00:00:00+00:00" 26.42 28.0 26.2 26.42 450330 26.42 28.0 26.2 26.42 450330 0.0 1.0 
"2018-02-07 00:00:00+00:00" 26.52 26.78 26.32 26.5 169649 26.52 26.78 26.32 26.5 169649 0.0 1.0 
"2018-02-08 00:00:00+00:00" 25.29 27.47 25.06 26.47 276360 25.29 27.47 25.06 26.47 276360 0.0 1.0 
"2018-02-09 00:00:00+00:00" 25.24 25.87 24.21 25.35 284979 25.24 25.87 24.21 25.35 284979 0.0 1.0 
"2018-02-12 00:00:00+00:00" 25.74 25.88 24.9709 25.3 104615 25.74 25.88 24.9709 25.3 104615 0.0 1.0 
"2018-02-13 00:00:00+00:00" 25.72 26.4173 25.58 25.58 209156 25.72 26.4173 25.58 25.58 209156 0.0 1.0 
"2018-02-14 00:00:00+00:00" 25.81 26.09 25.455 25.5 188103 25.81 26.09 25.455 25.5 188103 0.0 1.0 
"2018-02-15 00:00:00+00:00" 26.54 26.75 25.55 25.95 234523 26.54 26.75 25.55 25.95 234523 0.0 1.0 
"2018-02-16 00:00:00+00:00" 26.84 27.02 25.7747 26.55 205950 26.84 27.02 25.7747 26.55 205950 0.0 1.0 
"2018-02-20 00:00:00+00:00" 26.15 26.94 25.2 26.69 350387 26.15 26.94 25.2 26.69 350387 0.0 1.0 
"2018-02-21 00:00:00+00:00" 25.9 26.5 25.55 26.23 84653 25.9 26.5 25.55 26.23 84653 0.0 1.0 
"2018-02-22 00:00:00+00:00" 25.9 26.23 25.45 25.86 75039 25.9 26.23 25.45 25.86 75039 0.0 1.0 
"2018-02-23 00:00:00+00:00" 26.16 26.5 25.92 26.11 290505 26.16 26.5 25.92 26.11 290505 0.0 1.0 
"2018-02-26 00:00:00+00:00" 26.41 26.69 26.14 26.34 260851 26.41 26.69 26.14 26.34 260851 0.0 1.0 
"2018-02-27 00:00:00+00:00" 26.64 26.85 26.03 26.42 324504 26.64 26.85 26.03 26.42 324504 0.0 1.0 
"2018-02-28 00:00:00+00:00" 26.32 26.75 26.18 26.75 201750 26.32 26.75 26.18 26.75 201750 0.0 1.0 
"2018-03-01 00:00:00+00:00" 26.25 26.72 26.2 26.35 107429 26.25 26.72 26.2 26.35 107429 0.0 1.0 
"2018-03-02 00:00:00+00:00" 26.48 26.645 25.82 26.21 123116 26.48 26.645 25.82 26.21 123116 0.0 1.0 
"2018-03-05 00:00:00+00:00" 26.49 26.7 25.6301 26.44 64085 26.49 26.7 25.6301 26.44 64085 0.0 1.0 
"2018-03-06 00:00:00+00:00" 27.29 27.89 26.57 26.57 194183 27.29 27.89 26.57 26.57 194183 0.0 1.0 
"2018-03-07 00:00:00+00:00" 29.98 30.33 26.9872 27.19 769401 29.98 30.33 26.9872 27.19 769401 0.0 1.0 
"2018-03-08 00:00:00+00:00" 29.24 30.65 28.57 29.84 419970 29.24 30.65 28.57 29.84 419970 0.0 1.0 
"2018-03-09 00:00:00+00:00" 29.4 30.0 28.0621 29.5 164387 29.4 30.0 28.0621 29.5 164387 0.0 1.0 
"2018-03-12 00:00:00+00:00" 30.11 30.36 28.6 29.4 183846 30.11 30.36 28.6 29.4 183846 0.0 1.0 
"2018-03-13 00:00:00+00:00" 29.6 30.76 28.651 30.19 219495 29.6 30.76 28.651 30.19 219495 0.0 1.0 1.7843064197180272
"2018-03-14 00:00:00+00:00" 29.21 30.37 29.11 29.62 199875 29.21 30.37 29.11 29.62 199875 0.0 1.0 1.7531132773569178
"2018-03-15 00:00:00+00:00" 29.5 29.84 28.76 29.22 177736 29.5 29.84 28.76 29.22 177736 0.0 1.0 1.7303827989576404
"2018-03-16 00:00:00+00:00" 29.58 29.73 28.0 29.39 647420 29.58 29.73 28.0 29.39 647420 0.0 1.0 1.7119361027704834
"2018-03-19 00:00:00+00:00" 29.58 30.0 28.48 29.3 494512 29.58 30.0 28.48 29.3 494512 0.0 1.0 1.6900037889472344
"2018-03-20 00:00:00+00:00" 31.85 32.24 29.465 29.59 412974 31.85 32.24 29.465 29.59 412974 0.0 1.0 1.6898190276110314
"2018-03-21 00:00:00+00:00" 31.46 33.385 31.46 31.85 571141 31.46 33.385 31.46 31.85 571141 0.0 1.0 1.694342197163477
"2018-03-22 00:00:00+00:00" 30.59 31.98 29.18 31.98 538753 30.59 31.98 29.18 31.98 538753 0.0 1.0 1.6893078350258546
"2018-03-23 00:00:00+00:00" 30.31 30.7699 29.8 30.54 396881 30.31 30.7699 29.8 30.54 396881 0.0 1.0 1.6833336660334943
"2018-03-26 00:00:00+00:00" 32.12 32.55 29.72 30.79 331997 32.12 32.55 29.72 30.79 331997 0.0 1.0 1.7089208638815494
"2018-03-27 00:00:00+00:00" 30.98 32.7 30.6 32.5 304180 30.98 32.7 30.6 32.5 304180 0.0 1.0 1.7381417778893846
"2018-03-28 00:00:00+00:00" 30.75 31.04 29.76 30.85 239578 30.75 31.04 29.76 30.85 239578 0.0 1.0 1.7956987327276799
"2018-03-29 00:00:00+00:00" 31.36 31.5 30.25 30.82 143175 31.36 31.5 30.25 30.82 143175 0.0 1.0 1.8749540259495356
"2018-04-02 00:00:00+00:00" 30.15 31.205 29.99 31.17 232834 30.15 31.205 29.99 31.17 232834 0.0 1.0 1.9432933956994853
"2018-04-03 00:00:00+00:00" 30.28 30.38 29.35 30.31 225776 30.28 30.38 29.35 30.31 225776 0.0 1.0 2.0364290127623814
"2018-04-04 00:00:00+00:00" 30.44 30.63 29.2 29.7 243284 30.44 30.63 29.2 29.7 243284 0.0 1.0 2.1210874093315764
"2018-04-05 00:00:00+00:00" 30.83 31.8 30.4 30.73 170098 30.83 31.8 30.4 30.73 170098 0.0 1.0 2.188841539440206
"2018-04-06 00:00:00+00:00" 30.13 30.7 29.885 30.64 259484 30.13 30.7 29.885 30.64 259484 0.0 1.0 2.2805349185771577
"2018-04-09 00:00:00+00:00" 30.27 30.69 29.94 30.45 74118 30.27 30.69 29.94 30.45 74118 0.0 1.0 2.2868351528106405
"2018-04-10 00:00:00+00:00" 30.79 30.975 29.9 30.72 126997 30.79 30.975 29.9 30.72 126997 0.0 1.0 2.3424814177967614
"2018-04-11 00:00:00+00:00" 29.87 30.96 29.58 30.68 197553 29.87 30.96 29.58 30.68 197553 0.0 1.0 2.316103909028924
"2018-04-12 00:00:00+00:00" 30.34 30.64 29.57 29.97 369896 30.34 30.64 29.57 29.97 369896 0.0 1.0 2.303609352528901
"2018-04-13 00:00:00+00:00" 29.6 30.47 29.49 30.42 107486 29.6 30.47 29.49 30.42 107486 0.0 1.0 2.3012712752341526
"2018-04-16 00:00:00+00:00" 29.39 29.9166 29.11 29.71 145817 29.39 29.9166 29.11 29.71 145817 0.0 1.0 2.2445766790677806
"2018-04-17 00:00:00+00:00" 30.09 30.5399 29.39 29.4 147937 30.09 30.5399 29.39 29.4 147937 0.0 1.0 2.196783021948296
"2018-04-18 00:00:00+00:00" 29.83 30.11 29.3446 30.01 190234 29.83 30.11 29.3446 30.01 190234 0.0 1.0 2.13231881193093
"2018-04-19 00:00:00+00:00" 29.85 29.94 29.4 29.4 125560 29.85 29.94 29.4 29.4 125560 0.0 1.0 2.085287736328447
"2018-04-20 00:00:00+00:00" 29.82 29.85 29.34 29.85 200340 29.82 29.85 29.34 29.85 200340 0.0 1.0 2.025223543857243
"2018-04-23 00:00:00+00:00" 29.52 30.26 29.21 29.99 317743 29.52 30.26 29.21 29.99 317743 0.0 1.0 1.9825322686621352
"2018-04-24 00:00:00+00:00" 28.97 30.04 28.56 29.78 244621 28.97 30.04 28.56 29.78 244621 0.0 1.0 1.9063233067199574
"2018-04-25 00:00:00+00:00" 28.96 29.04 28.2216 28.85 139481 28.96 29.04 28.2216 28.85 139481 0.0 1.0 1.8193205670016337
"2018-04-26 00:00:00+00:00" 27.99 29.4 27.75 29.02 227508 27.99 29.4 27.75 29.02 227508 0.0 1.0 1.7023007507916363
"2018-04-27 00:00:00+00:00" 28.96 29.19 27.88 28.2 135886 28.96 29.19 27.88 28.2 135886 0.0 1.0 1.6221097970167846
"2018-04-30 00:00:00+00:00" 28.98 29.3 28.15 29.0 270490 28.98 29.3 28.15 29.0 270490 0.0 1.0 1.551723621894809
"2018-05-01 00:00:00+00:00" 28.75 29.165 28.33 28.99 196817 28.75 29.165 28.33 28.99 196817 0.0 1.0 1.4747731475703543
"2018-05-02 00:00:00+00:00" 29.01 29.02 27.94 28.61 337217 29.01 29.02 27.94 28.61 337217 0.0 1.0 1.4122079724456902
"2018-05-03 00:00:00+00:00" 28.62 28.99 28.225 28.97 383209 28.62 28.99 28.225 28.97 383209 0.0 1.0 1.3560009133831483
"2018-05-04 00:00:00+00:00" 29.66 29.96 28.5 28.53 363547 29.66 29.96 28.5 28.53 363547 0.0 1.0 1.3079781698633803
"2018-05-07 00:00:00+00:00" 30.46 30.89 29.99 29.99 174365 30.46 30.89 29.99 29.99 174365 0.0 1.0 1.2751446311142747
"2018-05-08 00:00:00+00:00" 30.55 30.86 29.89 30.42 213701 30.55 30.86 29.89 30.42 213701 0.0 1.0 1.2478835281796004
"2018-05-09 00:00:00+00:00" 30.93 31.4 30.02 30.69 309100 30.93 31.4 30.02 30.69 309100 0.0 1.0 1.2340823351242398
"2018-05-10 00:00:00+00:00" 30.95 31.35 30.92 31.12 186437 30.95 31.35 30.92 31.12 186437 0.0 1.0 1.2136748796297174
"2018-05-11 00:00:00+00:00" 31.45 31.63 30.11 31.15 203772 31.45 31.63 30.11 31.15 203772 0.0 1.0 1.2031015886325631
"2018-05-14 00:00:00+00:00" 31.27 31.5 30.67 31.5 264247 31.27 31.5 30.67 31.5 264247 0.0 1.0 1.1995401734152265
"2018-05-15 00:00:00+00:00" 33.55 34.01 30.13 31.5 1378129 33.55 34.01 30.13 31.5 1378129 0.0 1.0 1.214291570298725
"2018-05-16 00:00:00+00:00" 35.16 35.35 33.11 33.71 909056 35.16 35.35 33.11 33.71 909056 0.0 1.0 1.2336990036589215
"2018-05-17 00:00:00+00:00" 36.155 36.76 34.741 35.08 584802 36.155 36.76 34.741 35.08 584802 0.0 1.0 1.2614152937304919
"2018-05-18 00:00:00+00:00" 35.84 37.19 35.82 35.98 351020 35.84 37.19 35.82 35.98 351020 0.0 1.0 1.3188878400125603
"2018-05-21 00:00:00+00:00" 35.57 36.15 35.37 36.05 214735 35.57 36.15 35.37 36.05 214735 0.0 1.0 1.4191053561075428
"2018-05-22 00:00:00+00:00" 35.32 35.74 35.0 35.74 275204 35.32 35.74 35.0 35.74 275204 0.0 1.0 1.474767364156907
"2018-05-23 00:00:00+00:00" 35.17 35.5 34.77 35.25 146151 35.17 35.5 34.77 35.25 146151 0.0 1.0 1.5148205629469098
"2018-05-24 00:00:00+00:00" 34.97 35.23 34.85 35.21 199009 34.97 35.23 34.85 35.21 199009 0.0 1.0 1.544990900216912
"2018-05-25 00:00:00+00:00" 35.31 35.48 34.68 34.68 173154 35.31 35.48 34.68 34.68 173154 0.0 1.0 1.5612330086116668
"2018-05-29 00:00:00+00:00" 35.0 35.339 34.895 35.15 110201 35.0 35.339 34.895 35.15 110201 0.0 1.0 1.585102077764774
"2018-05-30 00:00:00+00:00" 35.16 36.26 35.13 35.17 149813 35.16 36.26 35.13 35.17 149813 0.0 1.0 1.638285831780677
"2018-05-31 00:00:00+00:00" 35.19 35.81 35.16 35.33 167358 35.19 35.81 35.16 35.33 167358 0.0 1.0 1.6632699740904178
"2018-06-01 00:00:00+00:00" 35.78 36.01 34.96 35.4 254587 35.78 36.01 34.96 35.4 254587 0.0 1.0 1.6965173643974591
