date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 14.67 14.78 14.45 14.72 17555446 13.6038865887 13.705892555 13.3998746563 13.650252937 17555446 0.0 1.0 
"2015-10-02 00:00:00+00:00" 14.94 14.94 14.435 14.49 14386223 13.8542648695 13.8542648695 13.3859647518 13.4369677349 14386223 0.0 1.0 
"2015-10-05 00:00:00+00:00" 15.1 15.175 14.64 14.64 23367153 14.002637184 14.0721867065 13.5760667798 13.5760667798 23367153 0.0 1.0 
"2015-10-06 00:00:00+00:00" 15.24 15.32 14.92 15.09 13667711 14.1324629593 14.2066491165 13.8357183302 13.9933639144 13667711 0.0 1.0 
"2015-10-07 00:00:00+00:00" 15.39 15.6211 15.21 15.4 17420975 14.2715620041 14.4858672659 14.1046431503 14.2808352738 17420975 0.0 1.0 
"2015-10-08 00:00:00+00:00" 15.67 15.725 15.33 15.39 11398350 14.5312135546 14.5822165377 14.2159223862 14.2715620041 11398350 0.0 1.0 
"2015-10-09 00:00:00+00:00" 15.65 15.72 15.32 15.62 14906141 14.5126670153 14.5775799029 14.2066491165 14.4848472063 14906141 0.0 1.0 
"2015-10-12 00:00:00+00:00" 15.6 15.65 15.47 15.62 8574104 14.466300667 14.5126670153 14.3457481614 14.4848472063 8574104 0.0 1.0 
"2015-10-13 00:00:00+00:00" 15.14 15.53 15.13 15.44 17777066 14.0397302627 14.4013877794 14.030456993 14.3179283524 17777066 0.0 1.0 
"2015-10-14 00:00:00+00:00" 15.44 15.51 15.07 15.21 20314036 14.3179283524 14.38284124 13.9748173751 14.1046431503 20314036 0.0 1.0 
"2015-10-15 00:00:00+00:00" 15.72 15.895 15.4 15.6 25250635 14.5775799029 14.7398621219 14.2808352738 14.466300667 25250635 0.0 1.0 
"2015-10-16 00:00:00+00:00" 15.83 16.01 15.58 15.75 15916595 14.6795858691 14.846504723 14.4477541276 14.6053997118 15916595 0.0 1.0 
"2015-10-19 00:00:00+00:00" 15.805 16.045 15.64 16.0 11012252 14.656402695 14.8789611668 14.5033937456 14.8372314533 11012252 0.0 1.0 
"2015-10-20 00:00:00+00:00" 16.19 16.32 15.7501 15.79 19316662 15.0134235768 15.1339760824 14.6054924445 14.6424927905 19316662 0.0 1.0 
"2015-10-21 00:00:00+00:00" 16.07 16.7 16.05 16.53 20915538 14.9021443409 15.4863603294 14.8835978016 15.3287147452 20915538 0.0 1.0 
"2015-10-22 00:00:00+00:00" 16.21 16.67 16.08 16.2 31972218 15.0319701161 15.4585405204 14.9114176106 15.0226968465 31972218 0.0 1.0 
"2015-10-23 00:00:00+00:00" 16.44 16.51 16.12 16.2 15106027 15.2452553183 15.3101682059 14.9485106892 15.0226968465 15106027 0.0 1.0 
"2015-10-26 00:00:00+00:00" 16.33 16.7 16.08 16.65 11076176 15.143249352 15.4863603294 14.9114176106 15.4399939811 11076176 0.0 1.0 
"2015-10-27 00:00:00+00:00" 16.27 16.66 16.25 16.26 14499899 15.0876097341 15.4492672507 15.0690631948 15.0783364644 14499899 0.0 1.0 
"2015-10-28 00:00:00+00:00" 16.54 16.66 16.12 16.12 13535440 15.3379880148 15.4492672507 14.9485106892 14.9485106892 13535440 0.0 1.0 
"2015-10-29 00:00:00+00:00" 16.74 16.82 16.37 16.5 14808454 15.523453408 15.5976395653 15.1803424307 15.3008949362 14808454 0.0 1.0 
"2015-10-30 00:00:00+00:00" 16.77 16.825 16.57 16.7 10770709 15.551273217 15.6022762001 15.3658078238 15.4863603294 10770709 0.0 1.0 
"2015-11-02 00:00:00+00:00" 16.89 16.95 16.77 16.79 7825505 15.6625524529 15.7181920708 15.551273217 15.5698197563 7825505 0.0 1.0 
"2015-11-03 00:00:00+00:00" 17.0 17.05 16.76 16.9 9825826 15.7645584191 15.8109247674 15.5419999473 15.6718257225 9825826 0.0 1.0 
"2015-11-04 00:00:00+00:00" 16.87 17.03 16.82 16.91 11165061 15.6440059136 15.7923782281 15.5976395653 15.6810989922 11165061 0.0 1.0 
"2015-11-05 00:00:00+00:00" 16.81 17.01 16.675 16.91 9679525 15.5883662956 15.7738316888 15.4631771552 15.6810989922 9679525 0.0 1.0 
"2015-11-06 00:00:00+00:00" 17.05 17.055 16.63 16.78 11137278 15.8109247674 15.8155614022 15.4214474418 15.5605464866 11137278 0.0 1.0 
"2015-11-09 00:00:00+00:00" 16.81 17.04 16.64 16.77 12893624 15.5883662956 15.8016514978 15.4307207114 15.551273217 12893624 0.0 1.0 
"2015-11-10 00:00:00+00:00" 16.76 16.835 16.585 16.65 9401924 15.5419999473 15.6115494698 15.3797177283 15.4399939811 9401924 0.0 1.0 
"2015-11-11 00:00:00+00:00" 16.79 16.885 16.6 16.84 7059575 15.5698197563 15.6579158181 15.3936276328 15.6161861046 7059575 0.0 1.0 
"2015-11-12 00:00:00+00:00" 16.53 16.8299 16.5 16.69 18726967 15.3287147452 15.6068201022 15.3008949362 15.4770870597 18726967 0.0 1.0 
"2015-11-13 00:00:00+00:00" 17.24 17.5 16.85 17.12 20075492 15.9871168909 16.228221902 15.6254593743 15.875837655 20075492 0.0 1.0 
"2015-11-16 00:00:00+00:00" 17.74 17.79 17.02 17.14 15869880 16.4507803738 16.4971467221 15.7831049584 15.8943841943 15869880 0.0 1.0 
"2015-11-17 00:00:00+00:00" 17.815 17.9 17.5201 17.66 15621161 16.6130625929 16.6923278368 16.3380588231 16.4685200892 15621161 0.1 1.0 
"2015-11-18 00:00:00+00:00" 18.13 18.18 17.82 17.83 12712275 16.9068102615 16.9534368756 16.6177252543 16.6270505771 12712275 0.0 1.0 
"2015-11-19 00:00:00+00:00" 18.2 18.42 18.14 18.2 12973465 16.9720875212 17.1772446231 16.9161355843 16.9720875212 12973465 0.0 1.0 
"2015-11-20 00:00:00+00:00" 18.18 18.36 17.99 18.29 13651139 16.9534368756 17.1212926862 16.7762557421 17.0560154265 13651139 0.0 1.0 
"2015-11-23 00:00:00+00:00" 18.13 18.48 17.82 17.82 8125746 16.9068102615 17.23319656 16.6177252543 16.6177252543 8125746 0.0 1.0 
"2015-11-24 00:00:00+00:00" 18.38 18.54 17.95 17.96 11883630 17.1399433318 17.2891484969 16.7389544509 16.7482797737 11883630 0.0 1.0 
"2015-11-25 00:00:00+00:00" 18.45 18.67 18.3 18.45 12357547 17.2052205915 17.4103776934 17.0653407493 17.2052205915 12357547 0.0 1.0 
"2015-11-27 00:00:00+00:00" 18.62 18.735 18.39 18.41 5012283 17.3637510794 17.4709922917 17.1492686547 17.1679193003 5012283 0.0 1.0 
"2015-11-30 00:00:00+00:00" 18.77 18.92 18.695 18.72 11926059 17.5036309216 17.6435107638 17.4336910005 17.4570043075 11926059 0.0 1.0 
