date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 1.74 1.77 1.72 1.77 5531739 1.74 1.77 1.72 1.77 5531739 0.0 1.0 
"2015-10-02 00:00:00+00:00" 1.83 1.83 1.72 1.76 7146087 1.83 1.83 1.72 1.76 7146087 0.0 1.0 
"2015-10-05 00:00:00+00:00" 1.8 1.87 1.77 1.82 7595560 1.8 1.87 1.77 1.82 7595560 0.0 1.0 
"2015-10-06 00:00:00+00:00" 1.83 1.86 1.8 1.8 8665487 1.83 1.86 1.8 1.8 8665487 0.0 1.0 
"2015-10-07 00:00:00+00:00" 1.86 1.87 1.82 1.82 7859214 1.86 1.87 1.82 1.82 7859214 0.0 1.0 
"2015-10-08 00:00:00+00:00" 1.93 1.9475 1.85 1.87 9198667 1.93 1.9475 1.85 1.87 9198667 0.0 1.0 
"2015-10-09 00:00:00+00:00" 1.96 1.96 1.89 1.92 8629061 1.96 1.96 1.89 1.92 8629061 0.0 1.0 
"2015-10-12 00:00:00+00:00" 1.87 1.96 1.85 1.96 7687701 1.87 1.96 1.85 1.96 7687701 0.0 1.0 
"2015-10-13 00:00:00+00:00" 1.92 1.94 1.86 1.87 6698446 1.92 1.94 1.86 1.87 6698446 0.0 1.0 
"2015-10-14 00:00:00+00:00" 1.95 1.96 1.92 1.92 10184322 1.95 1.96 1.92 1.92 10184322 0.0 1.0 
"2015-10-15 00:00:00+00:00" 1.97 2.06 1.95 1.97 27327109 1.97 2.06 1.95 1.97 27327109 0.0 1.0 
"2015-10-16 00:00:00+00:00" 1.94 2.0 1.89 2.0 21544863 1.94 2.0 1.89 2.0 21544863 0.0 1.0 
"2015-10-19 00:00:00+00:00" 2.01 2.01 1.91 1.91 10670760 2.01 2.01 1.91 1.91 10670760 0.0 1.0 
"2015-10-20 00:00:00+00:00" 2.02 2.03 1.97 2.0 5584188 2.02 2.03 1.97 2.0 5584188 0.0 1.0 
"2015-10-21 00:00:00+00:00" 2.1 2.12 2.01 2.02 14966473 2.1 2.12 2.01 2.02 14966473 0.0 1.0 
"2015-10-22 00:00:00+00:00" 2.14 2.16 2.09 2.1 8208419 2.14 2.16 2.09 2.1 8208419 0.0 1.0 
