date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 51.86 52.67 51.11 52.43 1704340 50.1617330073 50.945207819 49.4362933668 50.7130671341 1704340 0.0 1.0 
"2015-10-02 00:00:00+00:00" 53.28 53.29 50.97 50.97 1070288 51.5352320599 51.5449045885 49.3008779672 49.3008779672 1070288 0.0 1.0 
"2015-10-05 00:00:00+00:00" 54.73 54.78 52.99 53.91 1165832 52.9377486982 52.9861113409 51.2547287323 52.1446013579 1165832 0.0 1.0 
"2015-10-06 00:00:00+00:00" 54.46 55.11 54.24 54.64 943982 52.6765904276 53.3053047827 52.4637947998 52.8506959413 943982 0.0 1.0 
"2015-10-07 00:00:00+00:00" 55.15 55.65 54.49 54.82 1003999 53.3439948969 53.8276213239 52.7056080132 53.0248014551 1003999 0.0 1.0 
"2015-10-08 00:00:00+00:00" 55.91 55.96 54.75 54.93 1093868 54.0791070659 54.1274697086 52.9570937553 53.131199269 1093868 0.0 1.0 
"2015-10-09 00:00:00+00:00" 56.02 56.38 55.81 55.93 1050626 54.1855048798 54.5337159073 53.9823817805 54.098452123 1050626 0.0 1.0 
"2015-10-12 00:00:00+00:00" 55.78 56.13 55.66 55.94 1015180 53.9533641949 54.2919026938 53.8372938524 54.1081246515 1015180 0.0 1.0 
"2015-10-13 00:00:00+00:00" 54.93 55.53 54.72 55.27 1703595 53.131199269 53.7115509814 52.9280761697 53.4600652393 1703595 0.0 1.0 
"2015-10-14 00:00:00+00:00" 54.11 54.91 54.0 54.8 1453739 52.3380519287 53.1118542119 52.2316541148 53.005456398 1453739 0.0 1.0 
"2015-10-15 00:00:00+00:00" 54.53 54.6 53.61 54.35 939046 52.7442981274 52.8120058272 51.8544255017 52.5701926137 939046 0.0 1.0 
"2015-10-16 00:00:00+00:00" 54.1 54.5 53.541 54.5 1132659 52.3283794002 52.7152805418 51.7876850548 52.7152805418 1132659 0.0 1.0 
"2015-10-19 00:00:00+00:00" 54.28 54.34 53.7 53.96 793413 52.5024849139 52.5605200851 51.9414782586 52.1929640006 793413 0.0 1.0 
"2015-10-20 00:00:00+00:00" 54.6 55.03 53.93 54.1 1470603 52.8120058272 53.2279245544 52.163946415 52.3283794002 1470603 0.0 1.0 
"2015-10-21 00:00:00+00:00" 54.62 55.54 54.54 54.82 980916 52.8313508843 53.7212235099 52.7539706559 53.0248014551 980916 0.0 1.0 
"2015-10-22 00:00:00+00:00" 55.63 56.13 54.83 54.87 1405589 53.8082762668 54.2919026938 53.0344739836 53.0731640978 1405589 0.0 1.0 
"2015-10-23 00:00:00+00:00" 55.86 56.15 55.33 56.1 1374794 54.0307444232 54.3112477508 53.5181004106 54.2628851081 1374794 0.0 1.0 
"2015-10-26 00:00:00+00:00" 56.3 56.53 55.86 55.95 2808363 54.4563356789 54.6788038354 54.0307444232 54.1177971801 2808363 0.0 1.0 
"2015-10-27 00:00:00+00:00" 53.76 54.45 52.31 53.72 4105999 51.9995134298 52.6669178991 50.5969967916 51.9608233157 4105999 0.0 1.0 
"2015-10-28 00:00:00+00:00" 54.22 54.26 53.36 53.71 1836602 52.4444497427 52.4831398568 51.6126122883 51.9511507871 1836602 0.0 1.0 
"2015-10-29 00:00:00+00:00" 54.68 55.43 54.55 54.55 2265161 52.8893860555 53.614825696 52.7636431845 52.7636431845 2265161 0.0 1.0 
"2015-10-30 00:00:00+00:00" 54.82 55.37 54.65 54.88 2182557 53.0248014551 53.5567905247 52.8603684699 53.0828366263 2182557 0.0 1.0 
"2015-11-02 00:00:00+00:00" 55.44 55.7 54.74 54.87 1067777 53.6244982245 53.8759839666 52.9474212267 53.0731640978 1067777 0.0 1.0 
