date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 170.36 172.23 168.55 171.07 323289 165.151521603 166.9643494112 163.396859393 165.8398145141 323289 0.0 1.0 
"2015-10-02 00:00:00+00:00" 170.51 170.51 163.5 167.12 748810 165.2969355983 165.2969355983 158.5012548843 162.0105793044 748810 0.0 1.0 
"2015-10-05 00:00:00+00:00" 174.33 175.12 171.72 172.24 489327 169.0001453455 169.7659923874 166.4699418271 166.9740436775 489327 0.0 1.0 
"2015-10-06 00:00:00+00:00" 174.07 175.58 173.08 173.77 304591 168.7480944203 170.2119286397 167.7883620513 168.4572664297 304591 0.0 1.0 
"2015-10-07 00:00:00+00:00" 177.07 177.32 174.61 175.02 567739 171.6563743264 171.8987309853 169.2715848034 169.6690497239 567739 0.0 1.0 
"2015-10-08 00:00:00+00:00" 177.05 177.76 173.14 175.72 366919 171.6369857937 172.3252787048 167.8465276494 170.3476483686 366919 0.0 1.0 
"2015-10-09 00:00:00+00:00" 177.07 177.58 173.0 177.28 310510 171.6563743264 172.1507819105 167.7108079204 171.8599539198 310510 0.0 1.0 
"2015-10-12 00:00:00+00:00" 175.13 177.01 173.87 176.81 236202 169.7756866538 171.5982087283 168.5542090932 171.4043234012 236202 0.0 1.0 
"2015-10-13 00:00:00+00:00" 171.01 175.005 170.83 173.89 226317 165.781648916 169.6545083244 165.6071521216 168.5735976259 226317 0.0 1.0 
"2015-10-14 00:00:00+00:00" 170.6 172.93 169.46 171.31 288671 165.3841839955 167.6429480559 164.2790376312 166.0724769066 288671 0.0 1.0 
"2015-10-15 00:00:00+00:00" 175.61 175.655 170.69 171.39 283969 170.2410114388 170.2846356373 165.4714323927 166.1500310375 283969 0.0 1.0 
"2015-10-16 00:00:00+00:00" 176.7 177.09 175.01 176.65 274631 171.2976864713 171.6757628591 169.6593554575 171.2492151395 274631 0.0 1.0 
"2015-10-19 00:00:00+00:00" 172.93 175.89 172.53 175.72 424031 167.6429480559 170.5124508967 167.2551774018 170.3476483686 424031 0.0 1.0 
"2015-10-20 00:00:00+00:00" 173.13 174.23 172.16 172.16 450030 167.836833383 168.9032026819 166.8964895467 166.8964895467 450030 0.0 1.0 
"2015-10-21 00:00:00+00:00" 168.75 174.01 168.64 173.87 508208 163.5907447201 168.6899288222 163.4841077902 168.5542090932 508208 0.0 1.0 
"2015-10-22 00:00:00+00:00" 176.88 177.1 167.7201 169.84 440040 171.4721832657 171.6854571255 162.5923322283 164.6474197526 440040 0.0 1.0 
"2015-10-23 00:00:00+00:00" 181.71 181.95 177.08 178.71 444927 176.1545139146 176.3871763071 171.6660685928 173.2462340084 444927 0.0 1.0 
"2015-10-26 00:00:00+00:00" 181.02 181.96 179.67 181.35 273030 175.4856095362 176.3968705734 174.1768835784 175.8055203258 273030 0.0 1.0 
"2015-10-27 00:00:00+00:00" 178.57 180.68 176.61 179.33 245296 173.1105142795 175.1560044801 171.2104380741 173.8472785224 245296 0.0 1.0 
"2015-10-28 00:00:00+00:00" 183.3 183.484 178.31 178.33 219387 177.6959022648 177.8742767657 172.8584633543 172.877851887 219387 0.0 1.0 
"2015-10-29 00:00:00+00:00" 179.87 183.295 178.07 182.95 452301 174.3707689055 177.6910551316 172.6258009618 177.3566029424 452301 0.0 1.0 
"2015-10-30 00:00:00+00:00" 180.26 180.91 178.65 179.89 327702 174.7488452933 175.3789726063 173.1880684103 174.3901574382 327702 0.0 1.0 
"2015-11-02 00:00:00+00:00" 185.06 185.75 180.72 180.72 421088 179.4020931431 180.0709975215 175.1947815455 175.1947815455 421088 0.0 1.0 
"2015-11-03 00:00:00+00:00" 186.75 187.09 183.44 184.32 272967 181.0404241569 181.3700292129 177.8316219938 178.6847174329 272967 0.0 1.0 
"2015-11-04 00:00:00+00:00" 186.65 188.485 186.02 186.93 278632 180.9434814933 182.7223793693 180.332742713 181.2149209512 278632 0.0 1.0 
"2015-11-05 00:00:00+00:00" 187.31 188.445 186.23 186.29 190132 181.5833030727 182.6836023038 180.5363223065 180.5944879046 190132 0.0 1.0 
"2015-11-06 00:00:00+00:00" 188.97 190.74 186.08 188.4 398905 183.1925512874 184.908436432 180.3909083112 182.6399781052 398905 0.0 1.0 
"2015-11-09 00:00:00+00:00" 177.87 187.08 176.99 187.08 600165 172.4319156347 181.3603349465 171.5788201956 181.3603349465 600165 0.0 1.0 
"2015-11-10 00:00:00+00:00" 177.05 180.57 176.01 177.91 733707 171.6369857937 175.0493675502 170.6287820929 172.4706927001 733707 0.0 1.0 
"2015-11-11 00:00:00+00:00" 176.78 178.56 176.565 177.94 671081 171.3752406021 173.1008200131 171.1668138755 172.4997754992 671081 0.0 1.0 
"2015-11-12 00:00:00+00:00" 171.29 176.78 171.13 175.41 916191 166.0530883739 171.3752406021 165.8979801123 170.0471261117 916191 0.0 1.0 
"2015-11-13 00:00:00+00:00" 167.53 171.385 166.6 170.66 878363 162.4080442249 166.1451839043 161.506477454 165.4423495936 878363 0.0 1.0 
