date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 140.23 140.64 136.6 138.55 4675914 122.1844142671 122.5416531592 119.0215430998 120.7206061235 4675914 0.0 1.0 
"2015-10-02 00:00:00+00:00" 142.47 142.54 135.64 138.26 4803545 124.1361584585 124.1971504644 118.1850813035 120.4679249559 4803545 0.0 1.0 
"2015-10-05 00:00:00+00:00" 143.8 144.905 142.22 144.0 4367055 125.2950065721 126.2578089522 123.9183298657 125.4692694463 4367055 0.0 1.0 
"2015-10-06 00:00:00+00:00" 141.22 143.37 138.06 142.12 4818610 123.0470154945 124.9203413925 120.2936620817 123.8311984285 4818610 0.0 1.0 
"2015-10-07 00:00:00+00:00" 148.05 148.31 140.24 142.65 8002411 128.9980926495 129.224634386 122.1931274108 124.2929950453 8002411 0.0 1.0 
"2015-10-08 00:00:00+00:00" 149.9 150.99 145.03 147.68 6638477 130.6100242361 131.5597569007 126.3667232486 128.6757063322 6638477 0.0 1.0 
"2015-10-09 00:00:00+00:00" 149.59 150.75 148.005 149.25 3080855 130.3399167811 131.3506414516 128.9588835028 130.0436698949 3080855 0.0 1.0 
"2015-10-12 00:00:00+00:00" 153.03 155.12 151.63 152.78 5472951 133.3372382178 135.1582852536 132.1173980982 133.1194096251 5472951 0.0 1.0 
"2015-10-13 00:00:00+00:00" 147.58 152.98 147.44 151.54 4143894 128.5885748951 133.2936724993 128.4665908831 132.0389798048 4143894 0.0 1.0 
"2015-10-14 00:00:00+00:00" 147.81 150.93 147.13 148.38 3197360 128.7889772004 131.5074780384 128.196483428 129.285626392 3197360 0.0 1.0 
"2015-10-15 00:00:00+00:00" 152.54 152.78 146.97 147.45 3269591 132.910294176 133.1194096251 128.0570731286 128.4753040268 3269591 0.0 1.0 
"2015-10-16 00:00:00+00:00" 152.61 154.12 150.58 153.19 4793073 132.971286182 134.2869708824 131.2025180085 133.4766485172 4793073 0.0 1.0 
"2015-10-19 00:00:00+00:00" 154.47 156.14 152.46 152.61 3271670 134.5919309123 136.0470259121 132.8405890263 132.971286182 3271670 0.0 1.0 
"2015-10-20 00:00:00+00:00" 150.45 155.0 149.47 154.19 3385285 131.0892471403 135.053727529 130.2353590565 134.3479628884 3385285 0.0 1.0 
"2015-10-21 00:00:00+00:00" 150.09 152.75 147.3 152.37 3839615 130.7755739667 133.0932701939 128.3446068711 132.7621707329 3839615 0.0 1.0 
"2015-10-22 00:00:00+00:00" 152.31 152.94 148.57 152.1 4079820 132.7098918706 133.2588199244 129.4511761225 132.5269158527 4079820 0.0 1.0 
"2015-10-23 00:00:00+00:00" 155.75 156.2 151.86 153.61 3657328 135.7072133074 136.0993047744 132.3178004036 133.8426005531 3657328 0.0 1.0 
"2015-10-26 00:00:00+00:00" 158.58 159.91 154.65 156.0 4346594 138.1730329778 139.3318810914 134.7487674991 135.9250419002 4346594 0.0 1.0 
"2015-10-27 00:00:00+00:00" 161.98 162.12 157.83 158.58 3877225 141.1355018397 141.2574858516 137.5195471994 138.1730329778 3877225 0.0 1.0 
"2015-10-28 00:00:00+00:00" 162.67 162.87 158.729 162.72 4878877 141.7367087558 141.91097163 138.3028588191 141.7802744743 4878877 0.0 1.0 
"2015-10-29 00:00:00+00:00" 160.58 165.0 158.94 164.99 4870231 139.9156617201 143.7668712406 138.4867061514 143.7581580969 4870231 0.0 1.0 
"2015-10-30 00:00:00+00:00" 158.18 162.0 158.13 161.06 4589730 137.8245072293 141.1529281271 137.7809415107 140.3338926182 4589730 0.0 1.0 
"2015-11-02 00:00:00+00:00" 162.31 162.75 158.3657 159.01 3222477 141.4230355822 141.8064139055 137.986310308 138.5476981574 3222477 0.0 1.0 
"2015-11-03 00:00:00+00:00" 162.46 163.15 160.5 160.97 2411470 141.5537327378 142.1549396539 139.8459565704 140.2554743248 2411470 0.0 1.0 
"2015-11-04 00:00:00+00:00" 161.88 163.99 160.77 162.85 3059482 141.0483704026 142.8868437257 140.0812114506 141.8935453426 3059482 0.0 1.0 
"2015-11-05 00:00:00+00:00" 161.22 162.48 158.825 162.2 2202433 140.4733029176 141.5711590253 138.3865049987 141.3271910013 2202433 0.0 1.0 
"2015-11-06 00:00:00+00:00" 160.46 160.87 156.84 160.87 3343956 139.8111039955 140.1683428877 136.6569459719 140.1683428877 3343956 0.0 1.0 
"2015-11-09 00:00:00+00:00" 159.63 160.61 158.32 159.75 2722232 139.0879130675 139.9418011512 137.9464912413 139.192470792 2722232 0.0 1.0 
"2015-11-10 00:00:00+00:00" 158.37 161.165 158.05 160.25 2871340 137.9900569598 140.4253806272 137.711236361 139.6281279776 2871340 0.0 1.0 
"2015-11-11 00:00:00+00:00" 156.86 159.57 156.76 159.26 1923926 136.6743722594 139.0356342052 136.5872408223 138.7655267501 1923926 0.0 1.0 
"2015-11-12 00:00:00+00:00" 150.98 157.7 150.82 155.94 4767155 132.2393821102 138.1252520783 132.099242349 136.5837147057 4767155 0.79 1.0 
"2015-11-13 00:00:00+00:00" 151.55 153.52 148.0 150.68 3855017 132.7386300093 134.4641008184 129.6292790589 131.976620058 3855017 0.0 1.0 
"2015-11-16 00:00:00+00:00" 154.5 154.78 151.1 152.02 2443154 135.3224568554 135.5677014374 132.3444869311 133.1502905576 2443154 0.0 1.0 
"2015-11-17 00:00:00+00:00" 157.6 159.1299 153.6975 154.91 3642647 138.0376647276 139.3776636062 134.6195683659 135.6815649933 3642647 0.0 1.0 
"2015-11-18 00:00:00+00:00" 160.92 161.12 156.35 158.11 2975793 140.9455647713 141.1207394727 136.9428228436 138.4843602162 2975793 0.0 1.0 
"2015-11-19 00:00:00+00:00" 159.49 161.52 158.83 159.89 2040962 139.6930656561 141.4710888756 139.1149891414 140.0434150589 2040962 0.0 1.0 
"2015-11-20 00:00:00+00:00" 159.91 161.34 159.55 160.74 2728011 140.0609325291 141.3134316443 139.7456180665 140.78790754 2728011 0.0 1.0 
"2015-11-23 00:00:00+00:00" 162.47 163.13 159.63 159.63 4169261 142.3031687074 142.8812452221 139.8156879471 139.8156879471 4169261 0.0 1.0 
"2015-11-24 00:00:00+00:00" 162.78 163.34 161.0 161.01 3687015 142.5746894946 143.0651786586 141.0156346519 141.024393387 3687015 0.0 1.0 
"2015-11-25 00:00:00+00:00" 163.95 164.59 162.71 163.05 2134543 143.599461498 144.1600205426 142.5133783491 142.8111753415 2134543 0.0 1.0 
"2015-11-27 00:00:00+00:00" 163.52 165.0 163.14 164.76 1052359 143.2228358899 144.5191286805 142.8900039572 144.3089190388 1052359 0.0 1.0 
"2015-11-30 00:00:00+00:00" 161.1 164.0 160.36 163.49 2982554 141.1032220026 143.6432551733 140.4550756073 143.1965596847 2982554 0.0 1.0 
"2015-12-01 00:00:00+00:00" 161.98 163.43 160.52 162.71 2429007 141.8739906889 143.1440072743 140.5952153684 142.5133783491 2429007 0.0 1.0 
"2015-12-02 00:00:00+00:00" 160.52 162.385 160.1 161.62 2871582 140.5952153684 142.2287194593 140.2273484954 141.5586762263 2871582 0.0 1.0 
"2015-12-03 00:00:00+00:00" 154.65 160.52 153.71 160.27 4468642 135.4538378814 140.5952153684 134.6305167847 140.3762469917 4468642 0.0 1.0 
"2015-12-04 00:00:00+00:00" 161.43 161.954 154.95 154.96 3920918 141.39226026 141.8512179777 135.7165999336 135.7253586687 3920918 0.0 1.0 
"2015-12-07 00:00:00+00:00" 158.3 162.97 157.54 162.91 3566656 138.6507761826 142.741105461 137.9851123171 142.6885530505 3566656 0.0 1.0 
"2015-12-08 00:00:00+00:00" 159.35 160.6699 156.04 156.61 2249241 139.5704433651 140.7265088072 136.6713020564 137.1705499555 2249241 0.0 1.0 
"2015-12-09 00:00:00+00:00" 157.89 159.81 156.12 158.35 2995578 138.2916680446 139.9733451784 136.741371937 138.6945698579 2995578 0.0 1.0 
"2015-12-10 00:00:00+00:00" 159.67 160.85 157.0 158.97 2813993 139.8507228874 140.8842536258 137.5121406233 139.2376114324 2813993 0.0 1.0 
"2015-12-11 00:00:00+00:00" 155.15 158.78 154.79 157.82 3005700 135.891774635 139.071195466 135.5764601725 138.2303568991 3005700 0.0 1.0 
"2015-12-14 00:00:00+00:00" 158.11 158.34 153.43 155.98 2801651 138.4843602162 138.6858111228 134.3852722027 136.618749646 2801651 0.0 1.0 
"2015-12-15 00:00:00+00:00" 162.615 164.448 161.56 161.65 5365581 142.4301703659 144.0356465045 141.5061238159 141.5849524315 5365581 0.0 1.0 
"2015-12-16 00:00:00+00:00" 164.58 165.23 162.1 164.31 3923581 144.1512618075 144.7205795871 141.9790955098 143.9147759606 3923581 0.0 1.0 
"2015-12-17 00:00:00+00:00" 161.43 164.99 159.81 164.58 3699409 141.39226026 144.5103699454 139.9733451784 144.1512618075 3699409 0.0 1.0 
"2015-12-18 00:00:00+00:00" 158.8 161.82 158.62 160.5 6227035 139.0887129361 141.7338509277 138.9310557049 140.5776978983 6227035 0.0 1.0 
"2015-12-21 00:00:00+00:00" 159.28 160.38 157.38 159.88 3818946 139.5091322196 140.4725930774 137.844972556 140.0346563239 3818946 0.0 1.0 
"2015-12-22 00:00:00+00:00" 162.3 163.37 160.0353 160.5 3125525 142.1542702112 143.0914548638 140.1706794795 140.5776978983 3125525 0.0 1.0 
"2015-12-23 00:00:00+00:00" 162.72 163.5 161.65 163.03 2202121 142.5221370842 143.2053184198 141.5849524315 142.7936578714 2202121 0.0 1.0 
"2015-12-24 00:00:00+00:00" 163.55 164.36 162.22 163.7 943079 143.2491120951 143.9585696359 142.0842003306 143.3804931212 943079 0.0 1.0 
"2015-12-28 00:00:00+00:00" 161.73 163.125 160.6 162.91 1513475 141.6550223121 142.8768658546 140.665285249 142.6885530505 1513475 0.0 1.0 
"2015-12-29 00:00:00+00:00" 164.44 164.96 162.05 162.92 2171077 144.0286395165 144.4840937402 141.9353018344 142.6973117856 2171077 0.0 1.0 
"2015-12-30 00:00:00+00:00" 163.29 164.75 162.91 164.63 1493359 143.0213849833 144.3001603037 142.6885530505 144.1950554829 1493359 0.0 1.0 
"2015-12-31 00:00:00+00:00" 162.33 164.11 162.05 162.15 1775906 142.1805464164 143.7396012591 141.9353018344 142.0228891851 1775906 0.0 1.0 
"2016-01-04 00:00:00+00:00" 158.34 159.22 156.09 159.0 5083228 138.6858111228 139.4565798091 136.7150957318 139.2638876376 5083228 0.0 1.0 
"2016-01-05 00:00:00+00:00" 158.17 160.21 157.25 159.0 2678936 138.5369126266 140.3236945812 137.7311090001 139.2638876376 2678936 0.0 1.0 
"2016-01-06 00:00:00+00:00" 156.72 157.925 154.9 155.01 3826922 137.2668960413 138.3223236174 135.6728062582 135.769152344 3826922 0.0 1.0 
"2016-01-07 00:00:00+00:00" 152.98 156.45 152.89 153.06 4162456 133.9911291245 137.0304101943 133.9123005089 134.0611990051 4162456 0.0 1.0 
"2016-01-08 00:00:00+00:00" 150.705 154.86 150.46 153.12 4179560 131.9985168957 135.637771318 131.7839278865 134.1137514155 4179560 0.0 1.0 
"2016-01-11 00:00:00+00:00" 147.69 151.5899 144.17 151.33 4747429 129.3577582717 132.7735773622 126.2746835265 132.5459378377 4747429 0.0 1.0 
"2016-01-12 00:00:00+00:00" 150.79 151.235 146.92 148.43 4410621 132.0729661438 132.4627298545 128.6833356711 130.0059046669 4410621 0.0 1.0 
"2016-01-13 00:00:00+00:00" 145.46 152.83 145.28 151.14 3982146 127.4045603507 133.8597480984 127.2469031194 132.3795218713 3982146 0.0 1.0 
"2016-01-14 00:00:00+00:00" 153.16 155.3 144.568 146.02 5648973 134.1487863558 136.0231556611 126.6232811823 127.8950495147 5648973 0.0 1.0 
"2016-01-15 00:00:00+00:00" 151.3 152.3 147.69 147.69 6213015 132.5196616325 133.3955351396 129.3577582717 129.3577582717 6213015 0.0 1.0 
"2016-01-19 00:00:00+00:00" 151.3 154.62 148.23 153.45 4382191 132.5196616325 135.4275616762 129.8307299655 134.4027896729 4382191 0.0 1.0 
"2016-01-20 00:00:00+00:00" 155.02 156.84 148.05 149.0 7338628 135.7779110791 137.3720008621 129.6730727342 130.505152566 7338628 0.0 1.0 
"2016-01-21 00:00:00+00:00" 152.78 155.02 150.24 154.75 4674002 133.8159544231 135.7779110791 131.5912357149 135.5414252322 4674002 0.0 1.0 
"2016-01-22 00:00:00+00:00" 156.08 156.96 154.24 156.45 4577287 136.7063369967 137.477105683 135.0947297435 137.0304101943 4577287 0.0 1.0 
"2016-01-25 00:00:00+00:00" 153.43 158.0 153.0 156.18 4765120 134.3852722027 138.3880141304 134.0086465946 136.7939243474 4765120 0.0 1.0 
"2016-01-26 00:00:00+00:00" 153.78 155.23 151.09 152.78 3645490 134.6918279302 135.9618445156 132.335728196 133.8159544231 3645490 0.0 1.0 
"2016-01-27 00:00:00+00:00" 150.47 154.89 148.87 154.89 3752333 131.7926866215 135.6640475232 130.3912890101 135.6640475232 3752333 0.0 1.0 
"2016-01-28 00:00:00+00:00" 148.35 151.7116 145.42 151.1 4246491 129.9358347864 132.880171168 127.3695254104 132.3444869311 4246491 0.0 1.0 
"2016-01-29 00:00:00+00:00" 152.73 153.0 145.25 149.4 7174382 133.7721607477 134.0086465946 127.2206269142 130.8555019689 7174382 0.0 1.0 
"2016-02-01 00:00:00+00:00" 152.75 153.72 149.34 151.31 4602164 133.7896782179 134.6392755198 130.8029495585 132.5284203676 4602164 0.0 1.0 
"2016-02-02 00:00:00+00:00" 150.11 151.49 148.48 150.48 3881389 131.477372159 132.6860775988 130.0496983423 131.8014453566 3881389 0.0 1.0 
"2016-02-03 00:00:00+00:00" 150.69 151.18 147.0745 150.5 4530627 131.9853787931 132.4145568116 128.818658128 131.8189628268 4530627 0.0 1.0 
"2016-02-04 00:00:00+00:00" 149.91 151.96 148.8 150.5 3685238 131.3021974575 133.0977381472 130.3299778646 131.8189628268 3685238 0.0 1.0 
"2016-02-05 00:00:00+00:00" 145.04 149.385 143.69 148.93 6451924 127.0366934777 130.8423638663 125.854264243 130.4438414205 6451924 0.0 1.0 
"2016-02-08 00:00:00+00:00" 143.0 144.565 140.16 143.5 4627325 125.2499115231 126.6206535618 122.7624307628 125.6878482767 4627325 0.0 1.0 
"2016-02-09 00:00:00+00:00" 143.16 145.63 140.82 141.02 4211109 125.3900512842 127.5534588469 123.3405072775 123.5156819789 4211109 0.0 1.0 9.408681203229899e-06
"2016-02-10 00:00:00+00:00" 144.81 147.128 143.96 145.21 4273459 126.835242571 128.8655173606 126.09075009 127.1855919739 4273459 0.0 1.0 0.00745969599900181
"2016-02-11 00:00:00+00:00" 141.46 143.485 140.04 140.76 4374353 124.7769398292 126.5631218111 123.524407279 124.1594942059 4374353 1.0 1.0 0.028812024538761066
"2016-02-12 00:00:00+00:00" 144.72 144.97 141.14 143.13 3217966 127.6524723037 127.8729885978 124.4946789728 126.2499886735 3217966 0.0 1.0 0.05632908733586483
"2016-02-16 00:00:00+00:00" 147.15 148.06 145.68 146.89 3371339 129.795890682 130.5985699923 128.4992548729 129.5665537362 3371339 0.0 1.0 0.09628579240540512
"2016-02-17 00:00:00+00:00" 151.07 151.52 147.4 148.3 3811075 133.2535861728 133.6505155021 130.016406976 130.8102656346 3811075 0.0 1.0 0.1200712507338693
"2016-02-18 00:00:00+00:00" 149.3 152.36 149.08 150.79 2892146 131.6923308109 134.3914502501 131.4982764721 133.0066079234 2892146 0.0 1.0 0.14418667325995255
"2016-02-19 00:00:00+00:00" 150.12 151.76 148.26 148.98 2796785 132.4156242554 133.8622111444 130.7749830276 131.4100699545 2796785 0.0 1.0 0.16957388840950252
"2016-02-22 00:00:00+00:00" 148.56 149.77 146.94 148.72 4603310 131.0396025805 132.1069014437 129.610656995 131.1807330087 4603310 0.0 1.0 0.18902606767577615
"2016-02-23 00:00:00+00:00" 147.26 149.72 146.86 148.15 3315190 129.8929178514 132.0627981849 129.5400917809 130.6779558582 3315190 0.0 1.0 0.22862015739836833
"2016-02-24 00:00:00+00:00" 147.11 147.27 143.9101 145.5 3316105 129.7606080749 129.9017385031 126.9380877175 128.3404831412 3316105 0.0 1.0 0.2701537373304512
"2016-02-25 00:00:00+00:00" 146.75 148.39 145.26 147.36 3446824 129.4430646115 130.8896515005 128.1287874989 129.981124369 3446824 0.0 1.0 0.29585503825510945
"2016-02-26 00:00:00+00:00" 147.6 149.5 146.95 148.51 3411498 130.1928200113 131.8687438461 129.6194776467 130.9954993216 3411498 0.0 1.0 0.32015676857799596
"2016-02-29 00:00:00+00:00" 142.28 147.6738 142.22 146.96 5193833 125.5002332737 130.2579164213 125.4473093632 129.6282982985 5193833 0.0 1.0 0.3420827233952051
"2016-03-01 00:00:00+00:00" 148.39 148.45 142.28 144.3 4477712 130.8896515005 130.9425754111 125.5002332737 127.2820049297 4477712 0.0 1.0 0.37205846434652645
"2016-03-02 00:00:00+00:00" 147.49 148.63 146.21 148.0 3690307 130.0957928419 131.1013471428 128.9667494163 130.5456460818 3690307 0.0 1.0 0.40502479203017777
"2016-03-03 00:00:00+00:00" 145.84 147.29 145.32 147.22 2989489 128.6403853011 129.9193798066 128.1817114095 129.8576352443 2989489 0.0 1.0 0.43088049199295764
"2016-03-04 00:00:00+00:00" 145.98 147.3 144.54 147.03 3471394 128.7638744258 129.9282004584 127.493700572 129.6900428608 3471394 0.0 1.0 0.44525689698076854
"2016-03-07 00:00:00+00:00" 147.31 147.87 144.76 144.98 3283846 129.9370211102 130.4309776089 127.6877549108 127.8818092496 3283846 0.0 1.0 0.4514175752250008
"2016-03-08 00:00:00+00:00" 144.63 147.0 144.32 146.89 3025299 127.5730864379 129.6635809055 127.2996462332 129.5665537362 3025299 0.0 1.0 0.45396200394993663
"2016-03-09 00:00:00+00:00" 140.9 144.08 139.91 144.0 6075415 124.2829833305 127.087950591 123.4097388061 127.0173853769 6075415 0.0 1.0 0.4552876348860016
"2016-03-10 00:00:00+00:00" 141.03 143.48 139.02 142.06 4573465 124.3976518035 126.5587114852 122.6247007992 125.306178935 4573465 0.0 1.0 0.4588343265272345
"2016-03-11 00:00:00+00:00" 144.57 144.99 142.17 142.95 4861709 127.5201625273 127.8906299013 125.4032061044 126.0912169418 4861709 0.0 1.0 0.4654012529812071
"2016-03-14 00:00:00+00:00" 144.62 145.31 143.19 143.86 3013754 127.5642657861 128.1728907577 126.3029125841 126.8938962522 3013754 0.0 1.0 0.4663715220298575
"2016-03-15 00:00:00+00:00" 143.21 145.3 142.8 144.84 3034212 126.3205538876 128.164070106 125.9589071654 127.7583201249 3034212 0.0 1.0 0.4675664372373022
"2016-03-16 00:00:00+00:00" 143.98 147.0 141.93 143.0 6104692 126.9997440733 129.6635809055 125.1915104621 126.1353202006 6104692 0.0 1.0 0.4686580482217686
"2016-03-17 00:00:00+00:00" 144.13 145.8 141.84 143.72 4899686 127.1320538498 128.6051026941 125.1121245962 126.7704071275 4899686 0.0 1.0 0.46994403525517486
"2016-03-18 00:00:00+00:00" 145.51 146.4 142.51 144.97 6802568 128.349303793 129.1343417998 125.7031082643 127.8729885978 6802568 0.0 1.0 0.4705699217372716
"2016-03-21 00:00:00+00:00" 147.01 147.95 145.02 145.3 3177612 129.6724015573 130.501542823 127.9170918566 128.164070106 3177612 0.0 1.0 0.47002029473979284
"2016-03-22 00:00:00+00:00" 150.62 150.99 146.83 147.05 4213919 132.8566568435 133.1830209587 129.5136298256 129.7076841644 4213919 0.0 1.0 0.4643636607790718
"2016-03-23 00:00:00+00:00" 148.76 151.91 148.14 150.31 3107554 131.2160156157 133.9945209208 130.6691352064 132.5832166389 3107554 0.0 1.0 0.46440472593112425
"2016-03-24 00:00:00+00:00" 149.24 150.95 147.6 148.76 3025752 131.6394069003 133.1477383516 130.1928200113 131.2160156157 3025752 0.0 1.0 0.4772490126230823
"2016-03-28 00:00:00+00:00" 148.37 150.36 147.32 149.32 2110955 130.872010197 132.6273198977 129.9458417619 131.7099721144 2110955 0.0 1.0 0.4898508086451566
"2016-03-29 00:00:00+00:00" 149.49 149.69 146.8 148.46 2735686 131.8599231943 132.0363362296 129.4871678703 130.9513960628 2735686 0.0 1.0 0.49262107933085925
