date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 109.61 109.72 107.58 109.06 1270248 95.7932885577 95.8894226854 94.0191769276 95.312617919 1270248 0.0 1.0 
"2015-10-02 00:00:00+00:00" 108.59 108.73 104.59 105.82 1504664 94.9018630096 95.0242155358 91.4060765464 92.4810308838 1504664 0.0 1.0 
"2015-10-05 00:00:00+00:00" 111.88 112.17 107.57 109.88 919376 97.7771473756 98.0305918941 94.0104374615 96.029254144 919376 0.0 1.0 
"2015-10-06 00:00:00+00:00" 111.02 111.7 110.1 111.35 939326 97.025553286 97.6198369847 96.2215223994 97.3139556692 939326 0.0 1.0 
"2015-10-07 00:00:00+00:00" 111.86 113.06 110.32 112.05 1157258 97.7596684432 98.8084043822 96.4137906549 97.9257183002 1157258 0.0 1.0 
"2015-10-08 00:00:00+00:00" 112.05 112.32 110.89 111.43 1587261 97.9257183002 98.1616838865 96.9119402259 97.3838713985 1587261 0.0 1.0 
"2015-10-09 00:00:00+00:00" 111.1 112.69 110.2 112.07 1178335 97.0954690152 98.4850441344 96.308917061 97.9431972326 1178335 0.0 1.0 
"2015-10-12 00:00:00+00:00" 109.83 111.16 109.38 110.9 993203 95.9855568132 97.1479058122 95.5922808361 96.9206796921 993203 0.0 1.0 
"2015-10-13 00:00:00+00:00" 107.99 109.59 107.82 108.94 1123046 94.3774950401 95.7758096254 94.2289241154 95.2077443251 1123046 0.0 1.0 
"2015-10-14 00:00:00+00:00" 107.57 108.64 107.18 108.1 1202869 94.0104374615 94.9455603404 93.6695982813 94.4736291678 1202869 0.0 1.0 
"2015-10-15 00:00:00+00:00" 110.62 110.7 108.1 108.7 872325 96.6759746397 96.7458903689 94.4736291678 94.9979971373 872325 0.0 1.0 
"2015-10-16 00:00:00+00:00" 111.57 111.82 110.03 110.84 982859 97.5062239247 97.7247105786 96.1603461363 96.8682428951 982859 0.0 1.0 
"2015-10-19 00:00:00+00:00" 111.25 111.4599 110.56 110.86 1245449 97.2265610076 97.4100024023 96.6235378427 96.8857218274 1245449 0.0 1.0 
"2015-10-20 00:00:00+00:00" 112.3 112.71 111.0401 111.28 839623 98.1442049542 98.5025230667 97.043119613 97.2527794061 839623 0.0 1.0 
"2015-10-21 00:00:00+00:00" 111.56 113.62 111.35 112.78 1203551 97.4974844585 99.2978144871 97.3139556692 98.5636993298 1203551 0.0 1.0 
"2015-10-22 00:00:00+00:00" 114.09 115.6 108.01 110.2 1359641 99.7085693965 101.0282287863 94.3949739724 96.308917061 1359641 0.0 1.0 
"2015-10-23 00:00:00+00:00" 116.08 116.26 114.57 115.39 995898 101.4477231619 101.6050335528 100.1280637721 100.844699997 995898 0.0 1.0 
"2015-10-26 00:00:00+00:00" 115.5 116.68 114.98 115.87 778694 100.9408341248 101.9720911314 100.4863818845 101.2641943726 778694 0.0 1.0 
"2015-10-27 00:00:00+00:00" 113.0 114.91 112.97 114.68 1510638 98.7559675853 100.4252056214 98.7297491868 100.2241978998 1510638 0.0 1.0 
"2015-10-28 00:00:00+00:00" 115.98 116.35 113.03 113.49 1738123 101.3603285003 101.6836887482 98.7821859837 99.184201427 1738123 0.0 1.0 
"2015-10-29 00:00:00+00:00" 115.41 116.03 114.59 115.31 856178 101.4477231619 101.992715696 100.7269265846 101.3598211403 856178 0.67 1.0 
"2015-10-30 00:00:00+00:00" 115.36 116.0 114.66 115.34 1056745 101.4037721511 101.9663450895 100.7884579997 101.3861917468 1056745 0.0 1.0 
"2015-11-02 00:00:00+00:00" 117.21 117.65 115.31 115.77 647593 103.0299595512 103.4167284464 101.3598211403 101.7641704398 647593 0.0 1.0 
"2015-11-03 00:00:00+00:00" 117.8 118.34 116.42 116.51 1078071 103.5485814788 104.0232523956 102.3355335804 102.4146453998 1078071 0.0 1.0 
"2015-11-04 00:00:00+00:00" 115.89 118.26 115.755 117.94 1002728 101.8696528657 103.9529307783 101.7509851365 103.6716443091 1002728 0.0 1.0 
"2015-11-05 00:00:00+00:00" 117.05 117.23 115.84 115.93 749078 102.8893163166 103.0475399556 101.8257018549 101.9048136744 749078 0.0 1.0 
"2015-11-06 00:00:00+00:00" 119.28 120.29 117.23 118.88 1377144 104.849531399 105.7373418174 103.0475399556 104.4979233124 1377144 0.0 1.0 
"2015-11-09 00:00:00+00:00" 117.39 119.805 116.8 119.37 704054 103.1881831902 105.3110170125 102.6695612626 104.9286432184 704054 0.0 1.0 
"2015-11-10 00:00:00+00:00" 116.55 117.58 115.72 116.86 709325 102.4498062085 103.3551970313 101.720219429 102.7223024755 709325 0.0 1.0 
"2015-11-11 00:00:00+00:00" 116.05 117.38 115.79 117.38 654460 102.0102961003 103.179392988 101.7817508441 103.179392988 654460 0.0 1.0 
"2015-11-12 00:00:00+00:00" 113.75 115.25 113.75 115.1 736048 99.9885496029 101.3070799273 99.9885496029 101.1752268949 736048 0.0 1.0 
"2015-11-13 00:00:00+00:00" 112.49 114.32 112.14 113.56 1058631 98.8809841304 100.4895911262 98.5733270547 99.8215357618 1058631 0.0 1.0 
"2015-11-16 00:00:00+00:00" 113.47 113.52 111.586 112.13 935293 99.7424239423 99.7863749531 98.0863498548 98.5645368525 935293 0.0 1.0 
"2015-11-17 00:00:00+00:00" 112.97 114.14 112.68 113.56 892302 99.3029138342 100.3313674872 99.0479979714 99.8215357618 892302 0.0 1.0 
"2015-11-18 00:00:00+00:00" 115.47 115.62 113.13 113.7 1090417 101.5004643749 101.6323174073 99.4435570688 99.9445985921 1090417 0.0 1.0 
"2015-11-19 00:00:00+00:00" 114.97 115.81 114.61 115.56 727453 101.0609542667 101.7993312484 100.7445069889 101.5795761944 727453 0.0 1.0 
"2015-11-20 00:00:00+00:00" 114.49 115.62 114.27 114.95 817787 100.6390245629 101.6323174073 100.4456401153 101.0433738624 817787 0.0 1.0 
"2015-11-23 00:00:00+00:00" 113.62 115.14 113.55 114.65 863063 99.8742769748 101.2103877035 99.8127455596 100.7796677975 863063 0.0 1.0 
"2015-11-24 00:00:00+00:00" 112.6 113.19 111.34 112.98 1176152 98.9776763541 99.4962982818 97.8701108816 99.3117040363 1176152 0.0 1.0 
"2015-11-25 00:00:00+00:00" 113.02 113.35 112.65 112.98 594988 99.346864845 99.6369415164 99.021627365 99.3117040363 594988 0.0 1.0 
"2015-11-27 00:00:00+00:00" 113.51 113.8 112.59 112.9 339023 99.777584751 100.0325006137 98.968886152 99.241382419 339023 0.0 1.0 
