date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 88.38 88.985 87.47 87.95 1704342 80.5413713839 81.0927125209 79.7120814093 80.1495090882 1704342 0.0 1.0 
"2015-10-02 00:00:00+00:00" 89.74 89.8 87.23 87.42 2473957 81.7807498076 81.8354282675 79.4933675698 79.6665160261 2473957 0.0 1.0 
"2015-10-05 00:00:00+00:00" 93.46 93.61 90.13 90.13 3042347 85.1708143193 85.307510469 82.1361597967 82.1361597967 3042347 0.0 1.0 
"2015-10-06 00:00:00+00:00" 93.37 93.7 92.775 93.4 2794624 85.0887966295 85.3895281588 84.5465685692 85.1161358595 2794624 0.0 1.0 
"2015-10-07 00:00:00+00:00" 94.24 94.24 93.28 93.75 2502861 85.8816342976 85.8816342976 85.0067789397 85.435093542 2502861 0.0 1.0 
"2015-10-08 00:00:00+00:00" 95.57 95.76 93.85 93.87 2268664 87.0936734913 87.2668219476 85.5262243085 85.5444504618 2268664 0.0 1.0 
"2015-10-09 00:00:00+00:00" 94.94 95.69 94.83 95.34 2183667 86.5195496627 87.2030304111 86.4193058196 86.8840727285 2183667 0.0 1.0 
"2015-10-12 00:00:00+00:00" 94.8 95.21 94.55 94.9 1157527 86.3919665897 86.7656027321 86.1641396736 86.4830973562 1157527 0.0 1.0 
"2015-10-13 00:00:00+00:00" 93.7 94.74 93.49 94.15 1742395 85.3895281588 86.3372881298 85.1981535493 85.7996166078 1742395 0.0 1.0 
"2015-10-14 00:00:00+00:00" 93.06 93.99 92.7 93.9 1964369 84.8062912536 85.6538073815 84.4782204944 85.5717896917 1964369 0.0 1.0 
"2015-10-15 00:00:00+00:00" 94.65 94.7 93.42 93.51 1613596 86.25527044 86.3008358233 85.1343620128 85.2163797026 1613596 0.0 1.0 
"2015-10-16 00:00:00+00:00" 96.13 96.26 94.9 95.13 2337199 87.6040057834 87.7224757798 86.4830973562 86.692698119 2337199 0.0 1.0 
"2015-10-19 00:00:00+00:00" 96.79 96.8 95.68 95.68 2177029 88.205468842 88.2145819186 87.1939173344 87.1939173344 2177029 0.0 1.0 
"2015-10-20 00:00:00+00:00" 96.91 97.14 96.15 96.76 1808815 88.3148257617 88.5244265245 87.6222319367 88.178129612 1808815 0.0 1.0 
"2015-10-21 00:00:00+00:00" 96.06 97.17 95.92 97.0 1490951 87.5402142469 88.5517657544 87.4126311739 88.3968434515 1490951 0.0 1.0 
"2015-10-22 00:00:00+00:00" 99.47 99.6401 96.32 96.32 2415770 90.6477733827 90.8027868164 87.7771542397 87.7771542397 2415770 0.0 1.0 
"2015-10-23 00:00:00+00:00" 99.17 99.94 98.52 99.58 1545983 90.3743810833 91.076087985 89.7820311015 90.7480172258 1545983 0.0 1.0 
