date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 57.83 58.59 56.87 58.29 1311058 57.83 58.59 56.87 58.29 1311058 0.0 1.0 
"2015-10-02 00:00:00+00:00" 59.49 59.54 55.95 55.96 1140529 59.49 59.54 55.95 55.96 1140529 0.0 1.0 
"2015-10-05 00:00:00+00:00" 60.81 60.86 59.95 60.09 539358 60.81 60.86 59.95 60.09 539358 0.0 1.0 
"2015-10-06 00:00:00+00:00" 59.58 60.9 59.22 60.68 532236 59.58 60.9 59.22 60.68 532236 0.0 1.0 
"2015-10-07 00:00:00+00:00" 59.64 60.06 58.66 59.18 816685 59.64 60.06 58.66 59.18 816685 0.0 1.0 
"2015-10-08 00:00:00+00:00" 60.62 60.85 59.63 59.64 418419 60.62 60.85 59.63 59.64 418419 0.0 1.0 
"2015-10-09 00:00:00+00:00" 60.97 61.31 59.81 60.28 760848 60.97 61.31 59.81 60.28 760848 0.0 1.0 
"2015-10-12 00:00:00+00:00" 60.74 61.25 60.26 60.98 475619 60.74 61.25 60.26 60.98 475619 0.0 1.0 
"2015-10-13 00:00:00+00:00" 59.97 61.0 59.9 60.39 532498 59.97 61.0 59.9 60.39 532498 0.0 1.0 
"2015-10-14 00:00:00+00:00" 59.99 60.93 59.55 60.27 682278 59.99 60.93 59.55 60.27 682278 0.0 1.0 
"2015-10-15 00:00:00+00:00" 61.37 61.67 59.94 60.39 684412 61.37 61.67 59.94 60.39 684412 0.0 1.0 
"2015-10-16 00:00:00+00:00" 61.22 61.52 60.635 61.42 673801 61.22 61.52 60.635 61.42 673801 0.0 1.0 
"2015-10-19 00:00:00+00:00" 62.2 62.48 60.85 60.96 852102 62.2 62.48 60.85 60.96 852102 0.0 1.0 
"2015-10-20 00:00:00+00:00" 62.23 62.83 62.09 62.11 591837 62.23 62.83 62.09 62.11 591837 0.0 1.0 
"2015-10-21 00:00:00+00:00" 61.67 62.63 61.53 62.42 548158 61.67 62.63 61.53 62.42 548158 0.0 1.0 
