date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 100.29 100.54 95.37 97.04 3110287 93.5408058094 93.7739816141 88.9519059731 90.5095203484 3110287 0.0 1.0 
"2015-10-02 00:00:00+00:00" 101.54 101.61 97.86 99.31 2347411 94.7066848328 94.7719740581 91.2743369878 92.626756655 2347411 0.0 1.0 
"2015-10-05 00:00:00+00:00" 104.85 105.5399 101.93 102.69 2846471 97.7939324869 98.4374044375 95.0704390881 95.7792935344 2846471 0.0 1.0 
"2015-10-06 00:00:00+00:00" 103.1 105.0 101.37 104.55 3622330 96.1617018541 97.9338379697 94.5481252856 97.5141215213 3622330 0.0 1.0 
"2015-10-07 00:00:00+00:00" 102.97 104.31 100.171 103.67 3551997 96.0404504356 97.2902727488 93.4298141263 96.6933426888 3551997 0.0 1.0 
"2015-10-08 00:00:00+00:00" 104.41 104.98 102.14 102.81 2555732 97.3835430707 97.9151839054 95.2663067641 95.8912179206 2555732 0.0 1.0 
"2015-10-09 00:00:00+00:00" 103.4 104.89 100.91 104.11 2554811 96.4415128197 97.8312406157 94.119081805 97.103732105 2554811 0.0 1.0 
"2015-10-12 00:00:00+00:00" 103.63 104.61 102.73 103.53 1487677 96.65603456 97.5700837144 95.8166016631 96.5627642382 1487677 0.0 1.0 
"2015-10-13 00:00:00+00:00" 100.07 104.04 99.96 103.23 2034265 93.3356111012 97.0384428797 93.2330137472 96.2829532725 2034265 0.0 1.0 
"2015-10-14 00:00:00+00:00" 98.99 100.47 98.339 100.19 2146508 92.328291625 93.7086923887 91.7211018296 93.4475354875 2146508 0.0 1.0 
"2015-10-15 00:00:00+00:00" 103.51 103.58 99.3281 99.88 2036339 96.5441101738 96.6093993991 92.6436385832 93.1583974897 2036339 0.0 1.0 
"2015-10-16 00:00:00+00:00" 104.89 104.94 102.77 103.64 1852338 97.8312406157 97.8778757766 95.8539097919 96.6653615922 1852338 0.0 1.0 
"2015-10-19 00:00:00+00:00" 102.54 104.5 102.18 104.33 1527003 95.6393880516 97.4674863603 95.3036148928 97.3089268132 1527003 0.0 1.0 
"2015-10-20 00:00:00+00:00" 100.91 102.18 99.1 102.14 1625119 94.119081805 95.3036148928 92.430888979 95.2663067641 1625119 0.0 1.0 
"2015-10-21 00:00:00+00:00" 100.24 101.5574 99.59 101.26 1668802 93.4941706484 94.7229138688 92.8879135562 94.4455279316 1668802 0.0 1.0 
"2015-10-22 00:00:00+00:00" 101.53 101.95 99.89 101.0 1751049 94.6973578006 95.0890931525 93.1677245219 94.2030250947 1751049 0.0 1.0 
"2015-10-23 00:00:00+00:00" 103.63 105.16 101.388 101.82 1385163 96.65603456 98.0830704847 94.5649139436 94.9678417341 1385163 0.0 1.0 
"2015-10-26 00:00:00+00:00" 103.44 104.56 102.72 103.52 1078936 96.4788209485 97.5234485535 95.807274631 96.553437206 1078936 0.0 1.0 
"2015-10-27 00:00:00+00:00" 104.49 104.63 102.6 102.77 1543565 97.4581593282 97.5887377788 95.6953502447 95.8539097919 1543565 0.0 1.0 
"2015-10-28 00:00:00+00:00" 105.28 107.11 102.75 104.61 2858321 98.194994871 99.9018417613 95.8352557275 97.5700837144 2858321 0.0 1.0 
"2015-10-29 00:00:00+00:00" 108.99 109.85 104.648 105.78 2898501 101.6553238126 102.4574485807 97.6055264367 98.6613464804 2898501 0.0 1.0 
"2015-10-30 00:00:00+00:00" 106.93 109.58 106.875 109.19 2522564 99.7339551819 102.2056187116 99.6826565049 101.8418644563 2522564 0.0 1.0 
"2015-11-02 00:00:00+00:00" 111.35 112.15 107.0 107.34 2922739 103.8565034088 104.6026659839 99.7992444072 100.1163635016 2922739 0.0 1.0 
"2015-11-03 00:00:00+00:00" 112.53 113.2 109.63 111.4 2066964 104.957093207 105.5820043636 102.2522538726 103.9031385698 2066964 0.0 1.0 
"2015-11-04 00:00:00+00:00" 114.58 115.0599 112.18 112.96 2611218 106.8691348054 107.3167390801 104.6306470804 105.3581555911 2611218 0.0 1.0 
"2015-11-05 00:00:00+00:00" 115.4 116.89 114.01 114.78 2132772 107.6339514448 109.0236792408 106.3374939707 107.0556754492 2132772 0.0 1.0 
"2015-11-06 00:00:00+00:00" 113.69 116.52 112.57 115.0 1848040 106.0390289407 108.6785790498 104.9944013357 107.2608701573 1848040 0.0 1.0 
"2015-11-09 00:00:00+00:00" 112.68 114.87 111.54 113.76 1528903 105.0969986898 107.1396187389 104.0337170204 106.1043181661 1528903 0.0 1.0 
"2015-11-10 00:00:00+00:00" 115.1 115.84 110.75 112.43 1643563 107.3541404792 108.0443408611 103.2968814776 104.8638228851 1643563 0.0 1.0 
"2015-11-11 00:00:00+00:00" 114.58 116.446 114.0 115.18 1486031 106.8691348054 108.6095590116 106.3281669386 107.4287567367 1486031 0.0 1.0 
"2015-11-12 00:00:00+00:00" 111.62 114.33 110.88 113.41 1888095 104.1083332779 106.6359590008 103.418132896 105.7778720395 1888095 0.0 1.0 
"2015-11-13 00:00:00+00:00" 111.66 113.92 110.895 111.47 1876483 104.1456414067 106.2535506811 103.4321234443 103.9684277951 1876483 0.0 1.0 
"2015-11-16 00:00:00+00:00" 113.43 113.55 110.94 111.69 1270930 105.7965261039 105.9084504901 103.4740950892 104.1736225032 1270930 0.0 1.0 
"2015-11-17 00:00:00+00:00" 113.45 114.58 113.04 113.43 1344396 105.8151801682 106.8691348054 105.4327718486 105.7965261039 1344396 0.0 1.0 
"2015-11-18 00:00:00+00:00" 113.75 114.48 110.92 113.49 1771450 106.0949911339 106.7758644836 103.4554410248 105.852488297 1771450 0.0 1.0 
"2015-11-19 00:00:00+00:00" 113.79 115.14 112.18 114.03 1741810 106.1322992626 107.3914486079 104.6306470804 106.3561480351 1741810 0.0 1.0 
"2015-11-20 00:00:00+00:00" 114.44 115.2 113.73 113.95 1219092 106.7385563548 107.4474108011 106.0763370695 106.2815317776 1219092 0.0 1.0 
"2015-11-23 00:00:00+00:00" 117.59 117.86 113.71 114.49 1713030 109.6765714939 109.928401363 106.0576830051 106.7851915158 1713030 0.0 1.0 
"2015-11-24 00:00:00+00:00" 118.24 119.67 115.92 117.22 2217669 110.2828285861 111.6165941889 108.1189571186 109.331471303 2217669 0.0 1.0 
"2015-11-25 00:00:00+00:00" 117.3 118.69 116.7 117.63 1339170 109.8724391698 111.1744228906 109.3104318084 110.1815432187 1339170 0.5 1.0 
"2015-11-27 00:00:00+00:00" 117.22 118.1 115.96 116.78 499174 109.797504855 110.6217823185 108.6172893959 109.3853661232 499174 0.0 1.0 
"2015-11-30 00:00:00+00:00" 115.17 118.09 113.5 117.98 2101091 107.8773130366 110.6124155291 106.3130592138 110.5093808462 2101091 0.0 1.0 
"2015-12-01 00:00:00+00:00" 117.81 117.86 114.08 115.89 1720764 110.3501454271 110.3969793739 106.8563329966 108.5517218704 1720764 0.0 1.0 
"2015-12-02 00:00:00+00:00" 112.75 118.26 112.38 117.0 1876160 105.6105500119 110.7716509482 105.2639788057 109.5914354891 1876160 0.0 1.0 
"2015-12-03 00:00:00+00:00" 110.23 114.12 109.7 113.17 1765362 103.2501190937 106.893800154 102.7536792577 106.003955165 1765362 0.0 1.0 
"2015-12-04 00:00:00+00:00" 112.37 113.1 110.2 110.56 1747524 105.2546120163 105.9383876395 103.2220187256 103.5592231425 1747524 0.0 1.0 
"2015-12-07 00:00:00+00:00" 110.56 113.61 108.62 111.33 1969551 103.5592231425 106.4160938967 101.7420660071 104.2804659231 1969551 0.0 1.0 
"2015-12-08 00:00:00+00:00" 112.27 113.59 108.5 108.73 2370497 105.1609441227 106.397360318 101.6296645348 101.84510069 2370497 0.0 1.0 
"2015-12-09 00:00:00+00:00" 107.77 112.49 107.14 112.18 2553713 100.9458889116 105.3670134886 100.3557811821 105.0766430185 2553713 0.0 1.0 
