date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 61.0 61.71 59.7 61.12 709796 61.0 61.71 59.7 61.12 709796 0.0 1.0 
"2015-10-02 00:00:00+00:00" 62.8 62.9 60.38 60.43 537121 62.8 62.9 60.38 60.43 537121 0.0 1.0 
"2015-10-05 00:00:00+00:00" 63.91 64.41 63.15 63.45 679078 63.91 64.41 63.15 63.45 679078 0.0 1.0 
"2015-10-06 00:00:00+00:00" 67.38 69.0 61.74 63.74 1721987 67.38 69.0 61.74 63.74 1721987 0.0 1.0 
"2015-10-07 00:00:00+00:00" 66.97 68.96 65.82 67.35 820525 66.97 68.96 65.82 67.35 820525 0.0 1.0 
"2015-10-08 00:00:00+00:00" 66.75 67.72 65.59 66.5 449036 66.75 67.72 65.59 66.5 449036 0.0 1.0 
"2015-10-09 00:00:00+00:00" 67.21 67.54 65.4019 67.07 399168 67.21 67.54 65.4019 67.07 399168 0.0 1.0 
"2015-10-12 00:00:00+00:00" 66.6 67.66 65.8 67.26 499429 66.6 67.66 65.8 67.26 499429 0.0 1.0 
"2015-10-13 00:00:00+00:00" 65.67 68.03 65.56 65.75 493152 65.67 68.03 65.56 65.75 493152 0.0 1.0 
"2015-10-14 00:00:00+00:00" 64.93 66.05 64.8 65.78 464372 64.93 66.05 64.8 65.78 464372 0.0 1.0 
"2015-10-15 00:00:00+00:00" 67.3 67.97 65.68 66.23 488621 67.3 67.97 65.68 66.23 488621 0.0 1.0 
"2015-10-16 00:00:00+00:00" 67.6 67.83 66.8 67.45 281443 67.6 67.83 66.8 67.45 281443 0.0 1.0 
"2015-10-19 00:00:00+00:00" 65.95 67.91 65.69 67.51 308618 65.95 67.91 65.69 67.51 308618 0.0 1.0 
"2015-10-20 00:00:00+00:00" 64.66 67.34 64.28 65.88 604722 64.66 67.34 64.28 65.88 604722 0.0 1.0 
"2015-10-21 00:00:00+00:00" 64.47 65.31 62.99 65.01 463183 64.47 65.31 62.99 65.01 463183 0.0 1.0 
"2015-10-22 00:00:00+00:00" 67.13 67.75 64.39 64.39 515743 67.13 67.75 64.39 64.39 515743 0.0 1.0 
"2015-10-23 00:00:00+00:00" 68.4 69.0 67.4 67.8 608150 68.4 69.0 67.4 67.8 608150 0.0 1.0 
"2015-10-26 00:00:00+00:00" 67.97 68.69 67.4 68.2 224415 67.97 68.69 67.4 68.2 224415 0.0 1.0 
"2015-10-27 00:00:00+00:00" 65.9 68.72 65.62 67.65 392801 65.9 68.72 65.62 67.65 392801 0.0 1.0 
"2015-10-28 00:00:00+00:00" 66.01 66.845 65.06 65.96 520854 66.01 66.845 65.06 65.96 520854 0.0 1.0 
"2015-10-29 00:00:00+00:00" 65.16 65.88 64.431 65.57 585465 65.16 65.88 64.431 65.57 585465 0.0 1.0 
"2015-10-30 00:00:00+00:00" 64.51 66.16 64.1 65.6 489325 64.51 66.16 64.1 65.6 489325 0.0 1.0 
"2015-11-02 00:00:00+00:00" 61.9 63.25 58.7701 62.5 1177444 61.9 63.25 58.7701 62.5 1177444 0.0 1.0 
"2015-11-03 00:00:00+00:00" 62.23 62.58 60.26 61.9 869334 62.23 62.58 60.26 61.9 869334 0.0 1.0 
"2015-11-04 00:00:00+00:00" 63.0 63.47 62.242 62.43 592677 63.0 63.47 62.242 62.43 592677 0.0 1.0 
"2015-11-05 00:00:00+00:00" 61.96 63.04 61.415 62.68 1227399 61.96 63.04 61.415 62.68 1227399 0.0 1.0 
"2015-11-06 00:00:00+00:00" 70.46 71.9499 64.8 65.05 3089543 70.46 71.9499 64.8 65.05 3089543 0.0 1.0 
"2015-11-09 00:00:00+00:00" 68.9 72.62 65.54 71.04 1231810 68.9 72.62 65.54 71.04 1231810 0.0 1.0 
"2015-11-10 00:00:00+00:00" 68.9 68.9 67.8001 68.4 481818 68.9 68.9 67.8001 68.4 481818 0.0 1.0 
"2015-11-11 00:00:00+00:00" 67.25 68.97 67.15 68.89 424874 67.25 68.97 67.15 68.89 424874 0.0 1.0 
"2015-11-12 00:00:00+00:00" 65.88 67.72 65.46 66.97 460802 65.88 67.72 65.46 66.97 460802 0.0 1.0 
"2015-11-13 00:00:00+00:00" 65.19 66.37 64.66 65.56 438413 65.19 66.37 64.66 65.56 438413 0.0 1.0 
"2015-11-16 00:00:00+00:00" 67.88 68.0 64.8 65.11 424008 67.88 68.0 64.8 65.11 424008 0.0 1.0 
"2015-11-17 00:00:00+00:00" 69.15 69.87 67.59 67.89 682962 69.15 69.87 67.59 67.89 682962 0.0 1.0 
"2015-11-18 00:00:00+00:00" 69.69 69.74 68.365 68.73 483899 69.69 69.74 68.365 68.73 483899 0.0 1.0 
"2015-11-19 00:00:00+00:00" 71.43 71.75 69.04 69.44 541058 71.43 71.75 69.04 69.44 541058 0.0 1.0 
"2015-11-20 00:00:00+00:00" 71.42 72.73 71.21 71.54 498523 71.42 72.73 71.21 71.54 498523 0.0 1.0 
"2015-11-23 00:00:00+00:00" 73.97 74.3 71.27 71.3 679486 73.97 74.3 71.27 71.3 679486 0.0 1.0 
"2015-11-24 00:00:00+00:00" 74.68 75.0 73.06 73.39 483263 74.68 75.0 73.06 73.39 483263 0.0 1.0 
"2015-11-25 00:00:00+00:00" 73.76 74.83 73.02 74.52 463644 73.76 74.83 73.02 74.52 463644 0.0 1.0 
"2015-11-27 00:00:00+00:00" 73.0 73.97 72.48 73.97 138319 73.0 73.97 72.48 73.97 138319 0.0 1.0 
"2015-11-30 00:00:00+00:00" 73.52 73.98 72.75 73.58 415534 73.52 73.98 72.75 73.58 415534 0.0 1.0 
