date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 20.01 21.34 19.84 21.26 3243721 16.2616456223 17.3425046266 16.1234907119 17.2774905512 3243721 0.0 1.0 
"2015-10-02 00:00:00+00:00" 20.35 20.35 19.44 19.8 2624187 16.5379554429 16.5379554429 15.7984203347 16.0909836742 2624187 0.0 1.0 
"2015-10-05 00:00:00+00:00" 20.71 20.85 20.42 20.55 1679351 16.8305187825 16.9442934145 16.5948427589 16.7004906316 1679351 0.0 1.0 
"2015-10-06 00:00:00+00:00" 20.14 20.69 19.99 20.57 1837003 16.3672934949 16.8142652636 16.2453921034 16.7167441504 1837003 0.0 1.0 
"2015-10-07 00:00:00+00:00" 20.41 20.52 19.96 20.37 2394069 16.5867159995 16.6761103533 16.2210118251 16.5542089618 2394069 0.0 1.0 
"2015-10-08 00:00:00+00:00" 20.81 21.21 20.2 20.31 2247277 16.9117863768 17.236856754 16.4160540515 16.5054484052 2247277 0.0 1.0 
"2015-10-09 00:00:00+00:00" 20.83 20.99 20.04 20.72 2183453 16.9280398956 17.0580680465 16.2860259005 16.8386455419 2183453 0.0 1.0 
"2015-10-12 00:00:00+00:00" 20.35 21.22 20.24 20.95 1829531 16.5379554429 17.2449835135 16.4485610892 17.0255610088 1829531 0.0 1.0 
"2015-10-13 00:00:00+00:00" 20.32 20.83 20.115 20.26 1465022 16.5135751646 16.9280398956 16.3469765963 16.464814608 1465022 0.0 1.0 
"2015-10-14 00:00:00+00:00" 20.13 20.96 20.085 20.34 2439832 16.3591667354 17.0336877682 16.322596318 16.5298286835 2439832 0.0 1.0 
"2015-10-15 00:00:00+00:00" 20.08 20.2611 19.56 20.21 1893289 16.3185329383 16.4657085516 15.8959414478 16.4241808109 1893289 0.0 1.0 
"2015-10-16 00:00:00+00:00" 20.41 20.54 19.88 20.11 1732483 16.5867159995 16.6923638721 16.1559977496 16.3429132166 1732483 0.0 1.0 
"2015-10-19 00:00:00+00:00" 20.96 21.49 20.54 20.69 2549075 17.0336877682 17.4644060181 16.6923638721 16.8142652636 2549075 0.0 1.0 
"2015-10-20 00:00:00+00:00" 21.61 21.79 20.845 20.92 2072057 17.5619271313 17.708208801 16.9402300348 17.0011807305 2072057 0.0 1.0 
"2015-10-21 00:00:00+00:00" 21.14 21.82 21.07 21.68 1813514 17.179969438 17.7325890793 17.123082122 17.6188144473 1813514 0.0 1.0 
"2015-10-22 00:00:00+00:00" 21.26 21.5301 20.93 21.35 1657759 17.2774905512 17.4969943234 17.0093074899 17.3506313861 1657759 0.0 1.0 
"2015-10-23 00:00:00+00:00" 20.64 21.48 20.19 21.39 2716348 16.7736314664 17.4562792587 16.407927292 17.3831384238 2716348 0.0 1.0 
