date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 0.0306 0.0345 0.0305 0.032 584300 0.0306 0.0345 0.0305 0.032 584300 0.0 1.0 
"2015-10-02 00:00:00+00:00" 0.0311 0.0348 0.0306 0.0306 882700 0.0311 0.0348 0.0306 0.0306 882700 0.0 1.0 
"2015-10-05 00:00:00+00:00" 0.0327 0.0339 0.0303 0.0311 854700 0.0327 0.0339 0.0303 0.0311 854700 0.0 1.0 
"2015-10-06 00:00:00+00:00" 0.0378 0.043 0.0304 0.0338 2341900 0.0378 0.043 0.0304 0.0338 2341900 0.0 1.0 
"2015-10-07 00:00:00+00:00" 0.039 0.0408 0.0375 0.0408 793900 0.039 0.0408 0.0375 0.0408 793900 0.0 1.0 
"2015-10-08 00:00:00+00:00" 0.038 0.04 0.0344 0.0389 1542000 0.038 0.04 0.0344 0.0389 1542000 0.0 1.0 
"2015-10-09 00:00:00+00:00" 0.0384 0.04 0.0351 0.04 562900 0.0384 0.04 0.0351 0.04 562900 0.0 1.0 
"2015-10-12 00:00:00+00:00" 0.0353 0.0385 0.0352 0.0385 809000 0.0353 0.0385 0.0352 0.0385 809000 0.0 1.0 
"2015-10-13 00:00:00+00:00" 0.0353 0.0378 0.0352 0.03525 756600 0.0353 0.0378 0.0352 0.03525 756600 0.0 1.0 
"2015-10-14 00:00:00+00:00" 0.035 0.036 0.0344 0.03545 608400 0.035 0.036 0.0344 0.03545 608400 0.0 1.0 
"2015-10-15 00:00:00+00:00" 0.0352 0.0385 0.035 0.035 569100 0.0352 0.0385 0.035 0.035 569100 0.0 1.0 
"2015-10-16 00:00:00+00:00" 0.0367 0.0369 0.0345 0.0355 595100 0.0367 0.0369 0.0345 0.0355 595100 0.0 1.0 
"2015-10-19 00:00:00+00:00" 0.0315 0.0367 0.031 0.035 783400 0.0315 0.0367 0.031 0.035 783400 0.0 1.0 
"2015-10-20 00:00:00+00:00" 0.0321 0.0335 0.0315 0.03175 1146800 0.0321 0.0335 0.0315 0.03175 1146800 0.0 1.0 
"2015-10-21 00:00:00+00:00" 0.031 0.0332 0.03 0.0321 1839400 0.031 0.0332 0.03 0.0321 1839400 0.0 1.0 
"2015-10-22 00:00:00+00:00" 0.029 0.032 0.0281 0.0309 1316800 0.029 0.032 0.0281 0.0309 1316800 0.0 1.0 
"2015-10-23 00:00:00+00:00" 0.0275 0.0306 0.0275 0.02865 2610600 0.0275 0.0306 0.0275 0.02865 2610600 0.0 1.0 
"2015-10-26 00:00:00+00:00" 0.028 0.03 0.0261 0.0276 938800 0.028 0.03 0.0261 0.0276 938800 0.0 1.0 
