date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 87.34 88.81 86.41 88.31 574628 87.34 88.81 86.41 88.31 574628 0.0 1.0 
"2015-10-02 00:00:00+00:00" 88.24 88.27 85.33 86.43 498041 88.24 88.27 85.33 86.43 498041 0.0 1.0 
"2015-10-05 00:00:00+00:00" 89.74 89.98 88.45 89.03 344549 89.74 89.98 88.45 89.03 344549 0.0 1.0 
"2015-10-06 00:00:00+00:00" 88.89 89.9 88.37 89.48 257281 88.89 89.9 88.37 89.48 257281 0.0 1.0 
"2015-10-07 00:00:00+00:00" 89.66 89.82 88.46 89.11 323047 89.66 89.82 88.46 89.11 323047 0.0 1.0 
"2015-10-08 00:00:00+00:00" 90.25 90.28 88.92 89.14 249453 90.25 90.28 88.92 89.14 249453 0.0 1.0 
"2015-10-09 00:00:00+00:00" 91.81 92.02 88.44 90.33 295721 91.81 92.02 88.44 90.33 295721 0.0 1.0 
"2015-10-12 00:00:00+00:00" 91.87 92.1 91.24 92.0 165483 91.87 92.1 91.24 92.0 165483 0.0 1.0 
"2015-10-13 00:00:00+00:00" 91.37 92.26 90.2 91.8 207111 91.37 92.26 90.2 91.8 207111 0.0 1.0 
"2015-10-14 00:00:00+00:00" 90.26 91.96 90.19 91.37 187355 90.26 91.96 90.19 91.37 187355 0.0 1.0 
"2015-10-15 00:00:00+00:00" 90.82 91.36 89.93 90.66 375509 90.82 91.36 89.93 90.66 375509 0.0 1.0 
"2015-10-16 00:00:00+00:00" 92.15 92.34 90.45 91.03 275913 92.15 92.34 90.45 91.03 275913 0.0 1.0 
"2015-10-19 00:00:00+00:00" 93.29 93.88 91.4 91.57 412017 93.29 93.88 91.4 91.57 412017 0.0 1.0 
"2015-10-20 00:00:00+00:00" 92.07 93.77 91.87 93.24 223554 92.07 93.77 91.87 93.24 223554 0.0 1.0 
"2015-10-21 00:00:00+00:00" 91.57 92.6 91.4 92.43 226034 91.57 92.6 91.4 92.43 226034 0.0 1.0 
"2015-10-22 00:00:00+00:00" 93.08 93.7893 91.76 91.92 258416 93.08 93.7893 91.76 91.92 258416 0.0 1.0 
"2015-10-23 00:00:00+00:00" 93.58 93.99 92.38 93.91 421669 93.58 93.99 92.38 93.91 421669 0.0 1.0 
"2015-10-26 00:00:00+00:00" 94.35 94.91 93.65 93.65 285636 94.35 94.91 93.65 93.65 285636 0.0 1.0 
"2015-10-27 00:00:00+00:00" 94.0 94.68 93.33 93.81 299487 94.0 94.68 93.33 93.81 299487 0.0 1.0 
"2015-10-28 00:00:00+00:00" 97.07 97.12 94.17 94.37 326912 97.07 97.12 94.17 94.37 326912 0.0 1.0 
"2015-10-29 00:00:00+00:00" 95.52 96.85 94.99 96.85 255726 95.52 96.85 94.99 96.85 255726 0.0 1.0 
"2015-10-30 00:00:00+00:00" 95.31 96.08 94.99 95.45 474252 95.31 96.08 94.99 95.45 474252 0.0 1.0 
"2015-11-02 00:00:00+00:00" 97.43 97.53 95.2 95.76 403453 97.43 97.53 95.2 95.76 403453 0.0 1.0 
"2015-11-03 00:00:00+00:00" 97.21 97.7748 96.274 97.18 638281 97.21 97.7748 96.274 97.18 638281 0.0 1.0 
"2015-11-04 00:00:00+00:00" 97.77 98.39 95.525 97.26 392369 97.77 98.39 95.525 97.26 392369 0.0 1.0 
"2015-11-05 00:00:00+00:00" 93.39 95.72 90.82 91.22 1363758 93.39 95.72 90.82 91.22 1363758 0.0 1.0 
"2015-11-06 00:00:00+00:00" 93.52 94.73 93.02 93.19 778023 93.52 94.73 93.02 93.19 778023 0.0 1.0 
"2015-11-09 00:00:00+00:00" 92.2 93.21 91.91 93.21 506571 92.2 93.21 91.91 93.21 506571 0.0 1.0 
"2015-11-10 00:00:00+00:00" 92.16 92.63 91.4 92.56 600341 92.16 92.63 91.4 92.56 600341 0.0 1.0 
"2015-11-11 00:00:00+00:00" 91.45 92.33 91.34 92.24 626839 91.45 92.33 91.34 92.24 626839 0.0 1.0 
"2015-11-12 00:00:00+00:00" 90.59 91.86 90.57 90.76 411522 90.59 91.86 90.57 90.76 411522 0.0 1.0 
"2015-11-13 00:00:00+00:00" 89.58 92.66 89.14 90.31 449676 89.58 92.66 89.14 90.31 449676 0.0 1.0 
"2015-11-16 00:00:00+00:00" 90.17 90.2 88.88 89.21 616524 90.17 90.2 88.88 89.21 616524 0.0 1.0 
"2015-11-17 00:00:00+00:00" 90.26 91.16 89.831 90.42 330502 90.26 91.16 89.831 90.42 330502 0.0 1.0 
"2015-11-18 00:00:00+00:00" 90.73 90.98 89.63 90.37 510198 90.73 90.98 89.63 90.37 510198 0.0 1.0 
"2015-11-19 00:00:00+00:00" 91.5 91.7 90.86 90.97 626340 91.5 91.7 90.86 90.97 626340 0.0 1.0 
"2015-11-20 00:00:00+00:00" 91.63 91.98 90.78 91.24 373580 91.63 91.98 90.78 91.24 373580 0.0 1.0 
"2015-11-23 00:00:00+00:00" 92.33 92.955 91.485 91.9 438146 92.33 92.955 91.485 91.9 438146 0.0 1.0 
"2015-11-24 00:00:00+00:00" 92.53 92.855 91.2 92.11 395718 92.53 92.855 91.2 92.11 395718 0.0 1.0 
"2015-11-25 00:00:00+00:00" 92.86 93.19 92.42 92.42 297902 92.86 93.19 92.42 92.42 297902 0.0 1.0 
"2015-11-27 00:00:00+00:00" 93.66 93.78 92.57 92.92 142579 93.66 93.78 92.57 92.92 142579 0.0 1.0 
"2015-11-30 00:00:00+00:00" 93.21 94.22 92.86 93.71 550009 93.21 94.22 92.86 93.71 550009 0.0 1.0 
"2015-12-01 00:00:00+00:00" 94.18 94.57 93.1 93.44 530910 94.18 94.57 93.1 93.44 530910 0.0 1.0 
"2015-12-02 00:00:00+00:00" 93.43 94.41 93.37 94.08 253472 93.43 94.41 93.37 94.08 253472 0.0 1.0 
"2015-12-03 00:00:00+00:00" 92.36 94.26 92.0 93.3 517392 92.36 94.26 92.0 93.3 517392 0.0 1.0 
"2015-12-04 00:00:00+00:00" 93.65 93.82 92.275 92.65 372483 93.65 93.82 92.275 92.65 372483 0.0 1.0 
"2015-12-07 00:00:00+00:00" 92.83 93.82 92.35 93.37 319866 92.83 93.82 92.35 93.37 319866 0.0 1.0 
"2015-12-08 00:00:00+00:00" 92.9 94.13 91.45 92.25 765350 92.9 94.13 91.45 92.25 765350 0.0 1.0 
"2015-12-09 00:00:00+00:00" 90.58 93.29 90.44 92.31 380925 90.58 93.29 90.44 92.31 380925 0.0 1.0 
"2015-12-10 00:00:00+00:00" 91.03 92.15 90.64 90.78 350606 91.03 92.15 90.64 90.78 350606 0.0 1.0 
"2015-12-11 00:00:00+00:00" 89.76 91.39 89.63 90.33 229505 89.76 91.39 89.63 90.33 229505 0.0 1.0 
"2015-12-14 00:00:00+00:00" 90.11 90.66 89.48 90.05 400196 90.11 90.66 89.48 90.05 400196 0.0 1.0 
"2015-12-15 00:00:00+00:00" 90.97 91.74 90.465 91.19 353396 90.97 91.74 90.465 91.19 353396 0.0 1.0 
"2015-12-16 00:00:00+00:00" 91.73 92.12 89.99 91.35 288234 91.73 92.12 89.99 91.35 288234 0.0 1.0 
"2015-12-17 00:00:00+00:00" 91.36 92.97 91.06 92.25 591513 91.36 92.97 91.06 92.25 591513 0.0 1.0 
"2015-12-18 00:00:00+00:00" 90.6 91.37 89.53 91.36 1146762 90.6 91.37 89.53 91.36 1146762 0.0 1.0 
"2015-12-21 00:00:00+00:00" 91.09 91.94 90.255 91.03 338005 91.09 91.94 90.255 91.03 338005 0.0 1.0 
"2015-12-22 00:00:00+00:00" 91.85 92.04 90.62 91.4 297796 91.85 92.04 90.62 91.4 297796 0.0 1.0 
"2015-12-23 00:00:00+00:00" 93.3 93.42 92.01 92.27 232026 93.3 93.42 92.01 92.27 232026 0.0 1.0 
"2015-12-24 00:00:00+00:00" 93.35 93.67 92.1901 92.92 132593 93.35 93.67 92.1901 92.92 132593 0.0 1.0 
"2015-12-28 00:00:00+00:00" 93.83 94.22 93.0 93.19 346598 93.83 94.22 93.0 93.19 346598 0.0 1.0 
"2015-12-29 00:00:00+00:00" 94.36 95.0 93.18 94.25 251166 94.36 95.0 93.18 94.25 251166 0.0 1.0 
"2015-12-30 00:00:00+00:00" 93.72 94.93 93.62 94.17 242513 93.72 94.93 93.62 94.17 242513 0.0 1.0 
"2015-12-31 00:00:00+00:00" 92.5 94.167 92.27 93.59 299234 92.5 94.167 92.27 93.59 299234 0.0 1.0 
"2016-01-04 00:00:00+00:00" 90.1 91.62 89.24 91.4 510628 90.1 91.62 89.24 91.4 510628 0.0 1.0 
"2016-01-05 00:00:00+00:00" 89.42 90.92 89.39 90.14 308511 89.42 90.92 89.39 90.14 308511 0.0 1.0 
"2016-01-06 00:00:00+00:00" 88.29 89.1 88.0 88.47 405683 88.29 89.1 88.0 88.47 405683 0.0 1.0 
"2016-01-07 00:00:00+00:00" 87.23 88.18 86.38 87.18 589420 87.23 88.18 86.38 87.18 589420 0.0 1.0 
"2016-01-08 00:00:00+00:00" 85.4 87.81 85.22 87.71 420804 85.4 87.81 85.22 87.71 420804 0.0 1.0 
"2016-01-11 00:00:00+00:00" 85.27 85.73 84.1 85.73 273779 85.27 85.73 84.1 85.73 273779 0.0 1.0 
"2016-01-12 00:00:00+00:00" 86.41 87.72 85.47 86.3 386555 86.41 87.72 85.47 86.3 386555 0.0 1.0 
"2016-01-13 00:00:00+00:00" 84.45 87.03 84.085 86.87 414874 84.45 87.03 84.085 86.87 414874 0.0 1.0 
"2016-01-14 00:00:00+00:00" 84.9 85.66 83.64 84.66 557010 84.9 85.66 83.64 84.66 557010 0.0 1.0 
"2016-01-15 00:00:00+00:00" 84.97 85.03 82.0001 82.76 603704 84.97 85.03 82.0001 82.76 603704 0.0 1.0 
"2016-01-19 00:00:00+00:00" 84.99 85.7 83.89 85.43 477243 84.99 85.7 83.89 85.43 477243 0.0 1.0 
"2016-01-20 00:00:00+00:00" 84.71 85.25 82.15 84.15 534075 84.71 85.25 82.15 84.15 534075 0.0 1.0 
