date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 138.94 140.68 137.0 140.31 2142642 129.7771777514 131.4024281422 127.965116971 131.0568289212 2142642 0.0 1.0 
"2015-10-02 00:00:00+00:00" 141.85 141.87 136.707 138.0 1429211 132.4952689221 132.5139499611 127.69143975 128.8991689197 1429211 0.0 1.0 
"2015-10-05 00:00:00+00:00" 142.85 143.96 142.02 142.89 1499347 133.4293208708 134.4661185339 132.6540577534 133.4666829488 1499347 0.0 1.0 
"2015-10-06 00:00:00+00:00" 139.46 142.92 138.19 142.88 1621667 130.2628847648 133.4947045072 129.0766387899 133.4573424293 1621667 0.0 1.0 
"2015-10-07 00:00:00+00:00" 139.41 139.99 135.25 139.95 3364816 130.2161821673 130.7579322976 126.3305260608 130.7205702196 3364816 0.0 1.0 
"2015-10-08 00:00:00+00:00" 137.33 139.3799 136.18 139.22 1998384 128.273354114 130.1880672037 127.1991943731 130.0387122971 1998384 0.0 1.0 
"2015-10-09 00:00:00+00:00" 140.49 141.32 137.15 137.15 1951461 131.2249582719 132.0002213893 128.1052247633 128.1052247633 1951461 0.0 1.0 
"2015-10-12 00:00:00+00:00" 143.86 143.88 140.595 141.0 1417997 134.372713339 134.391394378 131.3230337265 131.7013247658 1417997 0.0 1.0 
"2015-10-13 00:00:00+00:00" 146.53 149.87 143.47 143.71 2288156 136.866632042 139.9863655507 134.008433079 134.2326055467 2288156 0.0 1.0 
"2015-10-14 00:00:00+00:00" 143.35 147.87 142.25 146.28 1579299 133.8963468452 138.1182616533 132.8688897016 136.6331190549 1579299 0.0 1.0 
"2015-10-15 00:00:00+00:00" 145.23 145.56 137.11 143.13 3427045 135.6523645087 135.9606016518 128.0678626853 133.6908554165 3427045 0.0 1.0 
"2015-10-16 00:00:00+00:00" 147.05 147.755 145.88 146.86 1494443 137.3523390553 138.0108456792 136.2594982754 137.1748691851 1494443 0.0 1.0 
"2015-10-19 00:00:00+00:00" 148.81 149.37 146.35 146.35 1308135 138.996270485 139.5193395763 136.6985026913 136.6985026913 1308135 0.0 1.0 
"2015-10-20 00:00:00+00:00" 148.24 149.5 147.44 148.98 945466 138.4638608743 139.6407663296 137.7166193153 139.1550593163 945466 0.0 1.0 
"2015-10-21 00:00:00+00:00" 142.79 149.38 138.75 149.31 3642170 133.3732777539 139.5286800958 129.5997078812 139.4632964594 3642170 0.0 1.0 
"2015-10-22 00:00:00+00:00" 139.41 143.14 135.24 142.25 5605629 130.2161821673 133.700195936 126.3211855413 132.8688897016 5605629 0.0 1.0 
"2015-10-23 00:00:00+00:00" 140.95 143.28 139.28 140.08 3150515 131.6546221683 133.8309632088 130.094755414 130.841996973 3150515 0.0 1.0 
"2015-10-26 00:00:00+00:00" 141.74 142.34 139.54 140.96 1991908 132.3925232078 132.952954377 130.3376089207 131.6639626878 1991908 0.0 1.0 
"2015-10-27 00:00:00+00:00" 144.69 146.1 141.33 141.33 2727698 135.1479764564 136.4649897041 132.0095619088 132.0095619088 2727698 0.0 1.0 
"2015-10-28 00:00:00+00:00" 141.8 144.9799 134.74 141.0 5090932 132.4485663247 135.4187581164 125.8541595669 131.7013247658 5090932 0.0 1.0 
"2015-10-29 00:00:00+00:00" 141.34 142.71 140.4 140.85 2397849 132.0189024283 133.298553598 131.1408935965 131.5612169734 2397849 0.0 1.0 
"2015-10-30 00:00:00+00:00" 139.15 141.92 139.03 141.92 2132626 129.9733286607 132.5606525586 129.8612424268 132.5606525586 2132626 0.0 1.0 
"2015-11-02 00:00:00+00:00" 139.86 140.52 137.72 139.0 1802467 130.6365055442 131.2529798304 128.637634374 129.8332208684 1802467 0.0 1.0 
"2015-11-03 00:00:00+00:00" 137.05 140.169 135.53 139.1 1982009 128.0118195684 130.9251275964 126.5920606064 129.9266260632 1982009 0.0 1.0 
