date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 88.56 89.3 87.79 88.74 1455449 83.6906813485 84.3899937266 82.9630184687 83.8607843594 1455449 0.0 1.0 
"2015-10-02 00:00:00+00:00" 89.78 89.8 86.38 87.02 1583502 84.8436017556 84.8625020901 81.6305448836 82.2353555889 1583502 0.0 1.0 
"2015-10-05 00:00:00+00:00" 91.52 91.64 89.92 90.29 936663 86.4879308606 86.6013328679 84.9759040973 85.3255602864 936663 0.0 1.0 
"2015-10-06 00:00:00+00:00" 90.29 91.89 90.17 91.0 981174 85.3255602864 86.8375870497 85.2121582791 85.9965221626 981174 0.0 1.0 
"2015-10-07 00:00:00+00:00" 91.16 91.47 90.22 90.76 1038865 86.1477248389 86.4406800243 85.2594091155 85.7697181481 1038865 0.0 1.0 
"2015-10-08 00:00:00+00:00" 91.93 92.09 90.43 90.88 793597 86.8753877187 87.0265903951 85.4578626281 85.8831201553 793597 0.0 1.0 
"2015-10-09 00:00:00+00:00" 91.29 92.33 90.92 91.65 1043560 86.2705770134 87.2533944096 85.9209208244 86.6107830352 1043560 0.0 1.0 
"2015-10-12 00:00:00+00:00" 91.28 91.5499 91.01 91.16 899960 86.2611268462 86.5161868608 86.0059723298 86.1477248389 899960 0.0 1.0 
"2015-10-13 00:00:00+00:00" 90.78 91.23 90.22 90.91 1330249 85.7886184826 86.2138760098 85.2594091155 85.9114706571 1330249 0.0 1.0 
"2015-10-14 00:00:00+00:00" 90.05 90.8001 89.92 90.56 841106 85.0987562719 85.8076133188 84.9759040973 85.5807148027 841106 0.0 1.0 
"2015-10-15 00:00:00+00:00" 91.25 91.73 90.54 90.84 1258091 86.2327763443 86.6863843733 85.5618144681 85.8453194862 1258091 0.0 1.0 
"2015-10-16 00:00:00+00:00" 91.62 92.29 91.06 91.95 950489 86.5824325334 87.2155937405 86.0532231662 86.8942880533 950489 0.0 1.0 
"2015-10-19 00:00:00+00:00" 90.63 91.72 90.38 91.57 1028624 85.6468659736 86.6769342061 85.4106117918 86.535181697 1028624 0.0 1.0 
"2015-10-20 00:00:00+00:00" 91.56 91.6 90.1 90.1 1791878 86.5257315297 86.5635321988 85.1460071082 85.1460071082 1791878 0.0 1.0 
"2015-10-21 00:00:00+00:00" 91.32 92.37 91.23 92.07 1243333 86.2989275152 87.2911950786 86.2138760098 87.0076900605 1243333 0.0 1.0 
"2015-10-22 00:00:00+00:00" 92.41 93.34 91.8 91.82 1016433 87.3289957477 88.2078613039 86.7525355442 86.7714358788 1016433 0.0 1.0 
"2015-10-23 00:00:00+00:00" 92.49 93.17 91.62 92.9 1651472 87.4045970859 88.0472084603 86.5824325334 87.792053944 1651472 0.0 1.0 
