date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 65.43 66.45 64.61 65.39 772584 30.4363978174 30.9108762795 30.0549543479 30.4177908189 1545168 0.0 1.0 
"2015-10-02 00:00:00+00:00" 65.78 65.79 64.23 64.7 878043 30.5992090544 30.603860804 29.878187862 30.0968200946 1756086 0.0 1.0 
"2015-10-05 00:00:00+00:00" 68.04 68.23 66.41 66.41 719291 31.6505044704 31.7388877133 30.892269281 30.892269281 1438582 0.0 1.0 
"2015-10-06 00:00:00+00:00" 67.21 68.62 66.85 67.78 559866 31.2644092512 31.9203059488 31.0969462646 31.52955898 1119732 0.0 1.0 
"2015-10-07 00:00:00+00:00" 68.3 68.34 67.1 67.85 938409 31.7714499607 31.7900569592 31.2132400053 31.5621212274 1876818 0.0 1.0 
"2015-10-08 00:00:00+00:00" 71.59 71.71 67.8801 68.06 840417 33.3018755884 33.3576965839 31.5761229938 31.6598079696 1680834 0.0 1.0 
"2015-10-09 00:00:00+00:00" 70.75 71.81 70.32 71.62 697926 32.9111286196 33.4042140802 32.7111033856 33.3158308373 1395852 0.0 1.0 
"2015-10-12 00:00:00+00:00" 70.43 71.199 69.95 70.92 623704 32.7622726315 33.1199921779 32.5389886494 32.9902083633 1247408 0.0 1.0 
"2015-10-13 00:00:00+00:00" 68.82 70.74 68.8 69.72 741250 32.0133409414 32.90647687 32.0040374421 32.4319984079 1482500 0.0 1.0 
"2015-10-14 00:00:00+00:00" 68.43 69.12 68.23 68.71 610537 31.8319227059 32.1528934302 31.7388877133 31.9621716955 1221074 0.0 1.0 
"2015-10-15 00:00:00+00:00" 69.44 69.49 67.61 68.62 723945 32.3017494183 32.3250081665 31.4504792364 31.9203059488 1447890 0.0 1.0 
"2015-10-16 00:00:00+00:00" 69.82 69.94 68.37 69.35 742597 32.4785159042 32.5343368997 31.8040122081 32.2598836717 1485194 0.0 1.0 
"2015-10-19 00:00:00+00:00" 70.87 70.93 69.11 69.55 1100389 32.9669496152 32.9948601129 32.1482416806 32.3529186642 2200778 0.0 1.0 
"2015-10-20 00:00:00+00:00" 70.79 71.1 69.88 70.97 1728681 32.9297356181 33.0739398566 32.506426402 33.0134671114 3457362 0.0 1.0 
"2015-10-21 00:00:00+00:00" 68.67 74.7 68.46 71.99 3521261 31.943564697 34.7485697228 31.8458779548 33.4879455735 7042522 0.0 1.0 
"2015-10-22 00:00:00+00:00" 72.76 73.13 69.46 69.63 1645821 33.8461302949 34.0182450311 32.3110529176 32.3901326613 3291642 0.0 1.0 
"2015-10-23 00:00:00+00:00" 73.84 74.16 72.68 73.16 799031 34.3485192547 34.4973752428 33.8089162979 34.03220028 1598062 0.0 1.0 
"2015-10-26 00:00:00+00:00" 73.78 74.47 73.27 73.89 676044 34.320608757 34.6415794813 34.0833695259 34.3717780029 1352088 0.0 1.0 
"2015-10-27 00:00:00+00:00" 73.8 74.235 72.77 73.56 656037 34.3299122562 34.5322633651 33.8507820445 34.2182702652 1312074 0.0 1.0 
"2015-10-28 00:00:00+00:00" 76.42 76.56 73.48 73.61 1480761 35.6370539018 35.702340313 34.2660392659 34.3266623621 2961522 0.19 1.0 
"2015-10-29 00:00:00+00:00" 76.38 76.95 75.87 76.21 932418 35.6184006414 35.8842096014 35.3805715719 35.5391242849 1864836 0.0 1.0 
"2015-10-30 00:00:00+00:00" 76.82 77.5 76.26 76.49 696968 35.8235865053 36.1406919313 35.5624408604 35.6696971074 1393936 0.0 1.0 
"2015-11-02 00:00:00+00:00" 77.58 78.08 76.375 76.77 600924 36.177998452 36.4111642064 35.6160689839 35.8002699298 1201848 0.0 1.0 
"2015-11-03 00:00:00+00:00" 76.82 77.91 76.61 77.46 830641 35.8235865053 36.3318878499 35.7256568884 36.1220386709 1661282 0.0 1.0 
