date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 39.72 41.02 39.31 39.92 7268995 35.332537062 36.4889393324 34.9678255767 35.5104451036 7268995 0.0 1.0 
"2015-10-02 00:00:00+00:00" 42.61 42.81 39.101 39.19 5926213 37.9033082631 38.0812163047 34.7819116733 34.8610807518 5926213 0.0 1.0 
"2015-10-05 00:00:00+00:00" 43.98 44.4 42.83 43.1 4899787 39.1219783481 39.4955852355 38.0990071089 38.3391829651 4899787 0.0 1.0 
"2015-10-06 00:00:00+00:00" 46.12 46.31 43.96 44.09 6342241 41.0255943932 41.1946070328 39.104187544 39.219827771 6342241 0.0 1.0 
"2015-10-07 00:00:00+00:00" 45.93 47.98 44.45 46.76 6108652 40.8565817537 42.6801391801 39.5400622459 41.5949001264 6108652 0.0 1.0 
"2015-10-08 00:00:00+00:00" 47.15 47.63 45.67 45.85 5336984 41.9418208075 42.3688001073 40.6253012996 40.7854185371 5336984 0.0 1.0 
"2015-10-09 00:00:00+00:00" 46.47 47.6 45.97 47.46 4187717 41.3369334661 42.3421139011 40.892163362 42.217578272 4187717 0.0 1.0 
"2015-10-12 00:00:00+00:00" 44.95 46.56 44.34 46.56 4507290 39.9848323499 41.4169920848 39.442212823 41.4169920848 4507290 0.0 1.0 
"2015-10-13 00:00:00+00:00" 44.59 45.14 43.62 44.42 5280279 39.664597875 40.1538449894 38.8017438732 39.5133760396 5280279 0.0 1.0 
"2015-10-14 00:00:00+00:00" 45.69 45.96 44.19 44.51 3691127 40.6430921038 40.88326796 39.3087817918 39.5934346584 3691127 0.0 1.0 
"2015-10-15 00:00:00+00:00" 46.75 46.845 45.23 45.46 4257263 41.5860047243 41.6705110441 40.2339036081 40.438497856 4257263 0.0 1.0 
"2015-10-16 00:00:00+00:00" 46.52 47.1 45.91 46.97 3787600 41.3814104765 41.8973437971 40.8387909496 41.7817035701 3787600 0.0 1.0 
"2015-10-19 00:00:00+00:00" 45.33 45.88 45.01 45.82 4832490 40.3228576289 40.8121047433 40.0382047624 40.7587323308 4832490 0.0 1.0 
