date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 129.27 129.45 126.65 127.63 2256000 115.014137575 115.1742872212 112.6830705026 113.5549963541 2256000 0.0 1.0 
"2015-10-02 00:00:00+00:00" 130.52 130.55 126.82 127.95 1736500 116.1262878958 116.1529795035 112.8343229462 113.8397068362 1736500 0.0 1.0 
"2015-10-05 00:00:00+00:00" 132.92 132.99 131.41 131.93 1951600 118.2616165117 118.3238969296 116.9163594836 117.3807934576 1951600 0.0 1.0 
"2015-10-06 00:00:00+00:00" 132.79 133.96 132.51 132.84 927700 118.1459528783 119.1824769773 117.8968312065 118.1904388911 927700 0.0 1.0 
"2015-10-07 00:00:00+00:00" 134.17 134.4 131.95 133.17 1438600 119.3737668325 119.5784024915 117.3985878627 118.4840465758 1438600 0.0 1.0 
"2015-10-08 00:00:00+00:00" 137.91 138.2 134.44 135.53 1548100 122.7013205923 122.9593394667 119.6139913018 120.5837863815 1548100 0.0 1.0 
"2015-10-09 00:00:00+00:00" 139.95 140.64 137.65 138.38 1631600 124.5163499158 125.1302568929 122.4699933256 123.1194891129 1631600 0.0 1.0 
"2015-10-12 00:00:00+00:00" 138.81 140.12 138.01 139.66 610400 123.5020688232 124.6676023594 122.7902926179 124.2583310414 610400 0.0 1.0 
"2015-10-13 00:00:00+00:00" 138.29 139.35 136.78 137.65 1498000 123.0394142898 123.9825177618 121.6959367023 122.4699933256 1498000 0.0 1.0 
"2015-10-14 00:00:00+00:00" 138.53 139.06 137.68 138.23 613600 123.2529471514 123.7244988874 122.4966849333 122.9860310744 613600 0.0 1.0 
"2015-10-15 00:00:00+00:00" 139.76 140.0 138.28 139.46 813000 124.347303067 124.5608359286 123.0305170872 124.0803869901 813000 0.0 1.0 
"2015-10-16 00:00:00+00:00" 138.86 140.68 137.98 140.5 732300 123.5465548361 125.1658457031 122.7636010102 125.005696057 732300 0.0 1.0 
"2015-10-19 00:00:00+00:00" 138.03 138.77 137.4 138.1 454000 122.8080870231 123.466480013 122.2475632614 122.870367441 454000 0.0 1.0 
"2015-10-20 00:00:00+00:00" 137.35 138.77 137.23 137.97 843300 122.2030772486 123.466480013 122.0963108178 122.7547038077 843300 0.0 1.0 
"2015-10-21 00:00:00+00:00" 135.54 138.11 132.78 137.86 2025100 120.5926835841 122.8792646436 118.1370556757 122.6568345794 2025100 0.0 1.0 
"2015-10-22 00:00:00+00:00" 137.83 137.93 135.94 136.55 1504400 122.6301429717 122.7191149974 120.9485716867 121.4913010433 1504400 0.0 1.0 
"2015-10-23 00:00:00+00:00" 139.99 140.9 138.05 139.56 1603200 124.5519387261 125.3615841596 122.8258814282 124.1693590157 1603200 0.0 1.0 
"2015-10-26 00:00:00+00:00" 139.77 140.41 139.55 139.97 876700 124.3562002696 124.9256212339 124.1604618132 124.5341443209 876700 0.0 1.0 
"2015-10-27 00:00:00+00:00" 139.23 139.67 138.56 138.74 1036500 123.875751331 124.267228244 123.2796387591 123.4397884053 1036500 0.0 1.0 
"2015-10-28 00:00:00+00:00" 142.13 142.14 138.92 139.23 1440400 126.4559400753 126.4648372778 123.5999380515 123.875751331 1440400 0.0 1.0 
