date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 50.03 51.015 49.48 50.86 1735936 47.7510710718 48.6912030927 47.2261242581 48.5432635361 1735936 0.0 1.0 
"2015-10-02 00:00:00+00:00" 50.51 50.51 49.15 49.39 1981801 48.2092064728 48.2092064728 46.9111561699 47.1402238704 1981801 0.0 1.0 
"2015-10-05 00:00:00+00:00" 51.78 51.8601 50.71 50.92 948471 49.4213563881 49.4978077332 48.4000962233 48.6005304612 948471 0.0 1.0 
"2015-10-06 00:00:00+00:00" 51.24 52.0 51.09 51.86 972790 48.9059540619 49.6313351136 48.7627867491 49.4977122883 972790 0.0 1.0 
"2015-10-07 00:00:00+00:00" 51.66 52.25 51.19 51.51 1396791 49.3068225378 49.8699473016 48.8582316243 49.163655225 1396791 0.0 1.0 
"2015-10-08 00:00:00+00:00" 52.11 52.15 51.25 51.57 962856 49.7363244763 49.7745024264 48.9154985494 49.2209221501 962856 0.0 1.0 
"2015-10-09 00:00:00+00:00" 51.93 52.4 51.76 52.08 684068 49.5645237009 50.0131146145 49.4022674131 49.7076910138 684068 0.0 1.0 
"2015-10-12 00:00:00+00:00" 52.03 52.09 51.52 51.87 739077 49.6599685762 49.7172355013 49.1731997125 49.5072567758 739077 0.0 1.0 
"2015-10-13 00:00:00+00:00" 51.69 52.12 51.61 51.66 608918 49.3354560004 49.7458689638 49.2591001002 49.3068225378 608918 0.0 1.0 
"2015-10-14 00:00:00+00:00" 51.9 52.3 51.49 51.7 1038476 49.5358902384 49.9176697392 49.14456625 49.3450004879 1038476 0.0 1.0 
"2015-10-15 00:00:00+00:00" 52.82 52.9875 51.91 52.27 1208260 50.4139830904 50.5738532564 49.5454347259 49.8890362767 1208260 0.0 1.0 
"2015-10-16 00:00:00+00:00" 53.31 53.47 52.83 53.0 1487852 50.8816629789 51.0343747793 50.4235275779 50.5857838658 1487852 0.0 1.0 
"2015-10-19 00:00:00+00:00" 53.08 53.24 52.76 53.12 1178760 50.6621397659 50.8148515663 50.3567161652 50.700317716 1178760 0.0 1.0 
"2015-10-20 00:00:00+00:00" 53.41 53.49 52.88 53.0 1338234 50.9771078542 51.0534637543 50.4712500155 50.5857838658 1338234 0.0 1.0 
"2015-10-21 00:00:00+00:00" 50.43 51.5 49.0099 50.0 4713634 48.1328505727 49.1541107375 46.7774378997 47.7224376092 4713634 0.0 1.0 
"2015-10-22 00:00:00+00:00" 52.08 52.75 50.5 50.57 3045949 49.7076910138 50.3471716777 48.1996619853 48.266473398 3045949 0.0 1.0 
"2015-10-23 00:00:00+00:00" 53.53 53.53 52.135 52.37 2615490 51.0916417044 51.0916417044 49.7601856951 49.9844811519 2615490 0.0 1.0 
"2015-10-26 00:00:00+00:00" 53.83 53.85 53.25 53.3 1518862 51.3779763301 51.3970653051 50.8243960538 50.8721184914 1518862 0.0 1.0 
"2015-10-27 00:00:00+00:00" 53.99 53.995 53.58 53.61 1600865 51.5306881304 51.5354603742 51.139364142 51.1679976046 1600865 0.0 1.0 
"2015-10-28 00:00:00+00:00" 54.43 54.43 53.51 53.89 1936423 51.9506455814 51.9506455814 51.0725527294 51.4352432552 1936423 0.0 1.0 
