date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 84.49 85.2 83.95 84.99 652800 73.4804065993 74.0935405401 73.0107720915 73.9152533658 652800 0.0 1.0 
"2015-10-02 00:00:00+00:00" 85.66 85.66 83.92 84.2 455300 74.4979480329 74.4979480329 72.9846812855 73.2281954748 455300 0.0 1.0 
"2015-10-05 00:00:00+00:00" 87.66 87.75 84.12 86.29 292000 76.2373350988 76.3156075168 73.1586199921 75.0458549586 292000 0.0 1.0 
"2015-10-06 00:00:00+00:00" 87.63 88.1 87.07 87.48 298800 76.2112442928 76.624348721 75.7242159143 76.0807902629 298800 0.0 1.0 
"2015-10-07 00:00:00+00:00" 88.38 88.75 87.59 87.59 473300 76.8635144425 77.1853010497 76.1764565515 76.1764565515 473300 0.0 1.0 
"2015-10-08 00:00:00+00:00" 90.73 91.26 89.24 89.59 931100 78.907294245 79.3682318174 77.6157993485 77.9158436174 931100 0.0 1.0 
"2015-10-09 00:00:00+00:00" 89.94 91.78 89.4 90.89 359300 78.2202363539 79.8204724546 77.7488624591 79.0464452102 359300 0.0 1.0 
"2015-10-12 00:00:00+00:00" 90.4 90.83 90.12 90.17 440300 78.6202953791 78.9942635983 78.3767811899 78.4202658665 440300 0.0 1.0 
"2015-10-13 00:00:00+00:00" 92.25 92.32 90.33 91.25 790000 80.229228415 80.2901069624 78.5594168318 79.3595348821 790000 0.0 1.0 
"2015-10-14 00:00:00+00:00" 91.95 92.88 91.8 92.48 987400 79.9683203552 80.7771353408 79.8378663252 80.4292579276 987400 0.0 1.0 
"2015-10-15 00:00:00+00:00" 92.43 94.19 91.87 91.94 450800 80.385773251 81.916433869 79.8987448725 79.9596234198 450800 0.0 1.0 
"2015-10-16 00:00:00+00:00" 93.04 93.36 92.06 92.43 497200 80.9162863061 81.1937185431 80.0639866438 80.385773251 497200 0.0 1.0 
"2015-10-19 00:00:00+00:00" 94.41 94.48 92.5 93.06 376400 82.1077664462 82.1686449935 80.4466517983 80.9336801767 376400 0.0 1.0 
"2015-10-20 00:00:00+00:00" 94.36 96.86 93.99 94.38 263100 82.0642817696 84.238515602 81.7424951624 82.0816756402 263100 0.0 1.0 
"2015-10-21 00:00:00+00:00" 93.99 95.37 93.51 94.97 511400 81.7424951624 82.9426722379 81.3250422666 82.5947948247 511400 0.0 1.0 
"2015-10-22 00:00:00+00:00" 90.65 95.03 90.64 94.43 1168200 78.8377187623 82.6469764367 78.829021827 82.1251603169 1168200 0.0 1.0 
"2015-10-23 00:00:00+00:00" 90.4 91.08 89.88 90.32 961500 78.6202953791 79.2116869815 78.1680547419 78.5507198964 961500 0.0 1.0 
"2015-10-26 00:00:00+00:00" 89.19 90.86 88.96 90.66 689000 77.5679662042 79.0247028719 77.3679366916 78.8464156976 689000 0.0 1.0 
"2015-10-27 00:00:00+00:00" 89.53 89.78 88.86 89.19 626100 77.8636620054 78.076736921 77.2809673383 77.5679662042 626100 0.0 1.0 
"2015-10-28 00:00:00+00:00" 90.42 90.46 88.24 89.82 521100 78.6376892497 78.6724769911 76.7417573479 78.11587313 521100 0.0 1.0 
"2015-10-29 00:00:00+00:00" 90.31 92.05 89.68 90.42 402700 78.5420229611 80.0552897085 77.9941160354 78.6376892497 402700 0.0 1.0 
"2015-10-30 00:00:00+00:00" 89.74 90.91 89.48 90.37 467300 78.0462976473 79.0638390809 77.8201773288 78.5942045731 467300 0.0 1.0 
