date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 87.97 89.79 86.09 89.62 1020917 87.2160458752 89.0204474154 85.3521585699 88.8519044144 1020917 0.0 1.0 
"2015-10-02 00:00:00+00:00" 88.76 88.76 86.605 86.93 1068360 87.9992751151 87.9992751151 85.86274472 86.1849592807 1068360 0.0 1.0 
"2015-10-05 00:00:00+00:00" 91.14 91.74 89.5 89.61 856390 90.3588771293 90.9537347799 88.7329328842 88.8419901202 856390 0.0 1.0 
"2015-10-06 00:00:00+00:00" 90.72 91.76 90.35 91.33 514376 89.9424767738 90.9735633682 89.5756478893 90.5472487186 514376 0.0 1.0 
"2015-10-07 00:00:00+00:00" 92.0 92.12 90.07 90.93 557823 91.2115064285 91.3304779586 89.2980476523 90.1506769515 557823 0.0 1.0 
"2015-10-08 00:00:00+00:00" 92.92 93.18 91.682 91.74 462918 92.1236214928 92.3813931414 90.8962318737 90.9537347799 462918 0.0 1.0 
"2015-10-09 00:00:00+00:00" 93.4 93.86 92.64 93.04 562449 92.5995076133 93.0555651454 91.8460212558 92.2425930229 562449 0.0 1.0 
"2015-10-12 00:00:00+00:00" 92.76 93.46 92.29 93.31 313676 91.9649927859 92.6589933783 91.4990209596 92.5102789657 313676 0.0 1.0 
"2015-10-13 00:00:00+00:00" 92.39 93.0 91.45 91.93 311663 91.5981639014 92.2029358462 90.6662202488 91.1421063693 311663 0.0 1.0 
"2015-10-14 00:00:00+00:00" 92.78 93.035 92.13 92.39 458582 91.9848213743 92.2376358758 91.3403922528 91.5981639014 458582 0.0 1.0 
"2015-10-15 00:00:00+00:00" 92.79 93.23 91.72 93.19 250140 91.9947356685 92.4309646123 90.9339061915 92.3913074356 250140 0.0 1.0 
"2015-10-16 00:00:00+00:00" 91.93 93.23 91.59 93.23 385600 91.1421063693 92.4309646123 90.8050203672 92.4309646123 385600 0.0 1.0 
"2015-10-19 00:00:00+00:00" 91.13 91.66 91.0 91.49 566763 90.3489628351 90.8744204265 90.2200770108 90.7058774255 566763 0.0 1.0 
"2015-10-20 00:00:00+00:00" 90.87 91.46 90.35 90.91 767707 90.0911911865 90.6761345429 89.5756478893 90.1308483632 767707 0.0 1.0 
"2015-10-21 00:00:00+00:00" 89.62 91.51 88.89 90.94 731372 88.8519044144 90.7257060138 88.1281609394 90.1605912457 731372 0.0 1.0 
"2015-10-22 00:00:00+00:00" 91.7 92.04 90.08 90.81 692740 90.9140776032 91.2511636052 89.3079619465 90.0317054214 692740 0.0 1.0 
"2015-10-23 00:00:00+00:00" 92.73 93.24 91.59 92.14 515392 91.9352499034 92.4408789064 90.8050203672 91.350306547 515392 0.0 1.0 
