date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2020-04-01 00:00:00+00:00" 6.92 15.0 5.8 15.0 9548728 6.92 15.0 5.8 15.0 9548728 0.0 1.0 
"2020-04-02 00:00:00+00:00" 6.21 7.98 6.0 7.31 13961937 6.21 7.98 6.0 7.31 13961937 0.0 1.0 
"2020-04-03 00:00:00+00:00" 8.06 8.1 6.33 6.61 26553932 8.06 8.1 6.33 6.61 26553932 0.0 1.0 
"2020-04-06 00:00:00+00:00" 7.3 9.0 7.23 8.68 7447182 7.3 9.0 7.23 8.68 7447182 0.0 1.0 
"2020-04-07 00:00:00+00:00" 7.3 7.58 7.2 7.5 4968681 7.3 7.58 7.2 7.5 4968681 0.0 1.0 
"2020-04-08 00:00:00+00:00" 10.03 10.3 7.2 7.2 7329256 10.03 10.3 7.2 7.2 7329256 0.0 1.0 
"2020-04-09 00:00:00+00:00" 10.79 11.14 10.0 10.87 6331688 10.79 11.14 10.0 10.87 6331688 0.0 1.0 
"2020-04-13 00:00:00+00:00" 9.5 11.84 9.45 10.97 2786464 9.5 11.84 9.45 10.97 2786464 0.0 1.0 
"2020-04-14 00:00:00+00:00" 9.66 10.19 9.11 10.0 2940242 9.66 10.19 9.11 10.0 2940242 0.0 1.0 
"2020-04-15 00:00:00+00:00" 8.89 9.24 8.7 9.12 1744165 8.89 9.24 8.7 9.12 1744165 0.0 1.0 
"2020-04-16 00:00:00+00:00" 8.54 9.04 8.06 8.77 1828306 8.54 9.04 8.06 8.77 1828306 0.0 1.0 
"2020-04-17 00:00:00+00:00" 9.47 10.2 8.9 8.94 4163865 9.47 10.2 8.9 8.94 4163865 0.0 1.0 
"2020-04-20 00:00:00+00:00" 9.76 9.97 8.6 9.01 2430144 9.76 9.97 8.6 9.01 2430144 0.0 1.0 
"2020-04-21 00:00:00+00:00" 9.31 9.86 9.2701 9.49 1927824 9.31 9.86 9.2701 9.49 1927824 0.0 1.0 
"2020-04-22 00:00:00+00:00" 9.3 9.65 9.29 9.56 794450 9.3 9.65 9.29 9.56 794450 0.0 1.0 
"2020-04-23 00:00:00+00:00" 8.82 9.5 8.81 9.32 1416308 8.82 9.5 8.81 9.32 1416308 0.0 1.0 
"2020-04-24 00:00:00+00:00" 8.04 8.93 7.9 8.82 3339648 8.04 8.93 7.9 8.82 3339648 0.0 1.0 
"2020-04-27 00:00:00+00:00" 9.15 9.41 8.1 8.1 1703727 9.15 9.41 8.1 8.1 1703727 0.0 1.0 
"2020-04-28 00:00:00+00:00" 8.2 9.8 7.91 9.4 5755626 8.2 9.8 7.91 9.4 5755626 0.0 1.0 
"2020-04-29 00:00:00+00:00" 8.81 8.92 8.4 8.64 2215910 8.81 8.92 8.4 8.64 2215910 0.0 1.0 
"2020-04-30 00:00:00+00:00" 8.72 8.8 8.32 8.57 1347749 8.72 8.8 8.32 8.57 1347749 0.0 1.0 
"2020-05-01 00:00:00+00:00" 8.55 8.69 8.32 8.4 2067644 8.55 8.69 8.32 8.4 2067644 0.0 1.0 
"2020-05-04 00:00:00+00:00" 8.88 9.02 8.16 8.2 1989234 8.88 9.02 8.16 8.2 1989234 0.0 1.0 
"2020-05-05 00:00:00+00:00" 8.84 9.0487 8.512 8.94 1854929 8.84 9.0487 8.512 8.94 1854929 0.0 1.0 
"2020-05-06 00:00:00+00:00" 8.34 8.75 8.3 8.75 1818452 8.34 8.75 8.3 8.75 1818452 0.0 1.0 
"2020-05-07 00:00:00+00:00" 8.67 8.825 8.41 8.47 1224634 8.67 8.825 8.41 8.47 1224634 0.0 1.0 
"2020-05-08 00:00:00+00:00" 9.12 9.12 8.6269 8.74 1590125 9.12 9.12 8.6269 8.74 1590125 0.0 1.0 
"2020-05-11 00:00:00+00:00" 8.78 9.1 8.65 8.94 909693 8.78 9.1 8.65 8.94 909693 0.0 1.0 
"2020-05-12 00:00:00+00:00" 8.52 9.035 8.5 8.85 2538129 8.52 9.035 8.5 8.85 2538129 0.0 1.0 
"2020-05-13 00:00:00+00:00" 8.3 8.6 8.23 8.49 1212843 8.3 8.6 8.23 8.49 1212843 0.0 1.0 
"2020-05-14 00:00:00+00:00" 8.33 8.46 7.79 8.13 2273214 8.33 8.46 7.79 8.13 2273214 0.0 1.0 
"2020-05-15 00:00:00+00:00" 8.34 8.62 8.0391 8.21 1097748 8.34 8.62 8.0391 8.21 1097748 0.0 1.0 
"2020-05-18 00:00:00+00:00" 9.27 9.3 8.6402 8.68 1458712 9.27 9.3 8.6402 8.68 1458712 0.0 1.0 
"2020-05-19 00:00:00+00:00" 9.29 9.59 8.98 9.29 1053683 9.29 9.59 8.98 9.29 1053683 0.0 1.0 
"2020-05-20 00:00:00+00:00" 10.5 10.83 9.9 9.94 2615304 10.5 10.83 9.9 9.94 2615304 0.0 1.0 
"2020-05-21 00:00:00+00:00" 11.28 11.61 10.25 10.4 2227448 11.28 11.61 10.25 10.4 2227448 0.0 1.0 
"2020-05-22 00:00:00+00:00" 12.84 13.05 11.54 11.72 3194529 12.84 13.05 11.54 11.72 3194529 0.0 1.0 
"2020-05-26 00:00:00+00:00" 13.05 15.7799 12.78 14.1 5365359 13.05 15.7799 12.78 14.1 5365359 0.0 1.0 
"2020-05-27 00:00:00+00:00" 13.95 14.21 13.31 13.44 2576870 13.95 14.21 13.31 13.44 2576870 0.0 1.0 
