date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 101.41 101.62 99.93 101.15 662540 47.5748735457 47.6733916745 46.8805553044 47.4528987195 1317194 0.0 1.0 
"2015-10-02 00:00:00+00:00" 103.39 103.39 98.98 100.02 456808 48.5037587604 48.5037587604 46.434878055 46.9227773596 908179 0.0 1.0 
"2015-10-05 00:00:00+00:00" 104.78 105.8 103.7 104.36 797437 49.1558549464 49.6343715722 48.6491902839 48.9588186888 1585383 0.0 1.0 
"2015-10-06 00:00:00+00:00" 103.61 105.56 103.14 104.98 973257 48.6069682287 49.5217794249 48.3864752737 49.2496817358 1934930 0.0 1.0 
"2015-10-07 00:00:00+00:00" 105.73 105.83 103.49 104.11 700115 49.6015321959 49.6484455906 48.5506721551 48.8415352021 1391897 0.0 1.0 
"2015-10-08 00:00:00+00:00" 107.72 107.87 105.15 105.69 485658 50.53510875 50.6054788421 49.3294345068 49.582766838 965535 0.0 1.0 
"2015-10-09 00:00:00+00:00" 105.52 107.84 105.33 106.75 800811 49.5030140671 50.5914048237 49.4138786172 50.0800488216 1592091 0.0 1.0 
"2015-10-12 00:00:00+00:00" 106.27 106.42 104.78 105.52 458139 49.8548645272 49.9252346192 49.1558549464 49.5030140671 910825 0.0 1.0 
"2015-10-13 00:00:00+00:00" 105.5 106.78 104.97 105.41 433870 49.4936313881 50.09412284 49.2449903963 49.4514093329 862576 0.0 1.0 
"2015-10-14 00:00:00+00:00" 105.54 108.1 105.23 105.72 422878 49.512396746 50.7133796498 49.3669652225 49.5968408564 840723 0.0 1.0 
"2015-10-15 00:00:00+00:00" 105.79 106.09 104.18 105.68 395675 49.6296802327 49.7704204167 48.8743745783 49.5780754986 786640 0.0 1.0 
"2015-10-16 00:00:00+00:00" 106.43 106.85 105.7 106.12 536157 49.9299259587 50.1269622163 49.5874581775 49.7844944352 1065932 0.0 1.0 
"2015-10-19 00:00:00+00:00" 106.45 106.57 105.1 105.88 521179 49.9393086376 49.9956047112 49.3059778094 49.6719022879 1036155 0.0 1.0 
"2015-10-20 00:00:00+00:00" 106.37 107.5 106.05 106.17 569523 49.9017779219 50.4318992817 49.7516550589 49.8079511325 1132267 0.0 1.0 
"2015-10-21 00:00:00+00:00" 105.21 107.638 105.05 106.86 265404 49.3575825436 50.4966397664 49.2825211121 50.1316535558 527649 0.0 1.0 
"2015-10-22 00:00:00+00:00" 106.78 107.66 106.02 106.28 283997 50.09412284 50.5069607132 49.7375810405 49.8595558666 564614 0.0 1.0 
"2015-10-23 00:00:00+00:00" 107.73 108.63 106.81 107.88 372819 50.5398000895 50.9620206416 50.1081968585 50.6101701815 741200 0.0 1.0 
"2015-10-26 00:00:00+00:00" 107.3 107.62 106.56 107.54 331856 50.3380724924 50.4881953554 49.9909133717 50.4506646396 659762 0.0 1.0 
"2015-10-27 00:00:00+00:00" 104.8 106.83 103.82 106.83 570816 49.1652376254 50.1175795374 48.7054863575 50.1175795374 1134838 0.0 1.0 
"2015-10-28 00:00:00+00:00" 107.8 107.82 104.7 105.0 506844 50.5726394658 50.5820221447 49.1183242307 49.2590644147 1007655 0.0 1.0 
"2015-10-29 00:00:00+00:00" 108.79 109.19 107.47 107.74 511099 51.0370820731 51.2247356519 50.4178252633 50.544491429 1016115 0.0 1.0 
"2015-10-30 00:00:00+00:00" 109.72 110.27 108.29 109.07 575494 51.4733766437 51.7314003144 50.8025150997 51.1684395782 1144138 0.0 1.0 
"2015-11-02 00:00:00+00:00" 110.95 111.71 109.36 110.13 457409 52.0504113982 52.4069531978 51.3044884228 51.6657215618 909374 0.0 1.0 
"2015-11-03 00:00:00+00:00" 108.71 110.95 108.34 110.54 792816 50.9995513574 52.0504113982 50.8259717971 51.85806648 1576196 0.0 1.0 
"2015-11-04 00:00:00+00:00" 110.89 112.18 103.81 104.27 1455504 52.0222633614 52.6274461528 48.700795018 48.9165966336 2893685 0.0 1.0 
"2015-11-05 00:00:00+00:00" 111.11 111.84 109.44 110.62 618068 52.1254728297 52.4679406109 51.3420191386 51.8955971958 1228780 0.0 1.0 
"2015-11-06 00:00:00+00:00" 112.0 112.16 109.94 110.52 471675 52.5430020424 52.6180634739 51.576586112 51.8486838011 937736 0.0 1.0 
"2015-11-09 00:00:00+00:00" 111.81 112.36 108.74 111.53 430738 52.4538665925 52.7118902632 51.0136253758 52.3225090874 856349 0.0 1.0 
"2015-11-10 00:00:00+00:00" 111.15 111.9399 110.21 111.48 360225 52.1442381876 52.5148070922 51.7032522776 52.29905239 716162 0.0 1.0 
"2015-11-11 00:00:00+00:00" 110.96 111.72 110.48 111.39 271498 52.0551027377 52.4116445373 51.8299184432 52.2568303348 539764 0.0 1.0 
"2015-11-12 00:00:00+00:00" 108.06 110.8 107.53 110.8 865095 50.694614292 51.9800413062 50.4459733002 51.9800413062 1719894 0.0 1.0 
"2015-11-13 00:00:00+00:00" 109.2 109.33 106.85 107.36 429840 51.2294269913 51.2904144044 50.1269622163 50.3662205292 854564 0.0 1.0 
"2015-11-16 00:00:00+00:00" 109.39 110.49 108.2 108.73 314435 51.3185624412 51.8346097827 50.7602930445 51.0089340363 625127 0.0 1.0 
"2015-11-17 00:00:00+00:00" 109.71 110.43 108.7201 109.78 377785 51.4686853042 51.8064617459 51.0042896102 51.5015246805 751073 0.0 1.0 
"2015-11-18 00:00:00+00:00" 111.89 111.99 110.29 110.29 564174 52.4913973082 52.5383107029 51.7407829933 51.7407829933 1121633 0.0 1.0 
"2015-11-19 00:00:00+00:00" 112.6 113.96 111.17 111.75 483598 52.8244824105 53.4625045781 52.1536208665 52.4257185557 961440 0.0 1.0 
"2015-11-20 00:00:00+00:00" 112.39 113.26 112.09 112.94 393516 52.7259642816 53.1341108154 52.5852240976 52.9839879524 782348 0.0 1.0 
"2015-11-23 00:00:00+00:00" 112.15 113.08 111.645 112.29 485240 52.6133721344 53.0496667049 52.3764594913 52.679050887 964704 0.0 1.0 
"2015-11-24 00:00:00+00:00" 112.31 112.8 110.75 111.38 487562 52.6884335659 52.9183091998 51.9565846089 52.2521389954 969321 0.0 1.0 
"2015-11-25 00:00:00+00:00" 112.09 112.78 111.89 112.05 441987 52.5852240976 52.9089265209 52.4913973082 52.5664587397 878713 0.0 1.0 
"2015-11-27 00:00:00+00:00" 112.39 112.64 108.76 111.55 670767 52.9089265209 53.0266169883 51.2000609344 52.5134865505 1333550 0.39 1.0 
"2015-11-30 00:00:00+00:00" 112.65 113.81 112.11 112.48 572317 53.031324607 53.5774083757 52.7771131974 52.9512950891 1137822 0.0 1.0 
"2015-12-01 00:00:00+00:00" 113.25 113.75 112.17 112.98 435298 53.3137817287 53.5491626635 52.8053589096 53.1866760239 865415 0.0 1.0 
"2015-12-02 00:00:00+00:00" 111.98 113.38 111.91 113.12 464091 52.7159141544 53.3749807718 52.6829608235 53.2525826857 922658 0.0 1.0 
"2015-12-03 00:00:00+00:00" 111.98 112.73 111.42 112.23 619604 52.7159141544 53.0689855565 52.4522875074 52.8336046218 1231833 0.0 1.0 
"2015-12-04 00:00:00+00:00" 113.1 113.32 111.76 112.04 434646 53.2431674483 53.3467350596 52.6123465431 52.7441598665 864119 0.0 1.0 
"2015-12-07 00:00:00+00:00" 110.9 112.84 109.91 112.55 668117 52.2074913352 53.1207693622 51.7414370844 52.98424842 1328282 0.0 1.0 
"2015-12-08 00:00:00+00:00" 109.39 110.41 108.89 109.29 610033 51.4966409122 51.9768180191 51.2612599774 51.4495647252 1212805 0.0 1.0 
"2015-12-09 00:00:00+00:00" 107.79 111.53 107.5 109.37 660995 50.7434219209 52.5040713131 50.6069009787 51.4872256748 1314123 0.0 1.0 
"2015-12-10 00:00:00+00:00" 107.07 108.24 106.94 107.79 573645 50.4044733748 50.9552647622 50.3432743317 50.7434219209 1140462 0.0 1.0 
"2015-12-11 00:00:00+00:00" 104.56 105.84 104.43 105.49 826464 49.2228610822 49.8254362752 49.1616620391 49.6606696209 1643091 0.0 1.0 
"2015-12-14 00:00:00+00:00" 102.88 105.01 102.32 104.55 768226 48.4319811413 49.4347039235 48.1683544943 49.2181534635 1527309 0.0 1.0 
"2015-12-15 00:00:00+00:00" 102.79 104.44 102.16 103.69 736047 48.389612573 49.1663696578 48.0930325952 48.8132982556 1463334 0.0 1.0 
"2015-12-16 00:00:00+00:00" 104.36 104.79 102.83 103.57 406044 49.1287087082 49.3311363122 48.4084430478 48.7568068313 807255 0.0 1.0 
"2015-12-17 00:00:00+00:00" 103.33 104.665 102.86 104.53 849254 48.6438239826 49.2722910785 48.4225659039 49.2087382261 1688400 0.0 1.0 
"2015-12-18 00:00:00+00:00" 101.1 103.29 101.1 103.0 922712 47.5940250135 48.6249935078 47.5940250135 48.4884725656 1834442 0.0 1.0 
"2015-12-21 00:00:00+00:00" 102.02 102.97 101.41 101.89 667351 48.0271259335 48.4743497095 47.739961193 47.9659268904 1326759 0.0 1.0 
"2015-12-22 00:00:00+00:00" 103.39 104.13 102.05 102.54 331482 48.6720696948 49.0204334782 48.0412487895 48.2719221056 659018 0.0 1.0 
"2015-12-23 00:00:00+00:00" 104.78 105.04 103.45 103.75 407816 49.3264286935 49.4488267796 48.7003154069 48.8415439678 810778 0.0 1.0 
"2015-12-24 00:00:00+00:00" 104.67 105.04 103.88 104.56 248184 49.2746448878 49.4488267796 48.9027430109 49.2228610822 493414 0.0 1.0 
"2015-12-28 00:00:00+00:00" 103.92 104.44 102.92 104.44 313227 48.9215734856 49.1663696578 48.4508116161 49.1663696578 622726 0.0 1.0 
"2015-12-29 00:00:00+00:00" 104.18 105.59 103.27 104.75 487357 49.0439715717 49.7077458078 48.6155782704 49.3123058374 968913 0.0 1.0 
"2015-12-30 00:00:00+00:00" 104.14 105.38 103.59 103.8 391446 49.0251410969 49.6088858152 48.7662220687 48.8650820613 778233 0.0 1.0 
"2015-12-31 00:00:00+00:00" 102.7 103.95 102.37 103.31 820589 48.3472440048 48.9356963417 48.1918925878 48.6344087452 1631411 0.0 1.0 
"2016-01-04 00:00:00+00:00" 102.16 102.585 100.28 101.19 1037608 48.0930325952 48.2931063898 47.2080002804 47.6363935817 2062867 0.0 1.0 
"2016-01-05 00:00:00+00:00" 102.47 103.11 101.32 102.55 480867 48.2389687748 48.5402563713 47.6975926248 48.2766297243 956011 0.0 1.0 
"2016-01-06 00:00:00+00:00" 101.02 101.58 100.21 101.26 878141 47.5563640639 47.8199907108 47.1750469495 47.6693469126 1745830 0.0 1.0 
"2016-01-07 00:00:00+00:00" 98.29 100.07 98.25 99.11 813711 46.27118416 47.1091402878 46.2523536852 46.657208893 1617737 0.0 1.0 
"2016-01-08 00:00:00+00:00" 97.99 99.01 97.8 98.71 760076 46.1299555991 46.6101327061 46.0405108439 46.4689041452 1511106 0.0 1.0 
"2016-01-11 00:00:00+00:00" 98.51 98.99 97.06 98.28 766376 46.3747517713 46.6007174687 45.6921470604 46.2664765413 1523631 0.0 1.0 
"2016-01-12 00:00:00+00:00" 99.47 100.31 97.85 99.49 614582 46.8266831661 47.2221231365 46.0640489374 46.8360984034 1221849 0.0 1.0 
"2016-01-13 00:00:00+00:00" 97.76 100.42 96.63 99.75 1316806 46.0216803691 47.2739069421 45.4897194565 46.9584964895 2617940 0.0 1.0 
"2016-01-14 00:00:00+00:00" 98.37 99.0 96.86 98.0 685404 46.3088451095 46.6054250874 45.5979946865 46.1346632178 1362650 0.0 1.0 
"2016-01-15 00:00:00+00:00" 97.1 98.12 95.87 95.99 1173214 45.7109775352 46.1911546421 45.1319404356 45.18843186 2332465 0.0 1.0 
"2016-01-19 00:00:00+00:00" 96.24 97.815 95.185 97.74 1091437 45.3061223273 46.0475722719 44.8094685549 46.0122651317 2169884 0.0 1.0 
"2016-01-20 00:00:00+00:00" 96.39 97.39 93.62 94.54 1107280 45.3767366078 45.8474984773 44.0727262291 44.5058271491 2201381 0.0 1.0 
"2016-01-21 00:00:00+00:00" 96.97 97.58 94.7701 96.41 954060 45.6497784921 45.9369432326 44.6141494553 45.3861518452 1896765 0.0 1.0 
"2016-01-22 00:00:00+00:00" 97.71 100.2 97.15 98.32 548670 45.9981422756 47.1703393308 45.7345156287 46.285307016 1090810 0.0 1.0 
"2016-01-25 00:00:00+00:00" 95.68 97.64 95.5 97.09 906154 45.0424956804 45.9651889447 44.9577585439 45.7062699165 1801523 0.0 1.0 
"2016-01-26 00:00:00+00:00" 95.81 97.03 91.5 92.13 1575381 45.1036947234 45.6780242043 43.0747110656 43.3712910434 3132012 0.0 1.0 
"2016-01-27 00:00:00+00:00" 94.32 96.77 93.79 95.36 827461 44.4022595378 45.5556261182 44.1527557469 44.8918518821 1645074 0.0 1.0 
"2016-01-28 00:00:00+00:00" 92.19 95.73 91.23 95.44 1341380 43.3995367556 45.0660337739 42.9476053608 44.9295128317 2666795 0.0 1.0 
"2016-01-29 00:00:00+00:00" 94.76 94.83 92.65 92.65 902290 44.6093947604 44.6423480913 43.6160872156 43.6160872156 1793841 0.0 1.0 
"2016-02-01 00:00:00+00:00" 93.53 94.61 92.92 94.28 984624 44.0303576608 44.5387804799 43.7431929204 44.383429063 1957529 0.0 1.0 
"2016-02-02 00:00:00+00:00" 92.27 93.36 91.47 92.89 801316 43.4371977052 43.950328143 43.0605882095 43.7290700643 1593095 0.0 1.0 
"2016-02-03 00:00:00+00:00" 94.29 94.63 91.11 93.36 476161 44.3881366817 44.5481957173 42.8911139365 43.950328143 946655 0.0 1.0 
"2016-02-04 00:00:00+00:00" 95.07 96.9 93.78 94.38 626314 44.7553309399 45.6168251613 44.1480481282 44.4305052499 1245173 0.0 1.0 
"2016-02-05 00:00:00+00:00" 92.99 95.13 92.83 94.99 769196 43.7761462512 44.7835766521 43.7008243521 44.7176699904 1529237 0.0 1.0 
"2016-02-08 00:00:00+00:00" 91.86 92.73 90.48 91.8 990608 43.2441853386 43.6537481652 42.5945339586 43.2159396265 1969426 0.0 1.0 
"2016-02-09 00:00:00+00:00" 91.49 92.99 90.59 90.84 840976 43.0700034469 43.7761462512 42.6463177643 42.7640082317 1671943 0.0 1.0 0.3364239307718998
"2016-02-10 00:00:00+00:00" 90.47 93.64 90.33 92.14 680942 42.5898263399 44.0821414665 42.5239196782 43.3759986621 1353779 0.0 1.0 0.3560523825287129
"2016-02-11 00:00:00+00:00" 89.25 90.17 88.3 88.89 969453 42.0154968591 42.4485977791 41.568273083 41.846022586 1927368 0.0 1.0 0.3680039017091161
