date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 1.8 1.89 1.8 1.86 352451 1.7800632911 1.8690664557 1.7800632911 1.8393987342 352451 0.0 1.0 
"2015-10-02 00:00:00+00:00" 1.92 1.94 1.79 1.79 394674 1.8987341772 1.9185126582 1.7701740506 1.7701740506 394674 0.0 1.0 
"2015-10-05 00:00:00+00:00" 2.02 2.09 1.96 1.96 389551 1.9976265823 2.0668512658 1.9382911392 1.9382911392 389551 0.0 1.0 
"2015-10-06 00:00:00+00:00" 2.01 2.05 1.98 2.01 330959 1.9877373418 2.0272943038 1.9580696203 1.9877373418 330959 0.0 1.0 
"2015-10-07 00:00:00+00:00" 2.07 2.12 2.01 2.02 412127 2.0470727848 2.0965189873 1.9877373418 1.9976265823 412127 0.0 1.0 
"2015-10-08 00:00:00+00:00" 2.05 2.11 2.04 2.04 544795 2.0272943038 2.0866297468 2.0174050633 2.0174050633 544795 0.0 1.0 
"2015-10-09 00:00:00+00:00" 2.12 2.13 2.06 2.07 248230 2.0965189873 2.1064082278 2.0371835443 2.0470727848 248230 0.0 1.0 
"2015-10-12 00:00:00+00:00" 2.13 2.13 2.06 2.13 190024 2.1064082278 2.1064082278 2.0371835443 2.1064082278 190024 0.0 1.0 
"2015-10-13 00:00:00+00:00" 2.06 2.2 2.06 2.12 265259 2.0371835443 2.1756329114 2.0371835443 2.0965189873 265259 0.0 1.0 
"2015-10-14 00:00:00+00:00" 2.19 2.21 2.07 2.07 315108 2.1657436709 2.1855221519 2.0470727848 2.0470727848 315108 0.0 1.0 
"2015-10-15 00:00:00+00:00" 2.24 2.26 2.15 2.18 531814 2.2151898734 2.2349683544 2.1261867089 2.1558544304 531814 0.0 1.0 
"2015-10-16 00:00:00+00:00" 2.17 2.26 2.15 2.26 298311 2.1459651899 2.2349683544 2.1261867089 2.2349683544 298311 0.0 1.0 
"2015-10-19 00:00:00+00:00" 2.15 2.19 2.12 2.18 228226 2.1261867089 2.1657436709 2.0965189873 2.1558544304 228226 0.0 1.0 
"2015-10-20 00:00:00+00:00" 2.13 2.19 2.11 2.16 262869 2.1064082278 2.1657436709 2.0866297468 2.1360759494 262869 0.0 1.0 
"2015-10-21 00:00:00+00:00" 2.16 2.18 2.06 2.11 331820 2.1360759494 2.1558544304 2.0371835443 2.0866297468 331820 0.0 1.0 
"2015-10-22 00:00:00+00:00" 2.21 2.26 2.15 2.15 248182 2.1855221519 2.2349683544 2.1261867089 2.1261867089 248182 0.0 1.0 
"2015-10-23 00:00:00+00:00" 2.2 2.23 2.13 2.2 252994 2.1756329114 2.2053006329 2.1064082278 2.1756329114 252994 0.0 1.0 
"2015-10-26 00:00:00+00:00" 2.15 2.21 2.13 2.2 228713 2.1261867089 2.1855221519 2.1064082278 2.1756329114 228713 0.0 1.0 
"2015-10-27 00:00:00+00:00" 2.05 2.13 2.045 2.13 384563 2.0272943038 2.1064082278 2.0223496835 2.1064082278 384563 0.0 1.0 
"2015-10-28 00:00:00+00:00" 2.15 2.17 2.03 2.06 531106 2.1261867089 2.1459651899 2.0075158228 2.0371835443 531106 0.0 1.0 
"2015-10-29 00:00:00+00:00" 2.05 2.16 2.05 2.16 268810 2.0272943038 2.1360759494 2.0272943038 2.1360759494 268810 0.0 1.0 
"2015-10-30 00:00:00+00:00" 2.04 2.09 2.0 2.09 370625 2.0174050633 2.0668512658 1.9778481013 2.0668512658 370625 0.0 1.0 
"2015-11-02 00:00:00+00:00" 2.18 2.18 2.01 2.05 612648 2.1558544304 2.1558544304 1.9877373418 2.0272943038 612648 0.0 1.0 
"2015-11-03 00:00:00+00:00" 2.19 2.24 2.14 2.15 463979 2.1657436709 2.2151898734 2.1162974684 2.1261867089 463979 0.0 1.0 
"2015-11-04 00:00:00+00:00" 2.09 2.19 2.07 2.18 335542 2.0668512658 2.1657436709 2.0470727848 2.1558544304 335542 0.0 1.0 
