date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 14.41 14.72 13.952 14.09 1813688 14.0708467188 14.3735505691 13.6236261916 13.7583782282 1813688 0.0 1.0 
"2015-10-02 00:00:00+00:00" 15.5 15.51 14.3 14.39 1748460 15.135192515 15.1449571554 13.9634356752 14.0513174381 1748460 0.0 1.0 
"2015-10-05 00:00:00+00:00" 16.52 16.72 15.9 15.9 2120997 16.1311858289 16.3264786356 15.5257781283 15.5257781283 2120997 0.0 1.0 
"2015-10-06 00:00:00+00:00" 16.87 17.07 16.46 16.52 2233021 16.4729482405 16.6682410472 16.0725979869 16.1311858289 2233021 0.0 1.0 
"2015-10-07 00:00:00+00:00" 17.55 17.91 16.7 16.84 3003661 17.1369437831 17.4884708351 16.3069493549 16.4436543195 3003661 0.0 1.0 
"2015-10-08 00:00:00+00:00" 18.27 18.34 17.44 17.54 1698017 17.8399978871 17.9083503694 17.0295327395 17.1271791428 1698017 0.0 1.0 
"2015-10-09 00:00:00+00:00" 18.57 19.1 18.47 18.52 2196289 18.132937097 18.6504630346 18.0352906937 18.0841138954 2196289 0.0 1.0 
"2015-10-12 00:00:00+00:00" 17.91 18.74 17.73 18.65 949940 17.4884708351 18.2989359827 17.3127073091 18.2110542197 949940 0.0 1.0 
"2015-10-13 00:00:00+00:00" 17.98 18.38 17.34 17.61 1217800 17.5568233174 17.9474089307 16.9318863362 17.1955316251 1217800 0.0 1.0 
"2015-10-14 00:00:00+00:00" 17.55 18.258 17.39 18.12 2293732 17.1369437831 17.8282803187 16.9807095378 17.6935282821 2293732 0.0 1.0 
"2015-10-15 00:00:00+00:00" 18.19 18.23 17.26 17.55 1366460 17.7618807644 17.8009393257 16.8537692135 17.1369437831 1366460 0.0 1.0 
"2015-10-16 00:00:00+00:00" 17.44 18.15 17.13 18.11 1182255 17.0295327395 17.7228222031 16.7268288892 17.6837636417 1182255 0.0 1.0 
"2015-10-19 00:00:00+00:00" 16.98 17.32 16.7401 17.21 1404457 16.5803592842 16.9123570555 16.3461055626 16.8049460118 1404457 0.0 1.0 
"2015-10-20 00:00:00+00:00" 15.0 16.725 14.45 16.7 6333636 14.6469604984 16.3313609557 14.1099052801 16.3069493549 6333636 0.0 1.0 
"2015-10-21 00:00:00+00:00" 13.61 14.79 13.57 14.75 4217011 13.2896754922 14.4419030514 13.2506169309 14.4028444901 4217011 0.0 1.0 
"2015-10-22 00:00:00+00:00" 14.17 14.32 13.56 13.65 3071551 13.8364953508 13.9829649558 13.2408522906 13.3287340536 3071551 0.0 1.0 
"2015-10-23 00:00:00+00:00" 14.56 14.6 13.96 14.37 4447802 14.2173163238 14.2563748851 13.6314379039 14.0317881575 4447802 0.0 1.0 
"2015-10-26 00:00:00+00:00" 13.71 14.65 13.68 14.51 2407311 13.3873218955 14.3051980868 13.3580279746 14.1684931221 2407311 0.0 1.0 
"2015-10-27 00:00:00+00:00" 13.49 13.83 13.3 13.59 2067403 13.1724998082 13.5044975795 12.9869716419 13.2701462116 2067403 0.0 1.0 
"2015-10-28 00:00:00+00:00" 14.59 14.98 13.45 13.45 3264970 14.2466102448 14.6274312177 13.1334412469 13.1334412469 3264970 0.0 1.0 
"2015-10-29 00:00:00+00:00" 14.33 14.87 14.285 14.35 1132394 13.9927295961 14.5200201741 13.9487887147 14.0122588768 1132394 0.0 1.0 
"2015-10-30 00:00:00+00:00" 14.7 14.81 14.18 14.64 1707179 14.3540212884 14.4614323321 13.8462599912 14.2954334464 1707179 0.0 1.0 
"2015-11-02 00:00:00+00:00" 15.16 15.34 14.61 14.61 1429990 14.8031947437 14.9789582697 14.2661395255 14.2661395255 1429990 0.0 1.0 
"2015-11-03 00:00:00+00:00" 15.73 16.04 15.18 15.18 2235895 15.3597792427 15.662483093 14.8227240244 14.8227240244 2235895 0.0 1.0 
"2015-11-04 00:00:00+00:00" 15.2 15.92 14.985 15.78 1900588 14.8422533051 15.545307409 14.6323135379 15.4086024443 1900588 0.0 1.0 
"2015-11-05 00:00:00+00:00" 14.31 15.11 14.17 15.0 1974002 13.9732003155 14.7543715421 13.8364953508 14.6469604984 1974002 0.0 1.0 
"2015-11-06 00:00:00+00:00" 14.29 14.33 13.78 14.2 2967223 13.9536710348 13.9927295961 13.4556743779 13.8657892718 2967223 0.0 1.0 
"2015-11-09 00:00:00+00:00" 13.99 14.3299 13.79 14.3 1520790 13.6607318249 13.9926319497 13.4654390182 13.9634356752 1520790 0.0 1.0 
"2015-11-10 00:00:00+00:00" 13.88 14.175 13.65 13.88 1608516 13.5533207812 13.841377671 13.3287340536 13.5533207812 1608516 0.0 1.0 
"2015-11-11 00:00:00+00:00" 13.55 14.07 13.21 14.03 1664532 13.2310876502 13.7388489475 12.8990898789 13.6997903862 1664532 0.0 1.0 
"2015-11-12 00:00:00+00:00" 12.91 13.74 12.885 13.23 2094703 12.606150669 13.4166158165 12.5817390681 12.9186191596 2094703 0.0 1.0 
