date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 57.82 58.46 57.37 58.18 661197 51.7339818193 52.3066166924 51.3313479241 52.0560889354 661197 0.0 1.0 
"2015-10-02 00:00:00+00:00" 58.93 58.93 57.65 58.03 611985 52.7271454274 52.7271454274 51.5818756811 51.9218776371 611985 0.0 1.0 
"2015-10-05 00:00:00+00:00" 59.36 59.44 58.65 59.0 495411 53.1118844828 53.1834638419 52.4766176704 52.7897773666 495411 0.0 1.0 
"2015-10-06 00:00:00+00:00" 58.58 59.35 58.5 59.33 725132 52.4139857311 53.1029370629 52.342406372 53.0850422231 725132 0.0 1.0 
"2015-10-07 00:00:00+00:00" 58.72 59.01 58.13 58.64 689372 52.5392496096 52.7987247865 52.011351836 52.4676702505 689372 0.0 1.0 
"2015-10-08 00:00:00+00:00" 59.54 59.72 58.55 58.7 478963 53.2729380408 53.4339915989 52.3871434715 52.5213547699 478963 0.0 1.0 
"2015-10-09 00:00:00+00:00" 59.0 59.72 58.85 59.59 1041953 52.7897773666 53.4339915989 52.6555660683 53.3176751403 1041953 0.0 1.0 
"2015-10-12 00:00:00+00:00" 59.56 60.0 58.875 59.09 443450 53.2908328806 53.6845193559 52.677934618 52.8703041457 443450 0.0 1.0 
"2015-10-13 00:00:00+00:00" 59.11 59.6 59.025 59.49 974055 52.8881989855 53.3266225602 52.8121459164 53.2282009414 974055 0.0 1.0 
"2015-10-14 00:00:00+00:00" 58.84 59.42 58.78 59.17 518905 52.6466186484 53.1655690021 52.592934129 52.9418835048 518905 0.0 1.0 
"2015-10-15 00:00:00+00:00" 59.77 59.77 58.75 58.96 289295 53.4787286984 53.4787286984 52.5660918693 52.7539876871 289295 0.0 1.0 
"2015-10-16 00:00:00+00:00" 60.75 63.19 59.77 59.84 813043 54.3555758479 56.5387463017 53.4787286984 53.5413606376 813043 0.0 1.0 
"2015-10-19 00:00:00+00:00" 60.93 61.24 60.55 60.71 665229 54.5166294059 54.7939994226 54.17662745 54.3197861683 665229 0.0 1.0 
"2015-10-20 00:00:00+00:00" 60.5 61.15 60.44 60.75 531045 54.1318903505 54.7134726436 54.0782058312 54.3555758479 531045 0.0 1.0 
"2015-10-21 00:00:00+00:00" 60.31 60.96 60.22 60.73 382672 53.9618893726 54.5434716656 53.8813625935 54.3376810081 382672 0.0 1.0 
"2015-10-22 00:00:00+00:00" 60.65 60.72 60.23 60.42 588651 54.2661016489 54.3287335882 53.8903100134 54.0603109914 588651 0.0 1.0 
"2015-10-23 00:00:00+00:00" 59.93 60.755 59.45 60.75 548556 53.6218874167 54.3600495578 53.1924112618 54.3555758479 548556 0.0 1.0 
"2015-10-26 00:00:00+00:00" 61.81 62.01 60.1 60.29 723232 55.3040023565 55.4829507543 53.7739935548 53.9439945328 723232 0.0 1.0 
"2015-10-27 00:00:00+00:00" 61.87 62.03 61.38 61.68 790498 55.3576868758 55.5008455941 54.9192633011 55.1876858979 790498 0.0 1.0 
"2015-10-28 00:00:00+00:00" 62.22 62.39 61.36 62.05 583580 55.6708465721 55.8229527103 54.9013684613 55.5187404339 583580 0.0 1.0 
"2015-10-29 00:00:00+00:00" 62.13 62.21 61.434 61.73 584107 55.590319793 55.6618991522 54.9675793685 55.2324229973 584107 0.0 1.0 
"2015-10-30 00:00:00+00:00" 63.0 63.46 62.07 62.12 1649751 56.3687453237 56.7803266388 55.5366352737 55.5813723731 1649751 0.0 1.0 
"2015-11-02 00:00:00+00:00" 63.03 63.31 62.64 63.08 603008 56.3955875834 56.6461153404 56.0466382076 56.4403246828 603008 0.0 1.0 
"2015-11-03 00:00:00+00:00" 63.19 63.38 62.65 62.99 552291 56.5387463017 56.7087472796 56.0555856275 56.3597979038 552291 0.0 1.0 
"2015-11-04 00:00:00+00:00" 63.04 63.765 62.85 63.15 637515 56.4045350033 57.0532229455 56.2345340253 56.5029566221 637515 0.0 1.0 
"2015-11-05 00:00:00+00:00" 62.54 63.5 62.22 62.78 861932 55.9571640086 56.8161163183 55.6708465721 56.1719020861 861932 0.0 1.0 
"2015-11-06 00:00:00+00:00" 59.81 62.1 59.6 61.74 1323596 53.5145183779 55.5634775334 53.3266225602 55.2413704172 1323596 0.0 1.0 
"2015-11-09 00:00:00+00:00" 59.49 59.8 59.22 59.8 1075533 53.2282009414 53.5055709581 52.9866206043 53.5055709581 1075533 0.0 1.0 
"2015-11-10 00:00:00+00:00" 60.94 60.94 59.64 59.64 753314 54.5255768258 54.5255768258 53.3624122398 53.3624122398 753314 0.0 1.0 
"2015-11-11 00:00:00+00:00" 61.3 61.52 60.74 60.83 490770 54.847683942 55.0445271796 54.346628428 54.427155207 490770 0.0 1.0 
"2015-11-12 00:00:00+00:00" 60.58 61.64 60.48 61.16 341181 54.2034697097 55.1518962183 54.1139955108 54.7224200635 341181 0.0 1.0 
"2015-11-13 00:00:00+00:00" 60.25 61.089 60.06 60.58 598018 53.9082048532 54.6588933822 53.7382038753 54.2034697097 598018 0.0 1.0 
"2015-11-16 00:00:00+00:00" 61.11 61.17 59.96 60.26 318292 54.677682964 54.7313674833 53.6487296763 53.9171522731 318292 0.0 1.0 
"2015-11-17 00:00:00+00:00" 60.55 61.43 60.48 61.16 373278 54.17662745 54.9640004006 54.1139955108 54.7224200635 373278 0.0 1.0 
"2015-11-18 00:00:00+00:00" 61.9 61.97 60.1905 60.72 625606 55.3845291355 55.4471610748 53.8549677049 54.3287335882 625606 0.0 1.0 
"2015-11-19 00:00:00+00:00" 62.4 62.57 61.58 62.0 897718 56.2076917656 56.3608216951 55.4690650469 55.8473860492 897718 0.42 1.0 
"2015-11-20 00:00:00+00:00" 62.51 62.94 62.21 62.52 454558 56.3067758377 56.6941044828 56.0365465503 56.3157834806 454558 0.0 1.0 
"2015-11-23 00:00:00+00:00" 62.38 62.82 62.185 62.41 329900 56.1896764798 56.5860127679 56.014027443 56.2166994085 329900 0.0 1.0 
"2015-11-24 00:00:00+00:00" 62.66 62.81 61.64 62.29 477091 56.4418904813 56.577005125 55.5231109044 56.1086076936 477091 0.0 1.0 
"2015-11-25 00:00:00+00:00" 62.19 62.71 62.18 62.57 319451 56.0185312645 56.4869286959 56.0095236216 56.3608216951 319451 0.0 1.0 
"2015-11-27 00:00:00+00:00" 62.84 62.98 62.26 62.26 116648 56.6040280537 56.7301350545 56.0815847649 56.0815847649 116648 0.0 1.0 
"2015-11-30 00:00:00+00:00" 62.31 63.055 62.14 62.81 419850 56.1266229794 56.7976923763 55.9734930499 56.577005125 419850 0.0 1.0 
"2015-12-01 00:00:00+00:00" 62.59 62.94 62.08 62.58 381595 56.3788369809 56.6941044828 55.9194471925 56.369829338 381595 0.0 1.0 
"2015-12-02 00:00:00+00:00" 61.93 62.65 61.85 62.65 405623 55.7843325488 56.4328828384 55.7122714055 56.4328828384 405623 0.0 1.0 
"2015-12-03 00:00:00+00:00" 61.14 61.85 60.91 61.85 683444 55.0727287588 55.7122714055 54.8655529719 55.7122714055 683444 0.0 1.0 
