date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 30.9 31.46 30.62 31.39 8515698 29.8741626732 30.4155714466 29.6034582865 30.3478953499 8515698 0.0 1.0 
"2015-10-02 00:00:00+00:00" 31.46 31.46 30.2499 30.57 9430193 30.4155714466 30.4155714466 29.2456450954 29.5551182175 9430193 0.0 1.0 
"2015-10-05 00:00:00+00:00" 31.97 32.06 31.55 31.82 8559055 30.9086401509 30.9956522752 30.5025835709 30.7636199437 8559055 0.0 1.0 
"2015-10-06 00:00:00+00:00" 31.91 32.24 31.51 31.85 6647183 30.850632068 31.1696765238 30.4639115156 30.7926239852 6647183 0.0 1.0 
"2015-10-07 00:00:00+00:00" 31.94 32.29 31.375 32.08 6744292 30.8796361094 31.2180165928 30.3333933292 31.0149883028 6744292 0.0 1.0 
"2015-10-08 00:00:00+00:00" 31.73 31.85 31.01 31.76 8725393 30.6766078194 30.7926239852 29.9805108251 30.7056118609 8725393 0.0 1.0 
"2015-10-09 00:00:00+00:00" 32.07 32.09 31.33 31.63 6320990 31.005320289 31.0246563166 30.289887267 30.5799276813 6320990 0.0 1.0 
"2015-10-12 00:00:00+00:00" 32.58 32.9 31.81 31.88 5200235 31.4983889933 31.8077654352 30.7539519299 30.8216280266 5200235 0.0 1.0 
"2015-10-13 00:00:00+00:00" 32.88 33.19 32.1995 32.5 12662717 31.7884294076 32.0881378357 31.1305210678 31.4210448828 12662717 0.0 1.0 
"2015-10-14 00:00:00+00:00" 33.02 33.41 32.68 32.77 9087828 31.9237816009 32.3008341395 31.5950691314 31.6820812557 9087828 0.0 1.0 
"2015-10-15 00:00:00+00:00" 33.8 33.81 32.97 33.18 10559262 32.6778866781 32.6875546919 31.8754415319 32.0784698219 10559262 0.0 1.0 
"2015-10-16 00:00:00+00:00" 34.17 34.31 33.79 34.06 7672166 33.0356031891 33.1709553824 32.6682186643 32.9292550372 7672166 0.0 1.0 
"2015-10-19 00:00:00+00:00" 33.75 34.17 33.34 33.94 5443150 32.6295466091 33.0356031891 32.2331580429 32.8132388715 5443150 0.0 1.0 
"2015-10-20 00:00:00+00:00" 33.82 33.85 33.49 33.76 5393724 32.6972227057 32.7262267472 32.37817825 32.6392146229 5393724 0.0 1.0 
"2015-10-21 00:00:00+00:00" 33.78 34.11 33.67 34.0 4702528 32.6585506505 32.9775951062 32.5522024986 32.8712469543 4702528 0.0 1.0 
"2015-10-22 00:00:00+00:00" 34.75 35.13 33.88 33.88 9641637 33.5963479901 33.9637325149 32.7552307886 32.7552307886 9641637 0.0 1.0 
"2015-10-23 00:00:00+00:00" 34.9 35.44 34.75 35.26 9147904 33.7413681972 34.263440943 33.5963479901 34.0894166944 9147904 0.0 1.0 
"2015-10-26 00:00:00+00:00" 34.88 35.05 34.755 35.01 3783096 33.7220321696 33.8863884044 33.601181997 33.8477163491 3783096 0.0 1.0 
"2015-10-27 00:00:00+00:00" 34.88 35.13 34.69 34.9 6001039 33.7220321696 33.9637325149 33.5383399072 33.7413681972 6001039 0.0 1.0 
"2015-10-28 00:00:00+00:00" 35.28 35.41 34.8001 35.0 6129791 34.108752722 34.2344369016 33.6447847393 33.8380483353 6129791 0.0 1.0 
"2015-10-29 00:00:00+00:00" 34.99 35.391 34.52 35.2 5697406 33.8283803215 34.2160676753 33.3739836725 34.0314086115 5697406 0.0 1.0 
"2015-10-30 00:00:00+00:00" 34.76 35.2 34.2 34.84 8679049 33.6060160039 34.0314086115 33.0646072305 33.6833601144 8679049 0.0 1.0 
"2015-11-02 00:00:00+00:00" 34.57 34.86 33.83 34.25 7385270 33.4223237415 33.702696142 32.7068907196 33.1129472996 7385270 0.0 1.0 
"2015-11-03 00:00:00+00:00" 35.82 37.8 32.39 33.35 43548416 34.6308254678 36.5450922022 31.3146967309 32.2428260567 43548416 0.0 1.0 
"2015-11-04 00:00:00+00:00" 36.99 37.56 36.01 36.15 17829454 35.7619830835 36.3130598707 34.8145177302 34.9498699235 17829454 0.0 1.0 
"2015-11-05 00:00:00+00:00" 37.36 37.86 36.76 37.45 10398122 36.1196995945 36.603100285 35.5396187659 36.2067117188 10398122 0.0 1.0 
"2015-11-06 00:00:00+00:00" 35.0 37.77 34.85 37.77 20663225 33.8380483353 36.5160881607 33.6930281282 36.5160881607 20663225 0.0 1.0 
"2015-11-09 00:00:00+00:00" 34.05 35.87 33.71 35.3 15949053 32.9195870234 34.6791655368 32.5908745538 34.1280887496 15949053 0.0 1.0 
"2015-11-10 00:00:00+00:00" 33.86 33.95 33.32 33.85 8898434 32.735894761 32.8229068853 32.2138220152 32.7262267472 8898434 0.0 1.0 
"2015-11-11 00:00:00+00:00" 34.57 34.89 33.58 34.35 8541720 33.4223237415 33.7317001834 32.4651903743 33.2096274377 8541720 0.0 1.0 
"2015-11-12 00:00:00+00:00" 35.01 35.51 34.61 34.61 9767267 33.8477163491 34.3311170397 33.4609957967 33.4609957967 9767267 0.0 1.0 
"2015-11-13 00:00:00+00:00" 34.59 35.01 34.18 34.78 6818394 33.4416597691 33.8477163491 33.0452712029 33.6253520315 6818394 0.0 1.0 
"2015-11-16 00:00:00+00:00" 34.95 35.1 33.78 34.49 8677161 33.7897082663 33.9347284734 32.6585506505 33.344979631 8677161 0.0 1.0 
"2015-11-17 00:00:00+00:00" 36.12 36.24 34.85 34.97 9976347 34.9208658821 35.0368820478 33.6930281282 33.8090442939 9976347 0.0 1.0 
"2015-11-18 00:00:00+00:00" 36.87 36.95 35.82 36.23 8259283 35.6459669178 35.7233110283 34.6308254678 35.027214034 8259283 0.0 1.0 
"2015-11-19 00:00:00+00:00" 37.01 37.57 36.92 37.0 5265007 35.7813191112 36.3227278845 35.6943069869 35.7716510974 5265007 0.0 1.0 
