date close high low open volume adjClose adjHigh adjLow adjOpen adjVolume divCash splitFactor momentum
"2015-10-01 00:00:00+00:00" 175.25 176.1 172.73 175.6 1064900 150.5777868712 151.3081213582 148.4125599216 150.8785128364 1064900 0.0 1.0 
"2015-10-02 00:00:00+00:00" 175.8 177.44 173.18 174.8 599300 151.0503562451 152.4594721965 148.7992075912 150.1911392017 599300 0.0 1.0 
"2015-10-05 00:00:00+00:00" 177.04 177.57 175.47 176.14 640600 152.1157853791 152.5711704121 150.7668146208 151.3424900399 640600 0.0 1.0 
"2015-10-06 00:00:00+00:00" 175.57 177.6 174.53 176.6 842300 150.8527363251 152.5969469234 149.9591505999 151.7377298799 842300 0.0 1.0 
"2015-10-07 00:00:00+00:00" 176.78 176.78 174.37 175.55 808300 151.8923889478 151.8923889478 149.821675873 150.8355519843 808300 0.0 1.0 
"2015-10-08 00:00:00+00:00" 178.23 178.57 175.06 176.77 689200 153.1382536608 153.4303874556 150.414535633 151.8837967773 689200 0.0 1.0 
"2015-10-09 00:00:00+00:00" 178.94 179.02 176.97 177.88 558000 153.7482977617 153.8170351252 152.055640186 152.8375276956 558000 0.0 1.0 
"2015-10-12 00:00:00+00:00" 180.19 180.95 178.17 179.38 609600 154.8223190661 155.4753240191 153.0867006382 154.1263532608 609600 0.0 1.0 
"2015-10-13 00:00:00+00:00" 179.73 181.26 178.7 179.56 771200 154.4270792261 155.7416813026 153.5424293581 154.2810123287 771200 0.0 1.0 
"2015-10-14 00:00:00+00:00" 177.73 180.49 177.21 180.31 565200 152.7086451391 155.0800841791 152.2618522765 154.9254251113 565200 0.0 1.0 
"2015-10-15 00:00:00+00:00" 180.77 180.77 177.9 178.15 513400 155.3206649513 155.3206649513 152.8547120365 153.0695162973 513400 0.0 1.0 
"2015-10-16 00:00:00+00:00" 183.42 184.04 180.01 181.84 930100 157.5975901165 158.1303046835 154.6676599982 156.2400271878 930100 0.0 1.0 
"2015-10-19 00:00:00+00:00" 185.26 185.43 182.76 183.24 639500 159.1785494765 159.3246163739 157.0305068678 157.4429310487 639500 0.0 1.0 
"2015-10-20 00:00:00+00:00" 184.69 186.54 183.59 184.87 593400 158.6887957618 160.2783472922 157.7436570139 158.8434548296 593400 0.0 1.0 
"2015-10-21 00:00:00+00:00" 184.23 185.93 184.0 185.48 664600 158.2935559217 159.7542248957 158.0959360017 159.3675772261 664600 0.0 1.0 
"2015-10-22 00:00:00+00:00" 184.79 185.81 183.51 185.21 820700 158.7747174661 159.6511188505 157.6749196504 159.1355886244 820700 0.0 1.0 
"2015-10-23 00:00:00+00:00" 182.85 186.89 181.22 184.16 666400 157.1078364017 160.5790732574 155.7116087061 158.2334107287 666400 0.0 1.0 
"2015-10-26 00:00:00+00:00" 182.0 185.44 181.04 183.66 823000 156.3775019148 159.3314901103 155.552653553 157.803802207 823000 0.0 1.0 
"2015-10-27 00:00:00+00:00" 178.91 181.85 177.39 179.0 1185300 153.7225212504 156.2486193582 152.4165113443 153.7998507843 1185300 0.0 1.0 
"2015-10-28 00:00:00+00:00" 177.06 180.34 174.47 179.58 968400 152.1329697199 154.9512016226 149.9075975773 154.2981966695 968400 0.0 1.0 
"2015-10-29 00:00:00+00:00" 177.95 178.18 175.3 176.46 822200 152.8976728886 153.0952928086 150.6164516382 151.6174394938 822200 0.0 1.0 
"2015-10-30 00:00:00+00:00" 174.83 178.51 174.24 178.28 891100 150.216915713 153.378834433 149.710063579 153.181214513 891100 0.0 1.0 
"2015-11-02 00:00:00+00:00" 180.15 180.25 174.55 174.83 974400 154.7879503843 154.8738720887 149.9763349408 150.216915713 974400 0.0 1.0 
"2015-11-03 00:00:00+00:00" 177.71 180.38 176.53 179.14 659000 152.6914607982 154.9855703043 151.6775846869 153.9201411704 659000 0.0 1.0 
"2015-11-04 00:00:00+00:00" 178.1 178.88 176.71 178.28 663000 153.0265554452 153.6967447391 151.8322437547 153.181214513 663000 0.0 1.0 
"2015-11-05 00:00:00+00:00" 177.42 178.99 176.15 177.56 518900 152.4422878556 153.7912586139 151.3510822104 152.5625782417 518900 0.0 1.0 
"2015-11-06 00:00:00+00:00" 172.95 178.55 171.32 178.55 656900 148.6015876712 153.4132031147 147.2010638903 153.4132031147 656900 0.0 1.0 
"2015-11-09 00:00:00+00:00" 170.21 172.87 168.83 172.48 788900 146.2473329721 148.5328503077 145.061613452 148.1977556608 788900 0.0 1.0 
"2015-11-10 00:00:00+00:00" 172.49 174.2 169.17 169.21 722600 148.2063478312 149.6756089756 145.3537472468 145.3881159286 722600 0.0 1.0 
